,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57941.612612,-20.73,0.9359999999999999,-18,17,o,0,1.47,20.70628,-13.17319,9233.87,6610.33,2.64,2.36,55.6,-0.475,19.11,20.0,02a57941o0185o
1,57941.627480999996,-20.168,5.428,-31,169,o,0,0.94,20.70628,-13.17319,9241.92,6656.95,2.29,2.11,53.1,-0.512,17.23,17.44,02a57941o0211o
2,57942.613725,21.219,1.8940000000000001,12,22,o,0,1.53,20.70628,-13.17319,1162.52,2402.42,3.1,2.9,-52.8,-0.498,18.81,19.59,01a57942o0726o
3,57942.621608,19.588,0.76,53,40,o,0,0.91,20.70628,-13.17319,1137.76,2338.8,3.18,2.95,-67.8,-0.491,18.31,18.78,01a57942o0742o
4,57943.544764,19.97,4.615,37,172,o,0,1.18,20.70628,-13.17319,1894.06,6095.71,3.51,3.31,-39.8,-0.456,17.45,17.93,01a57943o0597o
5,57943.552188,18.744,0.723,116,84,o,0,1.38,20.70628,-13.17319,1868.94,6043.13,3.57,3.38,-37.0,-0.429,17.71,18.37,01a57943o0612o
6,57943.55965,21.886,12.24,6,78,o,0,1.15,20.70628,-13.17319,1918.81,6106.93,3.31,3.15,-49.1,-0.455,17.72,18.24,01a57943o0627o
7,57943.567164,18.27,0.804,179,144,o,0,1.41,20.70628,-13.17319,1934.46,5976.2,3.2,3.1,-36.4,-0.46399999999999997,17.41,17.86,01a57943o0642o
8,57944.573026,-20.095,0.902,-33,30,o,0,1.35,20.70628,-13.17319,9106.8,7190.31,2.24,2.14,65.3,-0.5,18.78,19.27,02a57944o0642o
9,57944.58085,21.214000000000002,2.459,12,29,o,0,1.41,20.70628,-13.17319,9124.89,7231.17,2.31,2.17,60.0,-0.502,18.81,19.32,02a57944o0658o
10,57944.588711000004,20.93,1.74,15,27,o,0,1.41,20.70628,-13.17319,9067.95,7154.42,2.22,2.12,56.6,-0.491,18.88,19.35,02a57944o0674o
11,57944.596939999996,-20.468,1.3159999999999998,-24,31,o,0,0.98,20.70628,-13.17319,9049.25,7272.68,2.2,2.11,60.5,-0.5,18.89,19.38,02a57944o0690o
12,57945.591269000004,19.326,0.354,68,24,o,0,1.31,20.70628,-13.17319,10324.36,5128.33,2.89,2.49,56.6,-0.488,18.68,19.38,02a57945o0674o
13,57945.599813,18.877,0.24100000000000002,102,25,o,0,0.86,20.70628,-13.17319,601.01,5106.49,2.61,2.18,51.9,-0.461,18.75,19.38,02a57945o0690o
14,57945.600299,19.657,0.519,50,26,o,0,1.23,20.70628,-13.17319,10340.61,5169.63,2.71,2.36,55.1,-0.515,18.72,19.38,02a57945o0691o
15,57945.608413,19.734,0.48700000000000004,46,23,o,0,1.32,20.70628,-13.17319,617.54,5144.61,2.45,1.98,59.6,-0.485,18.84,19.43,02a57945o0707o
16,57945.608901,20.338,0.888,27,24,o,0,1.1,20.70628,-13.17319,10282.78,5092.01,2.57,2.15,60.7,-0.498,18.89,19.46,02a57945o0708o
17,57945.61705,20.296,0.721,28,20,o,0,1.26,20.70628,-13.17319,540.98,5070.78,2.4,1.94,55.4,-0.467,18.77,19.28,02a57945o0724o
18,57945.617541,20.593000000000004,1.331,21,28,o,0,0.87,20.70628,-13.17319,10262.48,5211.51,2.55,2.24,52.9,-0.507,18.84,19.29,02a57945o0725o
19,57945.625758,22.076,7.404,5,40,o,0,1.13,20.70628,-13.17319,520.16,5188.24,2.43,2.04,51.2,-0.475,18.03,18.2,02a57945o0741o
20,57947.59611599999,19.031,0.31,89,27,o,0,1.25,20.70628,-13.17319,911.43,4416.24,3.6,3.42,37.6,-0.428,18.64,19.69,01a57947o0470o
21,57947.604642,20.307000000000002,0.895,27,24,o,0,1.02,20.70628,-13.17319,887.58,4351.59,3.47,2.83,81.3,-0.462,18.83,19.74,01a57947o0487o
22,57947.613082,19.254,0.353,72,26,o,0,0.79,20.70628,-13.17319,959.9,4403.94,3.52,2.87,82.4,-0.46299999999999997,18.82,19.71,01a57947o0504o
23,57947.621608,19.602,0.6920000000000001,52,36,o,0,1.13,20.70628,-13.17319,974.46,4259.04,3.49,2.92,83.4,-0.473,18.44,19.09,01a57947o0521o
24,57949.608788,19.104,0.257,83,21,o,0,2.54,20.70628,-13.17319,9491.18,6618.91,2.21,2.06,51.7,-0.525,18.93,19.46,02a57949o0729o
25,57949.618735000004,19.61,0.609,52,32,o,0,1.46,20.70628,-13.17319,9508.22,6661.49,2.27,2.06,50.6,-0.509,18.83,19.26,02a57949o0746o
26,57949.628541,19.587,1.6019999999999999,53,85,o,0,1.23,20.70628,-13.17319,9451.46,6585.15,2.34,2.08,57.0,-0.47700000000000004,17.71,17.74,02a57949o0763o
27,57955.63028099999,19.096,1.185,84,99,o,0,0.93,20.70628,-13.17319,8963.92,4186.34,7.04,5.56,-3.1,-0.305,17.09,18.19,01a57955o0772o
28,57959.615697,22.334,4.571000000000001,4,19,o,0,1.07,20.70628,-13.17319,2098.66,2852.73,5.82,5.28,12.6,-0.317,18.78,21.25,01a57959o0743o
29,57959.626362,18.87,0.387,103,40,o,0,1.1,20.70628,-13.17319,2075.39,2772.87,5.21,4.65,83.0,-0.354,18.02,19.41,01a57959o0761o
30,57963.576324,19.346,0.20800000000000002,66,14,o,0,1.14,20.70628,-13.17319,2271.26,2661.51,3.36,3.17,27.2,-0.408,19.24,21.05,01a57963o0452o
31,57963.584787,19.851,0.321,42,13,o,0,1.26,20.70628,-13.17319,2248.35,2593.19,3.07,2.69,80.3,-0.45399999999999996,19.41,21.01,01a57963o0469o
32,57963.593240999995,20.479,0.5329999999999999,23,12,o,0,1.11,20.70628,-13.17319,2301.89,2642.28,3.12,2.78,80.3,-0.447,19.36,21.05,01a57963o0486o
33,57963.601781,20.374000000000002,0.5820000000000001,26,15,o,0,1.3,20.70628,-13.17319,2318.47,2495.54,3.21,2.79,82.4,-0.44,18.8,20.49,01a57963o0503o
34,57967.60215499999,19.384,0.19899999999999998,64,13,o,0,1.42,20.70628,-13.17319,8274.21,2683.71,3.51,3.0,89.9,-0.42,19.41,21.41,01a57967o0363o
35,57967.61276,20.145,0.381,32,12,o,0,1.12,20.70628,-13.17319,8252.73,2604.8,3.5,2.86,89.6,-0.426,19.46,21.35,01a57967o0381o
36,57967.621966,20.387,0.555,25,14,o,0,1.14,20.70628,-13.17319,8305.88,2647.93,3.46,2.83,-89.8,-0.436,19.33,20.89,01a57967o0398o
37,57967.63149299999,-21.659000000000002,5.432,-8,43,o,0,0.93,20.70628,-13.17319,8321.43,2493.68,3.47,2.86,-88.3,-0.43700000000000006,18.18,18.66,01a57967o0416o
38,57969.603965999995,20.998,0.741,14,11,o,0,1.84,20.70628,-13.17319,1193.52,5147.48,2.08,1.88,16.6,-0.46399999999999997,19.71,21.04,02a57969o0691o
39,57969.613589,20.217,0.358,30,11,o,0,1.4,20.70628,-13.17319,1169.34,5105.46,2.17,1.86,9.4,-0.469,19.7,21.08,02a57969o0709o
40,57969.622652,19.820999999999998,0.278,43,12,o,0,1.24,20.70628,-13.17319,1226.36,5186.25,2.05,1.84,23.7,-0.483,19.57,20.63,02a57969o0726o
41,57970.520839,20.607,1.234,21,26,o,0,1.05,20.70628,-13.17319,9669.16,2519.08,3.65,3.48,-7.9,-0.38799999999999996,18.71,19.82,01a57970o0544o
42,57970.528191,20.175,0.8220000000000001,31,25,o,0,0.93,20.70628,-13.17319,9644.54,2459.37,3.65,3.39,-9.6,-0.39399999999999996,18.72,19.86,01a57970o0559o
43,57970.535001,20.871,1.702,16,28,o,0,0.96,20.70628,-13.17319,9697.08,2516.79,4.98,3.4,-2.1,-0.36700000000000005,18.54,19.89,01a57970o0573o
44,57970.541824,19.469,0.374,59,22,o,0,1.16,20.70628,-13.17319,9712.86,2379.75,3.66,3.38,-10.1,-0.38299999999999995,18.85,19.96,01a57970o0587o
45,57971.574564999995,20.215999999999998,0.765,30,23,o,0,1.15,20.70628,-13.17319,9090.7,4910.22,3.65,2.69,-87.9,-0.452,18.77,19.68,01a57971o0680o
46,57971.583483,-20.813000000000002,1.5130000000000001,-17,26,o,0,1.1,20.70628,-13.17319,9068.19,4839.78,3.57,2.68,-86.7,-0.452,18.64,19.64,01a57971o0697o
47,57971.592414,19.21,0.266,75,20,o,0,1.38,20.70628,-13.17319,9122.56,4884.17,3.65,2.72,-87.5,-0.435,18.88,19.93,01a57971o0714o
48,57971.601839999996,19.588,0.363,53,19,o,0,1.21,20.70628,-13.17319,9137.87,4732.33,3.72,2.74,-88.4,-0.44299999999999995,18.94,20.02,01a57971o0731o
49,57972.503104999996,-19.324,0.8029999999999999,-68,54,o,0,0.82,20.70628,-13.17319,1810.44,4874.56,3.42,2.97,88.9,-0.428,17.93,18.42,01a57972o0375o
50,57972.51158099999,18.868,0.308,103,32,o,0,1.14,20.70628,-13.17319,1785.99,4813.87,3.36,2.91,82.3,-0.431,18.32,19.04,01a57972o0392o
51,57972.520187,20.898000000000003,2.984,16,47,o,0,1.03,20.70628,-13.17319,1836.73,4868.61,3.58,3.0,80.4,-0.384,17.96,18.58,01a57972o0409o
52,57972.528657,19.755,0.693,46,32,o,0,0.98,20.70628,-13.17319,1850.22,4728.53,3.34,2.71,87.5,-0.45299999999999996,18.37,19.1,01a57972o0426o
53,57973.517242999995,20.766,1.256,18,22,o,0,0.74,20.70628,-13.17319,1998.42,5195.83,1.99,1.9,-14.5,-0.456,18.67,18.97,02a57973o0560o
54,57973.525592,20.035,0.706,35,25,o,0,1.03,20.70628,-13.17319,2035.05,5236.22,1.96,1.9,-2.2,-0.478,18.62,18.86,02a57973o0577o
55,57973.534390999994,19.512999999999998,0.366,57,21,o,0,1.72,20.70628,-13.17319,1959.87,5162.17,1.94,1.85,-6.5,-0.48100000000000004,18.69,18.95,02a57973o0595o
56,57973.541235000004,17.647000000000002,0.667,317,212,o,0,0.24,20.70628,-13.17319,1937.11,5276.95,1.94,1.87,-14.2,-0.49200000000000005,18.28,18.6,02a57973o0609o
57,57974.545174,-21.061,1.943,-14,27,o,0,0.9,20.70628,-13.17319,9692.39,6000.87,2.07,1.93,49.5,-0.505,18.86,19.16,02a57974o0592o
58,57974.553846,20.063,0.6509999999999999,34,22,o,0,1.51,20.70628,-13.17319,9707.97,6042.88,2.09,1.94,53.9,-0.494,18.8,19.18,02a57974o0609o
59,57974.562556,18.904,0.149,100,15,o,0,4.24,20.70628,-13.17319,9649.86,5966.82,2.05,1.9,59.2,-0.486,18.87,19.2,02a57974o0626o
60,57974.572237,20.669,1.1440000000000001,20,22,o,0,1.62,20.70628,-13.17319,9629.69,6084.09,2.11,1.94,55.8,-0.522,18.91,19.22,02a57974o0643o
61,57976.55905900001,21.480999999999998,4.143,9,38,o,0,1.52,20.70628,-13.17319,997.28,5284.74,2.99,2.43,85.9,-0.484,18.48,19.25,01a57976o0606o
62,57976.569211,20.396,1.329,25,34,o,0,1.03,20.70628,-13.17319,974.81,5209.54,3.14,2.46,86.6,-0.48100000000000004,18.44,19.26,01a57976o0623o
63,57976.57922100001,21.897,5.216,6,33,o,0,1.21,20.70628,-13.17319,1029.77,5250.73,2.99,2.49,85.7,-0.491,18.45,19.27,01a57976o0640o
64,57976.588383,21.023000000000003,2.136,14,30,o,0,1.13,20.70628,-13.17319,1043.33,5101.99,3.03,2.51,87.8,-0.48200000000000004,18.48,19.27,01a57976o0657o
65,57978.601771,20.891,0.935,16,15,o,0,1.35,20.70628,-13.17319,9318.89,4000.92,2.18,2.1,-56.3,-0.455,19.18,19.86,02a57978o0684o
66,57978.610853,20.003,0.43,36,16,o,0,1.72,20.70628,-13.17319,1175.18,6474.12,2.03,1.89,16.9,-0.457,19.23,19.84,02a57978o0701o
67,57978.620554999994,22.029,2.906,6,16,o,0,1.38,20.70628,-13.17319,9356.18,4040.28,2.19,2.06,-39.9,-0.488,19.15,19.8,02a57978o0718o
68,57978.630191,19.768,0.527,45,24,o,0,0.68,20.70628,-13.17319,9376.23,3923.7,2.16,2.06,-28.1,-0.47700000000000004,18.86,19.3,02a57978o0735o
69,57980.583463,22.103,2.593,5,14,o,0,1.17,20.70628,-13.17319,9083.09,4461.11,3.32,2.66,-85.5,-0.452,19.33,20.8,01a57980o0657o
70,57980.5923,23.301,8.0,2,14,o,0,1.38,20.70628,-13.17319,9107.74,4534.51,3.3,2.66,-85.1,-0.452,19.33,20.77,01a57980o0674o
71,57980.60118,-20.343,0.47700000000000004,-26,13,o,0,1.42,20.70628,-13.17319,9055.43,4491.83,3.42,2.78,-85.0,-0.435,19.22,20.73,01a57980o0691o
72,57980.61034299999,20.713,0.763,19,14,o,0,1.39,20.70628,-13.17319,9049.63,4644.96,3.36,2.77,-83.1,-0.44,19.25,20.7,01a57980o0708o
73,57982.5958,20.146,0.306,32,10,c,0,1.1,20.70628,-13.17319,8827.77,3209.42,2.6,2.48,-89.2,-0.42700000000000005,19.75,21.43,02a57982o0693c
74,57982.605247,-23.118000000000002,4.625,-2,10,c,0,1.03,20.70628,-13.17319,8810.19,3170.79,2.59,2.44,86.6,-0.426,19.79,21.43,02a57982o0711c
75,57982.614062,21.506999999999998,0.93,9,8,c,0,1.33,20.70628,-13.17319,8866.27,3247.7,2.58,2.43,88.4,-0.433,19.73,21.42,02a57982o0728c
76,57982.623199,20.938000000000002,0.607,15,9,c,0,1.32,20.70628,-13.17319,8887.64,3133.79,2.61,2.46,-82.1,-0.426,19.68,21.25,02a57982o0746c
77,57988.565194,-21.506,2.088,-9,19,o,0,1.03,20.70628,-13.17319,9027.7,4490.36,3.49,3.37,-16.1,-0.424,19.06,20.69,01a57988o0668o
78,57988.57404299999,-20.442,0.6409999999999999,-24,16,o,0,1.44,20.70628,-13.17319,9051.89,4563.77,3.38,3.04,-80.0,-0.424,19.11,20.66,01a57988o0685o
79,57988.582998000005,-21.125999999999998,1.276,-13,16,o,0,1.04,20.70628,-13.17319,8999.12,4522.25,3.22,2.99,-85.8,-0.434,19.15,20.7,01a57988o0702o
