,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57930.557045,-22.435,5.0,-4,19,o,0,1.04,328.82706,-26.31302,4791.75,6708.91,5.79,4.5,-4.8,-0.38,18.79,20.91,01a57930o0613o
1,57930.575201,-20.174,0.75,-31,23,o,0,0.91,328.82706,-26.31302,4765.9,6601.74,6.31,4.77,-8.1,-0.37,18.67,20.88,01a57930o0649o
2,57930.584302999996,20.826999999999998,0.965,17,16,o,0,0.99,328.82706,-26.31302,5768.63,3651.65,4.24,3.82,-20.9,-0.392,19.03,20.9,01a57930o0667o
3,57930.589623,-24.49,31.0,-1,18,o,0,0.77,328.82706,-26.31302,5750.07,3789.5,4.09,3.85,-52.5,-0.39399999999999996,19.08,20.91,01a57930o0677o
4,57934.550135000005,21.538,1.5430000000000001,9,14,o,0,0.99,328.82706,-26.31302,6927.34,9340.16,3.15,3.01,53.4,-0.44299999999999995,19.38,20.94,01a57934o0635o
5,57934.554559000004,-24.243000000000002,17.5,-1,13,o,0,1.13,328.82706,-26.31302,6908.37,9285.96,3.12,2.94,57.1,-0.44799999999999995,19.44,20.98,01a57934o0644o
6,57934.564620000005,21.601999999999997,1.392,8,12,o,0,0.98,328.82706,-26.31302,3615.59,978.94,3.0,2.72,60.0,-0.45,19.49,21.07,01a57934o0664o
7,57938.533092,-21.811999999999998,2.0,-7,14,o,0,1.25,328.82706,-26.31302,6553.56,9464.97,3.88,3.15,-13.4,-0.46,19.22,20.96,01a57938o0488o
8,57938.540484000005,0.0,20.675,0,20,o,0,1.02,328.82706,-26.31302,6531.03,9399.17,6.59,3.23,-4.0,-0.42200000000000004,18.94,21.0,01a57938o0503o
9,57938.555821,-22.298000000000002,3.75,-4,16,o,0,1.2,328.82706,-26.31302,6595.08,9419.37,5.88,3.28,-4.0,-0.40299999999999997,19.05,21.07,01a57938o0534o
10,57938.565690999996,-22.002,2.296,-6,13,o,0,1.17,328.82706,-26.31302,6609.45,9264.56,3.46,3.14,-56.8,-0.441,19.42,21.19,01a57938o0554o
11,57940.5172,20.427,0.648,24,16,o,0,1.13,328.82706,-26.31302,5543.1,4328.07,2.2,2.15,-33.3,-0.45399999999999996,18.98,19.61,02a57940o0497o
12,57940.526604,20.78,0.7659999999999999,18,14,o,0,1.29,328.82706,-26.31302,5557.61,4367.98,2.03,1.96,-26.9,-0.485,19.09,19.67,02a57940o0516o
13,57940.535901999996,-21.82,1.9269999999999998,-7,13,o,0,1.39,328.82706,-26.31302,5501.4,4290.4,1.99,1.93,-22.5,-0.479,19.17,19.71,02a57940o0535o
14,57940.545222,19.663,0.327,50,16,o,0,0.98,328.82706,-26.31302,5479.61,4407.32,2.22,2.19,-85.8,-0.461,19.06,19.77,02a57940o0554o
15,57948.518281,-23.145,8.842,-2,18,o,0,0.9,328.82706,-26.31302,6424.63,4432.01,2.31,2.14,11.2,-0.46399999999999997,18.99,19.62,02a57948o0555o
16,57948.53557000001,-20.26,0.524,-29,15,o,0,1.15,328.82706,-26.31302,4029.6,5971.54,2.12,2.02,9.6,-0.496,19.04,19.54,02a57948o0590o
17,57948.545916999996,-20.18,0.624,-31,19,o,0,0.84,328.82706,-26.31302,4097.61,6047.73,2.18,2.09,3.8,-0.489,19.01,19.54,02a57948o0610o
18,57948.55029299999,22.02,3.6,6,20,o,0,0.88,328.82706,-26.31302,4116.73,5931.27,2.2,2.1,19.5,-0.488,19.01,19.55,02a57948o0619o
19,57950.514861,-19.713,0.669,-47,32,o,0,0.84,328.82706,-26.31302,6735.78,6531.06,3.42,2.7,-87.1,-0.442,18.53,19.85,01a57950o0562o
20,57950.53088099999,20.613000000000003,0.755,21,16,o,0,1.21,328.82706,-26.31302,6719.16,6434.36,3.33,2.65,-88.8,-0.444,19.13,20.42,01a57950o0594o
21,57950.540851,20.616,0.7240000000000001,21,15,o,0,0.86,328.82706,-26.31302,3797.22,3833.81,3.0,2.66,88.8,-0.45399999999999996,19.17,20.53,01a57950o0614o
22,57950.545701999996,21.756999999999998,2.049,7,15,o,0,0.89,328.82706,-26.31302,3786.56,3967.13,3.03,2.58,89.8,-0.455,19.17,20.49,01a57950o0624o
23,57954.510223000005,20.822,0.847,17,14,o,0,1.14,328.82706,-26.31302,5688.72,8144.68,3.79,2.85,-87.7,-0.419,19.13,20.73,01a57954o0615o
24,57954.521152999994,24.232,18.25,1,13,o,0,0.9,328.82706,-26.31302,4858.18,2153.59,3.16,2.57,89.3,-0.455,19.15,20.69,01a57954o0637o
25,57954.529102,20.906,0.833,16,13,o,0,1.33,328.82706,-26.31302,4936.42,2262.17,3.48,2.88,85.2,-0.42100000000000004,19.08,20.71,01a57954o0652o
26,57954.535401,21.586,1.7,8,14,o,0,1.04,328.82706,-26.31302,4851.46,2325.97,3.43,2.79,88.5,-0.425,19.11,20.77,01a57954o0664o
27,57958.504562,20.864,0.805,16,13,o,0,0.86,328.82706,-26.31302,4915.96,2671.9,3.52,2.75,89.8,-0.41700000000000004,19.15,20.91,01a57958o0273o
28,57958.514748,-22.186,2.88,-5,14,o,0,0.88,328.82706,-26.31302,4959.92,2752.39,3.34,2.61,-89.1,-0.433,19.26,20.98,01a57958o0293o
29,57958.517675,21.4,1.2919999999999998,10,13,o,0,1.22,328.82706,-26.31302,4891.36,2686.59,3.45,2.73,-89.0,-0.425,19.15,20.89,01a57958o0299o
