,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57943.560647000006,18.335,0.904,168,152,o,0,0.87,23.28749,-6.5625800000000005,6248.19,9199.32,3.19,3.05,-48.5,-0.485,17.76,18.36,01a57943o0629o
1,57943.56815499999,18.83,1.89,107,202,o,0,0.92,23.28749,-6.5625800000000005,6227.53,9146.55,3.33,3.28,81.1,-0.45899999999999996,17.56,17.88,01a57943o0644o
2,57943.575614999994,-20.748,11.425999999999998,-18,208,o,0,0.83,23.28749,-6.5625800000000005,6279.98,9206.37,3.43,3.42,85.4,-0.47200000000000003,17.34,17.79,01a57943o0659o
3,57943.58313300001,20.131,1.328,32,43,o,0,1.22,23.28749,-6.5625800000000005,6297.67,9074.49,3.05,2.95,-61.0,-0.469,18.52,19.21,01a57943o0674o
4,57944.587739999995,-21.518,2.154,-9,19,o,0,1.28,23.28749,-6.5625800000000005,4774.48,4046.73,1.99,1.99,58.6,-0.499,18.94,19.39,02a57944o0672o
5,57944.595962,-21.587,1.825,-8,15,o,0,1.73,23.28749,-6.5625800000000005,4794.01,4087.37,2.04,2.03,37.9,-0.467,18.93,19.43,02a57944o0688o
6,57944.604875,-21.36,1.78,-10,18,o,0,1.44,23.28749,-6.5625800000000005,4737.3,4012.41,2.01,1.95,-5.7,-0.506,18.97,19.45,02a57944o0705o
7,57944.613551999995,19.986,0.43200000000000005,37,16,o,0,1.77,23.28749,-6.5625800000000005,4717.47,4130.05,2.01,1.97,-16.0,-0.49,18.92,19.38,02a57944o0722o
8,57945.60189,21.994,3.1069999999999998,6,18,o,0,1.58,23.28749,-6.5625800000000005,5989.39,1975.06,2.38,2.07,44.6,-0.45399999999999996,18.88,19.48,02a57945o0694o
9,57945.610375,-22.045,2.9589999999999996,-6,16,o,0,2.03,23.28749,-6.5625800000000005,6007.67,2016.26,2.5,2.18,25.0,-0.43700000000000006,18.83,19.48,02a57945o0711o
10,57945.619096,-20.815,1.2670000000000001,-17,22,o,0,1.63,23.28749,-6.5625800000000005,5949.18,1940.18,2.3,2.02,45.5,-0.557,18.75,19.22,02a57945o0728o
11,57945.627914,-20.223,2.016,-30,60,o,0,0.62,23.28749,-6.5625800000000005,5928.68,2058.2,2.28,2.03,41.3,-0.491,17.71,17.81,02a57945o0745o
12,57947.608099000005,24.368000000000002,35.0,1,23,o,0,1.41,23.28749,-6.5625800000000005,5299.51,7522.41,3.52,3.28,-79.9,-0.429,18.76,19.81,01a57947o0494o
13,57947.616582,-19.559,0.42100000000000004,-54,23,o,0,1.38,23.28749,-6.5625800000000005,5278.69,7457.35,3.27,2.87,-83.7,-0.451,18.74,19.64,01a57947o0511o
14,57947.625061,-19.387,1.734,-64,111,o,0,0.94,23.28749,-6.5625800000000005,5335.48,7507.29,3.26,3.01,-86.8,-0.475,18.08,18.45,01a57947o0528o
15,57949.61356699999,-23.349,10.5,-2,17,o,0,1.45,23.28749,-6.5625800000000005,5167.25,3472.73,2.03,1.91,38.1,-0.49,18.96,19.47,02a57949o0737o
16,57949.623499,-21.7,3.273,-8,25,o,0,1.64,23.28749,-6.5625800000000005,5185.83,3513.87,1.89,1.82,32.7,-0.5489999999999999,18.5,18.76,02a57949o0754o
17,57955.632714,-19.505,10.615,-57,608,o,0,0.89,23.28749,-6.5625800000000005,3630.21,7355.12,7.51,5.37,-0.4,-0.42700000000000005,16.48,17.49,01a57955o0776o
18,57959.630046000006,-18.689,0.752,-121,91,o,0,1.14,23.28749,-6.5625800000000005,6479.84,5937.59,4.54,4.43,-80.2,-0.373,17.52,18.39,01a57959o0767o
19,57963.588304,-19.637999999999998,0.275,-51,14,o,0,1.39,23.28749,-6.5625800000000005,6668.21,5757.38,3.25,3.2,73.3,-0.423,19.25,20.98,01a57963o0476o
20,57963.596817,-20.912,0.708,-16,11,o,0,1.73,23.28749,-6.5625800000000005,6646.44,5689.43,3.2,3.14,88.6,-0.413,19.32,21.05,01a57963o0493o
21,57963.60524600001,-18.727,1.0490000000000002,-117,123,o,0,1.02,23.28749,-6.5625800000000005,6704.41,5737.88,3.28,2.81,-85.8,-0.43700000000000006,17.25,18.82,01a57963o0510o
22,57963.613832,21.703000000000003,4.062,8,31,o,0,1.08,23.28749,-6.5625800000000005,6722.27,5590.82,3.23,2.79,-87.8,-0.433,18.41,19.96,01a57963o0527o
23,57967.604773,-20.043,0.278,-35,10,o,0,1.85,23.28749,-6.5625800000000005,2943.75,5846.28,3.06,2.65,88.5,-0.45899999999999996,19.49,21.4,01a57967o0367o
24,57967.615059,-20.531,0.531,-22,12,o,0,1.41,23.28749,-6.5625800000000005,2921.29,5766.99,3.28,2.67,80.4,-0.46399999999999997,19.45,21.32,01a57967o0385o
25,57967.62390499999,-19.919,0.345,-39,14,o,0,1.19,23.28749,-6.5625800000000005,2976.6,5812.2,3.16,2.72,85.2,-0.445,19.22,20.59,01a57967o0402o
26,57967.633435,-18.262999999999998,0.39299999999999996,-180,71,o,0,1.43,23.28749,-6.5625800000000005,2993.34,5659.56,3.23,2.78,88.5,-0.46299999999999997,17.85,18.16,01a57967o0420o
27,57969.614717,-21.688000000000002,1.127,-8,9,o,0,4.09,23.28749,-6.5625800000000005,4960.19,2143.64,2.2,2.0,45.9,-0.43700000000000006,19.71,21.08,02a57969o0711o
28,57969.624436,-21.076999999999998,0.929,-14,12,o,0,2.48,23.28749,-6.5625800000000005,5493.13,8250.74,2.19,2.03,-9.1,-0.496,19.47,20.42,02a57969o0729o
29,57971.548321,19.227,6.7139999999999995,74,497,o,0,1.39,23.28749,-6.5625800000000005,3751.45,8169.04,3.28,3.1,-17.4,-0.41200000000000003,16.41,16.98,01a57971o0634o
30,57971.557525,-21.386999999999997,11.081,-10,112,o,0,1.02,23.28749,-6.5625800000000005,3731.36,8102.78,3.12,2.58,-83.2,-0.46399999999999997,17.75,18.23,01a57971o0650o
31,57971.56765,20.598000000000003,1.614,21,34,o,0,1.22,23.28749,-6.5625800000000005,3788.14,8147.05,3.08,2.63,-85.6,-0.473,18.45,19.18,01a57971o0667o
32,57971.576203,-20.739,1.107,-18,20,o,0,1.34,23.28749,-6.5625800000000005,3805.47,8000.31,3.05,2.6,-89.6,-0.467,18.88,19.85,01a57971o0683o
33,57972.515140999996,-20.576,2.424,-21,52,o,0,0.94,23.28749,-6.5625800000000005,6181.22,7976.48,3.34,2.85,-81.3,-0.44799999999999995,18.36,19.03,01a57972o0399o
34,57972.523715999996,18.98,0.736,93,68,o,0,1.49,23.28749,-6.5625800000000005,6140.76,7915.46,3.54,3.35,-20.0,-0.418,17.99,18.73,01a57972o0416o
35,57972.532138,-19.524,0.672,-56,38,o,0,1.58,23.28749,-6.5625800000000005,6215.0,7969.4,3.46,2.87,-83.6,-0.435,18.38,19.2,01a57972o0433o
36,57972.540482000004,-20.807,2.6710000000000003,-17,46,o,0,1.19,23.28749,-6.5625800000000005,6231.89,7828.52,3.29,2.73,-82.4,-0.449,18.43,19.14,01a57972o0450o
37,57973.51527999999,-19.95,0.66,-38,25,o,0,1.43,23.28749,-6.5625800000000005,7405.7,2074.92,2.08,2.04,-60.3,-0.45299999999999996,18.61,18.94,02a57973o0556o
38,57973.523638,-20.945999999999998,2.0069999999999997,-15,30,o,0,0.96,23.28749,-6.5625800000000005,7425.12,2116.84,2.12,1.98,-65.2,-0.526,18.58,18.89,02a57973o0573o
39,57973.532930999994,-20.048,0.775,-35,27,o,0,1.51,23.28749,-6.5625800000000005,7366.12,2041.13,2.09,1.96,-64.8,-0.475,18.55,18.78,02a57973o0592o
40,57973.54270599999,-22.141,5.577000000000001,-5,28,o,0,1.37,23.28749,-6.5625800000000005,7343.89,2157.64,2.07,1.96,-60.2,-0.466,18.54,18.89,02a57973o0612o
41,57974.551314,21.046999999999997,1.395,14,19,o,0,1.68,23.28749,-6.5625800000000005,5371.91,2853.48,1.95,1.89,-41.2,-0.466,18.9,19.29,02a57974o0604o
42,57974.56,20.645,0.915,20,18,o,0,1.52,23.28749,-6.5625800000000005,5389.07,2894.9,1.88,1.84,-36.0,-0.49700000000000005,18.99,19.33,02a57974o0621o
43,57974.56868,20.685,0.784,19,15,o,0,2.89,23.28749,-6.5625800000000005,5329.33,2818.3,1.87,1.83,-57.8,-0.504,19.0,19.34,02a57974o0638o
44,57974.578338,-22.444000000000003,4.348,-4,17,o,0,2.46,23.28749,-6.5625800000000005,5308.54,2936.51,1.9,1.84,-42.3,-0.493,18.99,19.38,02a57974o0655o
45,57976.56869400001,20.249000000000002,1.158,29,33,o,0,1.45,23.28749,-6.5625800000000005,5378.55,8396.01,2.76,2.47,-85.2,-0.507,18.58,19.35,01a57976o0622o
