,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57938.622459000006,18.937,0.665,97,64,o,0,0.84,11.684289999999999,-18.822779999999998,8653.79,4524.83,5.92,3.65,-5.6,-0.37200000000000005,17.64,18.59,01a57938o0669o
1,57940.618966999995,-20.958000000000002,1.51,-15,23,o,0,0.98,11.684289999999999,-18.822779999999998,3452.09,9349.77,2.3,2.07,31.0,-0.508,19.0,19.56,02a57940o0702o
2,57940.628254999996,-18.445,0.9890000000000001,-152,150,o,0,1.08,11.684289999999999,-18.822779999999998,3469.4,9389.33,2.48,2.3,32.8,-0.546,17.07,17.19,02a57940o0721o
3,57942.595902,-20.79,1.34,-18,24,o,0,1.14,11.684289999999999,-18.822779999999998,8703.75,1072.55,3.12,2.85,-68.7,-0.469,18.76,19.61,01a57942o0690o
4,57942.604297000005,-20.139,0.721,-32,23,o,0,0.98,11.684289999999999,-18.822779999999998,8678.98,1006.82,2.9,2.69,-74.5,-0.47,18.92,19.68,01a57942o0707o
5,57942.612735,-21.344,2.373,-10,25,o,0,1.13,11.684289999999999,-18.822779999999998,8728.13,1056.26,3.14,2.94,-78.6,-0.45299999999999996,18.73,19.61,01a57942o0724o
6,57942.620627,-20.584,1.3980000000000001,-21,30,o,0,1.34,11.684289999999999,-18.822779999999998,8741.09,911.73,3.17,2.91,-87.1,-0.462,18.37,18.95,01a57942o0740o
7,57943.528925,20.276,1.202,28,34,o,0,1.23,11.684289999999999,-18.822779999999998,9432.1,4764.54,3.52,3.22,-50.9,-0.44799999999999995,18.23,18.86,01a57943o0565o
8,57943.536387,-20.299,1.5819999999999999,-28,44,o,0,0.94,11.684289999999999,-18.822779999999998,9405.3,4711.87,3.4,3.19,-55.9,-0.44799999999999995,18.12,18.83,01a57943o0580o
9,57943.543775,21.529,5.97,9,53,o,0,0.92,11.684289999999999,-18.822779999999998,9452.27,4772.69,3.38,3.23,-61.9,-0.45799999999999996,17.74,18.3,01a57943o0595o
10,57943.551192,19.643,0.816,50,41,o,0,1.15,11.684289999999999,-18.822779999999998,9462.08,4639.66,3.71,3.45,-54.8,-0.42700000000000005,17.79,18.57,01a57943o0610o
11,57944.555874,19.953,1.172,38,44,o,0,1.42,11.684289999999999,-18.822779999999998,1536.96,8466.49,2.31,2.0,38.8,-0.56,18.74,19.12,02a57944o0607o
12,57944.563716,20.444000000000003,1.827,24,44,o,0,1.23,11.684289999999999,-18.822779999999998,1552.78,8505.48,2.26,2.02,42.1,-0.545,18.75,19.16,02a57944o0623o
13,57944.57204,22.035999999999998,6.745,6,38,o,0,1.43,11.684289999999999,-18.822779999999998,1496.2,8429.1,2.26,2.01,43.9,-0.511,18.76,19.21,02a57944o0640o
14,57944.57986699999,-19.868,0.997,-41,41,o,0,1.52,11.684289999999999,-18.822779999999998,1476.45,8546.97,2.35,2.04,42.6,-0.488,18.79,19.25,02a57944o0656o
15,57948.624694000006,-19.125,0.562,-81,46,o,0,1.36,11.684289999999999,-18.822779999999998,4313.19,9445.87,2.2,1.94,24.2,-0.523,18.33,18.5,02a57948o0769o
16,57948.62761799999,19.046,0.855,87,75,o,0,1.27,11.684289999999999,-18.822779999999998,4331.33,9485.0,2.13,1.93,22.2,-0.405,17.93,17.92,02a57948o0775o
17,57950.615852999996,19.269000000000002,1.4709999999999999,71,105,o,0,0.84,11.684289999999999,-18.822779999999998,8852.3,1554.85,4.76,3.71,-0.4,-0.349,16.72,17.65,01a57950o0767o
18,57950.62121799999,21.717,6.827999999999999,8,51,o,0,0.97,11.684289999999999,-18.822779999999998,8830.83,1496.13,3.51,2.78,88.0,-0.44,17.99,18.51,01a57950o0778o
19,57950.629500999996,-21.753,22.308000000000003,-7,161,o,0,0.93,11.684289999999999,-18.822779999999998,8882.1,1542.39,3.7,2.8,88.1,-0.47700000000000004,16.72,16.8,01a57950o0795o
20,57952.600832000004,24.136999999999997,20.75,1,17,o,0,1.01,11.684289999999999,-18.822779999999998,1069.43,9181.63,3.37,2.89,55.2,-0.45899999999999996,19.33,20.73,02a57952o0075o
21,57952.6111,-19.708,0.248,-48,12,o,0,1.84,11.684289999999999,-18.822779999999998,1031.61,9143.67,3.03,2.36,48.8,-0.47600000000000003,19.46,20.64,02a57952o0096o
22,57952.612071,21.151999999999997,1.594,13,20,o,0,1.12,11.684289999999999,-18.822779999999998,1086.28,9221.63,3.29,2.63,50.3,-0.456,19.26,20.56,02a57952o0098o
23,57952.629686,-21.201,4.164,-12,50,o,0,1.24,11.684289999999999,-18.822779999999998,1007.75,9264.97,3.16,2.55,46.7,-0.47600000000000003,18.19,18.6,02a57952o0134o
24,57954.609190999996,-23.891,13.5,-1,14,o,0,1.08,11.684289999999999,-18.822779999999998,7799.52,3190.79,3.82,3.07,-88.8,-0.41200000000000003,19.16,20.84,01a57954o0811o
