,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57939.433677,-19.198,0.363,-76,28,o,0,0.98,272.94304,0.8578899999999999,3485.52,9317.0,4.61,3.11,-2.2,-0.431,18.57,19.89,01a57939o0387o
1,57939.44285399999,-19.415,0.38,-62,24,o,0,1.39,272.94304,0.8578899999999999,3509.31,9393.19,3.73,3.02,-13.9,-0.433,18.69,19.88,01a57939o0405o
2,57939.451586,-19.374000000000002,0.38799999999999996,-65,25,o,0,0.91,272.94304,0.8578899999999999,3453.58,9352.45,3.98,2.97,-7.3,-0.45799999999999996,18.63,19.83,01a57939o0422o
3,57939.460802999994,-19.552,0.373,-55,20,o,0,1.49,272.94304,0.8578899999999999,3438.02,9507.3,3.06,2.74,-43.9,-0.483,18.79,19.83,01a57939o0440o
4,57945.432041,-19.315,0.249,-68,17,o,0,1.17,272.94304,0.8578899999999999,6521.65,3511.62,2.0,1.93,74.7,-0.486,19.0,19.52,02a57945o0378o
5,57945.441089,-19.458,0.254,-60,15,o,0,1.47,272.94304,0.8578899999999999,6503.94,3473.56,2.0,1.93,72.9,-0.48700000000000004,19.0,19.54,02a57945o0395o
6,57945.450183,-19.71,0.379,-47,18,o,0,1.18,272.94304,0.8578899999999999,6563.18,3548.81,2.0,1.92,86.4,-0.493,18.99,19.48,02a57945o0412o
7,57945.459062,-19.378,0.293,-64,19,o,0,0.86,272.94304,0.8578899999999999,6583.13,3431.97,2.1,2.04,83.9,-0.478,18.87,19.46,02a57945o0429o
8,57947.422888,-19.102,0.207,-83,17,o,0,1.06,272.94304,0.8578899999999999,3002.07,8184.35,3.06,2.82,-82.4,-0.46,19.04,20.31,01a57947o0130o
9,57947.431275,-19.207,0.251,-75,19,o,0,0.93,272.94304,0.8578899999999999,3024.94,8255.88,2.97,2.72,-77.2,-0.479,19.02,20.26,01a57947o0147o
10,57947.439688,-19.316,0.261,-68,18,o,0,0.68,272.94304,0.8578899999999999,2968.82,8210.59,2.88,2.56,-87.7,-0.49200000000000005,19.08,20.26,01a57947o0164o
11,57947.448083,-19.17,0.245,-78,19,o,0,0.9,272.94304,0.8578899999999999,2953.44,8360.73,2.99,2.6,89.9,-0.489,19.02,20.2,01a57947o0181o
12,57949.425306,-19.114,0.158,-82,13,o,0,0.82,272.94304,0.8578899999999999,7339.64,2015.66,2.15,2.07,61.0,-0.47200000000000003,19.4,20.37,02a57949o0381o
13,57949.43452,-19.22,0.16699999999999998,-74,12,o,0,0.89,272.94304,0.8578899999999999,7322.53,1975.74,2.16,2.06,58.2,-0.48100000000000004,19.38,20.34,02a57949o0398o
14,57949.443622000006,-19.079,0.14800000000000002,-85,13,o,0,0.83,272.94304,0.8578899999999999,7381.65,2053.21,2.2,2.1,47.4,-0.47,19.37,20.3,02a57949o0415o
15,57949.452644000005,-19.000999999999998,0.133,-91,12,o,0,1.21,272.94304,0.8578899999999999,7403.12,1935.14,2.17,2.07,50.3,-0.48200000000000004,19.32,20.26,02a57949o0432o
16,57951.423730999995,-19.365,0.193,-65,13,o,0,1.08,272.94304,0.8578899999999999,5206.86,9524.12,2.93,2.48,-81.5,-0.499,19.29,21.06,01a57951o0356o
17,57951.432651999996,-19.39,0.22899999999999998,-64,15,o,0,1.07,272.94304,0.8578899999999999,5230.96,9599.08,2.98,2.62,-83.9,-0.488,19.23,20.98,01a57951o0374o
18,57951.441104,-19.141,0.17600000000000002,-80,14,o,0,0.85,272.94304,0.8578899999999999,5176.27,9555.77,2.93,2.51,-83.3,-0.5,19.23,20.94,01a57951o0391o
19,57951.450038,-19.371,0.21600000000000003,-65,14,o,0,0.94,272.94304,0.8578899999999999,5161.28,9709.13,2.88,2.43,-82.7,-0.511,19.24,20.88,01a57951o0409o
20,57953.420987,-19.645,0.198,-50,10,o,0,1.5,272.94304,0.8578899999999999,4559.94,2033.57,2.42,2.16,47.3,-0.442,19.36,20.78,02a57953o0225o
21,57955.415757,-19.281,0.27699999999999997,-70,20,o,0,1.11,272.94304,0.8578899999999999,4679.94,8235.24,4.53,3.83,-0.7,-0.39299999999999996,18.86,20.85,01a57955o0356o
22,57955.424637000004,-19.524,0.359,-56,20,o,0,0.93,272.94304,0.8578899999999999,4703.91,8310.01,4.85,4.04,-2.0,-0.375,18.79,20.88,01a57955o0374o
23,57955.43404400001,-19.031,0.153,-89,14,o,0,1.26,272.94304,0.8578899999999999,4648.58,8269.79,3.65,3.06,-85.9,-0.428,19.1,20.94,01a57955o0393o
24,57955.442932000005,-19.139,0.198,-80,16,o,0,0.87,272.94304,0.8578899999999999,4634.01,8421.24,3.75,3.06,-86.2,-0.429,19.06,20.94,01a57955o0411o
25,57959.407574000004,-19.967,0.619,-37,23,o,0,0.87,272.94304,0.8578899999999999,1803.91,9669.71,4.97,4.61,-18.3,-0.35200000000000004,18.75,20.87,01a57959o0339o
26,57959.41645700001,-19.721,0.521,-47,24,o,0,0.93,272.94304,0.8578899999999999,1828.55,9745.24,5.55,4.54,-87.4,-0.364,18.74,20.86,01a57959o0357o
27,57959.425913,-18.706,0.161,-120,19,o,0,0.91,272.94304,0.8578899999999999,1773.16,9705.09,4.32,3.55,-88.0,-0.374,18.97,20.82,01a57959o0376o
28,57959.432862,-19.09,0.255,-84,21,o,0,1.05,272.94304,0.8578899999999999,5826.62,123.39,4.53,3.93,88.5,-0.38,18.75,20.54,01a57959o0390o
29,57959.434839,-19.305,0.308,-69,21,o,0,0.99,272.94304,0.8578899999999999,1757.72,9857.97,4.55,3.91,-86.7,-0.36700000000000005,18.85,20.66,01a57959o0394o
30,57961.419696000004,-19.227999999999998,0.14400000000000002,-74,11,o,0,0.75,272.94304,0.8578899999999999,8283.13,3568.5,2.32,2.25,-53.3,-0.44,19.51,21.06,02a57961o0316o
31,57961.429036,-19.064,0.10300000000000001,-86,9,o,0,1.56,272.94304,0.8578899999999999,8265.67,3529.32,2.25,2.13,-63.7,-0.43799999999999994,19.53,21.04,02a57961o0334o
32,57961.4389,-19.316,0.128,-68,9,o,0,1.21,272.94304,0.8578899999999999,8325.65,3606.77,2.36,2.29,-60.6,-0.436,19.5,21.04,02a57961o0353o
33,57961.448261000005,-19.225,0.138,-74,10,o,0,1.11,272.94304,0.8578899999999999,8346.64,3489.26,2.45,2.38,-73.7,-0.419,19.49,21.0,02a57961o0371o
34,57963.362525,-18.983,0.155,-93,14,o,0,1.32,272.94304,0.8578899999999999,5683.34,100.37,3.55,3.3,6.2,-0.40700000000000003,19.22,20.99,01a57963o0040o
35,57963.364538,-18.855,0.139,-104,14,o,0,1.06,272.94304,0.8578899999999999,1614.03,9837.81,2.93,2.75,-82.4,-0.509,19.23,21.14,01a57963o0044o
36,57963.371008,-18.957,0.16,-95,15,o,0,1.08,272.94304,0.8578899999999999,5706.18,173.78,3.09,2.97,5.8,-0.436,19.06,20.7,01a57963o0057o
37,57963.37295700001,-19.146,0.19699999999999998,-80,16,o,0,1.05,272.94304,0.8578899999999999,1636.97,9908.98,2.98,2.59,-77.0,-0.518,19.1,20.94,01a57963o0061o
38,57963.379412,-19.247,0.187,-73,14,o,0,1.31,272.94304,0.8578899999999999,5649.47,129.09,3.0,2.91,38.0,-0.442,19.25,20.84,01a57963o0074o
39,57963.381434,-19.026,0.177,-89,16,o,0,0.68,272.94304,0.8578899999999999,1580.44,9866.03,3.22,2.8,-87.3,-0.479,19.24,21.21,01a57963o0078o
40,57963.387858,-19.383,0.22399999999999998,-64,14,o,0,1.07,272.94304,0.8578899999999999,5637.61,283.71,3.23,3.03,56.0,-0.43,19.33,21.15,01a57963o0091o
41,57963.3899,-19.347,0.209,-66,14,o,0,1.07,272.94304,0.8578899999999999,1567.69,10021.08,3.13,2.71,85.3,-0.498,19.25,21.31,01a57963o0095o
42,57969.387333000006,-18.892,0.177,-101,18,o,0,1.21,272.94304,0.8578899999999999,7542.44,3354.49,2.2,2.11,81.1,-0.446,18.74,19.3,02a57969o0295o
43,57969.396864,-19.889,0.539,-40,22,o,0,0.88,272.94304,0.8578899999999999,7524.93,3315.2,2.13,2.03,-86.8,-0.442,18.79,19.29,02a57969o0313o
44,57969.406464,-19.085,0.243,-84,20,o,0,1.03,272.94304,0.8578899999999999,7584.63,3392.99,2.06,1.97,-81.9,-0.45399999999999996,18.77,19.27,02a57969o0330o
45,57969.416820000006,-18.742,0.171,-116,20,o,0,0.99,272.94304,0.8578899999999999,7608.64,3278.13,2.06,1.98,-75.9,-0.446,18.73,19.24,02a57969o0348o
46,57972.430870000004,-18.977,1.0090000000000001,-93,94,o,0,0.76,272.94304,0.8578899999999999,2193.39,8091.13,3.86,3.6,-0.1,-0.41100000000000003,17.98,18.86,01a57972o0231o
47,57972.43912,-18.94,1.2109999999999999,-96,117,o,0,1.12,272.94304,0.8578899999999999,2216.22,8159.38,3.95,3.37,-83.7,-0.41700000000000004,17.94,18.74,01a57972o0248o
48,57972.446467999995,-19.455,1.308,-60,78,o,0,1.18,272.94304,0.8578899999999999,2162.07,8106.69,3.83,3.28,-84.8,-0.42200000000000004,18.08,18.88,01a57972o0262o
49,57972.455205,21.656,14.657,8,116,o,0,0.92,272.94304,0.8578899999999999,2145.91,8252.0,3.41,2.93,-85.5,-0.466,17.93,18.53,01a57972o0280o
50,57973.42273300001,-19.02,0.301,-90,27,o,0,0.89,272.94304,0.8578899999999999,5102.52,3412.54,2.13,1.97,-55.7,-0.457,18.62,19.01,02a57973o0378o
51,57973.430597000006,-19.087,0.319,-84,27,o,0,0.62,272.94304,0.8578899999999999,5084.76,3373.24,2.12,2.0,-55.6,-0.452,18.61,19.03,02a57973o0394o
52,57973.438505,-19.459,0.39799999999999996,-60,24,o,0,1.28,272.94304,0.8578899999999999,5143.65,3450.71,2.17,2.01,-56.8,-0.45299999999999996,18.58,18.99,02a57973o0410o
53,57973.446875,-19.272000000000002,0.344,-71,24,o,0,0.95,272.94304,0.8578899999999999,5163.07,3334.5,2.21,2.05,-56.5,-0.45299999999999996,18.57,18.94,02a57973o0427o
54,57974.388014,-19.849,0.455,-42,19,o,0,0.79,272.94304,0.8578899999999999,7140.96,2636.91,2.07,1.96,-78.4,-0.449,19.07,19.63,02a57974o0296o
55,57974.396784000004,-19.213,0.16399999999999998,-75,12,o,0,2.0,272.94304,0.8578899999999999,7123.75,2596.57,2.04,1.93,-69.6,-0.461,19.04,19.61,02a57974o0313o
56,57974.405707000005,-19.779,0.37,-44,16,o,0,1.0,272.94304,0.8578899999999999,7182.1,2674.02,2.04,1.93,-68.6,-0.45399999999999996,18.99,19.58,02a57974o0330o
57,57974.414512,-19.250999999999998,0.24600000000000002,-72,18,o,0,0.9,272.94304,0.8578899999999999,7202.33,2557.02,2.08,1.95,-69.1,-0.46,18.97,19.55,02a57974o0347o
58,57976.372236,-19.713,0.35700000000000004,-47,17,o,0,1.57,272.94304,0.8578899999999999,2934.2,7279.91,2.76,2.43,88.0,-0.501,19.04,20.31,01a57976o0250o
59,57976.381162,-19.682000000000002,0.35600000000000004,-49,17,o,0,1.05,272.94304,0.8578899999999999,2957.21,7354.33,2.78,2.41,89.5,-0.504,19.01,20.26,01a57976o0267o
60,57976.390051,-19.541,0.306,-55,17,o,0,1.53,272.94304,0.8578899999999999,2903.54,7311.68,2.75,2.4,89.2,-0.509,19.04,20.23,01a57976o0284o
61,57976.398845,-20.523000000000003,0.986,-22,22,o,0,0.79,272.94304,0.8578899999999999,2889.89,7461.21,2.79,2.39,-88.5,-0.512,18.96,20.17,01a57976o0301o
62,57978.373579,22.910999999999998,4.269,2,11,o,0,1.37,272.94304,0.8578899999999999,5940.22,2187.09,2.12,2.03,-76.7,-0.445,19.47,20.62,02a57978o0252o
63,57978.382379999995,-19.743,0.22899999999999998,-46,10,o,0,1.19,272.94304,0.8578899999999999,5922.71,2150.3,2.14,2.04,-79.2,-0.436,19.39,20.5,02a57978o0269o
64,57978.39122899999,-22.4,2.8569999999999998,-4,11,o,0,1.06,272.94304,0.8578899999999999,5982.57,2226.45,2.12,2.02,-67.2,-0.44299999999999995,19.38,20.43,02a57978o0286o
65,57978.400054,-20.825,0.6579999999999999,-17,11,o,0,1.19,272.94304,0.8578899999999999,6002.54,2109.47,2.23,2.15,-78.0,-0.425,19.25,20.37,02a57978o0303o
66,57980.366805,19.602,0.243,52,13,o,0,1.6,272.94304,0.8578899999999999,2564.25,6643.66,2.83,2.4,86.5,-0.505,19.28,20.84,01a57980o0241o
67,57980.37562100001,19.982,0.39,37,14,o,0,0.97,272.94304,0.8578899999999999,2588.89,6716.18,2.96,2.45,89.8,-0.5,19.25,20.82,01a57980o0258o
68,57980.38447899999,19.972,0.37200000000000005,37,14,o,0,1.29,272.94304,0.8578899999999999,2534.8,6673.95,2.94,2.39,-89.2,-0.498,19.24,20.78,01a57980o0275o
69,57980.393301,20.051,0.48,35,17,o,0,0.89,272.94304,0.8578899999999999,2520.58,6823.81,3.01,2.47,89.2,-0.49700000000000005,19.21,20.74,01a57980o0292o
70,57982.35933300001,19.101,0.109,83,9,c,0,1.11,272.94304,0.8578899999999999,5454.38,1392.68,2.47,2.33,84.0,-0.41100000000000003,19.77,21.52,02a57982o0257c
71,57982.368715,19.101,0.10300000000000001,83,9,c,0,1.7,272.94304,0.8578899999999999,5437.17,1353.58,2.49,2.37,79.8,-0.414,19.72,21.52,02a57982o0275c
72,57982.37759,19.22,0.131,74,10,c,0,1.06,272.94304,0.8578899999999999,5498.24,1429.42,2.47,2.35,85.5,-0.40700000000000003,19.73,21.5,02a57982o0292c
73,57982.386982,19.238,0.125,73,9,c,0,1.08,272.94304,0.8578899999999999,5520.28,1311.27,2.47,2.33,81.4,-0.41600000000000004,19.72,21.48,02a57982o0310c
74,57986.352787,18.601,0.109,132,14,c,0,1.23,272.94304,0.8578899999999999,8399.41,3606.98,2.68,2.55,-64.4,-0.402,19.09,20.72,02a57986o0221c
