,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58019.617983000004,19.214000000000002,0.183,75,14,c,0,0.91,84.132,16.64239,8919.92,10240.09,2.69,2.45,41.1,-0.424,19.7,21.36,02a58019o0792c
1,58019.62482999999,19.313,0.18,68,12,c,0,0.71,84.132,16.64239,3599.63,561.99,2.43,2.29,65.5,-0.414,19.72,21.36,02a58019o0804c
2,58019.627878,19.153,0.175,79,14,c,0,1.0,84.132,16.64239,8935.47,10282.94,2.6,2.41,40.8,-0.426,19.71,21.34,02a58019o0809c
3,58019.634551999996,19.44,0.212,61,13,c,0,0.86,84.132,16.64239,3616.17,606.38,2.44,2.24,70.1,-0.42100000000000004,19.65,21.1,02a58019o0821c
4,58019.637428999995,19.272000000000002,0.233,71,16,c,0,0.78,84.132,16.64239,8877.22,10206.48,2.57,2.38,39.0,-0.431,19.51,20.81,02a58019o0826c
5,58019.644870000004,19.52,0.5379999999999999,56,30,c,0,0.84,84.132,16.64239,3559.33,529.65,2.42,2.25,67.8,-0.433,18.41,19.24,02a58019o0838c
6,58019.647822000006,20.297,3.077,28,85,c,0,2.35,84.132,16.64239,8858.99,10326.71,2.59,2.37,30.1,-0.474,17.74,18.47,02a58019o0843c
7,58021.61672799999,18.391,0.11599999999999999,160,18,o,0,1.08,84.132,16.64239,6526.93,9028.13,3.51,3.03,-71.1,-0.429,19.24,21.03,01a58021o0784o
8,58021.625727,18.699,0.149,120,18,o,0,0.89,84.132,16.64239,6513.86,8956.51,3.41,2.79,-78.9,-0.441,19.34,21.04,01a58021o0799o
9,58021.635607000004,18.526,0.11900000000000001,141,17,o,0,1.61,84.132,16.64239,6574.86,8998.07,3.46,2.83,-77.4,-0.446,19.14,20.51,01a58021o0814o
10,58021.64494,18.519000000000002,1.1320000000000001,142,161,o,0,0.84,84.132,16.64239,6597.71,8845.74,3.43,2.85,-80.9,-0.486,17.83,18.1,01a58021o0829o
11,58023.62981699999,18.777,0.175,112,20,o,0,0.74,84.132,16.64239,9327.05,10428.18,2.17,1.77,34.7,-0.5,19.65,20.69,02a58023o0668o
12,58023.638468,18.566,0.141,136,19,o,0,0.71,84.132,16.64239,4003.03,754.7,1.97,1.84,56.4,-0.473,19.39,20.13,02a58023o0680o
13,58023.649797000005,18.828,1.1340000000000001,107,121,o,0,0.81,84.132,16.64239,6456.4,9644.49,2.09,2.03,9.0,-0.43,17.35,17.2,02a58023o0699o
14,58025.606625,18.764,0.146,113,16,o,0,1.47,84.132,16.64239,6920.8,9515.67,3.58,3.45,-13.1,-0.408,19.11,20.86,01a58025o0803o
15,58025.61831900001,19.058,0.213,86,18,o,0,1.33,84.132,16.64239,6909.87,9433.31,3.67,3.54,3.0,-0.397,19.08,20.88,01a58025o0822o
16,58025.631078,19.317999999999998,0.298,68,20,o,0,1.3,84.132,16.64239,6975.38,9466.17,4.43,3.57,-1.4,-0.369,18.93,20.81,01a58025o0841o
17,58025.643662,18.485,0.28,146,41,o,0,0.93,84.132,16.64239,6998.63,9299.3,3.35,3.04,-85.7,-0.445,18.3,18.91,01a58025o0860o
18,58027.61204099999,18.840999999999998,0.156,106,16,o,0,0.6,84.132,16.64239,1886.71,1833.23,1.92,1.85,57.4,-0.488,19.59,20.63,02a58027o0607o
19,58027.621479999994,18.544,0.10300000000000001,139,14,o,0,0.62,84.132,16.64239,1904.58,1874.11,1.87,1.79,77.1,-0.49,19.61,20.63,02a58027o0625o
20,58027.634044000006,18.554000000000002,0.125,138,17,o,0,0.72,84.132,16.64239,1841.17,1798.51,1.92,1.8,58.0,-0.485,19.51,20.48,02a58027o0644o
21,58027.649082,-21.348000000000003,5.523,-10,58,o,0,0.75,84.132,16.64239,1822.62,1920.94,1.99,1.89,48.3,-0.461,17.82,17.69,02a58027o0662o
22,58029.622852,18.622,0.14300000000000002,129,18,o,0,1.21,84.132,16.64239,3602.88,3251.45,3.21,3.12,-77.5,-0.43,19.11,20.74,01a58029o0563o
23,58029.634556,18.939,0.19899999999999998,96,19,o,0,0.85,84.132,16.64239,3623.14,3335.83,2.83,2.74,80.7,-0.46799999999999997,19.19,20.54,01a58029o0582o
24,58029.646049,-20.055999999999997,3.5639999999999996,-34,123,o,0,0.99,84.132,16.64239,3570.12,3301.8,2.92,2.9,-32.4,-0.45799999999999996,16.99,17.24,01a58029o0601o
