,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57938.61257899999,20.32,0.732,27,20,o,0,0.94,9.13725,-30.58206,4894.74,1214.12,4.44,3.34,-5.5,-0.39899999999999997,19.01,20.59,01a57938o0649o
1,57938.620977,-20.172,2.0180000000000002,-31,62,o,0,1.17,9.13725,-30.58206,4868.63,1146.58,7.88,3.41,-1.5,-0.369,17.66,18.77,01a57938o0666o
2,57940.59938200001,-21.823,1.575,-7,11,o,0,0.95,9.13725,-30.58206,6476.19,2991.72,2.09,1.99,48.2,-0.475,19.68,20.88,02a57940o0662o
3,57940.608702,-21.031999999999996,0.69,-14,10,o,0,0.82,9.13725,-30.58206,6492.56,3031.65,2.05,1.94,51.3,-0.494,19.63,20.73,02a57940o0681o
4,57940.617999,-20.910999999999998,1.297,-16,20,o,0,0.88,9.13725,-30.58206,6441.57,2954.14,2.01,1.9,55.0,-0.522,19.03,19.52,02a57940o0700o
5,57940.627280999994,18.26,2.926,180,528,o,0,1.02,9.13725,-30.58206,6405.98,3070.99,19.56,10.61,0.0,-0.136,17.04,17.1,02a57940o0719o
6,57942.576178999996,-22.74,12.933,-3,38,o,0,1.15,9.13725,-30.58206,5687.84,7512.14,3.22,2.93,-32.3,-0.44799999999999995,18.49,19.25,01a57942o0650o
7,57942.58457100001,-20.249000000000002,1.35,-29,39,o,0,1.21,9.13725,-30.58206,5660.91,7448.35,3.04,2.84,-42.9,-0.47600000000000003,18.58,19.23,01a57942o0667o
8,57942.592946000004,20.668000000000003,1.8980000000000001,20,37,o,0,1.24,9.13725,-30.58206,5716.48,7500.33,3.61,3.08,-8.0,-0.424,18.45,19.3,01a57942o0684o
9,57942.601323,20.250999999999998,1.197,29,34,o,0,1.19,9.13725,-30.58206,5721.72,7357.17,3.52,3.09,-14.4,-0.43200000000000005,18.49,19.38,01a57942o0701o
10,57944.560769,21.531999999999996,2.887,9,26,o,0,1.36,9.13725,-30.58206,4439.83,2169.01,2.31,2.1,39.4,-0.469,18.35,18.82,02a57944o0617o
11,57948.59979400001,21.088,1.662,13,22,o,0,0.89,9.13725,-30.58206,7357.98,3099.7,2.17,2.05,64.9,-0.48100000000000004,18.89,19.34,02a57948o0718o
12,57948.614430999995,-22.537,5.206,-4,18,o,0,1.68,9.13725,-30.58206,7372.85,3139.98,2.16,2.08,44.6,-0.48100000000000004,18.88,19.32,02a57948o0748o
13,57948.619822,20.983,1.629,15,24,o,0,0.83,9.13725,-30.58206,7305.43,3062.84,2.18,2.05,59.5,-0.495,18.67,19.01,02a57948o0759o
14,57948.630549,18.565,1.153,136,157,o,0,1.16,9.13725,-30.58206,7285.12,3179.94,2.41,2.28,31.8,-0.136,16.47,16.36,02a57948o0781o
15,57950.598352999994,21.024,3.4739999999999998,14,49,o,0,1.04,9.13725,-30.58206,5832.28,7992.3,3.87,3.53,-1.3,-0.387,18.35,19.77,01a57950o0731o
16,57950.605641999995,-23.158,10.0,-2,20,o,0,0.9,9.13725,-30.58206,5809.14,7927.74,3.38,2.85,-85.7,-0.435,18.95,20.14,01a57950o0746o
17,57950.614398000005,18.986,1.175,92,108,o,0,1.25,9.13725,-30.58206,5868.71,7972.72,3.45,2.92,-87.0,-0.452,17.83,18.86,01a57950o0764o
18,57950.622195,-21.986,22.0,-6,128,o,0,0.82,9.13725,-30.58206,5880.14,7827.72,3.38,2.78,-89.5,-0.47200000000000003,17.78,18.43,01a57950o0780o
19,57952.5842,20.508000000000003,0.813,23,18,o,0,0.83,9.13725,-30.58206,4042.66,2793.03,2.72,2.49,43.4,-0.434,18.91,20.19,02a57952o0043o
20,57952.598380999996,21.845,1.7409999999999999,7,12,o,0,0.81,9.13725,-30.58206,4057.58,2834.68,2.56,2.23,49.8,-0.445,19.34,20.6,02a57952o0070o
21,57952.605722,21.653000000000002,1.44,8,11,o,0,1.22,9.13725,-30.58206,4006.47,2757.38,2.87,2.56,48.3,-0.428,19.16,20.58,02a57952o0085o
22,57952.615001,-18.051,0.716,-219,157,o,0,1.18,9.13725,-30.58206,3988.59,2874.71,3.19,2.94,45.3,-0.42700000000000005,16.16,17.3,02a57952o0104o
23,57954.593147,20.871,1.0490000000000002,16,17,o,0,1.15,9.13725,-30.58206,4750.22,9610.51,3.94,3.11,-89.9,-0.41700000000000004,19.06,20.68,01a57954o0779o
24,57954.601901999995,21.04,1.236,14,17,o,0,1.36,9.13725,-30.58206,4790.91,9617.81,3.8,3.04,-87.0,-0.426,19.05,20.66,01a57954o0796o
25,57954.607725,-22.083000000000002,3.1430000000000002,-5,17,o,0,1.44,9.13725,-30.58206,4719.96,9518.62,3.87,2.99,-86.3,-0.425,19.06,20.68,01a57954o0808o
26,57954.61892000001,21.401,2.026,10,20,o,0,1.15,9.13725,-30.58206,4799.32,9437.29,3.88,3.03,-86.1,-0.425,18.84,20.13,01a57954o0831o
27,57958.583247,21.595,1.679,8,14,o,0,1.51,9.13725,-30.58206,4730.9,9099.01,4.02,3.3,-86.3,-0.401,19.13,21.08,01a57958o0429o
28,57958.588587,22.441999999999997,4.0,4,15,o,0,1.22,9.13725,-30.58206,4708.05,9040.66,4.22,3.79,-85.2,-0.37,19.04,21.13,01a57958o0440o
29,57958.598775,-21.017,1.2109999999999999,-14,17,o,0,1.13,9.13725,-30.58206,4770.26,9081.28,4.17,4.08,-67.6,-0.382,19.0,21.09,01a57958o0461o
30,57958.610427,-21.71,2.0,-8,15,o,0,0.99,9.13725,-30.58206,4779.7,8919.73,4.15,3.23,-86.3,-0.40399999999999997,19.08,21.01,01a57958o0485o
31,57960.59021,-21.011999999999997,0.736,-14,10,o,0,0.82,9.13725,-30.58206,5415.85,2041.68,2.09,1.93,49.4,-0.455,19.63,20.88,02a57960o0694o
32,57960.594103999996,-22.186,1.7919999999999998,-5,9,o,0,1.51,9.13725,-30.58206,5453.7,2079.68,2.13,1.97,53.4,-0.461,19.63,20.9,02a57960o0702o
33,57960.604714,21.531,1.228,9,11,o,0,0.68,9.13725,-30.58206,5388.54,2001.07,2.1,1.93,54.9,-0.447,19.6,20.84,02a57960o0723o
