,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57947.588132000004,-19.483,0.396,-58,23,o,0,1.02,13.994060000000001,-9.62645,3668.12,1572.47,3.31,3.25,50.5,-0.42700000000000005,18.65,19.64,01a57947o0454o
1,57947.596604,-19.345,0.353,-66,23,o,0,1.01,13.994060000000001,-9.62645,3645.46,1506.34,3.32,3.06,79.6,-0.44299999999999995,18.73,19.67,01a57947o0471o
2,57947.605128999996,-18.648,0.185,-126,23,o,0,1.05,13.994060000000001,-9.62645,3700.56,1556.76,3.29,3.08,86.0,-0.439,18.73,19.7,01a57947o0488o
3,57947.613566,-19.089000000000002,0.302,-84,25,o,0,0.98,13.994060000000001,-9.62645,3715.36,1410.92,3.45,3.1,76.8,-0.435,18.68,19.65,01a57947o0505o
4,57951.615651,-19.368,0.245,-65,16,o,0,1.59,13.994060000000001,-9.62645,1676.29,9819.89,3.0,2.59,-90.0,-0.47700000000000004,18.99,20.23,01a57951o0732o
5,57951.622842,-19.891,0.66,-40,26,o,0,1.2,13.994060000000001,-9.62645,1445.88,66.91,3.3,2.86,71.7,-0.446,18.96,20.07,01a57951o0744o
6,57951.626587,-18.475,0.161,-148,24,o,0,1.16,13.994060000000001,-9.62645,1656.69,9742.78,3.1,2.84,83.8,-0.451,18.6,19.42,01a57951o0750o
7,57951.63352,-18.401,0.504,-158,80,o,0,0.81,13.994060000000001,-9.62645,8970.61,10287.8,3.62,2.83,-85.2,-0.447,17.63,17.81,01a57951o0762o
8,57955.616552,-19.055,0.311,-87,27,o,0,1.28,13.994060000000001,-9.62645,1989.18,1372.17,6.96,5.58,4.4,-0.348,18.49,20.91,01a57955o0748o
9,57955.626486,-18.24,0.264,-184,49,o,0,1.01,13.994060000000001,-9.62645,1964.87,1293.18,6.12,5.3,11.0,-0.36,17.89,19.35,01a57955o0766o
10,57959.60639,-18.735,0.161,-116,19,o,0,0.99,13.994060000000001,-9.62645,5105.18,9679.6,5.14,4.49,-85.9,-0.364,18.93,21.29,01a57959o0727o
11,57959.616669,-18.315,0.09300000000000001,-171,16,o,0,1.11,13.994060000000001,-9.62645,5084.54,9600.14,4.48,4.04,-84.1,-0.375,19.03,21.18,01a57959o0745o
12,57959.628198,-18.593,0.39,-133,52,o,0,1.2,13.994060000000001,-9.62645,5139.56,9634.22,5.07,4.37,-83.7,-0.382,17.84,18.89,01a57959o0764o
13,57961.631595000006,18.817,5.75,108,620,o,0,1.07,13.994060000000001,-9.62645,4693.97,2570.85,14.91,4.04,0.4,-0.376,16.32,16.34,02a57961o0708o
14,57963.566402,-18.752,0.125,-115,14,o,0,1.09,13.994060000000001,-9.62645,5275.37,9490.74,3.67,3.25,-6.7,-0.42100000000000004,19.21,21.06,01a57963o0432o
15,57963.574828,-18.717,0.111,-118,13,o,0,1.26,13.994060000000001,-9.62645,5253.66,9421.37,3.35,3.28,-62.1,-0.419,19.23,21.06,01a57963o0449o
16,57963.583297000005,-19.035999999999998,0.135,-88,12,o,0,1.57,13.994060000000001,-9.62645,5309.91,9468.92,3.23,2.74,-84.8,-0.44799999999999995,19.37,21.03,01a57963o0466o
17,57963.591769000006,-19.089000000000002,0.152,-84,13,o,0,1.13,13.994060000000001,-9.62645,5327.11,9321.07,3.16,2.68,-85.1,-0.451,19.37,21.04,01a57963o0483o
18,57967.58334600001,-19.305999999999997,0.151,-69,10,o,0,1.22,13.994060000000001,-9.62645,1514.05,9577.97,3.43,2.7,-86.2,-0.441,19.47,21.42,01a57967o0331o
19,57967.591547,-19.523,0.265,-56,15,o,0,1.83,13.994060000000001,-9.62645,9135.32,10488.77,3.81,2.88,-83.0,-0.434,19.48,21.42,01a57967o0345o
20,57967.593976,-18.835,0.102,-106,11,o,0,1.44,13.994060000000001,-9.62645,8911.93,778.24,3.47,2.92,-85.2,-0.44,19.49,21.4,01a57967o0349o
21,57967.604287,-18.712,0.096,-119,11,o,0,1.07,13.994060000000001,-9.62645,1552.5,9538.94,3.18,2.59,-86.4,-0.461,19.51,21.4,01a57967o0366o
22,57967.614392999996,-18.92,0.114,-98,11,o,0,1.1,13.994060000000001,-9.62645,8844.56,898.83,3.38,2.9,-88.3,-0.44299999999999995,19.45,21.34,01a57967o0384o
23,57969.593623,-18.724,0.068,-118,8,o,0,1.72,13.994060000000001,-9.62645,3946.11,2352.15,2.25,2.06,12.4,-0.42100000000000004,19.68,21.03,02a57969o0671o
24,57969.602976,-19.052,0.086,-87,8,o,0,1.53,13.994060000000001,-9.62645,3926.88,2315.72,2.16,1.99,69.4,-0.429,19.69,21.04,02a57969o0689o
25,57969.611826,-18.772000000000002,0.071,-112,8,o,0,2.08,13.994060000000001,-9.62645,3980.72,2390.99,2.02,1.94,43.2,-0.43700000000000006,19.76,21.08,02a57969o0706o
26,57969.621671,-19.268,0.145,-71,10,o,0,1.07,13.994060000000001,-9.62645,3999.95,2276.01,2.09,2.02,28.0,-0.42700000000000005,19.59,20.74,02a57969o0724o
27,57970.456725,-18.702,0.175,-120,21,o,0,1.93,13.994060000000001,-9.62645,2933.09,9526.69,2.86,2.61,-11.4,-0.46299999999999997,18.61,19.39,01a57970o0413o
28,57970.46413200001,-18.694000000000003,0.18600000000000003,-121,22,o,0,1.38,13.994060000000001,-9.62645,2909.42,9474.49,3.03,2.75,-7.4,-0.45399999999999996,18.6,19.52,01a57970o0428o
29,57970.471478,-18.845,0.21100000000000002,-105,22,o,0,1.32,13.994060000000001,-9.62645,2963.09,9537.84,2.84,2.65,-8.7,-0.474,18.72,19.6,01a57970o0443o
30,57970.478784000006,-18.274,0.11699999999999999,-178,21,o,0,1.37,13.994060000000001,-9.62645,2979.42,9405.37,2.73,2.53,-10.9,-0.48,18.75,19.68,01a57970o0458o
31,57971.506160000004,-19.326,0.42100000000000004,-68,28,o,0,1.15,13.994060000000001,-9.62645,2137.51,2278.18,3.34,3.27,32.4,-0.42,18.54,19.49,01a57971o0550o
