,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57971.561114,-18.206,1.3769999999999998,-189,261,o,0,1.09,52.23812,-7.09428,6474.18,7315.1,3.28,2.67,-84.5,-0.465,17.07,17.49,01a57971o0657o
1,57971.570785,-19.242,0.927,-73,68,o,0,0.92,52.23812,-7.09428,6450.98,7259.07,3.46,2.8,-84.8,-0.44299999999999995,18.02,18.68,01a57971o0673o
2,57971.579834000004,-19.363,0.514,-65,34,o,0,1.15,52.23812,-7.09428,6506.57,7317.92,3.25,2.65,-84.2,-0.452,18.55,19.39,01a57971o0690o
3,57971.588766999994,-19.619,0.568,-52,29,o,0,1.12,52.23812,-7.09428,6519.95,7181.53,3.18,2.62,-85.6,-0.45899999999999996,18.61,19.48,01a57971o0707o
4,57972.607823,-18.107,0.843,-208,175,o,0,0.87,52.23812,-7.09428,8851.51,6922.0,3.63,2.97,-87.0,-0.436,17.75,18.26,01a57972o0587o
5,57972.616126,21.101,9.913,13,131,o,0,1.43,52.23812,-7.09428,8829.86,6859.57,3.48,2.85,-86.8,-0.449,17.72,18.14,01a57972o0604o
6,57972.624401,20.52,3.345,22,75,o,0,0.9,52.23812,-7.09428,8885.18,6909.46,3.67,3.11,-86.6,-0.41600000000000004,18.17,18.86,01a57972o0621o
7,57972.63280399999,-18.793,1.5519999999999998,-110,171,o,0,1.23,52.23812,-7.09428,8899.82,6767.46,3.52,2.85,-89.1,-0.413,17.6,17.89,01a57972o0638o
8,57973.61904400001,-19.209,0.253,-75,19,o,0,0.83,52.23812,-7.09428,4724.03,3087.85,2.11,1.9,-39.0,-0.465,18.99,19.47,02a57973o0768o
9,57973.627389999994,-20.01,0.418,-36,15,o,0,1.7,52.23812,-7.09428,4739.17,3127.72,2.1,1.92,-41.8,-0.452,18.86,19.28,02a57973o0785o
10,57973.635687,-20.730999999999998,1.8130000000000002,-18,34,o,0,1.09,52.23812,-7.09428,4681.52,3052.21,2.15,1.93,-39.4,-0.456,18.1,18.14,02a57973o0802o
11,57974.622041999995,-19.471,0.266,-59,16,o,0,0.88,52.23812,-7.09428,2689.99,3859.07,1.81,1.8,-5.4,-0.469,19.08,19.51,02a57974o0740o
12,57974.630785,-19.166,0.29100000000000004,-78,23,o,0,0.84,52.23812,-7.09428,2708.32,3899.04,1.87,1.84,26.6,-0.465,18.6,18.82,02a57974o0757o
13,57976.624558,-18.522000000000002,0.218,-142,31,o,0,1.16,52.23812,-7.09428,8052.36,7461.14,4.08,3.31,-2.6,-0.37799999999999995,18.49,19.73,01a57976o0726o
14,57976.633497,-18.785999999999998,1.003,-111,112,o,0,1.12,52.23812,-7.09428,8029.74,7392.22,3.08,2.66,-84.7,-0.47600000000000003,17.87,18.43,01a57976o0743o
15,57978.635373000005,-19.512,0.6609999999999999,-57,38,o,0,0.97,52.23812,-7.09428,3872.88,4309.77,2.04,1.84,-28.2,-0.502,18.25,18.28,02a57978o0744o
16,57986.627852,22.499000000000002,2.533,4,9,c,0,1.38,52.23812,-7.09428,1414.46,2889.13,2.45,2.4,45.9,-0.415,19.57,21.14,02a57986o0669c
17,57986.63677999999,22.029,3.739,6,21,c,0,1.82,52.23812,-7.09428,1433.23,2929.27,2.46,2.4,46.8,-0.414,18.46,19.3,02a57986o0687c
18,57988.640925,18.507,2.385,144,342,o,0,0.95,52.23812,-7.09428,8493.3,7924.06,3.26,2.97,85.5,-0.493,16.94,17.53,01a57988o0804o
19,57992.562813,-20.855,0.722,-16,12,o,0,1.55,52.23812,-7.09428,7197.11,1429.94,3.3,2.91,-85.0,-0.43,19.31,21.0,01a57992o0588o
20,57992.569953,-21.726,1.788,-7,13,o,0,1.15,52.23812,-7.09428,7175.7,1368.7,3.35,3.11,-78.7,-0.42100000000000004,19.27,21.0,01a57992o0602o
21,57992.577583000006,-20.487,0.5,-23,12,o,0,1.07,52.23812,-7.09428,7233.22,1423.46,3.2,2.8,-89.0,-0.445,19.39,21.02,01a57992o0617o
22,57992.58463,23.655,11.0,1,14,o,0,0.94,52.23812,-7.09428,7251.14,1283.15,3.3,2.9,-87.8,-0.44,19.37,21.08,01a57992o0631o
23,57994.595854,19.811,0.207,43,9,o,0,1.1,52.23812,-7.09428,4810.14,7947.15,2.1,2.01,-16.7,-0.47700000000000004,19.79,21.22,02a57994o0650o
24,57994.603608000005,21.052,0.703,14,10,o,0,1.34,52.23812,-7.09428,4826.98,7988.43,2.05,1.94,-14.9,-0.47,19.8,21.21,02a57994o0664o
25,57994.61185,-22.924,3.346,-2,8,o,0,1.47,52.23812,-7.09428,4766.96,7911.83,2.07,1.97,-9.6,-0.462,19.82,21.24,02a57994o0679o
26,57994.61958200001,20.313,0.275,27,8,o,0,1.78,52.23812,-7.09428,4746.03,8031.79,2.1,1.99,-6.5,-0.465,19.81,21.24,02a57994o0693o
27,57996.554604,21.345,1.2919999999999998,10,14,o,0,0.97,52.23812,-7.09428,4466.48,2118.19,3.25,3.14,12.9,-0.418,19.26,20.94,01a57996o0465o
28,57996.561785000005,21.568,1.926,9,16,o,0,0.92,52.23812,-7.09428,4443.9,2037.33,4.66,3.3,-1.3,-0.37799999999999995,19.03,20.94,01a57996o0479o
29,57996.569435000005,19.727999999999998,0.259,47,12,o,0,1.11,52.23812,-7.09428,4501.65,2111.2,3.09,2.91,78.4,-0.431,19.34,20.93,01a57996o0494o
30,57996.576593,20.202,0.43200000000000005,30,13,o,0,1.22,52.23812,-7.09428,4518.85,1971.07,3.25,3.11,80.5,-0.424,19.27,20.93,01a57996o0508o
