,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57963.614358000006,-19.547,0.7170000000000001,-55,40,o,0,0.92,39.99287,-0.5301100000000001,414.48,7907.07,3.26,2.64,-85.8,-0.41200000000000003,18.19,19.69,01a57963o0528o
1,57963.62238200001,-19.479,0.843,-59,49,o,0,1.06,39.99287,-0.5301100000000001,10141.81,7872.85,3.69,2.79,-86.7,-0.39299999999999996,17.4,18.7,01a57963o0544o
2,57963.622863,-17.779,0.307,-281,86,o,0,1.25,39.99287,-0.5301100000000001,395.27,7840.56,3.19,2.54,-85.4,-0.415,17.4,18.64,01a57963o0545o
3,57963.630914,20.546999999999997,5.797000000000001,22,127,o,0,1.28,39.99287,-0.5301100000000001,10121.63,7804.95,3.82,2.77,-86.3,-0.4,17.83,18.44,01a57963o0561o
4,57963.631397000005,-18.729,0.618,-117,72,o,0,1.12,39.99287,-0.5301100000000001,454.58,7889.6,3.32,2.61,-82.5,-0.41700000000000004,17.89,18.42,01a57963o0562o
5,57971.525235,20.819000000000003,3.719,17,64,o,0,0.87,39.99287,-0.5301100000000001,7232.19,10426.65,3.51,2.69,-80.6,-0.47700000000000004,17.76,18.34,01a57971o0589o
6,57971.541446,-17.637,0.376,-320,120,o,0,0.9,39.99287,-0.5301100000000001,7213.66,10355.83,3.36,2.6,-81.9,-0.499,17.05,17.45,01a57971o0621o
7,57971.549382000005,-19.708,4.474,-48,212,o,0,1.06,39.99287,-0.5301100000000001,7271.0,10416.76,3.34,2.61,-82.1,-0.48200000000000004,16.51,16.68,01a57971o0636o
8,57971.558592999994,-21.767,10.65,-7,76,o,0,1.25,39.99287,-0.5301100000000001,7288.16,10277.33,3.41,2.69,-82.9,-0.436,17.42,17.9,01a57971o0652o
9,57972.58051,-19.475,1.192,-59,70,o,0,1.15,39.99287,-0.5301100000000001,4273.72,361.85,3.3,3.1,79.9,-0.408,17.49,17.93,01a57972o0531o
10,57972.582475999996,20.585,3.3160000000000003,21,70,o,0,1.23,39.99287,-0.5301100000000001,9643.19,10012.43,4.14,3.22,-86.9,-0.413,17.57,18.09,01a57972o0535o
11,57972.588804,-19.277,0.893,-71,63,o,0,1.43,39.99287,-0.5301100000000001,4253.55,297.83,3.46,3.17,83.0,-0.392,17.63,18.12,01a57972o0548o
12,57972.590764,21.787,8.64,7,60,o,0,1.39,39.99287,-0.5301100000000001,9624.92,9949.99,3.62,2.75,-86.3,-0.431,17.67,18.09,01a57972o0552o
13,57972.597127999994,-19.28,0.564,-70,40,o,0,1.28,39.99287,-0.5301100000000001,4310.62,349.43,3.1,2.93,76.5,-0.402,18.0,18.56,01a57972o0565o
14,57972.599093,-19.730999999999998,1.101,-46,51,o,0,1.0,39.99287,-0.5301100000000001,9683.25,10002.07,3.76,2.93,89.5,-0.41100000000000003,17.99,18.5,01a57972o0569o
15,57972.605402,-19.296,0.625,-70,43,o,0,1.25,39.99287,-0.5301100000000001,4328.7,204.04,3.21,2.98,80.2,-0.38299999999999995,17.88,18.5,01a57972o0582o
16,57972.607339999995,18.671,0.606,124,75,o,0,1.11,39.99287,-0.5301100000000001,9700.13,9856.77,3.64,2.86,-87.7,-0.41700000000000004,17.67,18.1,01a57972o0586o
17,57973.592585000006,-19.785,0.573,-44,25,o,0,0.96,39.99287,-0.5301100000000001,9259.41,9660.64,2.32,1.91,40.3,-0.479,18.91,19.42,02a57973o0714o
18,57973.598452,-19.976,0.5429999999999999,-37,20,o,0,1.29,39.99287,-0.5301100000000001,9282.03,9702.52,2.16,1.79,39.0,-0.478,19.03,19.52,02a57973o0726o
19,57973.616479,-19.018,0.196,-90,18,o,0,1.49,39.99287,-0.5301100000000001,9218.34,9625.62,2.19,1.86,32.8,-0.47100000000000003,19.11,19.62,02a57973o0763o
20,57973.61850599999,-19.38,0.271,-64,17,o,0,1.16,39.99287,-0.5301100000000001,9199.81,9743.96,2.26,1.82,40.9,-0.45799999999999996,19.09,19.62,02a57973o0767o
21,57973.620511,-19.6,0.317,-52,17,o,0,1.7,39.99287,-0.5301100000000001,3910.74,57.01,2.05,1.92,68.5,-0.479,19.07,19.58,02a57973o0771o
22,57974.601464,-20.491,0.775,-23,18,o,0,1.61,39.99287,-0.5301100000000001,7219.32,10431.31,2.05,1.8,24.4,-0.55,19.14,19.66,02a57974o0700o
23,57974.60350800001,-20.851,0.878,-17,15,o,0,1.23,39.99287,-0.5301100000000001,1935.0,747.73,1.95,1.72,50.8,-0.5529999999999999,19.11,19.63,02a57974o0704o
24,57974.610166,-19.771,0.584,-45,26,o,0,1.23,39.99287,-0.5301100000000001,7236.16,10472.37,2.05,1.79,27.3,-0.511,19.19,19.69,02a57974o0717o
25,57974.612229,-19.92,0.425,-39,17,o,0,1.16,39.99287,-0.5301100000000001,1952.24,788.93,1.88,1.69,50.3,-0.565,19.13,19.66,02a57974o0721o
26,57974.61897999999,-19.486,0.292,-58,17,o,0,1.17,39.99287,-0.5301100000000001,7176.35,10395.5,2.03,1.79,27.3,-0.499,19.17,19.66,02a57974o0734o
