,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57960.569346000004,-20.587,0.39399999999999996,-21,8,o,0,1.03,3.21358,-22.86175,5878.85,6515.34,1.93,1.88,-1.3,-0.473,19.72,20.93,02a57960o0652o
1,57960.573723,-22.176,1.964,-5,10,o,0,1.02,3.21358,-22.86175,5897.93,6552.93,1.96,1.93,15.5,-0.469,19.71,20.99,02a57960o0661o
2,57960.58369299999,22.478,2.2159999999999997,4,8,o,0,0.87,3.21358,-22.86175,4634.86,3963.71,2.16,2.02,78.2,-0.435,19.71,21.01,02a57960o0681o
3,57960.600152,-23.898000000000003,9.1,-1,9,o,0,1.57,3.21358,-22.86175,4656.11,3846.08,2.11,2.02,49.0,-0.45299999999999996,19.66,20.95,02a57960o0714o
4,57966.537115,-21.415,1.794,-10,18,o,0,1.02,3.21358,-22.86175,2655.75,3034.29,4.41,3.14,2.2,-0.387,19.0,20.77,01a57966o0588o
5,57966.546828,22.546,3.2110000000000003,4,11,o,0,1.59,3.21358,-22.86175,2631.5,2960.46,3.02,2.71,77.7,-0.44799999999999995,19.34,20.88,01a57966o0608o
6,57966.551684000005,-20.744,0.787,-18,14,o,0,0.78,3.21358,-22.86175,2681.41,3020.69,3.11,3.05,26.5,-0.423,19.26,20.89,01a57966o0618o
7,57966.560914999995,-20.46,0.7120000000000001,-24,17,o,0,1.19,3.21358,-22.86175,2693.59,2869.54,4.96,3.14,2.7,-0.384,18.95,20.85,01a57966o0637o
8,57968.51587,-20.963,0.812,-15,12,o,0,0.8,3.21358,-22.86175,6936.99,7872.13,1.99,1.89,-8.0,-0.45899999999999996,19.52,20.49,02a57968o0554o
9,57968.523185000005,-21.241999999999997,0.8859999999999999,-12,10,o,0,1.38,3.21358,-22.86175,6954.4,7912.42,1.99,1.91,-10.0,-0.45899999999999996,19.64,20.66,02a57968o0569o
10,57968.530498,22.198,1.192,5,6,o,0,2.54,3.21358,-22.86175,6899.61,7835.22,2.03,1.93,-17.0,-0.46799999999999997,19.69,20.91,02a57968o0584o
11,57968.537808,22.397,2.182,4,9,o,0,1.48,3.21358,-22.86175,6879.19,7953.82,2.01,1.94,5.9,-0.46799999999999997,19.77,21.12,02a57968o0599o
12,57970.468523,-21.311999999999998,2.641,-11,29,o,0,0.97,3.21358,-22.86175,4033.08,3181.17,4.42,2.91,-0.4,-0.395,18.49,19.55,01a57970o0437o
13,57970.475866999994,20.804000000000002,1.469,17,25,o,0,1.17,3.21358,-22.86175,4006.25,3122.99,4.35,2.87,0.0,-0.405,18.53,19.6,01a57970o0452o
14,57970.483148,-19.372,0.316,-65,20,o,0,1.54,3.21358,-22.86175,4052.34,3180.6,3.39,2.74,1.4,-0.429,18.7,19.63,01a57970o0467o
15,57970.490433000006,-20.186,0.838,-31,26,o,0,1.03,3.21358,-22.86175,4062.47,3043.18,4.38,2.87,0.6,-0.423,18.55,19.68,01a57970o0482o
16,57971.479879,21.772,5.567,7,40,o,0,0.98,3.21358,-22.86175,3475.64,5694.05,3.4,3.15,83.8,-0.42,18.33,19.21,01a57971o0496o
17,57971.48818200001,-19.337,0.5429999999999999,-67,36,o,0,1.16,3.21358,-22.86175,3449.31,5630.64,3.57,2.96,89.6,-0.423,18.39,19.25,01a57971o0513o
18,57971.495961,-20.59,1.71,-21,36,o,0,1.06,3.21358,-22.86175,3516.51,5568.8,3.25,2.94,86.6,-0.43200000000000005,18.43,19.28,01a57971o0529o
19,57971.497905,20.754,1.975,18,36,o,0,1.3,3.21358,-22.86175,3497.0,5678.72,3.34,3.17,-87.9,-0.41,18.41,19.29,01a57971o0533o
20,57977.537351,-20.531999999999996,0.8079999999999999,-22,18,o,0,1.68,3.21358,-22.86175,5276.21,7367.22,2.5,2.31,-28.3,-0.442,18.88,19.58,02a57977o0604o
21,57977.55211900001,-26.151,146.0,0,18,o,0,1.6,3.21358,-22.86175,5169.36,3031.37,2.4,2.34,-54.7,-0.42700000000000005,18.95,19.58,02a57977o0632o
22,57977.554668,-20.417,0.7120000000000001,-25,18,o,0,1.61,3.21358,-22.86175,5225.0,3108.5,2.37,2.27,-57.9,-0.435,18.96,19.59,02a57977o0637o
23,57977.565413,-20.480999999999998,0.809,-23,19,o,0,0.88,3.21358,-22.86175,5245.15,2991.99,2.47,2.31,-60.0,-0.425,18.96,19.6,02a57977o0657o
24,57979.542263,-21.772,2.371,-7,17,o,0,1.1,3.21358,-22.86175,5738.27,4696.44,3.16,2.89,-87.4,-0.424,18.96,20.3,01a57979o0589o
