,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57935.583849,-19.02,0.174,-90,16,o,0,0.85,349.81153,-11.52036,8886.61,5621.5,4.89,3.85,-1.0,-0.355,19.14,21.29,01a57935o0671o
1,57935.592338,-18.785999999999998,0.154,-111,17,o,0,1.09,349.81153,-11.52036,8864.14,5552.79,6.46,3.91,-2.3,-0.371,19.0,21.31,01a57935o0688o
2,57935.600892999995,-18.922,0.179,-98,18,o,0,1.07,349.81153,-11.52036,8919.81,5598.77,6.44,4.18,-0.2,-0.359,18.93,21.28,01a57935o0705o
3,57935.609574,-18.768,0.114,-113,13,o,0,1.34,349.81153,-11.52036,8935.79,5450.06,3.89,3.71,-33.6,-0.418,19.28,21.17,01a57935o0722o
4,57939.58824600001,-18.73,0.09,-117,11,o,0,1.34,349.81153,-11.52036,404.34,6232.29,3.0,2.69,-57.3,-0.45399999999999996,19.53,21.25,01a57939o0675o
5,57939.59781,-18.969,0.11599999999999999,-94,11,o,0,1.48,349.81153,-11.52036,10211.7,6155.6,3.29,2.86,-63.2,-0.46399999999999997,19.54,21.18,01a57939o0691o
6,57939.598982,-18.962,0.168,-94,16,o,0,0.91,349.81153,-11.52036,10026.23,4118.17,5.61,3.33,-3.0,-0.397,19.15,21.19,01a57939o0693o
7,57939.608373,-18.677,0.10800000000000001,-123,13,o,0,0.89,349.81153,-11.52036,10190.53,6077.63,3.4,2.98,-64.7,-0.447,19.44,21.03,01a57939o0709o
8,57939.608871000004,-19.162,0.13,-79,10,o,0,1.2,349.81153,-11.52036,441.74,6194.17,2.97,2.63,-61.0,-0.45899999999999996,19.48,21.02,01a57939o0710o
9,57939.61788099999,-18.747,0.195,-115,22,o,0,1.34,349.81153,-11.52036,10245.34,6117.56,3.38,3.08,-26.6,-0.488,18.91,19.95,01a57939o0726o
10,57939.618864,-18.61,0.171,-131,22,o,0,1.19,349.81153,-11.52036,457.36,6039.39,3.03,2.57,-63.3,-0.46299999999999997,18.84,19.75,01a57939o0728o
11,57939.6279,-17.897000000000002,0.845,-252,213,o,0,1.8,349.81153,-11.52036,10262.82,5962.17,3.31,2.87,-66.0,-0.5329999999999999,17.24,17.43,01a57939o0744o
12,57940.570780999995,-18.801,0.12,-110,13,o,0,0.97,349.81153,-11.52036,1286.77,4891.67,1.97,1.83,40.1,-0.503,19.5,20.24,02a57940o0605o
13,57940.580064999995,-18.66,0.075,-125,9,o,0,1.14,349.81153,-11.52036,1306.84,4930.64,1.98,1.82,40.9,-0.5,19.61,20.49,02a57940o0624o
14,57940.592049,-18.885,0.063,-101,6,o,0,1.98,349.81153,-11.52036,1225.44,4972.45,2.06,1.92,45.3,-0.484,19.78,20.98,02a57940o0647o
15,57942.51678300001,-18.733,0.212,-117,25,o,0,1.6,349.81153,-11.52036,1176.18,5631.54,2.91,2.76,-55.4,-0.47700000000000004,18.68,19.47,01a57942o0530o
16,57942.525214999994,-18.725,0.244,-117,29,o,0,1.43,349.81153,-11.52036,1154.61,5569.25,2.93,2.84,-65.0,-0.474,18.65,19.44,01a57942o0547o
17,57942.533651,-18.738,0.322,-116,37,o,0,1.16,349.81153,-11.52036,1207.49,5621.46,2.81,2.71,-61.9,-0.49700000000000005,18.51,19.23,01a57942o0564o
18,57942.542072000004,-18.608,0.191,-131,25,o,0,1.17,349.81153,-11.52036,1222.13,5479.09,2.81,2.7,-67.6,-0.483,18.81,19.56,01a57942o0581o
19,57943.480674,-18.893,3.605,-101,363,o,0,1.12,349.81153,-11.52036,1842.22,9213.59,3.3,2.92,-42.1,-0.5,17.65,18.34,01a57943o0468o
20,57943.488099,-19.27,0.414,-71,29,o,0,1.36,349.81153,-11.52036,1894.62,9275.45,3.13,2.86,-39.5,-0.462,18.37,18.93,01a57943o0483o
21,57943.495607000004,-19.374000000000002,0.7440000000000001,-65,48,o,0,1.23,349.81153,-11.52036,1910.52,9142.29,3.04,2.84,-53.8,-0.452,18.49,18.99,01a57943o0498o
22,57944.494584,-19.508,0.517,-57,30,o,0,0.98,349.81153,-11.52036,9136.52,3999.74,2.25,2.01,67.1,-0.498,18.55,18.86,02a57944o0498o
23,57944.503323000004,-18.642,0.19699999999999998,-127,25,o,0,1.34,349.81153,-11.52036,9160.65,4040.33,2.19,2.01,62.7,-0.5,18.62,18.91,02a57944o0515o
24,57944.511647,-19.27,0.331,-71,24,o,0,1.45,349.81153,-11.52036,9080.69,3964.1,2.15,1.98,67.7,-0.545,18.66,18.94,02a57944o0532o
25,57944.519962,-18.53,0.19699999999999998,-141,28,o,0,1.03,349.81153,-11.52036,9060.58,4081.78,2.18,2.02,68.0,-0.488,18.66,18.98,02a57944o0549o
26,57945.537230999995,-20.51,1.113,-23,25,o,0,1.56,349.81153,-11.52036,10377.14,1928.35,2.79,2.06,53.9,-0.5,18.62,18.97,02a57945o0566o
27,57945.545754,-18.768,0.22899999999999998,-113,26,o,0,1.38,349.81153,-11.52036,10394.04,1969.21,2.81,2.06,56.6,-0.493,18.62,18.95,02a57945o0583o
28,57945.547285,-19.069000000000003,0.3,-86,26,o,0,1.11,349.81153,-11.52036,546.93,1916.19,2.45,1.91,50.9,-0.569,18.7,19.06,02a57945o0586o
29,57945.554209,-18.939,0.315,-96,30,o,0,1.23,349.81153,-11.52036,10335.56,1892.16,2.84,2.1,56.1,-0.47600000000000003,18.64,18.99,02a57945o0600o
30,57945.55576,-18.69,0.209,-121,25,o,0,0.81,349.81153,-11.52036,563.76,1956.24,2.43,1.93,53.4,-0.541,18.68,19.09,02a57945o0603o
31,57945.562732000006,-18.967,0.358,-94,34,o,0,0.91,349.81153,-11.52036,10313.82,2010.94,2.86,2.17,56.9,-0.484,18.61,19.0,02a57945o0617o
32,57945.564211000004,-25.958000000000002,652.0,0,98,o,0,1.3,349.81153,-11.52036,504.26,1880.11,2.65,2.1,50.8,-0.474,17.21,17.27,02a57945o0620o
33,57945.572763,-19.011,0.305,-90,28,o,0,0.79,349.81153,-11.52036,484.32,1997.94,2.72,2.22,48.2,-0.495,18.62,19.1,02a57945o0637o
34,57949.576752999994,-18.734,0.174,-117,20,o,0,0.99,349.81153,-11.52036,954.62,6997.95,2.29,2.01,20.1,-0.48,18.99,19.67,02a57949o0669o
35,57949.585404,-18.954,0.191,-95,18,o,0,0.97,349.81153,-11.52036,935.39,6962.53,2.23,1.9,20.7,-0.48700000000000004,19.11,19.69,02a57949o0686o
36,57949.594133000006,-19.022000000000002,0.195,-89,17,o,0,1.27,349.81153,-11.52036,992.91,7040.94,2.28,1.94,22.2,-0.49200000000000005,19.09,19.7,02a57949o0703o
37,57949.60346699999,-18.867,0.179,-103,18,o,0,0.95,349.81153,-11.52036,1012.11,6923.81,2.29,2.02,17.3,-0.47700000000000004,19.04,19.7,02a57949o0720o
38,57951.577887,-18.962,0.162,-94,15,o,0,0.87,349.81153,-11.52036,1926.08,4324.87,2.85,2.55,86.6,-0.486,19.18,20.49,01a57951o0664o
39,57951.587166,-18.764,0.121,-113,14,o,0,1.05,349.81153,-11.52036,1952.27,4398.83,2.88,2.59,85.6,-0.475,19.23,20.56,01a57951o0682o
40,57951.59644,-18.937,0.158,-97,15,o,0,1.64,349.81153,-11.52036,1899.06,4358.62,2.88,2.58,87.9,-0.479,19.03,20.3,01a57951o0699o
41,57951.606995,-19.163,0.142,-78,11,o,0,1.2,349.81153,-11.52036,1890.47,4516.08,2.79,2.52,85.4,-0.494,19.38,20.78,01a57951o0717o
42,57953.567426,-18.753,0.057,-114,6,o,0,1.48,349.81153,-11.52036,2529.13,3397.51,2.27,1.99,56.9,-0.445,19.57,20.84,02a57953o0281o
43,57955.569775,-18.742,0.179,-116,21,o,0,0.99,349.81153,-11.52036,1402.22,3042.53,5.1,4.65,5.7,-0.386,18.84,21.05,01a57955o0664o
44,57955.578839999995,-19.102,0.205,-83,17,o,0,1.04,349.81153,-11.52036,1428.94,3116.58,4.38,4.16,76.9,-0.382,18.95,21.08,01a57955o0682o
45,57955.599334000006,-18.83,0.133,-107,14,o,0,1.02,349.81153,-11.52036,1367.56,3236.0,3.65,3.02,81.1,-0.42,19.26,21.12,01a57955o0719o
46,57959.5522,-18.787,0.158,-111,18,o,0,0.89,349.81153,-11.52036,8312.15,4326.14,4.52,3.74,-89.6,-0.38299999999999995,19.02,21.08,01a57959o0627o
47,57959.56119,-18.902,0.165,-100,16,o,0,1.07,349.81153,-11.52036,8337.01,4400.18,4.8,4.64,-53.1,-0.344,18.97,21.28,01a57959o0645o
48,57959.571554999995,-19.332,0.24,-67,16,o,0,0.88,349.81153,-11.52036,8284.96,4363.53,4.2,4.03,-53.8,-0.38,19.11,21.33,01a57959o0666o
49,57959.579747,-18.884,0.128,-102,13,o,0,1.28,349.81153,-11.52036,8272.41,4511.69,4.47,3.73,-83.0,-0.377,19.1,21.32,01a57959o0682o
