,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57955.438523000004,-21.979,2.052,-6,12,o,0,2.46,292.09004,56.57936,4767.76,1935.44,2.21,2.05,48.4,-0.44,19.53,20.78,02a57955o0400o
1,57957.436738,-19.685,0.34700000000000003,-48,17,o,0,1.78,292.09004,56.57936,4286.9,7154.78,3.35,2.79,-86.7,-0.44,19.11,20.48,01a57957o0399o
2,57957.453894000006,21.023000000000003,1.162,14,16,o,0,2.48,292.09004,56.57936,4311.81,7259.18,3.43,2.8,-89.2,-0.439,19.07,20.45,01a57957o0434o
3,57957.458263,-20.555999999999997,0.7340000000000001,-22,16,o,0,2.03,292.09004,56.57936,4250.5,7201.37,3.33,2.75,-88.8,-0.441,19.07,20.46,01a57957o0443o
4,57957.471962,-19.757,0.374,-45,17,o,0,2.65,292.09004,56.57936,4237.9,7369.0,3.46,2.82,89.6,-0.43700000000000006,19.1,20.51,01a57957o0471o
5,57959.439739999994,21.996,1.985,6,12,o,0,2.27,292.09004,56.57936,4590.56,4553.59,2.01,1.87,-34.5,-0.46799999999999997,19.61,20.58,02a57959o0399o
6,57959.457104999994,-21.724,1.828,-7,14,o,0,1.92,292.09004,56.57936,4571.73,4514.11,2.34,2.2,-42.4,-0.44799999999999995,19.4,20.58,02a57959o0434o
7,57959.461495,-19.737000000000002,0.231,-46,11,o,0,2.01,292.09004,56.57936,4624.34,4589.04,2.21,2.02,-36.9,-0.44799999999999995,19.5,20.61,02a57959o0443o
8,57959.480561000004,-21.884,2.1319999999999997,-6,14,o,0,1.35,292.09004,56.57936,4643.47,4474.22,2.12,1.96,-34.7,-0.44799999999999995,19.6,20.79,02a57959o0472o
9,57963.46826,22.438000000000002,2.465,4,10,o,0,4.18,292.09004,56.57936,5029.89,4937.54,2.06,1.87,-33.0,-0.45899999999999996,19.66,20.86,02a57963o0021o
10,57963.47365,-20.288,0.358,-28,10,o,0,1.83,292.09004,56.57936,5048.6,4816.93,2.05,1.93,-34.7,-0.461,19.62,20.85,02a57963o0032o
11,57965.434302999995,22.37,3.591,4,15,o,0,2.15,292.09004,56.57936,5574.74,8440.47,3.01,2.83,88.9,-0.43,19.28,20.78,01a57965o0379o
12,57965.43868200001,-19.914,0.298,-39,12,o,0,2.67,292.09004,56.57936,5599.56,8497.4,2.96,2.81,-86.6,-0.431,19.31,20.89,01a57965o0388o
13,57965.452559000005,-20.496,0.65,-23,15,o,0,1.12,292.09004,56.57936,5553.36,8472.62,3.04,2.87,84.0,-0.426,19.31,20.94,01a57965o0416o
14,57965.45887,-20.416,0.489,-25,12,o,0,3.75,292.09004,56.57936,5540.38,8616.02,2.95,2.82,-88.4,-0.435,19.33,20.93,01a57965o0429o
15,57967.419528,-23.695999999999998,11.845999999999998,-1,14,o,0,1.74,292.09004,56.57936,3893.02,2703.45,2.08,1.9,44.7,-0.45899999999999996,19.32,20.23,02a57967o0351o
16,57967.436376,21.004,0.987,14,14,o,0,2.69,292.09004,56.57936,3882.5,2665.57,2.06,1.91,48.9,-0.45299999999999996,19.32,20.23,02a57967o0385o
17,57967.440760000005,23.263,7.9,2,14,o,0,1.43,292.09004,56.57936,3934.95,2740.41,2.06,1.89,46.8,-0.44799999999999995,19.38,20.26,02a57967o0394o
18,57967.45510399999,-21.603,2.727,-8,23,o,0,1.17,292.09004,56.57936,3956.7,2623.67,2.05,1.93,41.1,-0.447,18.83,19.53,02a57967o0423o
19,57969.419253,-19.262999999999998,0.23399999999999999,-72,17,o,0,1.83,292.09004,56.57936,3581.01,7736.98,3.01,2.66,-88.4,-0.46399999999999997,19.04,20.19,01a57969o0273o
20,57969.435942,-19.304000000000002,0.272,-69,19,o,0,1.95,292.09004,56.57936,3609.36,7837.94,3.21,2.87,-85.4,-0.439,18.97,20.18,01a57969o0307o
21,57969.440316,20.183,0.5710000000000001,31,18,o,0,2.26,292.09004,56.57936,3548.92,7779.12,3.18,2.85,89.8,-0.44299999999999995,18.98,20.18,01a57969o0316o
22,57969.453572000006,-19.492,0.384,-58,22,o,0,1.83,292.09004,56.57936,3540.11,7945.72,3.58,3.29,-76.7,-0.43799999999999994,18.82,20.15,01a57969o0343o
