,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57833.303452,-19.968,0.5710000000000001,-37,21,c,0,1.18,104.81071,24.922420000000002,4995.3,8384.46,3.44,3.29,-20.0,-0.43200000000000005,18.92,20.64,02a57833o0150c
1,57833.315512,-20.623,1.0959999999999999,-20,22,c,0,1.2,104.81071,24.922420000000002,4979.95,8344.59,4.08,3.38,1.1,-0.43799999999999994,18.84,20.63,02a57833o0172c
2,57833.325361,-22.096,3.875,-5,20,c,0,1.12,104.81071,24.922420000000002,5033.58,8425.28,3.41,3.21,-14.9,-0.41,18.93,20.63,02a57833o0190c
3,57833.346239,-19.488,0.36700000000000005,-58,21,c,0,1.06,104.81071,24.922420000000002,5056.16,8307.35,4.11,3.41,2.0,-0.428,18.8,20.6,02a57833o0229c
4,57833.357873,-19.759,0.462,-45,21,c,0,1.03,104.81071,24.922420000000002,5022.79,8360.85,3.52,3.28,-5.8,-0.423,18.87,20.57,02a57833o0251c
5,57836.224641999994,-18.96,1.345,-95,127,o,0,1.01,104.81071,24.922420000000002,3056.21,246.55,4.42,4.1,84.8,-0.41100000000000003,17.3,18.28,01a57836o0002o
6,57836.225682000004,19.474,1.055,59,62,o,0,0.97,104.81071,24.922420000000002,4384.35,10001.41,4.01,3.75,73.1,-0.49700000000000005,17.92,19.2,01a57836o0004o
7,57836.226201,-19.509,0.787,-57,45,o,0,1.24,104.81071,24.922420000000002,4402.03,10040.52,3.97,3.85,-70.3,-0.48,18.16,19.6,01a57836o0005o
8,57836.235362,-19.33,0.483,-67,32,o,0,1.11,104.81071,24.922420000000002,6119.85,443.2,4.11,3.91,43.2,-0.446,18.77,20.55,01a57836o0022o
9,57836.236398,-18.641,0.23800000000000002,-127,30,o,0,1.16,104.81071,24.922420000000002,7523.27,10226.37,4.35,3.65,76.0,-0.455,18.81,20.61,01a57836o0024o
10,57836.247313,-19.074,0.32299999999999995,-85,28,o,0,1.35,104.81071,24.922420000000002,7509.9,10342.82,3.92,3.39,74.0,-0.49,18.9,20.72,01a57836o0045o
11,57836.24939,-18.817999999999998,0.262,-108,28,o,0,1.1,104.81071,24.922420000000002,6087.69,557.79,3.71,3.63,44.2,-0.467,18.96,20.74,01a57836o0049o
12,57837.327987,20.254,0.77,29,22,c,0,1.31,104.81071,24.922420000000002,4307.88,9511.0,3.84,3.67,21.4,-0.418,18.75,20.39,02a57837o0123c
13,57837.338936,-19.289,0.344,-70,24,c,0,1.07,104.81071,24.922420000000002,4326.81,9391.76,3.8,3.63,23.5,-0.42700000000000005,18.74,20.38,02a57837o0144c
14,57837.347282,-19.939,0.635,-38,24,c,0,1.03,104.81071,24.922420000000002,4291.87,9451.7,3.87,3.69,22.2,-0.42700000000000005,18.71,20.34,02a57837o0159c
15,57841.293546,-20.209,0.622,-30,19,c,0,1.11,104.81071,24.922420000000002,3008.32,1011.65,4.02,3.87,87.3,-0.401,18.81,20.49,02a57841o0124c
16,57841.305626,-20.235,0.625,-29,18,c,0,1.45,104.81071,24.922420000000002,2974.58,971.46,4.01,3.88,-89.1,-0.39899999999999997,18.79,20.45,02a57841o0147c
17,57841.316091999994,-22.621,6.0,-3,20,c,0,1.06,104.81071,24.922420000000002,3048.02,1048.25,3.99,3.86,89.8,-0.402,18.79,20.44,02a57841o0167c
18,57841.329122,-20.386,0.721,-26,18,c,0,1.39,104.81071,24.922420000000002,3065.23,931.12,4.03,3.93,-88.0,-0.39299999999999996,18.77,20.43,02a57841o0192c
19,57841.349601,20.644000000000002,1.021,20,20,c,0,0.98,104.81071,24.922420000000002,3032.21,987.35,4.0,3.93,-82.6,-0.402,18.72,20.35,02a57841o0231c
20,57845.23214199999,-19.037,0.565,-88,50,c,0,1.14,104.81071,24.922420000000002,7027.29,9965.67,3.91,3.77,15.0,-0.48200000000000004,18.17,19.24,02a57845o0027c
21,57845.234435000006,-19.464000000000002,0.674,-60,40,c,0,1.08,104.81071,24.922420000000002,5907.08,140.5,6.17,4.25,1.8,-0.355,18.02,19.46,02a57845o0031c
