,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57942.584075,-19.587,0.43799999999999994,-53,23,o,0,1.09,8.51907,-10.56054,4770.62,7442.98,2.85,2.77,-46.4,-0.475,18.8,19.58,01a57942o0666o
1,57942.59246,-19.287,0.289,-70,20,o,0,1.35,8.51907,-10.56054,4746.59,7378.85,2.89,2.79,-50.8,-0.47200000000000003,18.83,19.67,01a57942o0683o
2,57942.600829999996,-20.116,0.662,-33,22,o,0,1.37,8.51907,-10.56054,4800.11,7429.09,2.95,2.76,-54.8,-0.469,18.88,19.75,01a57942o0700o
3,57942.609247,-20.27,0.737,-28,21,o,0,1.23,8.51907,-10.56054,4816.08,7284.91,3.0,2.82,-54.8,-0.467,18.87,19.76,01a57942o0717o
4,57943.524935,-19.34,0.441,-67,29,o,0,1.22,8.51907,-10.56054,5383.07,1443.1,3.3,3.26,-26.6,-0.445,18.38,19.08,01a57943o0557o
5,57943.532424000005,20.709,2.568,19,48,o,0,0.93,8.51907,-10.56054,5358.44,1388.75,3.27,3.23,-2.6,-0.44799999999999995,18.11,18.67,01a57943o0572o
6,57943.539844000006,-19.339000000000002,0.48100000000000004,-67,32,o,0,1.56,8.51907,-10.56054,5410.4,1449.43,3.24,3.08,58.8,-0.436,18.16,18.67,01a57943o0587o
7,57943.547236,17.871,0.585,258,151,o,0,0.39,8.51907,-10.56054,5424.34,1313.89,3.16,3.0,49.5,-0.45899999999999996,17.72,18.15,01a57943o0602o
8,57944.560283000006,-19.302,0.336,-69,23,o,0,1.12,8.51907,-10.56054,5497.99,2088.44,2.23,2.14,56.4,-0.49,18.68,19.2,02a57944o0616o
9,57944.568626,-19.02,0.24600000000000002,-90,22,o,0,1.08,8.51907,-10.56054,5477.18,2205.83,2.08,2.04,57.3,-0.467,18.82,19.24,02a57944o0633o
10,57945.571288,22.319000000000003,28.811999999999998,4,124,o,0,0.32,8.51907,-10.56054,6782.52,36.66,2.77,2.21,43.2,-0.488,18.76,19.32,02a57945o0634o
11,57945.577266,-18.686,0.248,-122,30,o,0,1.0,8.51907,-10.56054,6779.21,9737.27,2.52,2.14,21.6,-0.512,18.83,19.42,02a57945o0646o
12,57945.579759,-19.791,0.601,-44,26,o,0,0.95,8.51907,-10.56054,6800.36,78.7,2.89,2.36,50.3,-0.45399999999999996,18.72,19.36,02a57945o0651o
13,57945.585763999996,-18.9,0.289,-100,29,o,0,1.19,8.51907,-10.56054,6796.72,9778.9,2.41,2.07,18.4,-0.512,18.88,19.44,02a57945o0663o
14,57945.594281,-19.913,0.65,-39,26,o,0,1.49,8.51907,-10.56054,6737.32,9701.54,2.42,2.08,19.5,-0.505,18.9,19.49,02a57945o0680o
15,57945.597237,-20.035,0.674,-35,24,o,0,1.29,8.51907,-10.56054,6702.57,120.48,2.78,2.27,49.2,-0.49700000000000005,18.81,19.42,02a57945o0685o
16,57945.603373000005,-19.3,0.349,-69,24,o,0,1.2,8.51907,-10.56054,6717.77,9819.88,2.25,1.94,14.0,-0.522,18.97,19.51,02a57945o0697o
17,57947.580102,-20.468,1.217,-24,29,o,0,1.28,8.51907,-10.56054,4521.93,9417.17,4.62,3.39,-1.9,-0.39,18.39,19.53,01a57947o0438o
18,57947.58862,-20.332,0.762,-27,20,o,0,1.16,8.51907,-10.56054,4499.34,9350.24,3.23,2.93,-86.0,-0.462,18.68,19.54,01a57947o0455o
19,57947.597089999996,-19.208,0.289,-75,22,o,0,1.61,8.51907,-10.56054,4553.37,9399.91,3.42,3.05,-81.5,-0.456,18.65,19.56,01a57947o0472o
20,57947.605615,-19.372,0.435,-65,28,o,0,0.91,8.51907,-10.56054,4569.37,9253.18,3.86,3.51,-85.9,-0.441,18.55,19.58,01a57947o0489o
21,57951.60864,-19.414,0.214,-62,13,o,0,1.14,8.51907,-10.56054,2292.05,7959.58,2.93,2.54,88.4,-0.46299999999999997,19.26,20.61,01a57951o0720o
22,57951.619599,-19.971,0.39,-37,14,o,0,0.92,8.51907,-10.56054,2271.76,7879.96,2.96,2.61,-88.5,-0.46399999999999997,19.13,20.39,01a57951o0738o
23,57951.629288,-19.991,0.905,-37,33,o,0,1.13,8.51907,-10.56054,8080.08,2364.01,3.29,3.13,-70.9,-0.408,18.25,18.86,01a57951o0755o
24,57955.602550999996,-19.671,0.293,-49,14,o,0,1.18,8.51907,-10.56054,2838.35,9247.87,4.22,3.76,-89.3,-0.39,19.08,21.14,01a57955o0724o
25,57955.612812,-19.214000000000002,0.32299999999999995,-75,24,o,0,1.18,8.51907,-10.56054,2811.44,9168.34,7.12,5.75,1.8,-0.305,18.51,21.07,01a57955o0742o
26,57955.623875,-20.01,0.835,-36,30,o,0,1.1,8.51907,-10.56054,7546.78,1081.61,4.79,4.72,-19.7,-0.344,18.42,19.98,01a57955o0761o
27,57955.634400999996,-18.009,1.074,-227,244,o,0,1.13,8.51907,-10.56054,7542.85,1240.99,7.43,6.05,-2.2,-0.418,16.03,17.02,01a57955o0779o
28,57959.594265,-19.685,0.305,-48,15,o,0,1.25,8.51907,-10.56054,5705.24,7845.39,4.56,4.41,-30.3,-0.373,19.0,21.28,01a57959o0707o
29,57959.605059,-19.947,0.486,-38,18,o,0,1.05,8.51907,-10.56054,5683.04,7765.89,6.0,4.58,-1.6,-0.336,18.77,21.28,01a57959o0725o
30,57959.616184000006,-19.258,0.21,-72,15,o,0,1.1,8.51907,-10.56054,5742.02,7800.38,4.33,3.8,-86.1,-0.384,19.06,21.21,01a57959o0744o
31,57959.62704199999,-19.415,0.648,-62,40,o,0,1.01,8.51907,-10.56054,4664.96,2661.76,4.68,4.6,79.3,-0.341,17.94,19.23,01a57959o0762o
32,57961.619142999996,-19.229,0.341,-74,25,o,0,1.09,8.51907,-10.56054,5504.32,10449.49,2.52,2.34,39.6,-0.442,18.92,20.18,02a57961o0684o
33,57961.621202999995,-19.625,0.22899999999999998,-51,12,o,0,0.99,8.51907,-10.56054,5469.56,752.52,2.24,2.1,83.2,-0.452,19.45,20.66,02a57961o0688o
34,57961.628461,19.009,3.92,90,354,o,0,1.14,8.51907,-10.56054,5485.96,10410.3,2.35,2.22,35.2,-0.47700000000000004,15.78,15.95,02a57961o0702o
35,57961.630516,16.5,0.512,912,467,o,0,1.04,8.51907,-10.56054,5451.52,714.77,5.91,4.88,-87.7,-0.245,15.31,15.55,02a57961o0706o
36,57963.558488,-19.947,0.364,-38,14,o,0,0.89,8.51907,-10.56054,5875.71,7644.85,3.61,3.19,-0.2,-0.4,19.2,21.04,01a57963o0416o
37,57963.566886,-19.625,0.23199999999999998,-51,12,o,0,1.07,8.51907,-10.56054,5853.85,7576.64,3.22,2.81,-88.1,-0.433,19.37,21.06,01a57963o0433o
38,57963.575315999995,-19.599,0.245,-52,13,o,0,0.85,8.51907,-10.56054,5910.15,7623.03,3.25,2.76,89.0,-0.433,19.35,21.08,01a57963o0450o
39,57963.583783,-19.914,0.319,-39,12,o,0,1.15,8.51907,-10.56054,5926.43,7474.84,3.33,2.81,86.5,-0.43,19.32,21.04,01a57963o0467o
40,57967.571518,-19.729,0.23,-47,11,o,0,1.14,8.51907,-10.56054,2139.72,7739.14,3.12,2.53,-89.3,-0.456,19.48,21.34,01a57967o0311o
41,57967.582164,-19.709,0.226,-48,11,o,0,1.21,8.51907,-10.56054,8296.16,2620.72,3.41,2.85,-84.8,-0.43,19.46,21.38,01a57967o0329o
42,57967.592035,-19.985,0.267,-37,10,o,0,1.17,8.51907,-10.56054,8248.33,2581.52,3.43,2.82,-87.8,-0.435,19.49,21.42,01a57967o0346o
43,57967.602829999996,-19.648,0.212,-50,11,o,0,1.17,8.51907,-10.56054,8233.79,2741.1,3.38,2.83,-90.0,-0.43,19.46,21.37,01a57967o0364o
44,57969.582938,-19.385,0.126,-64,8,o,0,1.45,8.51907,-10.56054,4740.0,533.2,2.25,2.02,52.3,-0.45899999999999996,19.68,21.04,02a57969o0651o
45,57969.584984,-19.427,0.159,-62,10,o,0,1.39,8.51907,-10.56054,4755.56,10229.97,2.23,1.97,18.7,-0.46,19.73,21.02,02a57969o0655o
46,57969.592648000005,-19.612000000000002,0.162,-52,8,o,0,1.3,8.51907,-10.56054,4720.85,495.92,2.15,1.93,55.4,-0.46799999999999997,19.73,21.04,02a57969o0669o
47,57969.594732000005,-19.586,0.177,-53,9,o,0,1.38,8.51907,-10.56054,4736.04,10192.78,2.36,2.22,43.7,-0.47100000000000003,19.59,21.02,02a57969o0673o
48,57969.60144500001,-19.754,0.20600000000000002,-46,9,o,0,0.82,8.51907,-10.56054,4778.88,576.73,2.09,1.91,49.4,-0.47,19.74,21.03,02a57969o0686o
49,57969.603472,-20.23,0.4,-29,12,o,0,1.06,8.51907,-10.56054,4794.01,10272.69,2.25,2.05,25.8,-0.491,19.7,21.03,02a57969o0690o
50,57969.610838,-19.725,0.249,-47,12,o,0,0.88,8.51907,-10.56054,4795.73,456.95,2.31,2.02,26.8,-0.46799999999999997,19.69,21.08,02a57969o0704o
51,57969.61309199999,-19.317,0.127,-68,9,o,0,1.16,8.51907,-10.56054,4809.25,10152.08,2.41,2.01,6.4,-0.478,19.65,21.07,02a57969o0708o
52,57970.454723,-19.426,0.49700000000000005,-62,31,o,0,1.21,8.51907,-10.56054,3546.21,7680.86,3.2,2.88,-5.0,-0.423,18.56,19.47,01a57970o0409o
53,57970.462128,-21.61,3.114,-8,26,o,0,1.39,8.51907,-10.56054,3522.04,7626.72,3.05,2.76,-1.4,-0.433,18.69,19.58,01a57970o0424o
54,57970.469507,-19.858,0.601,-41,25,o,0,1.2,8.51907,-10.56054,3575.21,7687.33,3.1,2.74,-2.1,-0.435,18.7,19.64,01a57970o0439o
55,57970.476837,-20.803,1.396,-17,24,o,0,0.94,8.51907,-10.56054,3590.15,7553.91,2.97,2.58,-1.8,-0.447,18.82,19.72,01a57970o0454o
56,57971.48964299999,-20.918000000000003,1.5930000000000002,-16,25,o,0,1.07,8.51907,-10.56054,2914.49,459.56,3.09,2.87,75.0,-0.42100000000000004,18.61,19.48,01a57971o0516o
57,57971.491584,-19.862000000000002,0.628,-41,26,o,0,1.1,8.51907,-10.56054,2973.17,10158.58,3.32,3.17,-43.6,-0.41600000000000004,18.52,19.41,01a57971o0520o
58,57971.503234,20.373,1.02,26,26,o,0,1.17,8.51907,-10.56054,2948.86,10084.12,3.63,3.34,-16.7,-0.392,18.43,19.46,01a57971o0544o
59,57971.50371799999,-19.680999999999997,0.628,-49,31,o,0,0.99,8.51907,-10.56054,2889.65,378.43,4.62,3.25,1.4,-0.377,18.31,19.53,01a57971o0545o
60,57971.508098,-20.307000000000002,1.308,-27,36,o,0,1.04,8.51907,-10.56054,2947.09,443.6,3.13,2.7,77.8,-0.43799999999999994,18.21,18.84,01a57971o0554o
61,57971.509071,-18.937,0.371,-97,36,o,0,1.28,8.51907,-10.56054,3005.8,10144.79,3.2,2.74,-79.6,-0.442,18.24,18.93,01a57971o0556o
62,57971.51052999999,-19.992,0.804,-37,29,o,0,1.8,8.51907,-10.56054,2963.82,318.56,3.03,2.69,76.3,-0.414,18.27,19.11,01a57971o0559o
