,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57960.325576999996,-17.027,0.013000000000000001,-561,7,o,0,24.15,239.37374,15.872760000000001,7610.52,8409.97,3.39,2.76,-81.7,-0.428,19.52,21.46,01a57960o0171o
1,57960.333851999996,-18.012,0.042,-226,10,o,0,27.44,239.37374,15.872760000000001,7636.23,8481.04,3.42,2.63,-82.5,-0.433,19.51,21.48,01a57960o0187o
2,57960.34202999999,-17.722,0.039,-296,12,o,0,12.57,239.37374,15.872760000000001,7586.54,8434.8,3.39,2.62,-82.8,-0.436,19.53,21.48,01a57960o0203o
3,57960.350723,-17.951,0.037000000000000005,-240,9,o,0,32.33,239.37374,15.872760000000001,7576.38,8584.58,3.42,2.62,-83.9,-0.43700000000000006,19.54,21.47,01a57960o0220o
4,57962.327401999995,-17.21,0.031,-474,15,o,0,8.95,239.37374,15.872760000000001,1565.82,1330.93,2.29,2.02,42.5,-0.515,19.38,20.62,02a57962o0119o
5,57962.335967,-17.128,0.019,-511,10,o,0,41.28,239.37374,15.872760000000001,1547.32,1290.6,2.25,1.97,43.8,-0.526,19.52,20.85,02a57962o0135o
6,57962.34415700001,-17.317999999999998,0.025,-429,11,o,0,15.01,239.37374,15.872760000000001,1604.82,1368.23,2.44,2.18,42.2,-0.498,19.38,20.74,02a57962o0150o
7,57962.353133000004,-17.743,0.057999999999999996,-290,17,o,0,14.49,239.37374,15.872760000000001,1624.03,1249.64,2.26,2.0,41.7,-0.524,19.31,20.57,02a57962o0166o
8,57964.316728,-18.521,0.10400000000000001,-142,15,o,0,11.06,239.37374,15.872760000000001,9812.9,8461.5,3.41,2.7,-86.2,-0.418,19.21,20.53,01a57964o0154o
9,57964.324678,-18.202,0.086,-190,16,o,0,8.99,239.37374,15.872760000000001,9839.24,8531.19,3.35,2.57,-86.9,-0.434,19.22,20.51,01a57964o0170o
10,57964.330302999995,-20.247,0.635,-29,18,o,0,1.36,239.37374,15.872760000000001,36.54,8613.73,3.02,2.49,-85.4,-0.425,19.23,20.54,01a57964o0181o
11,57964.332324,-17.422,0.038,-390,15,o,0,7.31,239.37374,15.872760000000001,9788.67,8483.47,3.35,2.82,89.5,-0.41,19.15,20.46,01a57964o0185o
12,57964.337811000005,-18.262999999999998,0.11599999999999999,-180,21,o,0,16.74,239.37374,15.872760000000001,61.42,8681.51,3.03,2.41,-88.1,-0.425,19.24,20.53,01a57964o0196o
13,57964.340322000004,-17.68,0.046,-308,14,o,0,10.61,239.37374,15.872760000000001,9778.71,8631.45,3.31,2.58,-88.6,-0.43200000000000005,19.18,20.44,01a57964o0201o
14,57966.322658000005,-16.27,0.027999999999999997,-1127,32,o,0,23.99,239.37374,15.872760000000001,3280.04,10479.62,2.36,2.19,25.9,-0.424,19.22,20.03,02a57966o0158o
15,57966.324748,-18.090999999999998,0.076,-211,16,o,0,19.87,239.37374,15.872760000000001,9413.35,805.41,2.28,2.09,58.2,-0.47200000000000003,19.34,20.19,02a57966o0162o
16,57966.331097,-16.384,0.012,-1015,12,o,0,36.46,239.37374,15.872760000000001,3261.28,10439.25,2.36,2.19,23.9,-0.46299999999999997,19.24,20.02,02a57966o0174o
17,57966.33313200001,-17.158,0.03,-498,15,o,0,10.67,239.37374,15.872760000000001,9395.16,766.83,2.33,2.09,51.4,-0.46799999999999997,19.31,20.17,02a57966o0178o
18,57966.33970599999,-15.821,0.019,-1705,32,o,0,84.41,239.37374,15.872760000000001,3317.47,10516.81,2.3,2.09,16.9,-0.46799999999999997,19.25,20.01,02a57966o0190o
19,57966.341723000005,-17.879,0.057,-256,15,o,0,17.66,239.37374,15.872760000000001,9451.83,845.6,2.34,2.12,52.1,-0.47,19.27,20.15,02a57966o0194o
20,57966.347936,-18.144000000000002,0.09,-201,18,o,0,12.41,239.37374,15.872760000000001,3337.81,10397.78,2.29,2.13,15.4,-0.475,19.24,20.0,02a57966o0206o
21,57966.350329999994,-17.965,0.06,-237,14,o,0,20.82,239.37374,15.872760000000001,9472.57,727.62,2.31,2.08,51.1,-0.465,19.31,20.12,02a57966o0210o
22,57968.319608000005,-17.461,0.198,-376,74,o,0,1.65,239.37374,15.872760000000001,70.69,9670.24,3.13,2.84,-77.0,-0.503,17.97,18.72,01a57968o0008o
23,57968.327638999996,-18.041,0.17600000000000002,-221,39,o,0,2.05,239.37374,15.872760000000001,97.51,9739.43,3.02,2.58,-83.9,-0.516,18.38,19.19,01a57968o0024o
24,57968.33594,-19.461,0.6890000000000001,-60,41,o,0,1.06,239.37374,15.872760000000001,48.71,9692.03,3.12,2.59,-85.6,-0.491,18.51,19.38,01a57968o0040o
25,57968.339973,-18.217,0.166,-188,31,o,0,1.89,239.37374,15.872760000000001,6103.85,96.38,3.16,3.14,-49.9,-0.442,18.28,19.17,01a57968o0048o
26,57968.344086000005,-19.496,0.8340000000000001,-58,48,o,0,0.85,239.37374,15.872760000000001,36.7,9839.71,3.32,2.73,-87.4,-0.48200000000000004,18.51,19.44,01a57968o0056o
27,57971.272238,-16.896,0.019,-633,12,o,0,43.48,239.37374,15.872760000000001,376.16,3037.05,2.13,1.88,13.7,-0.479,19.12,19.75,02a57971o0081o
28,57971.281637,-18.47,0.111,-149,16,o,0,28.26,239.37374,15.872760000000001,355.94,2997.3,2.01,1.84,35.1,-0.507,19.14,19.72,02a57971o0098o
29,57971.290271000005,-17.908,0.063,-249,16,o,0,29.27,239.37374,15.872760000000001,412.01,3074.21,2.1,1.94,38.3,-0.48700000000000004,19.1,19.68,02a57971o0115o
30,57971.298995000005,-17.831,0.083,-268,22,o,0,10.35,239.37374,15.872760000000001,429.63,2957.02,1.9,1.78,30.7,-0.514,19.12,19.65,02a57971o0132o
31,57971.307633000004,-18.183,0.08,-194,15,o,0,13.8,239.37374,15.872760000000001,10135.56,3041.24,2.04,2.01,57.8,-0.493,19.1,19.64,02a57971o0149o
32,57971.316349,-18.186,0.085,-193,16,o,0,14.18,239.37374,15.872760000000001,10116.67,3003.29,2.07,2.01,48.2,-0.499,19.04,19.56,02a57971o0166o
33,57971.325437,-18.705,0.177,-120,21,o,0,12.13,239.37374,15.872760000000001,10192.57,3081.17,2.08,2.03,59.9,-0.508,19.07,19.55,02a57971o0183o
34,57971.33432,-17.371,0.052000000000000005,-409,21,o,0,15.95,239.37374,15.872760000000001,10213.92,2963.87,2.13,2.07,52.8,-0.51,18.95,19.47,02a57971o0199o
35,57973.298190999994,15.163,1.25,3124,3905,o,0,1.03,239.37374,15.872760000000001,6689.53,9660.22,14.78,7.35,-1.5,-0.136,13.53,14.2,01a57973o0114o
36,57973.313422,16.577,1.08,850,918,o,0,0.95,239.37374,15.872760000000001,6629.49,9758.26,3.0,2.12,25.1,-0.5429999999999999,14.58,14.69,01a57973o0144o
37,57975.241889,-16.952,0.054000000000000006,-601,32,o,0,13.95,239.37374,15.872760000000001,82.03,1696.07,2.29,1.86,38.9,-0.539,18.72,19.04,02a57975o0022o
