,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57961.614961,-19.717,0.281,-47,13,o,0,0.97,3.0161599999999997,1.10334,8279.82,4104.04,2.26,2.13,-58.7,-0.436,19.31,20.66,02a57961o0676o
1,57961.624361,-20.296,0.498,-28,14,o,0,1.09,3.0161599999999997,1.10334,8260.76,4064.51,2.27,2.12,-57.4,-0.447,19.19,20.05,02a57961o0694o
2,57961.634378999996,-18.873,0.924,-102,95,o,0,0.57,3.0161599999999997,1.10334,8319.13,4143.79,2.39,2.17,-51.9,-0.28800000000000003,17.11,17.16,02a57961o0713o
3,57963.552554999995,-19.945,0.344,-38,13,o,0,0.89,3.0161599999999997,1.10334,8692.8,1255.84,3.31,2.88,-83.1,-0.436,19.43,21.08,01a57963o0404o
4,57963.560944000004,-20.611,0.57,-21,12,o,0,1.34,3.0161599999999997,1.10334,8674.8,1185.85,3.3,2.86,-82.8,-0.43700000000000006,19.44,21.09,01a57963o0421o
5,57963.569372000005,-20.194000000000003,0.392,-30,12,o,0,1.2,3.0161599999999997,1.10334,8734.12,1232.53,3.35,2.9,-83.0,-0.433,19.4,21.09,01a57963o0438o
6,57963.57777999999,-19.887999999999998,0.308,-40,12,o,0,1.46,3.0161599999999997,1.10334,8755.14,1082.64,3.4,2.93,-83.8,-0.43200000000000005,19.4,21.09,01a57963o0455o
7,57967.562163,-20.901999999999997,0.58,-16,9,o,0,1.69,3.0161599999999997,1.10334,4967.09,1370.17,3.07,2.7,84.9,-0.442,19.48,21.25,01a57967o0295o
8,57967.572755999994,-19.586,0.174,-53,9,o,0,1.41,3.0161599999999997,1.10334,5353.28,8998.53,3.14,2.59,-76.8,-0.46,19.51,21.4,01a57967o0313o
9,57967.58265,-20.313,0.38,-27,10,o,0,1.15,3.0161599999999997,1.10334,5300.38,8959.7,3.22,2.7,-80.0,-0.452,19.53,21.46,01a57967o0330o
10,57967.593491,-20.063,0.335,-34,12,o,0,0.97,3.0161599999999997,1.10334,5286.71,9121.74,3.22,2.69,-77.4,-0.452,19.53,21.48,01a57967o0348o
11,57969.576357000005,-20.021,0.27,-36,10,o,0,1.37,3.0161599999999997,1.10334,7538.86,3890.49,2.12,2.08,-50.0,-0.444,19.73,21.08,02a57969o0639o
12,57969.586064999996,-20.497,0.426,-23,10,o,0,0.95,3.0161599999999997,1.10334,7518.71,3852.54,2.12,2.07,-62.4,-0.451,19.73,21.08,02a57969o0657o
13,57969.595217999995,-19.805999999999997,0.171,-43,7,o,0,1.73,3.0161599999999997,1.10334,7576.79,3931.73,2.13,2.03,-72.6,-0.445,19.74,21.07,02a57969o0674o
14,57969.60445399999,-19.967,0.24600000000000002,-37,9,o,0,0.93,3.0161599999999997,1.10334,7598.23,3816.27,2.11,2.02,-67.7,-0.444,19.7,21.07,02a57969o0692o
15,57972.464665,-19.622,0.7,-51,36,o,0,0.91,3.0161599999999997,1.10334,8170.44,3541.5,3.53,2.83,-85.3,-0.425,18.33,18.98,01a57972o0299o
16,57972.475553,-18.709,0.439,-119,52,o,0,1.13,3.0161599999999997,1.10334,8151.79,3473.39,3.42,2.85,-85.5,-0.43799999999999994,17.82,18.36,01a57972o0320o
17,57972.48399400001,-18.879,0.47100000000000003,-102,48,o,0,1.09,3.0161599999999997,1.10334,8210.4,3527.59,3.43,2.91,-84.0,-0.425,17.92,18.37,01a57972o0337o
18,57972.492502,-18.599,0.358,-132,47,o,0,0.92,3.0161599999999997,1.10334,8229.98,3385.98,3.34,2.8,-84.5,-0.444,18.1,18.61,01a57972o0354o
19,57973.468497,20.160999999999998,0.7170000000000001,31,22,o,0,1.28,3.0161599999999997,1.10334,5370.24,6478.23,2.02,1.88,-29.0,-0.465,18.6,18.85,02a57973o0468o
20,57973.478377,-20.189,0.6759999999999999,-30,21,o,0,1.77,3.0161599999999997,1.10334,5389.54,6518.26,2.13,1.87,-31.5,-0.479,18.62,18.88,02a57973o0485o
21,57973.488291999995,-20.191,0.838,-30,26,o,0,1.36,3.0161599999999997,1.10334,5331.89,6442.38,2.08,1.86,-35.2,-0.47,18.72,18.95,02a57973o0502o
22,57973.497046000004,-20.519000000000002,1.024,-22,23,o,0,1.13,3.0161599999999997,1.10334,5312.99,6557.41,2.12,1.86,-29.5,-0.467,18.69,18.97,02a57973o0519o
23,57974.507678999995,-20.129,0.667,-32,22,o,0,1.35,3.0161599999999997,1.10334,3339.36,7256.82,1.96,1.84,-6.4,-0.503,18.78,19.09,02a57974o0524o
24,57974.518012,-19.809,0.475,-43,21,o,0,1.5,3.0161599999999997,1.10334,3357.94,7296.04,1.91,1.77,-8.9,-0.499,18.79,19.1,02a57974o0541o
25,57974.527538,-19.43,0.41700000000000004,-61,26,o,0,0.89,3.0161599999999997,1.10334,3300.55,7219.76,1.96,1.82,-2.7,-0.5,18.81,19.1,02a57974o0558o
26,57974.53647000001,-21.863000000000003,3.282,-6,21,o,0,1.12,3.0161599999999997,1.10334,3285.69,7336.93,1.96,1.86,-3.8,-0.48100000000000004,18.8,19.12,02a57974o0575o
27,57978.564178,-19.597,0.257,-53,14,o,0,0.82,3.0161599999999997,1.10334,5935.91,2722.88,2.31,2.13,-61.1,-0.433,19.24,20.02,02a57978o0612o
28,57978.573062999996,-20.128,0.449,-32,14,o,0,1.13,3.0161599999999997,1.10334,5917.75,2684.75,2.29,2.11,-64.3,-0.43200000000000005,19.25,20.02,02a57978o0629o
29,57978.582026,-19.428,0.187,-62,12,o,0,1.77,3.0161599999999997,1.10334,5975.82,2762.3,2.25,2.07,-66.0,-0.441,19.29,20.03,02a57978o0646o
30,57978.590941999995,-20.500999999999998,0.616,-23,14,o,0,1.37,3.0161599999999997,1.10334,5995.35,2644.87,2.27,2.08,-62.7,-0.43,19.25,20.03,02a57978o0663o
31,57980.554277999996,-20.904,0.711,-16,11,o,0,1.38,3.0161599999999997,1.10334,2530.14,5869.7,3.0,2.62,88.4,-0.45799999999999996,19.33,20.9,01a57980o0601o
32,57980.563174,-19.647000000000002,0.24600000000000002,-50,12,o,0,1.1,3.0161599999999997,1.10334,2553.73,5943.97,2.95,2.53,-89.2,-0.467,19.34,20.9,01a57980o0618o
33,57980.572027999995,-20.253,0.376,-29,11,o,0,1.48,3.0161599999999997,1.10334,2498.15,5901.84,3.0,2.61,87.8,-0.455,19.33,20.9,01a57980o0635o
34,57980.58085499999,-20.095,0.374,-33,12,o,0,1.47,3.0161599999999997,1.10334,2483.51,6053.43,2.91,2.55,-88.9,-0.474,19.37,20.88,01a57980o0652o
35,57982.555783,-20.875999999999998,0.5489999999999999,-16,9,c,0,0.8,3.0161599999999997,1.10334,5449.8,1926.47,2.59,2.43,74.9,-0.402,19.74,21.49,02a57982o0617c
36,57982.565412,-20.391,0.31,-25,8,c,0,1.19,3.0161599999999997,1.10334,5432.05,1888.51,2.56,2.41,77.8,-0.406,19.76,21.47,02a57982o0635c
37,57982.574397000004,-21.913,1.2690000000000001,-6,8,c,0,0.98,3.0161599999999997,1.10334,5491.87,1966.75,2.54,2.39,79.2,-0.41100000000000003,19.73,21.46,02a57982o0652c
38,57982.58392999999,23.388,5.0,2,8,c,0,0.98,3.0161599999999997,1.10334,5511.92,1850.38,2.58,2.43,77.4,-0.405,19.73,21.44,02a57982o0670c
39,57986.5472,-20.903000000000002,0.467,-16,7,c,0,1.53,3.0161599999999997,1.10334,8387.01,4141.52,2.61,2.48,-74.6,-0.414,19.74,21.59,02a57986o0581c
40,57986.556714,-21.381,0.747,-10,8,c,0,1.15,3.0161599999999997,1.10334,8368.03,4104.12,2.58,2.45,-71.9,-0.418,19.76,21.6,02a57986o0599c
41,57986.565662,-20.784000000000002,0.39799999999999996,-18,7,c,0,1.38,3.0161599999999997,1.10334,8427.46,4182.58,2.62,2.49,-71.5,-0.41700000000000004,19.76,21.61,02a57986o0616c
42,57986.576229,19.829,0.5,42,21,c,0,2.05,3.0161599999999997,1.10334,8448.71,4067.77,2.7,2.56,-71.7,-0.406,18.49,20.31,02a57986o0634c
43,57988.536014,-19.959,0.415,-38,16,o,0,1.04,3.0161599999999997,1.10334,2471.78,5899.04,3.97,2.94,1.7,-0.424,19.06,20.85,01a57988o0612o
44,57988.544878,-20.621,0.64,-20,13,o,0,1.25,3.0161599999999997,1.10334,2495.2,5973.16,2.83,2.81,64.7,-0.44299999999999995,19.22,20.83,01a57988o0629o
45,57988.553738999995,-19.293,0.184,-70,13,o,0,1.18,3.0161599999999997,1.10334,2440.0,5931.16,2.93,2.89,86.8,-0.434,19.18,20.75,01a57988o0646o
46,57988.56260499999,-20.314,0.514,-27,14,o,0,1.15,3.0161599999999997,1.10334,2425.5,6082.87,2.8,2.73,79.6,-0.45899999999999996,19.19,20.7,01a57988o0663o
