,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57963.618389999996,-21.784000000000002,4.125,-7,29,o,0,1.16,34.65054,5.2542599999999995,5547.59,9422.14,3.13,2.73,-80.5,-0.44799999999999995,17.46,19.01,01a57963o0536o
1,57963.626908000006,-20.715999999999998,1.2409999999999999,-19,23,o,0,1.24,34.65054,5.2542599999999995,5531.04,9353.74,3.23,2.71,-82.1,-0.467,18.68,19.72,01a57963o0553o
2,57963.635623,-18.465,0.752,-149,112,o,0,1.01,34.65054,5.2542599999999995,5591.99,9400.43,2.99,2.54,-79.5,-0.53,17.42,17.52,01a57963o0570o
3,57967.632952,-18.647000000000002,0.395,-126,50,o,0,0.96,34.65054,5.2542599999999995,1839.89,9533.26,3.19,2.64,-80.4,-0.467,18.02,18.34,01a57967o0419o
4,57972.558882000005,-19.061,0.561,-86,48,o,0,0.74,34.65054,5.2542599999999995,3418.29,1894.56,3.04,2.69,88.8,-0.466,18.08,18.62,01a57972o0487o
5,57972.567264,-19.854,1.176,-42,49,o,0,0.92,34.65054,5.2542599999999995,3401.79,1832.23,3.04,2.72,87.8,-0.465,17.96,18.39,01a57972o0504o
6,57972.57563300001,-18.668,0.509,-124,63,o,0,0.94,34.65054,5.2542599999999995,3460.54,1884.49,3.18,2.88,81.5,-0.446,17.59,18.13,01a57972o0521o
7,57972.58393200001,20.198,1.784,30,54,o,0,0.93,34.65054,5.2542599999999995,3481.16,1740.97,3.33,3.08,82.3,-0.44,17.8,18.33,01a57972o0538o
8,57974.589116999996,-20.135,0.627,-32,20,o,0,1.34,34.65054,5.2542599999999995,8096.23,8918.71,1.96,1.81,11.7,-0.512,19.18,19.64,02a57974o0676o
9,57974.597859,-19.424,0.33799999999999997,-62,21,o,0,1.18,34.65054,5.2542599999999995,8112.68,8958.7,1.96,1.83,17.3,-0.475,19.18,19.66,02a57974o0693o
10,57974.60657999999,-20.528000000000002,0.946,-22,21,o,0,1.3,34.65054,5.2542599999999995,8053.38,8881.75,1.99,1.86,25.7,-0.504,19.18,19.67,02a57974o0710o
11,57974.615324,-19.596,0.44,-53,23,o,0,0.93,34.65054,5.2542599999999995,8034.37,9000.83,1.96,1.82,25.5,-0.49,19.23,19.68,02a57974o0727o
12,57976.595222,-18.917,0.301,-98,30,o,0,1.05,34.65054,5.2542599999999995,2656.72,2366.97,5.36,2.92,-0.6,-0.406,18.39,19.68,01a57976o0670o
13,57976.604102,-19.266,0.337,-71,24,o,0,1.0,34.65054,5.2542599999999995,2640.11,2296.67,2.78,2.61,80.2,-0.47,18.81,19.68,01a57976o0687o
14,57976.612989,-20.233,0.652,-29,19,o,0,1.24,34.65054,5.2542599999999995,2700.51,2342.11,2.79,2.6,78.0,-0.473,18.84,19.68,01a57976o0704o
15,57976.621821,-20.179000000000002,0.745,-31,23,o,0,1.12,34.65054,5.2542599999999995,2720.1,2192.41,2.8,2.59,83.0,-0.47700000000000004,18.76,19.62,01a57976o0721o
16,57980.615636,-20.239,0.528,-29,15,o,0,1.17,34.65054,5.2542599999999995,7218.39,7371.23,3.08,2.69,-81.7,-0.446,19.25,20.54,01a57980o0717o
17,57980.625303,-20.132,0.42200000000000004,-32,14,o,0,1.82,34.65054,5.2542599999999995,3018.04,2837.09,2.85,2.64,77.9,-0.45799999999999996,19.11,20.35,01a57980o0734o
18,57980.635117,-19.262999999999998,0.584,-72,42,o,0,1.03,34.65054,5.2542599999999995,3077.64,2874.41,2.81,2.57,76.2,-0.485,18.06,18.67,01a57980o0751o
19,57982.612433,-20.828000000000003,0.5710000000000001,-17,10,c,0,1.36,34.65054,5.2542599999999995,657.56,238.03,2.66,2.26,53.8,-0.495,19.71,21.38,02a57982o0725c
20,57982.618537,-21.323,0.807,-11,9,c,0,1.73,34.65054,5.2542599999999995,2233.9,9999.72,2.62,2.3,6.7,-0.44,19.7,21.37,02a57982o0737c
21,57982.621609,21.656999999999996,1.065,8,8,c,0,1.66,34.65054,5.2542599999999995,637.13,199.06,2.59,2.21,50.4,-0.515,19.7,21.3,02a57982o0743c
22,57982.624792999995,18.137,0.914,202,184,c,0,0.16,34.65054,5.2542599999999995,10527.82,241.2,2.6,2.47,78.2,-0.434,19.67,21.16,02a57982o0749c
23,57982.627823,-21.177,0.8740000000000001,-12,11,c,0,1.13,34.65054,5.2542599999999995,2214.12,9962.08,2.62,2.3,8.8,-0.445,19.54,20.92,02a57982o0755c
24,57982.630286,-20.555999999999997,0.649,-22,14,c,0,1.16,34.65054,5.2542599999999995,696.66,278.63,2.58,2.2,52.8,-0.528,19.34,20.57,02a57982o0760c
25,57982.634469000004,23.705,26.666999999999998,1,32,c,0,1.06,34.65054,5.2542599999999995,10509.68,203.73,2.69,2.46,69.7,-0.38299999999999995,18.8,19.71,02a57982o0767c
26,57982.63717,20.576999999999998,2.03,21,43,c,0,1.38,34.65054,5.2542599999999995,2274.23,10042.4,2.62,2.34,9.9,-0.509,18.16,18.98,02a57982o0772c
27,57982.640134,19.274,0.9059999999999999,71,64,c,0,0.95,34.65054,5.2542599999999995,718.52,163.56,2.54,2.19,51.6,-0.57,17.47,18.19,02a57982o0778c
28,57988.592329,-19.647000000000002,0.265,-50,13,o,0,1.32,34.65054,5.2542599999999995,7159.26,7382.75,3.22,3.0,3.3,-0.435,19.16,20.81,01a57988o0720o
29,57988.601325,-20.046,0.409,-35,14,o,0,1.05,34.65054,5.2542599999999995,3071.46,2825.96,2.84,2.78,-10.8,-0.446,19.28,20.77,01a57988o0737o
30,57988.61133099999,-19.535999999999998,0.258,-56,14,o,0,0.97,34.65054,5.2542599999999995,7127.94,7417.34,3.08,3.06,-76.2,-0.41600000000000004,19.18,20.79,01a57988o0754o
31,57988.621702,-19.179000000000002,0.22899999999999998,-77,18,o,0,0.97,34.65054,5.2542599999999995,7115.04,7577.36,4.52,3.03,-0.5,-0.41200000000000003,18.99,20.77,01a57988o0771o
32,57992.52975,-20.805,0.7140000000000001,-17,12,o,0,1.4,34.65054,5.2542599999999995,2688.12,5890.79,3.05,2.81,-87.6,-0.446,19.37,21.02,01a57992o0524o
33,57992.537016999995,-19.676,0.257,-49,13,o,0,0.99,34.65054,5.2542599999999995,2670.42,5827.54,3.06,2.66,-83.6,-0.462,19.4,21.03,01a57992o0538o
34,57992.54480599999,-20.384,0.49700000000000005,-26,13,o,0,1.28,34.65054,5.2542599999999995,2731.36,5879.46,3.04,2.6,-86.5,-0.46399999999999997,19.41,21.1,01a57992o0553o
35,57992.552046000004,-19.741,0.255,-46,12,o,0,1.27,34.65054,5.2542599999999995,2752.36,5737.98,3.03,2.58,-87.4,-0.46399999999999997,19.43,21.1,01a57992o0567o
36,57994.560061000004,-19.57,0.14400000000000002,-54,8,o,0,1.21,34.65054,5.2542599999999995,9400.0,3468.98,2.09,2.02,-75.9,-0.46399999999999997,19.81,21.13,02a57994o0586o
37,57994.56806699999,-19.722,0.157,-47,7,o,0,1.56,34.65054,5.2542599999999995,9424.62,3506.96,2.14,2.06,83.3,-0.452,19.8,21.2,02a57994o0600o
38,57994.576592,-19.782,0.19399999999999998,-44,9,o,0,1.0,34.65054,5.2542599999999995,9366.36,3432.12,2.16,2.09,77.7,-0.447,19.79,21.2,02a57994o0615o
39,57994.584280999996,-19.727,0.204,-47,10,o,0,1.13,34.65054,5.2542599999999995,9345.95,3549.57,2.07,2.03,83.9,-0.45299999999999996,19.81,21.23,02a57994o0629o
40,57996.531857,-20.29,0.515,-28,14,o,0,1.08,34.65054,5.2542599999999995,9589.4,6516.65,3.71,3.5,-5.6,-0.389,19.23,21.02,01a57996o0421o
41,57996.539028,-19.299,0.223,-69,15,o,0,1.13,34.65054,5.2542599999999995,9570.96,6451.98,3.81,3.55,86.8,-0.39299999999999996,19.2,21.0,01a57996o0435o
42,57996.546849,-20.037,0.38,-35,13,o,0,1.4,34.65054,5.2542599999999995,9632.33,6502.76,3.74,3.24,-88.8,-0.41,19.25,21.02,01a57996o0450o
43,57996.554051,-19.768,0.268,-45,12,o,0,1.38,34.65054,5.2542599999999995,9652.24,6360.26,3.4,2.9,-84.7,-0.42200000000000004,19.38,21.02,01a57996o0464o
44,57998.523546000004,-19.387999999999998,0.19699999999999998,-64,13,o,0,0.89,34.65054,5.2542599999999995,7984.21,5362.27,2.07,1.97,-37.4,-0.457,19.46,20.27,02a57998o0543o
45,57998.531688999996,-19.146,0.154,-80,12,o,0,0.97,34.65054,5.2542599999999995,8005.0,5404.64,2.13,2.03,-35.4,-0.43799999999999994,19.51,20.39,02a57998o0558o
46,57998.540067999995,-19.236,0.131,-73,10,o,0,1.4,34.65054,5.2542599999999995,7942.71,5330.21,2.06,1.95,-35.2,-0.45899999999999996,19.57,20.56,02a57998o0573o
47,57998.54773300001,-19.877,0.24600000000000002,-41,10,o,0,1.23,34.65054,5.2542599999999995,7921.06,5447.49,2.11,2.1,-64.0,-0.457,19.64,20.8,02a57998o0588o
48,58000.499758000005,-20.76,1.8219999999999998,-18,33,o,0,0.87,34.65054,5.2542599999999995,1710.89,5946.86,4.55,4.32,87.2,-0.369,18.43,19.94,01a58000o0573o
49,58000.505997,-20.37,0.93,-26,24,o,0,1.22,34.65054,5.2542599999999995,1693.45,5888.4,3.62,3.33,88.5,-0.41100000000000003,18.72,19.98,01a58000o0586o
50,58000.512451,-19.737000000000002,0.46299999999999997,-46,21,o,0,1.14,34.65054,5.2542599999999995,1752.84,5945.27,3.44,3.09,87.4,-0.42700000000000005,18.79,20.0,01a58000o0599o
51,58000.518765999994,-20.008,0.765,-36,28,o,0,1.11,34.65054,5.2542599999999995,1773.63,5807.0,4.77,4.45,83.2,-0.34,18.49,20.0,01a58000o0612o
52,58002.421701,-19.22,0.608,-74,45,o,0,0.8,34.65054,5.2542599999999995,9404.24,6179.16,2.26,2.09,49.9,-0.48700000000000004,18.27,18.46,02a58002o0361o
53,58002.42216,-19.014,0.513,-90,46,o,0,1.02,34.65054,5.2542599999999995,9423.55,6218.06,2.15,1.99,31.2,-0.496,18.36,18.46,02a58002o0362o
54,58002.436429999994,-20.114,1.15,-33,38,o,0,1.08,34.65054,5.2542599999999995,9364.67,6143.72,2.06,1.96,22.0,-0.48700000000000004,18.39,18.55,02a58002o0392o
55,58002.443594000004,-19.886,0.8590000000000001,-40,35,o,0,1.0,34.65054,5.2542599999999995,9348.07,6262.18,2.1,1.99,35.0,-0.506,18.47,18.59,02a58002o0406o
56,58008.492484,21.406999999999996,1.952,10,19,o,0,1.07,34.65054,5.2542599999999995,675.03,5963.11,3.52,3.21,-89.5,-0.397,19.01,20.39,01a58008o0123o
57,58008.499351,21.473000000000003,1.8840000000000001,9,18,o,0,1.07,34.65054,5.2542599999999995,657.16,5900.03,3.48,2.92,-89.7,-0.418,19.09,20.42,01a58008o0137o
58,58008.500398000004,18.143,0.08800000000000001,201,18,o,0,233.04,34.65054,5.2542599999999995,10327.02,5908.96,3.97,2.98,-82.4,-0.424,19.04,20.34,01a58008o0139o
59,58008.506813,20.085,0.485,34,16,o,0,1.27,34.65054,5.2542599999999995,718.24,5952.38,3.4,2.77,89.4,-0.431,19.09,20.42,01a58008o0152o
60,58008.507292999995,20.445999999999998,0.875,24,21,o,0,0.87,34.65054,5.2542599999999995,10308.47,5845.4,3.95,3.24,-79.0,-0.40700000000000003,19.02,20.36,01a58008o0153o
61,58008.513699,19.689,0.385,48,19,o,0,0.89,34.65054,5.2542599999999995,738.57,5811.57,3.5,2.85,87.2,-0.42100000000000004,19.05,20.41,01a58008o0166o
62,58008.514746,20.522,0.884,22,20,o,0,0.95,34.65054,5.2542599999999995,10369.82,5897.55,3.99,2.99,-84.5,-0.423,19.01,20.36,01a58008o0168o
63,58008.52164500001,20.144000000000002,0.611,32,19,o,0,1.16,34.65054,5.2542599999999995,10390.37,5755.74,3.95,2.92,-85.6,-0.426,19.04,20.36,01a58008o0182o
64,58010.489262,19.618,0.18100000000000002,52,9,o,0,1.72,34.65054,5.2542599999999995,9854.39,4973.33,2.28,2.14,57.2,-0.47700000000000004,19.62,20.78,02a58010o0553o
65,58010.496179999995,20.16,0.348,31,11,o,0,0.99,34.65054,5.2542599999999995,9872.36,5015.42,2.18,2.08,48.8,-0.496,19.59,20.75,02a58010o0567o
66,58010.497248,20.35,0.354,26,9,o,0,1.13,34.65054,5.2542599999999995,201.19,4945.98,2.02,1.83,44.3,-0.44,19.61,20.71,02a58010o0569o
