,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57993.635765,-17.222,0.064,-469,30,o,0,16.81,75.80476999999999,-22.8331,10039.46,3020.48,2.43,1.97,57.5,-0.47700000000000004,18.79,19.1,02a57993o0839o
1,57999.631155999996,-16.739,0.035,-732,26,o,0,6.98,75.80476999999999,-22.8331,1101.29,10442.53,3.51,3.42,-21.1,-0.436,18.55,19.92,01a57999o0786o
2,58001.608436,17.881,0.107,256,27,o,0,25.48,75.80476999999999,-22.8331,3497.76,9662.08,2.31,1.98,27.9,-0.504,18.91,19.47,02a58001o0777o
3,58001.609362,-19.077,0.358,-85,30,o,0,71.71,75.80476999999999,-22.8331,8971.43,52.2,2.58,2.07,52.8,-0.41100000000000003,18.89,19.43,02a58001o0779o
4,58001.616859,-18.385,0.158,-161,25,o,0,32.17,75.80476999999999,-22.8331,3514.36,9704.03,2.45,2.11,31.6,-0.494,18.87,19.55,02a58001o0795o
5,58001.625785000004,-18.359,0.152,-165,25,o,0,22.58,75.80476999999999,-22.8331,3462.76,9627.28,2.45,2.15,32.1,-0.47600000000000003,18.94,19.64,02a58001o0814o
6,58001.626710000004,16.866,0.039,651,26,o,0,58.55,75.80476999999999,-22.8331,8896.75,94.76,2.6,2.14,53.5,-0.414,18.93,19.59,02a58001o0816o
7,58001.634277,-18.348,0.145,-166,24,o,0,19.19,75.80476999999999,-22.8331,3443.73,9746.09,2.52,2.26,54.0,-0.47200000000000003,18.83,19.43,02a58001o0832o
8,58002.525338,-16.526,0.053,-891,47,o,0,22.41,75.80476999999999,-22.8331,8867.54,2521.37,2.58,2.23,52.7,-0.444,17.99,18.37,02a58002o0571o
9,58002.531822000004,-18.317,0.24,-171,41,o,0,8.92,75.80476999999999,-22.8331,8885.71,2561.89,2.49,2.13,60.6,-0.439,18.16,18.44,02a58002o0585o
10,58002.537874,17.686,0.12,306,37,o,0,9.69,75.80476999999999,-22.8331,8814.83,2484.08,2.58,2.26,63.7,-0.444,18.12,18.51,02a58002o0598o
11,58002.548474,-17.175,0.07,-490,34,o,0,15.26,75.80476999999999,-22.8331,8796.78,2601.47,2.32,2.08,57.0,-0.451,18.3,18.64,02a58002o0612o
12,58004.555222,-17.456,0.09300000000000001,-378,35,o,0,4.75,75.80476999999999,-22.8331,7706.46,631.61,3.35,3.18,-89.8,-0.429,18.37,19.23,01a58004o0095o
13,58004.56215700001,-17.49,0.078,-366,29,o,0,5.53,75.80476999999999,-22.8331,7678.57,576.68,3.37,3.17,89.8,-0.43200000000000005,18.43,19.29,01a58004o0110o
14,58004.56905599999,-18.621,0.226,-129,29,o,0,6.47,75.80476999999999,-22.8331,7723.75,638.04,3.33,3.09,-88.5,-0.441,18.46,19.35,01a58004o0125o
15,58004.57595599999,-16.671,0.035,-779,28,o,0,5.56,75.80476999999999,-22.8331,7733.42,502.66,3.55,3.2,87.6,-0.428,18.45,19.42,01a58004o0140o
16,58007.608002999994,19.264,0.62,72,44,o,0,0.72,75.80476999999999,-22.8331,34.18,9711.07,3.44,2.64,-88.3,-0.47200000000000003,18.71,19.74,01a58007o0828o
17,58007.620838,-18.037,0.11900000000000001,-221,26,o,0,8.83,75.80476999999999,-22.8331,9856.52,9631.84,3.78,2.79,-87.2,-0.426,18.72,19.79,01a58007o0856o
18,58007.62221,17.993,0.113,230,26,o,0,9.5,75.80476999999999,-22.8331,9837.24,9587.98,3.77,2.8,-88.8,-0.418,18.78,19.87,01a58007o0859o
19,58007.62495800001,16.702,0.067,757,51,o,0,20.43,75.80476999999999,-22.8331,60.03,9693.04,3.31,2.57,-89.4,-0.467,18.43,19.37,01a58007o0865o
20,58007.63322,16.619,0.045,817,37,o,0,27.98,75.80476999999999,-22.8331,74.03,9545.52,3.23,2.55,-89.7,-0.47,18.54,19.4,01a58007o0883o
21,58007.63551,-19.085,0.479,-84,40,o,0,4.05,75.80476999999999,-22.8331,9881.6,9618.55,3.71,2.72,-89.9,-0.42200000000000004,18.35,19.07,01a58007o0888o
22,58011.600620000005,16.442999999999998,0.019,961,18,o,0,33.64,75.80476999999999,-22.8331,5117.12,192.97,3.01,2.87,0.5,-0.431,19.2,20.57,01a58011o0815o
23,58011.602462,16.347,0.02,1050,21,o,0,12.91,75.80476999999999,-22.8331,9513.93,9814.46,3.42,2.61,-85.5,-0.44799999999999995,19.2,20.51,01a58011o0819o
24,58011.608416999996,17.297,0.038,438,17,o,0,42.76,75.80476999999999,-22.8331,5096.52,153.68,3.06,2.92,4.4,-0.424,19.21,20.61,01a58011o0832o
25,58011.61025700001,17.47,0.048,373,18,o,0,32.74,75.80476999999999,-22.8331,9494.53,9774.22,3.49,2.68,-86.0,-0.439,19.19,20.54,01a58011o0836o
26,58011.616246000005,16.871,0.031,648,20,o,0,20.63,75.80476999999999,-22.8331,5149.95,232.2,3.07,2.97,4.5,-0.426,19.06,20.43,01a58011o0849o
27,58011.61807899999,16.97,0.036000000000000004,591,22,o,0,13.42,75.80476999999999,-22.8331,9570.1,9851.27,3.51,2.75,-84.9,-0.44,19.13,20.44,01a58011o0853o
28,58011.624069000005,17.029,0.034,560,19,o,0,33.0,75.80476999999999,-22.8331,5182.79,114.37,2.83,2.82,-57.1,-0.447,19.24,20.53,01a58011o0866o
29,58011.625909,17.5,0.053,363,19,o,0,14.48,75.80476999999999,-22.8331,9585.57,9732.65,3.49,2.71,-85.6,-0.44,19.06,20.35,01a58011o0870o
30,58013.602082000005,16.242,0.013000000000000001,1157,15,c,0,70.91,75.80476999999999,-22.8331,779.96,2015.86,2.48,2.34,63.0,-0.452,19.71,21.57,02a58013o0838c
31,58013.610822,16.578,0.182,849,155,c,0,1.88,75.80476999999999,-22.8331,10520.95,2118.86,2.85,2.59,76.5,-0.418,19.72,21.56,02a58013o0857c
32,58013.61404400001,16.348,0.013000000000000001,1049,14,c,0,74.29,75.80476999999999,-22.8331,795.06,2056.64,2.56,2.41,55.4,-0.444,19.71,21.53,02a58013o0864c
33,58013.622061,16.266,0.012,1131,14,c,0,83.93,75.80476999999999,-22.8331,738.24,1981.21,2.51,2.36,51.3,-0.441,19.74,21.53,02a58013o0879c
34,58013.631656,16.229,0.013000000000000001,1170,15,c,0,53.52,75.80476999999999,-22.8331,701.21,2098.87,2.48,2.36,55.5,-0.45299999999999996,19.64,21.24,02a58013o0900c
35,58015.592043,15.758,0.013999999999999999,1806,26,o,0,23.34,75.80476999999999,-22.8331,1334.93,7921.6,4.04,3.15,-1.5,-0.42200000000000004,18.93,20.57,01a58015o0476o
36,58015.599884,15.759,0.013999999999999999,1806,25,o,0,28.17,75.80476999999999,-22.8331,1353.9,7806.62,3.68,3.38,-0.7,-0.401,18.97,20.59,01a58015o0493o
