,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57964.622609000005,-17.942,0.11,-242,26,o,0,0.88,65.84308,25.41133,2318.52,1483.81,2.89,2.73,89.8,-0.47200000000000003,18.78,19.71,01a57964o0730o
1,57964.632987,-18.63,0.843,-128,108,o,0,1.01,65.84308,25.41133,2315.27,1422.63,2.85,2.67,86.9,-0.429,16.82,17.21,01a57964o0747o
2,57968.63370499999,-19.737000000000002,1.754,-46,81,o,0,1.06,65.84308,25.41133,2285.74,377.97,3.0,2.68,85.7,-0.474,17.52,17.63,01a57968o0589o
3,57973.63219,-16.934,0.155,-612,95,o,0,1.15,65.84308,25.41133,5532.25,289.81,2.89,2.78,-51.7,-0.465,17.31,17.34,01a57973o0739o
4,58001.606444000005,-18.155,0.11699999999999999,-199,23,o,0,1.24,65.84308,25.41133,242.06,4418.67,3.6,3.09,84.7,-0.428,18.72,19.9,01a58001o0416o
5,58001.616473,-18.067,0.10300000000000001,-215,22,o,0,0.88,65.84308,25.41133,232.87,4343.26,3.21,2.69,85.9,-0.457,18.9,19.97,01a58001o0433o
6,58001.62018,-18.139,0.11699999999999999,-202,24,o,0,0.91,65.84308,25.41133,9838.74,4362.78,3.74,3.07,-78.4,-0.439,18.83,19.94,01a58001o0440o
7,58001.626326,-17.930999999999997,0.091,-244,22,o,0,1.09,65.84308,25.41133,293.73,4384.09,3.48,3.06,87.0,-0.441,18.82,20.03,01a58001o0450o
8,58001.630564,-17.953,0.10400000000000001,-239,25,o,0,0.84,65.84308,25.41133,9830.07,4285.16,3.44,2.91,-84.2,-0.457,18.88,19.93,01a58001o0457o
9,58001.63604500001,-18.055999999999997,0.132,-218,29,o,0,0.72,65.84308,25.41133,317.09,4230.7,3.01,2.56,87.3,-0.488,18.68,19.52,01a58001o0467o
10,58001.63995700001,-17.785999999999998,0.17,-279,48,o,0,0.79,65.84308,25.41133,9891.22,4328.7,3.45,2.93,-83.6,-0.44799999999999995,18.14,18.68,01a58001o0474o
