,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58035.631741,-21.204,9.116,-12,109,o,0,1.39,136.18341999999998,37.22806,4961.8,1073.66,2.06,1.92,-67.6,-0.442,16.87,16.7,02a58035o0807o
1,58035.64085900001,18.095,0.313,210,66,o,0,0.96,136.18341999999998,37.22806,4980.32,1114.86,2.03,1.87,-63.3,-0.4,17.45,17.31,02a58035o0825o
2,58035.65049099999,19.289,3.049,70,213,o,0,1.06,136.18341999999998,37.22806,4935.16,1039.72,7.38,2.38,3.3,-0.184,15.89,16.34,02a58035o0842o
3,58061.491228,-20.539,1.98,-22,44,o,0,1.08,136.18341999999998,37.22806,8581.75,10215.72,3.27,2.78,-84.7,-0.46399999999999997,18.09,18.63,01a58061o0644o
4,58061.496037,19.01,0.429,90,39,o,0,1.32,136.18341999999998,37.22806,8578.21,10177.36,3.23,2.69,-81.7,-0.47200000000000003,18.13,18.68,01a58061o0654o
5,58061.499424,19.558,0.7340000000000001,55,40,o,0,0.98,136.18341999999998,37.22806,8648.99,10254.13,3.19,2.65,-81.6,-0.47600000000000003,18.2,18.72,01a58061o0661o
6,58061.501314,19.107,0.519,83,43,o,0,0.96,136.18341999999998,37.22806,8667.29,10135.71,3.09,2.6,-82.9,-0.48,18.27,18.73,01a58061o0665o
7,58065.602034,19.898,1.4169999999999998,40,56,o,0,1.11,136.18341999999998,37.22806,6932.53,8833.33,3.03,2.79,-71.1,-0.45899999999999996,18.33,18.93,01a58065o0826o
8,58065.610895000005,19.67,1.2329999999999999,49,61,o,0,1.77,136.18341999999998,37.22806,6959.74,8688.96,3.01,2.75,-70.7,-0.46,18.11,18.72,01a58065o0842o
9,58067.612362,20.814,0.909,17,16,o,0,1.12,136.18341999999998,37.22806,3846.97,1302.85,2.12,1.99,52.3,-0.452,19.22,19.94,02a58067o0853o
10,58067.622751,20.386,0.605,25,15,o,0,1.26,136.18341999999998,37.22806,3857.01,1344.97,2.15,1.99,48.5,-0.475,19.23,19.93,02a58067o0870o
11,58067.633762,22.371,3.2560000000000002,4,13,o,0,1.31,136.18341999999998,37.22806,3790.6,1268.58,2.1,1.92,49.5,-0.474,19.25,19.9,02a58067o0887o
12,58067.644428,21.928,2.206,6,14,o,0,1.87,136.18341999999998,37.22806,3776.39,1387.44,2.16,1.96,48.1,-0.45,19.16,19.85,02a58067o0904o
13,58073.607352,20.995,1.083,14,16,o,0,1.2,136.18341999999998,37.22806,7261.31,10490.61,3.77,2.96,-77.4,-0.429,19.32,21.08,01a58073o0851o
14,58073.618395000005,20.006,0.341,36,12,o,0,1.25,136.18341999999998,37.22806,7258.51,10411.46,3.6,2.75,-76.0,-0.441,19.42,21.14,01a58073o0869o
15,58073.62845900001,21.127,1.103,13,14,o,0,1.06,136.18341999999998,37.22806,7332.84,10453.97,3.62,2.83,-76.9,-0.43200000000000005,19.35,21.08,01a58073o0886o
16,58073.640086,19.875,0.348,41,14,o,0,1.23,136.18341999999998,37.22806,7360.5,10292.54,3.62,2.76,-79.0,-0.43200000000000005,19.39,21.08,01a58073o0904o
17,58074.64846900001,20.87,1.042,16,17,o,0,1.31,136.18341999999998,37.22806,9717.7,479.38,3.55,2.94,-79.4,-0.452,19.19,20.53,01a58074o0986o
18,58074.657452,-19.722,0.779,-47,36,o,0,1.14,136.18341999999998,37.22806,9709.99,404.01,3.56,2.98,-80.3,-0.452,18.22,18.78,01a58074o1005o
19,58075.633945,-20.451,1.3159999999999998,-24,32,c,0,3.78,136.18341999999998,37.22806,4894.54,37.1,2.79,2.42,44.7,-0.406,19.61,21.32,02a58075o0799c
20,58075.646374,-21.668000000000003,1.207,-8,9,c,0,1.76,136.18341999999998,37.22806,5572.15,10354.61,2.6,2.24,12.3,-0.47200000000000003,19.66,21.28,02a58075o0817c
21,58077.604427,21.633000000000003,1.5,8,12,o,0,1.31,136.18341999999998,37.22806,7656.83,9175.35,3.39,2.71,-78.3,-0.436,19.43,21.15,01a58077o0836o
22,58077.614416,20.203,0.435,30,13,o,0,1.22,136.18341999999998,37.22806,7652.68,9099.12,3.31,2.66,-78.6,-0.44299999999999995,19.42,21.24,01a58077o0854o
23,58077.624134000005,20.452,0.512,24,12,o,0,1.45,136.18341999999998,37.22806,7725.2,9141.7,3.34,2.68,-79.3,-0.44,19.46,21.23,01a58077o0871o
24,58077.635672000004,20.276,0.43,28,12,o,0,1.31,136.18341999999998,37.22806,7750.67,8982.29,3.37,2.68,-81.3,-0.435,19.47,21.18,01a58077o0889o
25,58079.632296,21.166999999999998,0.728,12,9,c,0,1.44,136.18341999999998,37.22806,5284.93,8906.63,2.46,2.27,16.6,-0.46799999999999997,19.81,21.62,02a58079o0837c
26,58079.641824,19.947,0.23800000000000002,38,9,c,0,1.29,136.18341999999998,37.22806,5266.69,8866.95,2.6,2.27,6.9,-0.45299999999999996,19.79,21.63,02a58079o0855c
27,58079.652471,23.976,14.667,1,14,c,0,1.27,136.18341999999998,37.22806,5325.43,8945.05,3.17,2.27,2.1,-0.45399999999999996,19.41,20.9,02a58079o0872c
28,58079.664115,-19.653,4.689,-50,234,c,0,0.7,136.18341999999998,37.22806,5333.97,8822.91,2.89,2.4,4.4,-0.449,17.19,17.99,02a58079o0890c
29,58081.596878,21.185,1.05,12,13,o,0,1.33,136.18341999999998,37.22806,9030.63,9742.16,3.41,2.71,-81.8,-0.444,19.44,21.23,01a58081o0843o
30,58081.60669099999,21.84,2.167,7,14,o,0,1.08,136.18341999999998,37.22806,9025.8,9665.32,3.45,2.7,-82.1,-0.43700000000000006,19.36,21.1,01a58081o0860o
31,58081.616625999995,20.377,16.0,26,410,o,0,1.42,136.18341999999998,37.22806,9083.94,9708.49,3.5,2.76,-83.1,-0.439,16.09,17.72,01a58081o0877o
32,58081.625801999995,-18.982,3.727,-93,346,o,0,1.19,136.18341999999998,37.22806,9121.51,9556.73,3.51,2.83,-81.6,-0.426,16.02,17.65,01a58081o0894o
33,58082.59956,20.16,0.449,31,14,o,0,1.34,136.18341999999998,37.22806,409.32,1649.66,3.33,2.62,78.8,-0.475,19.31,20.99,01a58082o0882o
34,58082.609832,20.377,0.525,26,14,o,0,1.13,136.18341999999998,37.22806,406.51,1572.95,3.38,2.83,83.9,-0.469,19.3,21.01,01a58082o0901o
35,58082.616482000005,-22.248,3.263,-5,15,o,0,1.14,136.18341999999998,37.22806,10341.84,1611.32,3.75,2.91,-82.6,-0.44,19.33,20.98,01a58082o0914o
36,58082.619434,20.913,0.794,16,12,o,0,1.49,136.18341999999998,37.22806,9526.94,8627.74,3.81,2.89,-85.3,-0.392,19.32,20.96,01a58082o0920o
37,58082.626247,-20.480999999999998,0.759,-23,18,o,0,1.31,136.18341999999998,37.22806,10335.41,1534.05,3.82,2.96,-81.9,-0.495,19.11,20.71,01a58082o0933o
38,58082.629114999996,21.545,1.6219999999999999,9,14,o,0,1.63,136.18341999999998,37.22806,496.18,1456.39,3.46,2.89,84.7,-0.46299999999999997,19.22,20.85,01a58082o0939o
39,58082.635132,20.949,1.3259999999999998,15,20,o,0,1.59,136.18341999999998,37.22806,10405.65,1579.21,3.82,2.97,-78.2,-0.435,18.99,20.6,01a58082o0952o
40,58082.644033000004,-18.178,16.494,-194,3206,o,0,1.13,136.18341999999998,37.22806,10428.73,1427.43,3.62,2.93,-80.4,-0.456,16.25,17.73,01a58082o0971o
