,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57974.35009199999,-16.971,0.799,-591,472,o,0,0.29,237.82357000000002,-15.45297,8391.87,32.31,2.38,2.02,41.0,-0.42200000000000004,18.87,19.29,02a57974o0222o
1,57974.350602,-19.887,0.5589999999999999,-40,22,o,0,2.1,237.82357000000002,-15.45297,4745.82,9700.85,2.1,1.92,-1.9,-0.49,18.7,19.15,02a57974o0223o
2,57974.35626,20.909000000000002,1.76,16,28,o,0,1.69,237.82357000000002,-15.45297,4727.79,9661.2,2.12,1.93,-1.6,-0.49200000000000005,18.69,19.07,02a57974o0234o
3,57974.36240700001,-19.083,0.35200000000000004,-84,30,o,0,1.74,237.82357000000002,-15.45297,4783.02,9739.69,2.16,1.94,-1.6,-0.488,18.63,19.0,02a57974o0246o
4,57974.36906799999,-20.189,1.218,-30,37,o,0,1.27,237.82357000000002,-15.45297,4803.53,9621.46,2.16,1.94,-2.0,-0.47600000000000003,18.58,18.93,02a57974o0259o
5,57975.281889,-21.59,2.75,-8,23,o,0,1.12,237.82357000000002,-15.45297,6942.68,1075.47,4.5,3.1,-0.8,-0.415,18.68,20.07,01a57975o0091o
6,57975.289102999996,-20.951999999999998,1.591,-15,24,o,0,1.32,237.82357000000002,-15.45297,6963.39,1143.18,4.85,3.33,-1.0,-0.4,18.5,19.92,01a57975o0105o
7,57975.2958,20.601999999999997,1.044,21,22,o,0,1.29,237.82357000000002,-15.45297,6910.45,1093.92,3.41,3.19,-3.4,-0.401,18.8,19.83,01a57975o0118o
8,57975.303090999994,-21.419,3.0,-10,30,o,0,1.29,237.82357000000002,-15.45297,6896.05,1238.85,4.68,4.42,-0.8,-0.366,18.35,19.76,01a57975o0132o
9,57976.318265999995,20.651999999999997,0.887,20,18,o,0,1.59,237.82357000000002,-15.45297,2050.05,10089.48,2.92,2.48,-81.4,-0.49700000000000005,18.99,20.07,01a57976o0146o
10,57976.327075,21.655,2.383,8,19,o,0,1.31,237.82357000000002,-15.45297,2068.07,10159.49,2.92,2.41,-81.7,-0.499,18.92,19.93,01a57976o0163o
