,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58065.654966999995,-18.447,0.77,-152,117,o,0,0.91,160.13703999999998,32.51975,10129.3,9409.61,3.43,2.86,-88.5,-0.445,16.85,17.03,01a58065o0923o
1,58081.660024000004,-18.698,0.866,-120,104,o,0,1.02,160.13703999999998,32.51975,2934.34,10246.2,2.87,2.47,-73.1,-0.48,17.02,17.68,01a58081o0947o
2,58093.574803999996,19.512999999999998,0.883,57,50,o,0,0.82,160.13703999999998,32.51975,1535.16,9430.77,3.3,2.83,-70.5,-0.445,18.02,18.82,01a58093o0776o
3,58093.588091,20.951999999999998,3.033,15,46,o,0,1.05,160.13703999999998,32.51975,1521.28,9352.35,3.23,2.79,-73.2,-0.45799999999999996,17.75,18.47,01a58093o0801o
4,58093.599184000006,20.000999999999998,1.797,36,65,o,0,1.31,160.13703999999998,32.51975,1607.35,9397.18,3.26,2.83,-82.6,-0.446,17.52,18.05,01a58093o0822o
5,58093.607304,-17.612000000000002,0.745,-327,244,o,0,1.24,160.13703999999998,32.51975,1633.91,9251.62,3.52,3.06,-83.6,-0.469,16.21,16.49,01a58093o0838o
6,58097.628370000006,21.587,1.61,8,14,o,0,1.55,160.13703999999998,32.51975,2257.62,8886.7,3.21,2.95,-87.1,-0.431,19.16,20.61,01a58097o0834o
7,58097.638714,21.502,1.617,9,15,o,0,1.12,160.13703999999998,32.51975,2246.86,8809.69,3.19,2.78,-77.7,-0.445,19.19,20.61,01a58097o0851o
8,58097.647209,21.54,1.86,9,16,o,0,1.01,160.13703999999998,32.51975,2302.0,8854.29,3.25,2.93,-77.6,-0.43200000000000005,19.13,20.59,01a58097o0868o
9,58097.658244000006,21.933000000000003,3.1710000000000003,6,19,o,0,1.08,160.13703999999998,32.51975,2341.63,8695.13,3.01,2.6,-78.1,-0.479,18.91,19.97,01a58097o0885o
10,58098.634688,-20.816999999999997,1.043,-17,18,o,0,1.08,160.13703999999998,32.51975,6303.65,107.34,3.23,3.04,-83.6,-0.439,18.99,20.45,01a58098o0939o
11,58098.64359400001,21.139,25.65,13,326,o,0,0.27,160.13703999999998,32.51975,6277.65,34.37,3.09,2.91,-88.0,-0.43700000000000006,19.21,20.69,01a58098o0958o
12,58098.652566,-20.655,1.173,-20,23,o,0,1.34,160.13703999999998,32.51975,6349.79,78.64,3.21,2.95,-78.3,-0.43200000000000005,18.65,19.85,01a58098o0977o
13,58099.613597,20.805,1.078,17,19,o,0,1.19,160.13703999999998,32.51975,8521.81,391.86,2.62,2.12,34.4,-0.469,19.08,20.05,02a58099o0859o
14,58099.62248,-20.85,1.063,-17,18,o,0,1.12,160.13703999999998,32.51975,8537.31,433.46,2.95,2.44,33.2,-0.41200000000000003,19.19,20.41,02a58099o0877o
15,58099.630725,20.067,0.586,34,20,o,0,1.04,160.13703999999998,32.51975,8487.79,356.36,2.55,2.07,35.7,-0.466,19.1,20.08,02a58099o0894o
16,58099.641992,20.712,1.2,19,23,o,0,1.55,160.13703999999998,32.51975,8451.45,484.89,2.62,2.14,41.4,-0.419,18.83,19.78,02a58099o0912o
17,58101.60258099999,21.241,1.136,12,13,o,0,1.19,160.13703999999998,32.51975,1201.51,8539.41,3.8,3.33,-82.3,-0.381,19.26,21.3,01a58101o0845o
18,58101.611108000005,-23.625,10.4,-1,13,o,0,1.11,160.13703999999998,32.51975,1193.05,8468.98,3.78,3.28,-83.7,-0.387,19.29,21.29,01a58101o0862o
19,58101.620411,21.478,1.214,9,11,o,0,1.38,160.13703999999998,32.51975,1267.25,8511.1,3.52,2.99,-84.9,-0.405,19.34,21.27,01a58101o0879o
20,58101.62985700001,23.601,9.833,1,13,o,0,1.08,160.13703999999998,32.51975,1293.69,8360.34,3.52,2.95,-86.6,-0.40399999999999997,19.33,21.24,01a58101o0896o
21,58102.623261,22.599,4.125,3,14,o,0,1.15,160.13703999999998,32.51975,9737.33,1489.68,3.35,2.8,-81.6,-0.445,19.38,20.92,01a58102o0931o
22,58102.632091,-22.72,4.692,-3,14,o,0,1.16,160.13703999999998,32.51975,9728.13,1415.7,3.55,2.98,-79.8,-0.423,19.31,20.94,01a58102o0950o
23,58102.64088200001,-20.465,0.586,-24,14,o,0,1.07,160.13703999999998,32.51975,9801.08,1461.43,3.43,2.83,-80.1,-0.442,19.33,20.79,01a58102o0969o
24,58102.649801,20.866999999999997,0.883,16,14,o,0,1.08,160.13703999999998,32.51975,9823.89,1309.14,3.42,2.83,-81.8,-0.44299999999999995,19.34,20.82,01a58102o0988o
25,58109.60924600001,22.454,2.765,4,10,o,0,1.62,160.13703999999998,32.51975,8109.89,924.33,3.54,2.88,-85.8,-0.442,19.5,21.55,01a58109o0178o
26,58109.618194,22.066999999999997,2.074,5,11,o,0,1.09,160.13703999999998,32.51975,1912.71,9256.36,3.27,2.82,-83.6,-0.436,19.49,21.49,01a58109o0192o
27,58109.62910599999,21.656999999999996,1.444,8,11,o,0,1.33,160.13703999999998,32.51975,8076.71,968.18,3.48,2.89,-87.4,-0.441,19.53,21.53,01a58109o0209o
28,58109.639708,-21.461,1.0,-10,10,o,0,1.38,160.13703999999998,32.51975,8044.61,1129.5,3.35,2.8,-87.6,-0.44299999999999995,19.56,21.53,01a58109o0226o
29,58110.600339,22.820999999999998,4.0,3,11,o,0,1.37,160.13703999999998,32.51975,8762.87,1442.58,3.14,2.81,-82.2,-0.44,19.53,21.31,01a58110o0891o
30,58110.609534,0.0,21.092,0,13,o,0,0.98,160.13703999999998,32.51975,8754.22,1367.59,3.19,2.88,-80.3,-0.435,19.54,21.33,01a58110o0910o
31,58110.618336,-20.839000000000002,0.684,-17,12,o,0,1.4,160.13703999999998,32.51975,8810.6,1412.27,3.32,2.96,-75.0,-0.429,19.5,21.35,01a58110o0929o
32,58110.62721900001,22.182,2.818,5,14,o,0,0.95,160.13703999999998,32.51975,8833.73,1260.57,3.4,3.02,-76.2,-0.428,19.46,21.32,01a58110o0948o
33,58112.60245399999,-19.579,0.478,-54,26,o,0,1.88,160.13703999999998,32.51975,3894.62,10526.27,2.49,2.0,18.0,-0.465,19.76,21.23,02a58112o0894o
