,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57978.423306,-20.733,0.735,-18,14,o,0,1.28,297.78139,50.563159999999996,1775.1,8770.28,2.85,2.47,-86.2,-0.485,19.22,20.67,01a57978o0348o
1,57978.43775,-19.7,0.278,-48,13,o,0,1.35,297.78139,50.563159999999996,1797.19,8865.61,2.87,2.48,-87.7,-0.485,19.19,20.61,01a57978o0376o
2,57978.44444299999,-22.09,2.844,-5,15,o,0,1.0,297.78139,50.563159999999996,1753.52,8813.36,2.93,2.53,-86.2,-0.473,19.14,20.58,01a57978o0389o
3,57978.445464,-21.625999999999998,1.939,-8,16,o,0,0.94,297.78139,50.563159999999996,1729.79,8933.19,2.94,2.51,-87.6,-0.479,19.18,20.57,01a57978o0391o
4,57980.407142,-21.721999999999998,1.291,-7,10,o,0,0.86,297.78139,50.563159999999996,6138.82,3221.79,1.99,1.88,-46.4,-0.485,19.71,20.92,02a57980o0337o
5,57980.410528,-20.375,0.299,-26,8,o,0,1.12,297.78139,50.563159999999996,6112.7,3182.63,2.0,1.88,-37.3,-0.483,19.71,20.92,02a57980o0344o
6,57980.426351,-21.752,1.3730000000000002,-7,10,o,0,0.74,297.78139,50.563159999999996,6174.22,3262.08,2.01,1.88,-36.7,-0.478,19.71,20.87,02a57980o0376o
7,57980.432186,-20.636999999999997,0.502,-20,10,o,0,0.79,297.78139,50.563159999999996,6198.19,3143.91,1.99,1.88,-36.6,-0.483,19.7,20.88,02a57980o0388o
8,57982.41085,-20.016,0.397,-36,14,o,0,1.0,297.78139,50.563159999999996,5227.56,9402.09,2.85,2.62,-84.4,-0.48700000000000004,19.26,20.82,01a57982o0346o
9,57982.415009000004,-19.977999999999998,0.40700000000000003,-37,15,o,0,1.07,297.78139,50.563159999999996,5257.52,9459.3,2.9,2.69,-85.9,-0.475,19.27,20.85,01a57982o0354o
10,57982.429071000006,-19.794,0.3,-44,13,o,0,1.16,297.78139,50.563159999999996,5194.58,9550.93,2.89,2.62,-87.6,-0.48700000000000004,19.32,20.89,01a57982o0381o
