,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58016.390774,-19.994,0.5,-36,18,o,0,0.96,354.65199,-11.39153,463.11,1844.82,4.07,3.73,76.2,-0.386,19.05,20.83,01a58016o0076o
1,58016.397847,-21.183000000000003,1.4040000000000001,-12,17,o,0,0.98,354.65199,-11.39153,439.42,1805.42,3.51,3.14,75.3,-0.447,19.09,20.78,01a58016o0090o
2,58016.402724,-20.947,1.153,-15,18,o,0,1.08,354.65199,-11.39153,10163.54,1727.94,3.65,3.06,-83.7,-0.433,19.23,20.8,01a58016o0100o
3,58016.405023,19.567999999999998,0.264,54,14,o,0,1.46,354.65199,-11.39153,495.47,1884.36,3.44,2.86,80.5,-0.461,19.19,20.78,01a58016o0105o
4,58016.409402,21.378,1.6469999999999998,10,17,o,0,1.05,354.65199,-11.39153,10141.89,1689.2,3.93,3.3,-84.4,-0.419,19.12,20.8,01a58016o0114o
5,58016.411715999995,-20.178,0.61,-31,19,o,0,1.04,354.65199,-11.39153,510.01,1767.62,3.57,2.98,79.4,-0.457,19.17,20.8,01a58016o0119o
6,58016.416504999994,-21.995,2.8569999999999998,-6,16,o,0,1.29,354.65199,-11.39153,10196.78,1766.25,3.78,3.26,-83.1,-0.418,19.16,20.77,01a58016o0129o
7,58016.423151999996,-22.151,3.278,-5,16,o,0,1.18,354.65199,-11.39153,10213.7,1647.47,3.89,3.17,-86.9,-0.429,19.15,20.78,01a58016o0143o
8,58018.401312,-20.016,0.28600000000000003,-36,10,c,0,0.91,354.65199,-11.39153,1745.42,9562.62,2.46,2.45,-35.6,-0.434,19.68,21.35,02a58018o0097c
9,58018.408202,-20.124000000000002,0.29100000000000004,-32,9,c,0,1.2,354.65199,-11.39153,1761.84,9602.34,2.53,2.49,-17.3,-0.43799999999999994,19.66,21.39,02a58018o0111c
10,58018.419336,-19.959,0.267,-38,10,c,0,0.93,354.65199,-11.39153,1697.19,9529.33,2.52,2.46,26.6,-0.446,19.65,21.4,02a58018o0133c
11,58018.420401999996,-19.974,0.255,-37,10,c,0,0.93,354.65199,-11.39153,8782.94,786.17,2.81,2.61,-69.5,-0.386,19.65,21.41,02a58018o0135c
12,58018.420858000005,13.337,0.27699999999999997,16796,4658,c,0,10.63,354.65199,-11.39153,8674.86,10525.4,2.97,2.61,42.0,-0.389,19.61,21.42,02a58018o0136c
13,58022.37790399999,-21.096999999999998,0.8190000000000001,-13,11,o,0,1.18,354.65199,-11.39153,7768.95,8058.74,2.14,2.11,3.2,-0.46299999999999997,19.57,20.6,02a58022o0337o
14,58022.384425,21.365,1.0270000000000001,10,11,o,0,0.82,354.65199,-11.39153,7790.28,8097.65,2.02,1.95,14.3,-0.47200000000000003,19.65,20.61,02a58022o0351o
15,58022.391283000004,21.836,1.535,7,10,o,0,1.01,354.65199,-11.39153,7733.27,8022.12,2.03,1.99,33.8,-0.475,19.62,20.62,02a58022o0366o
16,58022.394475,-23.136999999999997,5.091,-2,10,o,0,1.13,354.65199,-11.39153,7713.47,8139.25,2.02,1.94,17.8,-0.475,19.64,20.63,02a58022o0373o
17,58024.38879,-21.365,1.5,-10,16,o,0,1.08,354.65199,-11.39153,9532.3,4220.87,3.74,3.04,-86.0,-0.423,19.12,20.58,01a58024o0398o
18,58024.39655499999,20.352999999999998,0.574,26,15,o,0,1.0,354.65199,-11.39153,908.12,6154.51,3.28,2.86,88.7,-0.43,19.18,20.6,01a58024o0413o
19,58024.402246000005,20.604,1.3330000000000002,21,28,o,0,0.98,354.65199,-11.39153,10522.17,6135.67,3.86,3.0,-84.7,-0.426,19.2,20.63,01a58024o0423o
20,58024.404996000005,-20.834,0.747,-17,13,o,0,1.26,354.65199,-11.39153,857.58,6113.22,3.29,2.72,-88.7,-0.435,19.24,20.66,01a58024o0428o
21,58024.415891,-22.08,2.481,-5,13,o,0,1.1,354.65199,-11.39153,843.34,6272.37,3.31,2.76,89.6,-0.434,19.25,20.73,01a58024o0450o
22,58026.381458,-23.775,11.385,-1,13,o,0,1.23,354.65199,-11.39153,1926.96,2280.75,1.99,1.86,40.5,-0.489,19.34,20.1,02a58026o0378o
23,58026.387364999995,20.618000000000002,0.601,20,12,o,0,1.71,354.65199,-11.39153,8569.93,8188.12,2.01,1.88,34.0,-0.485,19.36,20.07,02a58026o0390o
24,58026.399403999996,-20.191,0.348,-30,11,o,0,1.14,354.65199,-11.39153,1981.6,2319.74,1.97,1.85,42.0,-0.488,19.34,20.11,02a58026o0416o
25,58026.399861,-20.988000000000003,0.7490000000000001,-15,11,o,0,1.46,354.65199,-11.39153,2000.58,2203.07,2.0,1.85,41.1,-0.505,19.36,20.12,02a58026o0417o
26,58028.367889999994,21.551,2.805,9,24,o,0,1.38,354.65199,-11.39153,2825.73,915.78,3.43,2.88,79.2,-0.42200000000000004,18.49,19.29,01a58028o0299o
27,58028.37549299999,20.79,1.6980000000000002,18,30,o,0,1.01,354.65199,-11.39153,7617.19,9423.52,3.33,2.75,-84.1,-0.452,18.58,19.38,01a58028o0314o
