,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57985.482258000004,19.799,1.0,44,44,c,0,0.95,346.82412,-17.48125,4892.67,6764.33,3.83,3.66,46.6,-0.374,17.97,20.15,02a57985o0511c
1,57985.49197999999,-20.581999999999997,0.71,-21,15,c,0,0.95,346.82412,-17.48125,4874.77,6725.03,2.8,2.64,37.2,-0.428,19.17,21.06,02a57985o0531c
2,57985.509427,21.565,2.222,9,19,c,0,0.9,346.82412,-17.48125,4932.37,6803.73,2.92,2.76,29.1,-0.42,18.88,20.81,02a57985o0567c
3,57985.515231,21.018,0.687,14,10,c,0,0.92,346.82412,-17.48125,4952.26,6687.55,2.69,2.55,28.8,-0.439,19.68,21.62,02a57985o0579c
4,57987.481888999995,-20.999000000000002,1.0270000000000001,-14,15,o,0,1.13,346.82412,-17.48125,3158.82,6531.98,3.13,2.69,-83.1,-0.457,19.21,20.73,01a57987o0260o
5,57987.492303,-20.294,0.47,-28,13,o,0,1.37,346.82412,-17.48125,3184.03,6611.12,3.15,2.8,-87.1,-0.44799999999999995,19.16,20.69,01a57987o0280o
6,57989.485487,24.143,24.333000000000002,1,20,c,0,1.37,346.82412,-17.48125,4457.3,5466.94,2.56,2.54,36.4,-0.41200000000000003,18.89,20.52,02a57989o0510c
7,57989.49541799999,21.344,1.5430000000000001,10,16,c,0,0.96,346.82412,-17.48125,4440.15,5427.2,2.52,2.51,52.0,-0.408,19.08,20.69,02a57989o0530c
8,57989.497401,20.82,0.847,17,14,c,0,1.35,346.82412,-17.48125,4495.77,5504.66,2.48,2.47,81.5,-0.409,19.18,20.82,02a57989o0534c
9,57989.511249,-23.669,10.429,-1,13,c,0,1.05,346.82412,-17.48125,4515.98,5389.13,2.53,2.48,-85.0,-0.41,19.35,21.02,02a57989o0562c
10,57991.487016,-22.655,4.812,-3,15,o,0,0.85,346.82412,-17.48125,5161.81,1767.33,3.18,2.84,-89.1,-0.439,19.15,20.75,01a57991o0501o
11,57991.497074,-19.767,0.308,-45,14,o,0,1.19,346.82412,-17.48125,5186.43,1848.08,3.1,2.78,85.3,-0.44,19.18,20.72,01a57991o0521o
12,57991.49909600001,-20.905,0.852,-16,13,o,0,1.33,346.82412,-17.48125,5131.24,1778.15,3.06,2.67,86.3,-0.452,19.19,20.69,01a57991o0525o
13,57991.512672000004,-22.096999999999998,2.7239999999999998,-5,14,o,0,0.95,346.82412,-17.48125,5120.3,1949.32,3.11,2.63,-88.4,-0.449,19.18,20.67,01a57991o0552o
14,57992.429489999995,-19.906,0.345,-40,14,o,0,1.04,346.82412,-17.48125,7373.73,464.4,3.05,2.94,-72.4,-0.44,19.41,21.06,01a57992o0328o
15,57992.436541999996,21.802,1.824,7,13,o,0,0.94,346.82412,-17.48125,7350.95,399.19,3.11,2.98,-74.1,-0.436,19.42,21.05,01a57992o0342o
