,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57987.438204,22.578000000000003,6.067,3,20,o,0,3.94,327.08383,-34.952890000000004,6532.24,1441.76,3.3,2.84,86.8,-0.43799999999999994,18.9,20.38,01a57987o0176o
1,57987.44706900001,-20.732,1.023,-18,19,o,0,6.21,327.08383,-34.952890000000004,6555.43,1516.98,3.24,2.71,89.6,-0.44799999999999995,18.91,20.33,01a57987o0193o
2,57987.456408000005,-20.359,0.9470000000000001,-26,25,o,0,2.08,327.08383,-34.952890000000004,6497.15,1478.65,3.37,2.98,88.0,-0.43700000000000006,18.92,20.38,01a57987o0211o
3,57987.463150999996,-21.046,1.541,-14,21,o,0,2.85,327.08383,-34.952890000000004,6484.89,1621.61,3.43,2.94,88.1,-0.424,18.92,20.39,01a57987o0224o
4,57989.440451999995,-23.595,7.111000000000001,-1,9,c,0,7.84,327.08383,-34.952890000000004,4926.2,869.27,2.74,2.5,66.9,-0.418,19.63,21.32,02a57989o0419c
5,57989.444902999996,18.741,0.28800000000000003,116,33,c,0,21.04,327.08383,-34.952890000000004,1234.05,10504.38,2.67,2.22,8.2,-0.43200000000000005,19.58,21.22,02a57989o0428c
6,57989.448908000006,19.144000000000002,0.157,80,13,c,0,5.95,327.08383,-34.952890000000004,4912.36,829.59,2.69,2.45,66.8,-0.42200000000000004,19.57,21.24,02a57989o0436c
7,57989.461286,22.004,2.0669999999999997,6,12,c,0,6.49,327.08383,-34.952890000000004,4962.92,906.79,2.86,2.54,74.9,-0.429,19.42,21.04,02a57989o0461c
8,57989.463276999995,-22.142,2.815,-5,14,c,0,5.25,327.08383,-34.952890000000004,4994.93,789.44,2.8,2.55,68.5,-0.419,19.42,21.04,02a57989o0465c
9,57989.464269000004,-21.654,2.66,-8,21,c,0,12.26,327.08383,-34.952890000000004,1320.84,10464.18,2.68,2.27,11.4,-0.425,19.36,20.97,02a57989o0467c
10,57991.442852,-19.820999999999998,0.41,-43,18,o,0,5.44,327.08383,-34.952890000000004,6338.91,6526.96,3.71,2.82,-83.6,-0.428,19.15,20.85,01a57991o0413o
11,57991.451886,22.791999999999998,7.0,3,19,o,0,6.59,327.08383,-34.952890000000004,6358.5,6602.36,3.66,2.83,-83.0,-0.429,19.11,20.76,01a57991o0431o
12,57991.460424000004,-20.108,0.56,-33,18,o,0,8.69,327.08383,-34.952890000000004,6311.42,6560.17,3.75,2.92,-82.2,-0.423,19.06,20.7,01a57991o0448o
13,57991.4694,-20.15,0.603,-32,19,o,0,6.19,327.08383,-34.952890000000004,6298.26,6711.58,3.71,2.9,-84.0,-0.425,19.01,20.56,01a57991o0466o
14,57993.431314999994,21.156,1.3530000000000002,12,17,o,0,8.41,327.08383,-34.952890000000004,3178.17,3439.51,2.21,1.95,47.1,-0.47200000000000003,19.37,20.34,02a57993o0412o
15,57993.43847000001,-21.273000000000003,1.281,-11,14,o,0,27.77,327.08383,-34.952890000000004,3164.66,3399.9,2.12,1.89,42.5,-0.46799999999999997,19.35,20.37,02a57993o0427o
16,57993.43942,20.459,0.823,24,20,o,0,7.49,327.08383,-34.952890000000004,3228.34,3477.76,2.12,1.87,42.4,-0.48700000000000004,19.36,20.36,02a57993o0429o
17,57993.445129,19.863,0.456,41,19,o,0,16.54,327.08383,-34.952890000000004,3245.62,3361.39,2.21,1.95,44.1,-0.461,19.41,20.37,02a57993o0441o
18,57997.394359000005,22.565,7.357,3,25,o,0,3.38,327.08383,-34.952890000000004,4346.92,5829.48,2.33,2.27,-38.0,-0.433,18.86,19.52,02a57997o0256o
19,57997.402677,-20.776999999999997,1.344,-18,24,o,0,3.58,327.08383,-34.952890000000004,4332.92,5794.65,2.26,2.22,-26.4,-0.441,18.85,19.51,02a57997o0272o
20,57997.410344,-20.465,0.912,-24,22,o,0,3.42,327.08383,-34.952890000000004,4382.14,5872.41,2.39,2.33,-57.2,-0.439,18.81,19.49,02a57997o0288o
21,57997.412260000005,-19.66,0.45,-50,22,o,0,5.67,327.08383,-34.952890000000004,4398.9,5755.51,2.14,2.12,-60.9,-0.441,18.92,19.49,02a57997o0292o
22,58007.391922,-19.169,0.337,-78,26,o,0,1.84,327.08383,-34.952890000000004,8046.08,4895.1,3.5,2.82,-86.3,-0.43700000000000006,18.7,19.79,01a58007o0364o
23,58007.400216999995,-13.277999999999999,0.001,-17741,18,o,0,12689.85,327.08383,-34.952890000000004,8065.72,4967.17,3.84,3.13,-86.5,-0.43200000000000005,18.41,19.62,01a58007o0382o
24,58007.408165,19.877,0.597,41,24,o,0,2.9,327.08383,-34.952890000000004,8003.43,4921.75,3.64,3.04,-85.9,-0.42700000000000005,18.67,19.85,01a58007o0399o
25,58007.41654400001,-21.371,2.395,-10,25,o,0,2.61,327.08383,-34.952890000000004,7988.92,5069.48,3.75,3.12,-83.1,-0.42100000000000004,18.61,19.86,01a58007o0417o
26,58011.378736,-20.919,1.048,-16,16,o,0,4.08,327.08383,-34.952890000000004,8110.84,4677.42,3.11,2.59,-81.3,-0.46799999999999997,19.28,20.72,01a58011o0335o
27,58011.386561,-19.176,0.22,-78,17,o,0,4.45,327.08383,-34.952890000000004,8125.09,4716.09,3.3,2.7,-80.5,-0.45,19.21,20.68,01a58011o0352o
28,58011.394386,15.475,0.006999999999999999,2344,16,o,0,1441.37,327.08383,-34.952890000000004,8058.62,4638.33,3.2,2.61,-81.2,-0.45799999999999996,19.26,20.71,01a58011o0369o
29,58011.402204,21.965999999999998,2.8,6,17,o,0,4.53,327.08383,-34.952890000000004,8043.53,4753.95,3.2,2.66,-81.2,-0.45899999999999996,19.25,20.74,01a58011o0386o
30,58011.428826999996,20.961,1.4409999999999998,15,22,o,0,9.15,327.08383,-34.952890000000004,905.26,9326.04,2.13,1.95,10.2,-0.491,19.33,20.38,02a58011o0409o
31,58011.439108000006,20.726,0.866,19,16,o,0,11.87,327.08383,-34.952890000000004,891.38,9284.65,2.17,1.97,15.7,-0.466,19.4,20.5,02a58011o0431o
32,58011.449336,18.73,0.159,117,18,o,0,20.73,327.08383,-34.952890000000004,941.83,9362.33,2.21,2.05,10.1,-0.478,19.35,20.47,02a58011o0453o
33,58011.459498000004,19.261,0.26899999999999996,72,19,o,0,11.16,327.08383,-34.952890000000004,977.3,9244.46,2.12,1.93,9.1,-0.485,19.2,20.36,02a58011o0475o
34,58013.383041999994,20.448,0.518,24,12,c,0,7.05,327.08383,-34.952890000000004,2671.45,4413.53,2.65,2.56,61.5,-0.401,19.59,21.27,02a58013o0364c
