,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57992.397818,-20.404,0.434,-25,11,o,0,1.33,328.66962,-6.7305399999999995,4677.52,1895.36,3.08,2.74,87.7,-0.446,19.44,21.15,01a57992o0272o
1,57992.405899,-20.125,0.316,-32,10,o,0,1.15,328.66962,-6.7305399999999995,4660.41,1829.2,2.99,2.84,76.1,-0.447,19.45,21.15,01a57992o0286o
2,57992.414872,-22.326999999999998,3.0,-4,13,o,0,0.84,328.66962,-6.7305399999999995,4718.36,1871.31,3.13,2.85,81.1,-0.439,19.41,21.14,01a57992o0301o
3,57992.422619000004,-19.909000000000002,0.33299999999999996,-40,13,o,0,3.77,328.66962,-6.7305399999999995,4734.49,1727.04,3.03,2.84,87.3,-0.445,19.44,21.13,01a57992o0315o
4,57994.416257000004,23.725,7.5,1,9,o,0,1.28,328.66962,-6.7305399999999995,3151.06,3150.71,2.13,2.05,46.2,-0.431,19.63,20.96,02a57994o0334o
5,57994.423965999995,20.855999999999998,0.529,16,9,o,0,1.13,328.66962,-6.7305399999999995,3133.24,3113.21,2.09,2.03,45.1,-0.433,19.65,21.01,02a57994o0348o
6,57994.432252,-23.125999999999998,4.455,-2,9,o,0,0.86,328.66962,-6.7305399999999995,3192.51,3192.75,2.07,2.0,71.4,-0.43799999999999994,19.72,21.02,02a57994o0363o
7,57994.439944000005,-20.354,0.32799999999999996,-26,9,o,0,1.13,328.66962,-6.7305399999999995,3212.28,3077.95,2.05,1.97,75.6,-0.439,19.68,20.97,02a57994o0377o
8,57996.393083,19.986,0.669,37,25,o,0,1.09,328.66962,-6.7305399999999995,8425.56,7708.14,3.65,3.52,-82.0,-0.389,18.77,20.25,01a57996o0157o
9,57996.400882,-19.85,0.46799999999999997,-42,20,o,0,1.12,328.66962,-6.7305399999999995,8450.33,7779.2,3.66,3.54,-42.0,-0.391,18.88,20.39,01a57996o0171o
10,57996.40956,-19.967,0.521,-37,20,o,0,0.97,328.66962,-6.7305399999999995,8397.1,7734.53,3.41,3.2,-79.1,-0.409,19.04,20.48,01a57996o0186o
11,57996.41753,-20.275,0.611,-28,17,o,0,0.96,328.66962,-6.7305399999999995,8383.83,7883.17,3.32,3.07,-79.8,-0.41200000000000003,19.07,20.5,01a57996o0200o
12,57998.416122,-19.991,0.419,-37,15,o,0,0.91,328.66962,-6.7305399999999995,4638.52,1175.97,2.03,1.92,61.5,-0.46799999999999997,19.1,19.69,02a57998o0340o
13,58010.364941,-21.358,0.7959999999999999,-10,8,o,0,1.08,328.66962,-6.7305399999999995,2710.96,1629.01,2.11,1.92,36.8,-0.49200000000000005,19.74,21.14,02a58010o0301o
14,58010.37171,-21.701999999999998,1.2409999999999999,-8,9,o,0,1.05,328.66962,-6.7305399999999995,2689.24,1589.54,2.07,1.86,44.4,-0.499,19.8,21.14,02a58010o0315o
15,58010.378929,-21.19,0.7140000000000001,-12,9,o,0,1.04,328.66962,-6.7305399999999995,2747.96,1669.43,2.07,1.87,44.3,-0.49,19.78,21.1,02a58010o0330o
16,58010.385922,-20.526,0.40399999999999997,-22,9,o,0,1.36,328.66962,-6.7305399999999995,2767.28,1555.05,2.29,2.11,26.7,-0.47600000000000003,19.64,21.11,02a58010o0344o
17,58011.435739,20.734,0.524,18,10,o,0,1.27,328.66962,-6.7305399999999995,947.77,5776.0,2.02,1.92,-22.3,-0.45399999999999996,19.52,20.75,02a58011o0424o
18,58011.446023000004,22.622,2.194,3,7,o,0,1.93,328.66962,-6.7305399999999995,929.79,5735.94,2.02,1.94,-30.5,-0.451,19.62,20.87,02a58011o0446o
