,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57988.314265,-23.459,5.5,-2,8,c,0,1.03,261.5872,41.68459,6807.59,4879.52,2.53,2.47,-82.8,-0.41200000000000003,19.83,21.76,02a57988o0169c
1,57988.324207000005,21.705,0.9470000000000001,8,7,c,0,1.28,261.5872,41.68459,6792.87,4842.0,2.6,2.54,88.3,-0.408,19.79,21.74,02a57988o0189c
2,57988.33547799999,-21.910999999999998,1.3780000000000001,-6,9,c,0,1.32,261.5872,41.68459,6848.12,4919.64,2.9,2.81,87.1,-0.402,19.61,21.68,02a57988o0212c
3,57988.342009,-21.916,1.4880000000000002,-6,9,c,0,1.01,261.5872,41.68459,6862.87,4803.61,2.7,2.6,86.8,-0.405,19.68,21.68,02a57988o0225c
4,57990.288160000004,-19.983,0.295,-37,11,o,0,1.13,261.5872,41.68459,5449.98,7339.8,2.96,2.74,3.6,-0.439,19.52,21.35,01a57990o0100o
5,57990.30467899999,-22.014,1.7,-6,10,o,0,1.46,261.5872,41.68459,5478.7,7444.34,3.07,2.85,8.2,-0.435,19.49,21.35,01a57990o0133o
6,57990.315189,-21.295,0.983,-11,11,o,0,0.98,261.5872,41.68459,5434.29,7408.41,3.05,2.87,8.2,-0.435,19.46,21.31,01a57990o0154o
7,57990.31972100001,-20.101,0.29,-33,10,o,0,1.25,261.5872,41.68459,5427.7,7542.75,3.03,2.85,4.3,-0.433,19.48,21.29,01a57990o0163o
8,57992.286067999994,-20.694000000000003,0.531,-19,10,o,0,1.4,261.5872,41.68459,4571.06,6969.12,2.3,2.09,-40.8,-0.442,19.66,20.92,02a57992o0010o
9,57992.29556599999,22.956,4.185,2,10,o,0,1.19,261.5872,41.68459,4552.53,6930.19,2.12,1.87,-38.8,-0.441,19.74,20.94,02a57992o0029o
10,57992.301385,-21.21,0.564,-12,7,o,0,2.01,261.5872,41.68459,4606.54,7007.69,1.94,1.81,-34.3,-0.45799999999999996,19.8,20.97,02a57992o0041o
11,57992.307249,-23.322,4.428999999999999,-2,8,o,0,1.18,261.5872,41.68459,4619.67,6889.54,1.96,1.8,-33.6,-0.467,19.79,20.96,02a57992o0053o
12,57996.263082000005,-21.197,1.0090000000000001,-12,12,o,0,1.31,261.5872,41.68459,4707.49,8442.13,2.22,1.95,31.3,-0.537,19.43,20.38,02a57996o0009o
13,57996.273357000005,20.465999999999998,0.589,24,14,o,0,1.14,261.5872,41.68459,4690.97,8400.03,2.23,2.0,30.2,-0.522,19.47,20.39,02a57996o0030o
14,57996.289598,-23.169,6.263,-2,12,o,0,0.91,261.5872,41.68459,4730.8,8476.19,2.17,1.98,27.3,-0.512,19.44,20.38,02a57996o0063o
15,57996.298649000004,22.279,2.7110000000000003,4,12,o,0,0.96,261.5872,41.68459,4758.76,8357.94,2.13,1.95,28.7,-0.504,19.42,20.36,02a57996o0081o
16,57998.251321,-20.187,0.536,-31,16,o,0,1.17,261.5872,41.68459,4675.42,1535.84,2.84,2.72,74.0,-0.466,19.11,20.25,01a57998o0062o
17,57998.268927,-20.305999999999997,0.5820000000000001,-27,16,o,0,1.4,261.5872,41.68459,4699.8,1646.8,3.05,2.83,83.1,-0.44,19.01,20.19,01a57998o0097o
18,57998.277908000004,-20.871,0.988,-16,16,o,0,1.25,261.5872,41.68459,4649.05,1604.81,3.0,2.9,57.4,-0.442,19.01,20.17,01a57998o0115o
19,57998.28344299999,22.461,4.6,4,17,o,0,1.29,261.5872,41.68459,4641.03,1742.99,3.01,2.88,68.4,-0.44,19.0,20.15,01a57998o0126o
20,58000.255772000004,23.090999999999998,6.875,2,14,o,0,1.58,261.5872,41.68459,3088.08,8637.29,2.01,1.86,22.6,-0.504,19.26,19.81,02a58000o0061o
21,58000.265935,20.81,1.095,17,19,o,0,1.35,261.5872,41.68459,3057.46,8598.47,1.99,1.82,22.7,-0.51,19.27,19.8,02a58000o0082o
22,58000.26825,-22.281,3.824,-4,17,o,0,0.95,261.5872,41.68459,3114.44,8673.89,1.99,1.83,18.6,-0.525,19.19,19.79,02a58000o0087o
23,58000.278859000005,24.333000000000002,23.875,1,16,o,0,1.23,261.5872,41.68459,3125.54,8556.06,1.94,1.8,10.5,-0.518,19.28,19.8,02a58000o0109o
24,58002.253064,-19.459,0.42100000000000004,-60,25,o,0,1.04,261.5872,41.68459,5225.81,1462.99,3.05,2.81,6.8,-0.44799999999999995,18.62,19.46,01a58002o0024o
25,58002.263513,21.866,4.176,6,27,o,0,0.81,261.5872,41.68459,5251.36,1544.59,3.09,2.84,2.9,-0.44299999999999995,18.64,19.44,01a58002o0046o
26,58002.26586,-20.083,0.746,-34,25,o,0,1.38,261.5872,41.68459,5194.17,1476.48,3.09,2.81,2.7,-0.44299999999999995,18.62,19.44,01a58002o0051o
27,58002.273465,-23.293000000000003,13.444,-2,24,o,0,1.21,261.5872,41.68459,5188.65,1623.75,3.13,2.86,-0.9,-0.444,18.61,19.41,01a58002o0067o
28,58004.241089999996,21.914,1.722,6,11,o,0,1.96,261.5872,41.68459,2827.0,9837.7,2.25,2.2,85.5,-0.488,19.46,20.69,02a58004o0014o
29,58004.242938,-21.145,0.97,-13,12,o,0,1.59,261.5872,41.68459,2811.11,9798.26,2.37,2.32,38.6,-0.474,19.43,20.65,02a58004o0018o
30,58004.251876,-21.070999999999998,1.045,-14,14,o,0,1.24,261.5872,41.68459,2848.71,9874.54,2.43,2.2,21.6,-0.48100000000000004,19.41,20.34,02a58004o0037o
31,58004.269023,-22.045,2.4419999999999997,-6,14,o,0,1.77,261.5872,41.68459,2863.13,9754.23,2.46,2.14,29.6,-0.512,19.28,19.99,02a58004o0072o
32,58004.269477999995,-19.782,0.35,-44,16,o,0,1.31,261.5872,41.68459,8768.76,127.78,2.84,2.16,46.9,-0.414,19.23,19.98,02a58004o0073o
33,58004.27085,-20.989,1.337,-15,20,o,0,1.04,261.5872,41.68459,8789.6,165.23,2.94,2.25,42.2,-0.39799999999999996,19.16,19.96,02a58004o0076o
34,58004.274998,-21.914,3.023,-6,19,o,0,1.15,261.5872,41.68459,8832.43,204.27,3.01,2.23,44.9,-0.41700000000000004,19.13,19.9,02a58004o0085o
35,58004.286664,-22.169,4.394,-5,22,o,0,1.03,261.5872,41.68459,8839.09,87.7,3.15,2.18,48.5,-0.39399999999999996,19.15,19.85,02a58004o0109o
36,58008.22444299999,20.17,0.657,31,20,o,0,1.0,261.5872,41.68459,3103.23,8365.18,2.19,2.11,-38.5,-0.447,19.17,19.79,02a58008o0025o
37,58008.2394,-21.732,1.19,-7,9,o,0,1.14,261.5872,41.68459,3072.74,8326.69,2.05,1.97,15.9,-0.469,19.77,21.05,02a58008o0057o
38,58008.250123000005,-23.906,10.4,-1,10,o,0,1.12,261.5872,41.68459,3126.54,8401.2,2.13,2.0,33.5,-0.478,19.76,21.05,02a58008o0080o
39,58008.25335700001,-23.578000000000003,5.571000000000001,-1,8,o,0,1.34,261.5872,41.68459,3154.79,8282.43,2.08,1.97,27.1,-0.483,19.76,21.04,02a58008o0087o
40,58010.222892,-20.055,0.599,-34,21,o,0,1.01,261.5872,41.68459,5916.61,1632.33,3.51,3.13,2.2,-0.42200000000000004,18.97,20.11,01a58010o0006o
41,58010.238825,-20.698,0.62,-19,12,o,0,1.19,261.5872,41.68459,5944.89,1735.53,3.2,2.99,0.7,-0.43,19.32,20.91,01a58010o0040o
42,58010.247707,-21.084,0.879,-13,12,o,0,1.21,261.5872,41.68459,5895.02,1693.69,3.16,2.96,4.4,-0.431,19.38,20.98,01a58010o0059o
43,58010.251827,-22.784000000000002,4.428999999999999,-3,12,o,0,0.96,261.5872,41.68459,5886.4,1827.49,3.07,2.99,8.0,-0.429,19.4,20.98,01a58010o0068o
44,58012.250374,21.017,0.88,14,12,c,0,1.17,261.5872,41.68459,1925.66,7162.89,2.36,2.28,1.1,-0.42700000000000005,19.36,20.9,02a58012o0078c
45,58012.253133000006,22.204,2.25,5,11,c,0,1.1,261.5872,41.68459,1910.33,7123.85,2.4,2.3,-1.8,-0.425,19.59,21.23,02a58012o0084c
46,58012.260614,-21.961,3.7,-6,22,c,0,1.12,261.5872,41.68459,1980.74,7082.37,2.41,2.33,-11.4,-0.42,18.55,19.95,02a58012o0100c
47,58012.261986000005,21.611,4.75,8,39,c,0,1.13,261.5872,41.68459,1967.71,7198.68,2.35,2.24,-5.8,-0.434,18.13,19.39,02a58012o0103c
48,58014.219526,-21.346,1.508,-10,16,o,0,1.27,261.5872,41.68459,5915.25,3289.68,2.8,2.66,-13.1,-0.46799999999999997,19.07,20.13,01a58014o0005o
49,58014.228402999994,22.962,5.571000000000001,2,13,o,0,0.93,261.5872,41.68459,5872.38,3251.29,2.82,2.67,-13.2,-0.466,19.44,20.91,01a58014o0024o
50,58014.23588200001,-22.636,3.5,-3,11,o,0,1.29,261.5872,41.68459,5931.47,3326.72,2.91,2.75,-12.1,-0.45299999999999996,19.45,20.96,01a58014o0040o
51,58014.243887,-20.845,0.772,-17,13,o,0,0.83,261.5872,41.68459,5861.09,3366.65,2.93,2.79,-15.0,-0.45399999999999996,19.38,20.91,01a58014o0057o
52,58016.241135000004,-21.785999999999998,1.1079999999999999,-7,8,c,0,1.27,261.5872,41.68459,3174.45,6940.58,2.32,2.26,16.3,-0.44299999999999995,19.81,21.7,02a58016o0060c
53,58016.24765499999,21.381,0.89,10,9,c,0,0.99,261.5872,41.68459,3143.46,6901.13,2.36,2.31,13.1,-0.439,19.79,21.7,02a58016o0074c
54,58016.256783000004,22.228,1.5590000000000002,5,7,c,0,1.58,261.5872,41.68459,3199.33,6975.84,2.63,2.57,16.7,-0.41700000000000004,19.68,21.69,02a58016o0094c
55,58016.258161,21.561,0.945,9,8,c,0,1.84,261.5872,41.68459,3229.51,6859.64,2.42,2.38,13.7,-0.43200000000000005,19.75,21.69,02a58016o0097c
56,58020.234065,-22.006,1.36,-6,8,c,0,1.25,261.5872,41.68459,3043.22,8346.14,2.35,2.28,4.8,-0.462,19.77,21.39,02a58020o0002c
57,58020.248311,-20.623,0.44,-20,9,c,0,1.26,261.5872,41.68459,3095.86,8419.3,2.4,2.23,11.2,-0.47,19.78,21.43,02a58020o0032c
58,58020.257376,22.291,1.8159999999999998,4,8,c,0,1.17,261.5872,41.68459,3106.54,8300.59,2.39,2.21,10.1,-0.467,19.82,21.45,02a58020o0050c
59,58022.228005,-20.378,0.5379999999999999,-26,14,o,0,0.88,261.5872,41.68459,7108.56,3773.38,3.01,2.97,24.4,-0.433,19.26,20.62,01a58022o0037o
