,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57747.63861,-20.444000000000003,0.687,-24,17,c,0,1.11,173.29411000000002,-10.22207,1723.48,9359.21,4.32,3.73,14.7,-0.40399999999999997,19.57,21.58,02a57747o0904c
1,57751.635709,-20.369,0.595,-26,15,c,0,1.03,173.29411000000002,-10.22207,5152.33,8317.1,3.79,3.74,50.7,-0.42100000000000004,19.67,21.65,02a57751o0417c
2,57751.650667999995,-21.474,1.5,-9,14,c,0,1.17,173.29411000000002,-10.22207,5134.74,8280.79,3.81,3.75,70.0,-0.42,19.65,21.64,02a57751o0447c
3,57751.663251,-20.34,0.679,-27,18,c,0,0.83,173.29411000000002,-10.22207,5192.28,8361.77,3.84,3.78,60.1,-0.418,19.46,21.26,02a57751o0472c
4,57751.67792,-17.875,1.0759999999999998,-257,276,c,0,1.3,173.29411000000002,-10.22207,5211.79,8243.15,3.67,3.63,88.4,-0.44299999999999995,17.79,18.05,02a57751o0501c
5,57763.600083000005,16.555999999999997,0.045,866,39,o,0,1.01,173.29411000000002,-10.22207,1552.99,9221.63,3.27,3.03,8.5,-0.48100000000000004,18.83,19.83,02a57763o0682o
6,57763.614085,16.570999999999998,0.044000000000000004,854,38,o,0,1.0,173.29411000000002,-10.22207,1538.06,9180.22,3.2,2.95,4.1,-0.49700000000000005,18.91,19.96,02a57763o0709o
7,57763.62874400001,16.548,0.03,873,26,o,0,2.2,173.29411000000002,-10.22207,1592.72,9261.19,3.19,2.88,0.3,-0.475,19.08,20.3,02a57763o0737o
8,57763.642461,16.555999999999997,0.027000000000000003,866,24,o,0,1.43,173.29411000000002,-10.22207,1615.31,9143.97,3.28,2.9,3.5,-0.469,19.43,21.04,02a57763o0764o
9,57763.65603300001,16.590999999999998,0.03,839,25,o,0,1.73,173.29411000000002,-10.22207,1577.44,9202.55,3.17,2.88,0.3,-0.467,19.43,21.01,02a57763o0791o
10,57764.603642999995,16.525,0.049,891,44,o,0,1.45,173.29411000000002,-10.22207,8144.18,1251.49,3.52,3.21,-88.4,-0.493,18.28,18.97,02a57764o0776o
11,57764.614376,16.534000000000002,0.042,884,37,o,0,1.06,173.29411000000002,-10.22207,8126.49,1213.58,3.55,3.18,-87.1,-0.48,18.69,19.54,02a57764o0796o
12,57764.631015,16.455,0.036000000000000004,951,35,o,0,1.23,173.29411000000002,-10.22207,8182.03,1293.17,3.55,3.19,-89.1,-0.478,18.79,19.73,02a57764o0825o
13,57764.648014,16.485,0.038,924,35,o,0,1.45,173.29411000000002,-10.22207,8201.37,1177.43,3.52,3.22,-86.8,-0.478,18.74,19.7,02a57764o0854o
14,57764.664739,16.455,0.037000000000000005,951,35,o,0,0.89,173.29411000000002,-10.22207,8162.78,1235.65,3.51,3.25,88.2,-0.483,18.77,19.83,02a57764o0883o
15,57767.597686,16.163,0.045,1243,56,o,0,1.27,173.29411000000002,-10.22207,3798.1,9031.73,3.24,2.92,-15.1,-0.479,18.51,19.23,02a57767o0758o
16,57767.613759,16.154,0.043,1254,54,o,0,1.22,173.29411000000002,-10.22207,3778.99,8993.51,3.29,2.97,-8.5,-0.45799999999999996,18.53,19.25,02a57767o0789o
17,57767.629178999996,16.26,0.044000000000000004,1138,50,o,0,1.39,173.29411000000002,-10.22207,3835.5,9071.86,3.26,2.91,-9.1,-0.474,18.56,19.32,02a57767o0819o
18,57767.644576,16.148,0.044000000000000004,1261,56,o,0,1.21,173.29411000000002,-10.22207,3857.59,8956.44,3.31,2.96,-3.4,-0.44799999999999995,18.55,19.31,02a57767o0849o
19,57767.659913,16.285999999999998,0.05,1110,56,o,0,1.44,173.29411000000002,-10.22207,3821.9,9013.97,3.29,2.93,-4.7,-0.489,18.51,19.25,02a57767o0879o
20,57771.592027,16.118,0.028999999999999998,1296,37,o,0,1.25,173.29411000000002,-10.22207,1584.69,7694.84,3.54,3.31,31.0,-0.48100000000000004,18.71,19.69,02a57771o0762o
21,57771.608207000005,16.073,0.027999999999999997,1351,38,o,0,1.18,173.29411000000002,-10.22207,1565.55,7656.03,3.45,3.27,31.8,-0.48100000000000004,18.74,19.72,02a57771o0793o
22,57771.6237,16.119,0.031,1295,40,o,0,1.09,173.29411000000002,-10.22207,1622.94,7733.77,3.46,3.26,32.8,-0.47600000000000003,18.73,19.71,02a57771o0823o
23,57771.639189,16.095,0.031,1325,41,o,0,0.88,173.29411000000002,-10.22207,1645.55,7618.61,4.11,3.43,8.1,-0.45799999999999996,18.62,19.74,02a57771o0853o
24,57771.654772,16.039,0.028999999999999998,1394,40,o,0,1.11,173.29411000000002,-10.22207,1608.97,7674.95,4.32,3.66,8.1,-0.43799999999999994,18.56,19.71,02a57771o0883o
25,57780.614331,16.034000000000002,0.013999999999999999,1400,20,c,0,1.86,173.29411000000002,-10.22207,7514.26,684.65,3.77,3.68,-78.2,-0.428,19.82,21.86,02a57780o0754c
26,57780.63568300001,16.04,0.013999999999999999,1393,20,c,0,1.55,173.29411000000002,-10.22207,7497.05,645.57,3.77,3.71,-63.5,-0.428,19.79,21.81,02a57780o0796c
27,57780.641423,16.048,0.015,1384,20,c,0,1.46,173.29411000000002,-10.22207,7557.26,723.44,3.96,3.89,-51.4,-0.409,19.75,21.8,02a57780o0807c
28,57780.66492,16.039,0.016,1394,22,c,0,1.55,173.29411000000002,-10.22207,7582.3,605.34,3.92,3.86,-34.1,-0.41700000000000004,19.5,21.32,02a57780o0848c
29,57783.559072000004,16.224,0.019,1176,22,c,0,1.18,173.29411000000002,-10.22207,2470.69,9173.51,4.16,4.09,29.0,-0.4,19.7,21.87,02a57783o0655c
30,57783.575194000005,16.235,0.016,1164,19,c,0,1.52,173.29411000000002,-10.22207,2451.6,9134.87,3.95,3.89,18.6,-0.408,19.77,21.92,02a57783o0686c
31,57783.591285,16.213,0.017,1188,20,c,0,1.42,173.29411000000002,-10.22207,2512.01,9217.72,3.96,3.89,32.9,-0.41200000000000003,19.77,21.93,02a57783o0717c
32,57783.607315999994,16.199,0.017,1203,20,c,0,1.51,173.29411000000002,-10.22207,2532.99,9099.49,3.86,3.78,27.7,-0.418,19.79,21.92,02a57783o0748c
33,57783.623361,16.207,0.016,1194,19,c,0,1.74,173.29411000000002,-10.22207,2494.98,9157.11,4.0,3.9,13.1,-0.408,19.73,21.89,02a57783o0779c
34,57787.530427,16.51,0.021,904,19,c,0,1.27,173.29411000000002,-10.22207,1639.92,7962.37,3.87,3.63,35.2,-0.42,19.79,21.9,02a57787o0609c
35,57787.54403,16.496,0.02,915,18,c,0,1.32,173.29411000000002,-10.22207,1621.36,7924.03,3.81,3.57,35.3,-0.43200000000000005,19.8,21.86,02a57787o0637c
36,57787.558825,16.511,0.021,903,19,c,0,1.59,173.29411000000002,-10.22207,1678.06,8002.87,3.8,3.57,34.6,-0.43200000000000005,19.82,21.91,02a57787o0666c
