,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57736.671751999995,17.779,2.131,281,598,o,0,1.56,196.91425,6.33756,8438.66,8958.78,3.78,3.55,88.2,-0.493,17.43,17.27,02a57736o0898o
1,57768.660758000005,16.22,0.031,1180,37,o,0,2.52,196.91425,6.33756,2947.68,2398.2,3.65,3.54,85.9,-0.426,18.71,19.62,02a57768o0882o
2,57776.67022000001,16.267,0.021,1130,24,c,0,2.39,196.91425,6.33756,1603.49,2220.82,3.99,3.88,77.9,-0.382,19.27,20.79,02a57776o0869c
3,57780.667162,16.371,0.02,1027,21,c,0,5.45,196.91425,6.33756,1452.05,3752.78,4.05,3.74,66.7,-0.38799999999999996,19.51,21.23,02a57780o0852c
4,57784.661277,16.687,0.026000000000000002,768,20,c,0,4.02,196.91425,6.33756,3154.11,1890.02,3.98,3.94,-80.8,-0.379,19.65,21.67,02a57784o0661c
5,57784.681322000004,16.935,0.345,611,211,c,0,1.15,196.91425,6.33756,3214.12,1965.2,4.09,4.04,-77.3,-0.38799999999999996,17.47,17.58,02a57784o0693c
6,57788.626265,16.805999999999997,0.033,688,22,o,0,8.82,196.91425,6.33756,518.82,4605.67,3.68,3.41,83.9,-0.43200000000000005,19.52,21.22,02a57788o0794o
7,57788.641705999995,16.903,0.033,629,21,o,0,8.01,196.91425,6.33756,10309.02,4624.66,3.76,2.88,87.9,-0.47100000000000003,19.52,21.22,02a57788o0822o
8,57788.645613,16.915,0.034,622,21,o,0,10.77,196.91425,6.33756,499.29,4566.81,3.69,3.43,81.2,-0.43200000000000005,19.5,21.19,02a57788o0828o
9,57788.660303,16.844,0.032,664,21,o,0,13.38,196.91425,6.33756,558.47,4642.68,3.68,3.42,83.9,-0.434,19.43,21.06,02a57788o0856o
10,57788.663198,16.895,0.033,634,21,o,0,7.11,196.91425,6.33756,10288.31,4588.06,3.8,2.94,87.1,-0.465,19.4,21.0,02a57788o0861o
11,57788.675478,16.84,0.07200000000000001,667,48,o,0,1.68,196.91425,6.33756,10350.13,4665.85,3.73,2.82,88.0,-0.506,18.32,18.84,02a57788o0881o
12,57788.679194000004,16.88,0.162,642,104,o,0,1.19,196.91425,6.33756,583.04,4526.03,3.7,3.45,82.9,-0.429,17.64,17.58,02a57788o0887o
13,57792.63045,16.898,0.04,632,25,o,0,10.11,196.91425,6.33756,2975.74,1340.74,3.71,3.58,-53.9,-0.46,19.23,20.72,02a57792o0059o
14,57792.648072,17.180999999999997,0.052000000000000005,487,25,o,0,3.16,196.91425,6.33756,2956.57,1301.81,3.78,3.63,-31.6,-0.455,19.23,20.77,02a57792o0087o
15,57800.617625,17.064,0.061,542,33,o,0,4.98,196.91425,6.33756,355.48,4127.66,3.84,3.46,73.5,-0.408,18.76,19.76,02a57800o0600o
16,57800.619165,17.363,0.071,412,29,o,0,2.36,196.91425,6.33756,10145.93,4144.94,3.79,3.01,87.9,-0.457,18.71,19.65,02a57800o0603o
17,57800.633639,17.023,0.062,564,35,o,0,2.48,196.91425,6.33756,337.4,4086.82,3.77,3.4,75.9,-0.414,18.77,19.76,02a57800o0632o
18,57800.640780999995,17.368,0.09300000000000001,410,38,o,0,2.05,196.91425,6.33756,10130.54,4108.09,3.86,3.15,86.9,-0.44299999999999995,18.68,19.63,02a57800o0646o
19,57800.649232,17.094,0.062,528,32,o,0,2.58,196.91425,6.33756,397.83,4162.23,3.76,3.39,75.5,-0.414,18.76,19.72,02a57800o0663o
20,57800.663261,17.175,0.085,490,42,o,0,1.96,196.91425,6.33756,10192.24,4182.57,3.8,3.02,87.7,-0.457,18.56,19.37,02a57800o0689o
21,57800.66475599999,17.095,0.076,527,40,o,0,2.29,196.91425,6.33756,421.58,4043.77,3.81,3.53,76.6,-0.40700000000000003,18.51,19.28,02a57800o0692o
22,57800.66725599999,17.15,0.10800000000000001,501,54,o,0,1.68,196.91425,6.33756,10211.0,4065.32,3.77,3.04,86.1,-0.462,18.34,18.91,02a57800o0697o
23,57804.606926,17.975,0.084,234,20,c,0,6.01,196.91425,6.33756,234.23,4264.63,4.12,3.77,66.3,-0.363,19.44,21.18,02a57804o0757c
24,57804.620601,17.81,0.071,273,19,c,0,3.25,196.91425,6.33756,10024.31,4282.23,3.96,3.46,89.7,-0.423,19.45,21.16,02a57804o0780c
25,57804.627196,17.704,0.061,301,18,c,0,5.6,196.91425,6.33756,219.29,4225.15,4.09,3.7,68.7,-0.36700000000000005,19.42,21.11,02a57804o0792c
26,57804.635667999995,16.012,0.012,1430,18,c,0,87.32,196.91425,6.33756,277.27,4300.12,4.08,3.7,68.1,-0.368,19.41,21.08,02a57804o0809c
27,57804.63765599999,17.434,0.049,386,19,c,0,5.1,196.91425,6.33756,10008.07,4243.98,3.94,3.4,87.5,-0.425,19.41,21.07,02a57804o0813c
28,57804.645042,16.744,0.083,729,60,o,0,7.4,196.91425,6.33756,9637.28,5669.01,3.33,3.02,86.8,-0.6,18.64,20.18,01a57804o0718o
29,57804.648335000005,17.730999999999998,0.061,293,18,c,0,4.94,196.91425,6.33756,10068.31,4321.97,3.93,3.36,87.9,-0.41700000000000004,19.39,21.03,02a57804o0834c
30,57804.653312,17.701,0.065,302,20,c,0,2.71,196.91425,6.33756,299.71,4182.56,4.15,3.94,32.3,-0.348,19.29,20.99,02a57804o0843c
31,57804.659395,16.686,0.085,768,65,o,0,2.59,196.91425,6.33756,9657.04,5707.76,3.32,3.05,85.7,-0.623,18.29,19.6,01a57804o0746o
32,57804.669189,17.590999999999998,0.19,334,63,c,0,1.45,196.91425,6.33756,10089.86,4204.49,3.88,3.33,88.0,-0.419,18.35,19.09,02a57804o0872c
33,57804.670178,21.053,5.9,14,81,c,0,1.31,196.91425,6.33756,264.08,4238.07,4.03,3.75,63.9,-0.355,18.12,18.73,02a57804o0874c
34,57806.638571,16.709,0.063,752,48,o,0,6.41,196.91425,6.33756,8420.28,7275.84,3.81,3.39,-79.9,-0.5820000000000001,18.79,20.61,01a57806o0826o
35,57806.652433,17.023,0.08199999999999999,564,46,o,0,9.35,196.91425,6.33756,8439.75,7315.03,4.01,3.58,-77.8,-0.5670000000000001,18.7,20.52,01a57806o0853o
36,57806.666414,17.154,0.331,500,166,o,0,1.65,196.91425,6.33756,8381.5,7238.62,3.74,3.38,-78.2,-0.726,17.69,18.68,01a57806o0880o
37,57808.598375,17.783,0.07,280,20,c,0,4.12,196.91425,6.33756,331.99,3000.5,4.01,3.75,74.3,-0.379,19.53,21.42,02a57808o0723c
38,57808.599538,17.480999999999998,0.051,370,19,c,0,3.33,196.91425,6.33756,10131.02,3017.43,3.9,3.47,83.3,-0.43,19.58,21.47,02a57808o0725c
39,57808.602534000005,17.577,0.053,338,18,c,0,4.99,196.91425,6.33756,314.04,2960.84,3.99,3.7,76.5,-0.379,19.6,21.49,02a57808o0731c
40,57808.62274500001,15.725,0.009000000000000001,1862,16,c,0,223.51,196.91425,6.33756,10115.22,2980.81,3.84,3.45,82.9,-0.42200000000000004,19.65,21.54,02a57808o0768c
