,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57998.413847,-19.896,0.426,-40,17,o,0,1.03,327.427,-1.2477200000000002,6889.43,2098.59,2.16,2.11,-86.6,-0.428,19.11,19.75,02a57998o0336o
1,58010.363065,-21.612,0.966,-8,8,o,0,1.83,327.427,-1.2477200000000002,4970.8,2559.53,2.06,1.97,57.6,-0.456,19.75,21.19,02a58010o0297o
2,58010.369725,-21.545,0.9159999999999999,-9,8,o,0,2.38,327.427,-1.2477200000000002,4948.87,2519.34,2.06,1.97,61.1,-0.451,19.75,21.16,02a58010o0311o
3,58010.376977,-20.347,0.304,-26,8,o,0,1.56,327.427,-1.2477200000000002,5007.3,2598.63,2.07,1.95,63.6,-0.452,19.75,21.14,02a58010o0326o
4,58010.383752,-21.180999999999997,0.6940000000000001,-12,8,o,0,1.85,327.427,-1.2477200000000002,5027.26,2482.88,2.14,2.05,64.5,-0.446,19.74,21.14,02a58010o0340o
5,58011.43251900001,-20.245,0.306,-29,9,o,0,1.92,327.427,-1.2477200000000002,1761.52,6701.93,2.16,2.0,-38.1,-0.431,19.64,20.9,02a58011o0417o
6,58011.442798000004,-20.448,0.368,-24,9,o,0,1.54,327.427,-1.2477200000000002,1741.67,6662.81,2.17,2.01,-42.7,-0.436,19.66,20.89,02a58011o0439o
7,58011.453025999996,-21.039,0.634,-14,9,o,0,1.29,327.427,-1.2477200000000002,1799.6,6740.17,2.14,1.97,-41.8,-0.434,19.63,20.88,02a58011o0461o
8,58011.46273300001,22.076999999999998,1.868,5,10,o,0,1.71,327.427,-1.2477200000000002,1821.88,6622.26,2.13,1.98,-37.4,-0.439,19.58,20.78,02a58011o0482o
9,58012.353429999996,22.568,8.443999999999999,3,29,o,0,0.79,327.427,-1.2477200000000002,4411.79,7786.51,2.98,2.85,-63.5,-0.455,18.57,20.11,01a58012o0298o
10,58012.360134,-19.447,0.49,-60,30,o,0,1.36,327.427,-1.2477200000000002,4431.8,7824.91,2.89,2.63,-77.0,-0.474,18.46,19.98,01a58012o0312o
11,58012.367740999995,25.255,65.0,0,19,o,0,1.51,327.427,-1.2477200000000002,4371.86,7745.88,2.87,2.67,-78.5,-0.474,18.78,20.34,01a58012o0327o
12,58012.37510700001,-21.203000000000003,1.2590000000000001,-12,15,o,0,1.13,327.427,-1.2477200000000002,4353.04,7861.32,2.79,2.66,-71.4,-0.47600000000000003,19.17,20.74,01a58012o0341o
13,58016.349911000005,-23.713,11.6,-1,14,o,0,1.37,327.427,-1.2477200000000002,4862.64,2072.86,3.55,3.07,-5.4,-0.431,19.27,20.93,01a58016o0002o
14,58016.357722,-21.771,1.595,-7,11,o,0,1.43,327.427,-1.2477200000000002,5621.81,8404.3,2.96,2.93,-12.7,-0.451,19.34,20.98,01a58016o0017o
15,58016.364898,20.656999999999996,0.753,20,15,o,0,1.18,327.427,-1.2477200000000002,5607.62,8520.8,3.24,3.18,88.2,-0.424,19.21,20.93,01a58016o0031o
16,58022.335074,-20.795,0.544,-18,10,o,0,1.59,327.427,-1.2477200000000002,7120.5,2675.95,2.13,2.04,-73.8,-0.441,19.62,20.74,02a58022o0253o
17,58022.341836,21.111,0.726,13,10,o,0,2.38,327.427,-1.2477200000000002,7102.81,2638.74,2.1,2.03,-70.5,-0.44799999999999995,19.61,20.71,02a58022o0267o
18,58022.348035,-21.307,0.728,-11,8,o,0,2.32,327.427,-1.2477200000000002,7162.7,2718.52,2.12,2.01,-78.3,-0.444,19.64,20.71,02a58022o0280o
19,58022.354921000006,-23.346999999999998,6.25,-2,10,o,0,1.23,327.427,-1.2477200000000002,7181.15,2601.84,2.2,2.11,-16.7,-0.445,19.54,20.68,02a58022o0294o
20,58024.332887,20.361,0.45799999999999996,26,12,o,0,1.54,327.427,-1.2477200000000002,5983.31,5797.39,2.84,2.71,-76.7,-0.452,19.28,20.6,01a58024o0286o
21,58024.34011900001,-23.136999999999997,6.167000000000001,-2,12,o,0,1.17,327.427,-1.2477200000000002,6005.97,5865.19,2.82,2.7,-75.8,-0.45399999999999996,19.29,20.59,01a58024o0301o
22,58024.347279999994,-20.813000000000002,0.8220000000000001,-17,14,o,0,1.16,327.427,-1.2477200000000002,5950.27,5817.38,2.85,2.69,-84.1,-0.45399999999999996,19.28,20.58,01a58024o0316o
23,58024.35443300001,21.22,1.242,12,15,o,0,0.96,327.427,-1.2477200000000002,5934.41,5961.71,2.99,2.75,89.3,-0.442,19.24,20.57,01a58024o0331o
24,58026.33734,20.563000000000002,0.674,22,15,o,0,1.34,327.427,-1.2477200000000002,6346.85,2578.73,2.14,2.07,-86.7,-0.442,19.31,20.06,02a58026o0290o
25,58026.344559000005,-21.265,1.13,-11,13,o,0,1.61,327.427,-1.2477200000000002,6329.06,2540.82,2.21,2.11,82.2,-0.445,19.27,20.06,02a58026o0305o
26,58026.351766,-20.525,0.594,-22,13,o,0,1.35,327.427,-1.2477200000000002,6389.54,2618.62,2.19,2.07,88.3,-0.451,19.25,19.98,02a58026o0320o
27,58026.35993099999,-21.416999999999998,1.365,-10,13,o,0,1.24,327.427,-1.2477200000000002,6410.21,2501.86,2.2,2.07,-87.8,-0.439,19.24,19.91,02a58026o0335o
28,58028.329975,18.11,0.973,207,201,o,0,0.35,327.427,-1.2477200000000002,3024.67,9240.37,2.96,2.61,-85.3,-0.495,18.14,18.87,01a58028o0227o
29,58028.337683000005,21.46,4.22,10,40,o,0,1.23,327.427,-1.2477200000000002,3046.37,9310.54,3.1,2.72,-89.3,-0.47200000000000003,18.1,18.88,01a58028o0242o
30,58028.34549199999,-20.329,1.3630000000000002,-27,36,o,0,1.25,327.427,-1.2477200000000002,2992.08,9266.62,3.08,2.67,-86.4,-0.473,18.07,18.87,01a58028o0257o
31,58028.353412000004,22.133000000000003,8.333,5,42,o,0,1.21,327.427,-1.2477200000000002,2978.0,9415.8,3.06,2.7,-81.1,-0.49,18.03,18.87,01a58028o0272o
32,58031.408854999994,20.517,2.4090000000000003,22,54,o,0,0.97,327.427,-1.2477200000000002,5275.01,9481.3,3.41,3.05,-76.2,-0.45799999999999996,18.11,18.65,01a58031o0456o
33,58031.416847,-21.256999999999998,3.5,-11,40,o,0,1.03,327.427,-1.2477200000000002,5298.76,9549.18,3.27,2.85,-79.3,-0.46,18.16,18.64,01a58031o0473o
34,58031.425601999996,-19.934,1.185,-39,46,o,0,0.94,327.427,-1.2477200000000002,5244.13,9503.33,3.53,3.1,-82.5,-0.44799999999999995,18.07,18.59,01a58031o0490o
35,58031.435162,-21.178,3.741,-12,46,o,0,1.02,327.427,-1.2477200000000002,5230.03,9653.12,3.42,2.93,-78.4,-0.451,18.02,18.52,01a58031o0507o
36,58032.389915,-20.391,1.248,-25,32,o,0,1.17,327.427,-1.2477200000000002,2834.7,6360.21,2.96,2.61,-82.1,-0.48200000000000004,18.52,19.21,01a58032o0416o
37,58032.398460000004,-19.74,0.851,-46,39,o,0,0.86,327.427,-1.2477200000000002,2858.62,6430.89,2.97,2.7,-89.4,-0.47200000000000003,18.47,19.16,01a58032o0434o
38,58032.406545000005,-20.151,1.203,-32,38,o,0,1.12,327.427,-1.2477200000000002,2804.92,6382.55,3.2,2.92,-86.8,-0.45299999999999996,18.43,19.13,01a58032o0451o
39,58032.415275,-19.996,0.9620000000000001,-36,35,o,0,1.39,327.427,-1.2477200000000002,2789.43,6530.48,3.17,2.81,-87.1,-0.457,18.41,19.09,01a58032o0469o
40,58033.32668,20.471,0.9490000000000001,24,22,o,0,1.11,327.427,-1.2477200000000002,4203.46,6707.39,2.96,2.6,86.9,-0.47700000000000004,18.87,19.84,01a58033o0221o
41,58033.333553,-20.167,0.665,-31,21,o,0,1.39,327.427,-1.2477200000000002,4227.3,6773.12,3.03,2.7,-86.4,-0.466,18.85,19.82,01a58033o0235o
42,58033.33992200001,-22.753,7.0,-3,20,o,0,1.36,327.427,-1.2477200000000002,4170.88,6722.26,3.16,2.75,87.2,-0.456,18.81,19.82,01a58033o0248o
43,58033.346819000006,20.673000000000002,1.05,20,20,o,0,1.39,327.427,-1.2477200000000002,4153.86,6866.95,3.22,2.74,87.8,-0.45,18.79,19.77,01a58033o0262o
44,58034.324221,-19.209,4.5889999999999995,-75,345,o,0,0.57,327.427,-1.2477200000000002,4658.59,4127.61,2.16,2.02,-68.8,-0.491,16.07,15.97,02a58034o0281o
45,58034.331562,-19.097,1.146,-83,96,o,0,0.89,327.427,-1.2477200000000002,4640.24,4089.27,2.16,2.02,-66.6,-0.46399999999999997,17.3,17.31,02a58034o0296o
46,58034.339054,19.718,1.585,47,75,o,0,0.84,327.427,-1.2477200000000002,4698.87,4167.46,2.2,2.04,-68.3,-0.452,17.57,17.67,02a58034o0311o
47,58034.346257000005,20.666,1.0759999999999998,20,21,o,0,1.58,327.427,-1.2477200000000002,4721.03,4052.62,2.24,2.02,-66.0,-0.446,18.75,19.34,02a58034o0326o
48,58035.330138,21.198,1.364,12,16,o,0,1.79,327.427,-1.2477200000000002,3376.8,7389.55,2.75,2.58,-83.3,-0.48200000000000004,19.14,20.41,01a58035o0271o
49,58035.337382000005,20.612,2.1830000000000003,21,45,o,0,1.84,327.427,-1.2477200000000002,3398.62,7457.02,2.74,2.57,-83.0,-0.501,18.02,19.33,01a58035o0286o
50,58035.344712,-20.9,2.786,-16,44,o,0,1.39,327.427,-1.2477200000000002,3342.42,7409.86,2.75,2.51,-85.9,-0.511,18.31,19.19,01a58035o0301o
