,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58016.524742999994,-20.283,0.5760000000000001,-28,16,o,0,1.39,65.41915,-3.54112,8680.57,7372.59,3.9,3.51,-77.4,-0.374,18.98,20.49,01a58016o0352o
1,58016.531524,21.791,2.593,7,18,o,0,1.07,65.41915,-3.54112,8661.35,7332.86,3.86,3.17,-81.3,-0.395,19.06,20.53,01a58016o0366o
2,58016.53879199999,-20.109,0.46299999999999997,-33,15,o,0,1.56,65.41915,-3.54112,8721.41,7409.23,3.57,2.88,-84.6,-0.42200000000000004,19.16,20.57,01a58016o0381o
3,58016.545445,-19.633,0.35,-51,18,o,0,1.25,65.41915,-3.54112,8741.27,7292.57,4.25,3.67,-81.8,-0.384,18.94,20.59,01a58016o0395o
4,58018.525057000006,-18.94,0.084,-96,8,c,0,1.97,65.41915,-3.54112,3294.82,3945.35,2.73,2.46,-36.1,-0.389,19.66,21.43,02a58018o0349c
5,58018.531989999996,-19.169,0.11599999999999999,-78,9,c,0,1.33,65.41915,-3.54112,3313.23,3984.86,2.68,2.46,-38.7,-0.386,19.67,21.44,02a58018o0363c
6,58018.53936,-19.13,0.09699999999999999,-81,8,c,0,1.59,65.41915,-3.54112,3254.74,3909.34,2.75,2.48,-34.3,-0.38799999999999996,19.69,21.48,02a58018o0378c
7,58018.546213,-19.340999999999998,0.121,-67,8,c,0,1.5,65.41915,-3.54112,3234.53,4026.94,2.82,2.5,-36.0,-0.385,19.68,21.5,02a58018o0392c
8,58022.503239,-19.852999999999998,0.212,-42,9,o,0,2.63,65.41915,-3.54112,9309.17,2464.08,2.24,2.11,31.2,-0.45399999999999996,19.56,20.67,02a58022o0597o
9,58022.510205,-22.114,1.788,-5,9,o,0,1.61,65.41915,-3.54112,9327.6,2504.93,2.15,2.02,65.8,-0.45799999999999996,19.61,20.71,02a58022o0611o
10,58022.516659,-20.055999999999997,0.276,-34,10,o,0,1.19,65.41915,-3.54112,9268.1,2427.85,2.13,2.0,71.9,-0.46,19.67,20.73,02a58022o0624o
11,58022.523496,-22.697,3.0,-3,9,o,0,1.51,65.41915,-3.54112,9246.94,2546.91,2.15,2.05,71.1,-0.455,19.63,20.72,02a58022o0638o
12,58024.512199000004,-20.775,1.0490000000000002,-18,19,o,0,1.21,65.41915,-3.54112,8108.82,10099.52,3.9,3.58,-22.5,-0.385,19.01,20.57,01a58024o0650o
13,58024.516069000005,-20.209,0.634,-30,19,o,0,0.76,65.41915,-3.54112,8314.74,317.98,3.45,3.3,-37.5,-0.41200000000000003,19.09,20.61,01a58024o0658o
14,58024.519379,-21.111,1.3519999999999999,-13,18,o,0,1.01,65.41915,-3.54112,8087.98,10038.01,3.52,3.21,-67.2,-0.40399999999999997,19.1,20.62,01a58024o0665o
15,58024.523237,-21.913,2.5380000000000003,-6,16,o,0,1.39,65.41915,-3.54112,8294.56,256.33,3.42,3.24,-26.8,-0.425,19.13,20.62,01a58024o0673o
16,58024.526527999995,-18.957,0.17,-95,16,o,0,1.54,65.41915,-3.54112,8146.86,10094.18,3.55,3.07,-77.4,-0.42200000000000004,19.13,20.58,01a58024o0680o
17,58024.53030599999,-20.459,0.747,-24,18,o,0,0.94,65.41915,-3.54112,8352.62,311.83,3.51,3.29,-21.2,-0.43200000000000005,19.1,20.62,01a58024o0688o
18,58024.53365,-20.756,0.855,-18,16,o,0,1.52,65.41915,-3.54112,8163.8,9953.81,3.61,3.08,-79.0,-0.41200000000000003,19.16,20.63,01a58024o0695o
19,58024.537376,25.416,74.0,0,18,o,0,1.03,65.41915,-3.54112,8371.86,171.18,3.4,3.24,-60.2,-0.462,19.16,20.65,01a58024o0703o
20,58026.506502,-20.81,0.556,-17,10,o,0,1.45,65.41915,-3.54112,10091.04,2564.66,2.32,1.99,57.3,-0.474,19.63,20.81,02a58026o0580o
21,58026.513864,-20.565,0.375,-22,8,o,0,1.87,65.41915,-3.54112,10108.46,2605.93,2.36,1.96,53.5,-0.47100000000000003,19.7,20.86,02a58026o0595o
22,58026.51432,-21.031999999999996,0.665,-14,9,o,0,1.4,65.41915,-3.54112,400.09,2536.73,1.94,1.72,43.1,-0.49200000000000005,19.67,20.82,02a58026o0596o
23,58026.521389999994,-19.824,0.215,-43,9,o,0,1.44,65.41915,-3.54112,10048.5,2530.04,2.48,2.01,54.7,-0.58,19.65,20.86,02a58026o0610o
24,58026.521846,-21.191,0.8009999999999999,-12,10,o,0,1.27,65.41915,-3.54112,418.03,2577.48,2.02,1.77,44.1,-0.496,19.69,20.85,02a58026o0611o
25,58026.528737,22.987,4.15,2,10,o,0,1.75,65.41915,-3.54112,10026.7,2649.62,2.46,2.06,58.5,-0.46299999999999997,19.64,20.87,02a58026o0625o
26,58026.529192999995,22.346999999999998,2.1590000000000003,4,9,o,0,1.27,65.41915,-3.54112,356.79,2500.8,2.15,1.85,40.7,-0.484,19.65,20.86,02a58026o0626o
27,58026.536457,-21.124000000000002,0.6409999999999999,-13,8,o,0,2.02,65.41915,-3.54112,335.85,2619.8,2.08,1.79,42.0,-0.5,19.67,20.9,02a58026o0641o
28,58028.495255999995,-20.183,0.6,-31,18,o,0,1.3,65.41915,-3.54112,1398.89,6744.1,3.09,2.6,-87.4,-0.465,19.06,20.18,01a58028o0559o
29,58028.502594000005,-19.524,0.309,-56,17,o,0,1.06,65.41915,-3.54112,1378.48,6683.79,3.26,2.9,88.8,-0.423,19.04,20.23,01a58028o0574o
30,58028.510038,-20.383,0.69,-26,18,o,0,1.25,65.41915,-3.54112,1436.3,6738.17,3.24,2.83,-89.6,-0.449,19.06,20.27,01a58028o0589o
31,58028.517573000005,19.656,0.583,50,29,o,0,0.93,65.41915,-3.54112,1455.46,6598.57,3.06,2.62,-88.6,-0.47100000000000003,18.78,19.95,01a58028o0604o
32,58031.479333,-21.061,3.455,-14,47,o,0,1.49,65.41915,-3.54112,8883.62,6823.86,3.65,3.19,-82.9,-0.41200000000000003,18.3,19.01,01a58031o0596o
33,58031.487263999996,-19.250999999999998,0.6779999999999999,-72,49,o,0,0.99,65.41915,-3.54112,8862.17,6762.57,3.43,2.88,-83.4,-0.42700000000000005,18.45,19.04,01a58031o0613o
34,58031.49521,-19.066,0.535,-86,46,o,0,1.44,65.41915,-3.54112,8920.49,6817.5,3.47,2.94,-85.8,-0.436,18.37,19.09,01a58031o0630o
35,58031.50320700001,-20.383,1.791,-26,46,o,0,1.03,65.41915,-3.54112,8938.21,6677.0,3.47,2.98,-84.0,-0.426,18.43,19.11,01a58031o0647o
36,58032.490439,-18.533,0.326,-140,46,o,0,0.97,65.41915,-3.54112,1610.85,9901.65,5.39,3.23,-2.8,-0.386,18.0,19.02,01a58032o0620o
37,58032.492341,-20.093,1.12,-33,37,o,0,1.1,65.41915,-3.54112,1789.93,117.16,4.16,3.17,3.2,-0.44,18.19,19.07,01a58032o0624o
38,58032.499627,-19.437,0.631,-61,38,o,0,1.09,65.41915,-3.54112,1590.61,9834.12,3.77,3.26,-9.9,-0.419,18.25,19.08,01a58032o0638o
39,58032.50178,19.612000000000002,0.775,52,40,o,0,1.13,65.41915,-3.54112,1768.51,47.47,3.44,3.21,7.4,-0.41200000000000003,18.36,19.11,01a58032o0642o
40,58032.508275,-20.641,1.844,-20,37,o,0,0.83,65.41915,-3.54112,1647.81,9883.42,3.19,3.02,-63.8,-0.445,18.38,19.12,01a58032o0655o
