,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58001.623464,-17.521,0.062,-356,22,o,0,1.44,79.83454,-17.61159,5345.47,9190.5,2.34,2.1,20.6,-0.475,18.99,19.64,02a58001o0809o
1,58001.631903999994,-17.442999999999998,0.081,-383,31,o,0,0.88,79.83454,-17.61159,5362.68,9231.19,2.42,2.12,21.7,-0.473,18.93,19.6,02a58001o0827o
2,58001.640786,-17.375999999999998,0.27899999999999997,-407,114,o,0,1.41,79.83454,-17.61159,5307.43,9154.3,2.36,2.27,43.1,-0.5,18.13,18.36,02a58001o0846o
3,58002.548011,-17.39,0.094,-402,38,o,0,0.62,79.83454,-17.61159,1050.3,2050.06,2.35,2.02,44.4,-0.47700000000000004,18.18,18.54,02a58002o0611o
4,58002.557238,-17.367,0.071,-410,29,o,0,1.3,79.83454,-17.61159,1069.16,2089.2,2.27,1.99,38.6,-0.508,18.29,18.65,02a58002o0625o
5,58002.564454,-17.494,0.076,-365,28,o,0,1.21,79.83454,-17.61159,1012.91,2011.94,2.22,1.9,47.3,-0.49200000000000005,18.36,18.72,02a58002o0640o
6,58002.571372000006,-17.451,0.07400000000000001,-380,28,o,0,0.74,79.83454,-17.61159,991.29,2129.72,2.12,1.85,42.4,-0.517,18.46,18.79,02a58002o0655o
7,58004.568140999996,-17.445,0.077,-382,29,o,0,1.03,79.83454,-17.61159,5884.66,1117.47,3.21,3.16,71.1,-0.42700000000000005,18.43,19.37,01a58004o0123o
8,58004.575033,-17.383,0.07200000000000001,-405,29,o,0,1.02,79.83454,-17.61159,5859.3,1062.93,3.25,3.18,20.8,-0.418,18.46,19.44,01a58004o0138o
9,58004.581938,-17.372,0.065,-409,27,o,0,1.02,79.83454,-17.61159,5908.73,1124.0,3.21,3.15,70.9,-0.42700000000000005,18.53,19.5,01a58004o0153o
10,58004.58884,-17.303,0.07,-435,31,o,0,0.73,79.83454,-17.61159,5920.0,988.96,3.17,2.95,73.1,-0.436,18.63,19.56,01a58004o0168o
11,58007.624040999995,-17.325,0.068,-426,29,o,0,0.89,79.83454,-17.61159,7923.24,10153.22,3.52,3.46,-32.7,-0.401,18.63,19.85,01a58007o0863o
12,58007.629078,-17.570999999999998,0.126,-340,43,o,0,0.66,79.83454,-17.61159,3660.88,490.32,3.49,3.15,14.0,-0.4,18.17,19.11,01a58007o0874o
13,58007.63092,-17.567999999999998,0.08199999999999999,-341,28,o,0,0.89,79.83454,-17.61159,3640.79,444.44,3.26,3.13,40.2,-0.39399999999999996,18.42,19.46,01a58007o0878o
14,58007.634136,-17.424,0.083,-389,32,o,0,1.25,79.83454,-17.61159,7897.27,10079.94,3.39,3.2,-77.9,-0.413,18.48,19.29,01a58007o0885o
15,58011.609799,-17.512,0.048,-359,17,o,0,0.82,79.83454,-17.61159,7542.17,10318.44,3.24,3.01,-69.1,-0.42700000000000005,19.1,20.55,01a58011o0835o
16,58011.611639999996,-17.494,0.036000000000000004,-365,13,o,0,1.12,79.83454,-17.61159,3282.96,690.5,3.09,2.91,11.1,-0.419,19.2,20.61,01a58011o0839o
17,58011.617621000005,-17.5,0.071,-363,26,o,0,0.8,79.83454,-17.61159,7525.34,10278.82,3.21,2.96,-72.6,-0.442,19.03,20.42,01a58011o0852o
18,58011.61945499999,-17.495,0.048,-365,17,o,0,0.79,79.83454,-17.61159,3264.13,651.15,2.81,2.72,72.4,-0.45399999999999996,18.84,20.26,01a58011o0856o
19,58011.625452,-17.364,0.044000000000000004,-412,18,o,0,1.07,79.83454,-17.61159,7600.31,10356.39,3.96,3.16,-6.4,-0.41100000000000003,18.9,20.38,01a58011o0869o
20,58011.627286,-17.504,0.04,-362,14,o,0,0.89,79.83454,-17.61159,3318.67,730.3,2.84,2.81,54.7,-0.43799999999999994,19.12,20.38,01a58011o0873o
21,58011.633284,-17.422,0.066,-390,26,o,0,1.26,79.83454,-17.61159,7616.81,10238.38,3.01,2.55,-81.0,-0.486,18.78,19.79,01a58011o0886o
22,58011.635127,-17.432000000000002,0.059000000000000004,-386,23,o,0,1.27,79.83454,-17.61159,3333.53,613.06,2.78,2.72,22.5,-0.44799999999999995,18.69,19.59,01a58011o0890o
23,58013.601625,-21.396,0.863,-10,9,c,0,0.78,79.83454,-17.61159,2746.07,1529.64,2.52,2.43,84.2,-0.41,19.75,21.58,02a58013o0837c
24,58013.61313099999,-20.712,0.436,-19,8,c,0,1.23,79.83454,-17.61159,2762.23,1570.67,2.53,2.45,75.2,-0.40700000000000003,19.73,21.53,02a58013o0862c
25,58013.622973000005,-21.305,0.841,-11,9,c,0,0.83,79.83454,-17.61159,2703.17,1493.86,2.5,2.43,77.3,-0.41200000000000003,19.72,21.52,02a58013o0881c
26,58013.630742999994,23.3,4.928999999999999,2,9,c,0,1.06,79.83454,-17.61159,2684.3,1612.15,2.5,2.43,70.0,-0.406,19.66,21.33,02a58013o0898c
27,58015.598509,14.842,0.006,4200,25,o,0,448.52,79.83454,-17.61159,9113.88,8283.97,5.64,3.88,-0.4,-0.317,18.68,20.55,01a58015o0490o
28,58015.606327,-17.675,0.064,-309,20,o,0,1.05,79.83454,-17.61159,9094.25,8245.3,3.87,3.57,-86.7,-0.38799999999999996,18.98,20.62,01a58015o0507o
29,58015.614128999994,-17.479,0.051,-370,19,o,0,0.82,79.83454,-17.61159,9150.78,8322.0,3.87,3.41,-87.3,-0.391,19.01,20.57,01a58015o0524o
30,58015.621971,-17.463,0.05,-376,19,o,0,1.26,79.83454,-17.61159,9166.77,8204.42,4.05,3.83,-82.0,-0.39,18.94,20.59,01a58015o0541o
31,58017.61912999999,-20.682,0.537,-19,10,c,0,1.03,79.83454,-17.61159,6542.58,9986.83,2.52,2.35,20.8,-0.474,19.75,21.54,02a58017o0734c
32,58017.62829400001,-21.529,1.308,-9,12,c,0,0.84,79.83454,-17.61159,2346.33,321.44,2.78,2.39,48.7,-0.41200000000000003,19.72,21.51,02a58017o0754c
33,58017.636528999996,-20.698,0.787,-19,15,c,0,0.76,79.83454,-17.61159,6556.75,10029.87,2.51,2.32,21.4,-0.47600000000000003,19.56,20.89,02a58017o0772c
