,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58000.513436,-19.698,0.62,-48,30,o,0,1.25,62.259,-1.16002,6437.92,3367.56,4.14,3.87,-85.2,-0.371,18.38,19.61,01a58000o0601o
1,58000.519807000004,-19.664,0.5670000000000001,-50,28,o,0,1.33,62.259,-1.16002,6420.4,3316.46,4.42,4.24,-75.0,-0.355,18.24,19.66,01a58000o0614o
2,58000.526083000004,-20.664,1.556,-20,31,o,0,1.29,62.259,-1.16002,6479.43,3381.32,4.28,4.04,-89.6,-0.371,18.43,19.71,01a58000o0627o
3,58000.534327999994,-21.276,4.273,-11,48,o,0,1.18,62.259,-1.16002,6500.34,3248.78,7.14,6.95,-82.6,-0.31,17.8,19.71,01a58000o0640o
4,58001.584175,-21.164,1.673,-12,21,o,0,1.05,62.259,-1.16002,4703.41,6409.97,2.39,2.25,16.0,-0.46299999999999997,18.91,19.66,02a58001o0725o
5,58001.592563,-20.893,1.045,-16,17,o,0,1.45,62.259,-1.16002,4722.15,6450.63,2.14,2.05,15.1,-0.474,19.07,19.7,02a58001o0743o
6,58001.60144299999,-21.08,1.4509999999999998,-13,20,o,0,1.06,62.259,-1.16002,4664.87,6374.92,2.19,2.04,-3.6,-0.441,19.07,19.74,02a58001o0762o
7,58001.609848,20.688000000000002,0.8809999999999999,19,17,o,0,1.03,62.259,-1.16002,4644.41,6492.27,2.16,1.99,-10.9,-0.465,19.09,19.78,02a58001o0780o
8,58002.513799,-19.811,1.05,-43,45,o,0,1.84,62.259,-1.16002,4631.14,8898.67,2.1,1.85,6.4,-0.517,18.62,18.9,02a58002o0553o
9,58002.521049,19.704,1.0979999999999999,48,52,o,0,0.99,62.259,-1.16002,4650.07,8939.51,2.13,1.99,11.0,-0.5379999999999999,18.65,18.94,02a58002o0567o
10,58002.529987,20.205,1.311,30,39,o,0,1.48,62.259,-1.16002,4593.63,8863.51,2.06,1.88,7.4,-0.5429999999999999,18.66,19.0,02a58002o0581o
11,58002.535951,-22.14,8.824,-5,45,o,0,1.16,62.259,-1.16002,4573.71,8982.02,2.11,1.95,16.0,-0.515,18.69,19.04,02a58002o0594o
12,58004.545861,-19.695999999999998,0.516,-48,25,o,0,1.32,62.259,-1.16002,6566.51,3824.92,3.01,2.92,-55.2,-0.447,18.61,19.47,01a58004o0075o
13,58004.55289,-20.828000000000003,1.7369999999999999,-17,29,o,0,1.05,62.259,-1.16002,6547.09,3766.49,3.25,3.15,-68.3,-0.426,18.53,19.51,01a58004o0090o
14,58004.559839999994,-20.058,0.82,-34,28,o,0,1.18,62.259,-1.16002,6607.09,3824.41,3.23,3.04,-80.9,-0.433,18.59,19.53,01a58004o0105o
15,58004.566767,20.834,1.3980000000000001,17,24,o,0,1.33,62.259,-1.16002,6627.56,3688.21,3.18,2.89,-83.4,-0.435,18.67,19.58,01a58004o0120o
16,58008.541852999995,-20.865,1.271,-16,21,o,0,1.35,62.259,-1.16002,5400.23,3306.75,3.4,3.19,-85.8,-0.415,18.72,19.92,01a58008o0223o
17,58008.548538999996,-19.761,0.505,-45,23,o,0,0.93,62.259,-1.16002,5379.51,3247.41,3.29,3.04,-82.3,-0.425,18.78,19.95,01a58008o0237o
18,58008.555797,-20.84,1.354,-17,23,o,0,0.99,62.259,-1.16002,5439.35,3303.98,3.23,2.91,-88.4,-0.426,18.85,19.97,01a58008o0252o
19,58008.562469000004,-20.614,1.147,-21,24,o,0,0.87,62.259,-1.16002,5458.63,3167.18,3.32,3.04,88.1,-0.423,18.83,19.99,01a58008o0266o
20,58010.537087,-21.16,1.055,-12,13,o,0,1.09,62.259,-1.16002,5083.29,7683.38,1.94,1.82,-4.5,-0.502,19.52,20.48,02a58010o0649o
21,58010.543814,-21.18,1.089,-12,13,o,0,1.34,62.259,-1.16002,5101.38,7723.35,2.07,2.01,22.3,-0.49,19.5,20.49,02a58010o0663o
22,58010.551129,-20.121,0.221,-32,7,o,0,3.67,62.259,-1.16002,5041.47,7648.13,1.87,1.77,0.7,-0.504,19.58,20.5,02a58010o0678o
23,58010.557930999996,-22.424,2.872,-4,11,o,0,1.33,62.259,-1.16002,5020.42,7765.92,1.9,1.79,-2.6,-0.507,19.58,20.48,02a58010o0692o
24,58012.527758000004,-19.706,0.318,-48,15,o,0,1.52,62.259,-1.16002,6583.06,2954.53,3.29,3.0,-80.0,-0.424,19.19,20.8,01a58012o0650o
25,58012.534439999996,-21.54,1.538,-9,14,o,0,1.68,62.259,-1.16002,6562.48,2915.18,3.36,3.0,-85.6,-0.424,19.18,20.82,01a58012o0664o
26,58012.541670000006,-20.926,0.943,-16,15,o,0,1.72,62.259,-1.16002,6620.95,2992.94,3.35,3.04,-85.0,-0.428,19.23,20.9,01a58012o0679o
27,58012.548383,-20.805999999999997,0.8170000000000001,-17,14,o,0,1.73,62.259,-1.16002,6639.12,2876.69,3.27,2.96,-83.0,-0.429,19.28,20.9,01a58012o0693o
28,58016.520966,-21.819000000000003,2.464,-7,17,o,0,1.04,62.259,-1.16002,5338.47,2284.17,3.46,3.27,-82.5,-0.41200000000000003,19.06,20.58,01a58016o0344o
29,58016.52764099999,-19.608,0.324,-52,17,o,0,1.4,62.259,-1.16002,5317.35,2244.89,3.44,3.23,-88.3,-0.41200000000000003,19.07,20.55,01a58016o0358o
30,58016.534836,21.073,1.145,14,16,o,0,1.4,62.259,-1.16002,5376.94,2322.63,3.31,3.05,-88.4,-0.418,19.14,20.62,01a58016o0373o
31,58016.541542,-21.025,1.043,-14,15,o,0,1.47,62.259,-1.16002,5395.54,2205.93,3.16,2.93,83.9,-0.435,19.21,20.69,01a58016o0387o
32,58018.521314,-20.382,0.348,-26,9,c,0,1.7,62.259,-1.16002,6585.65,9071.49,2.66,2.6,-13.2,-0.39899999999999997,19.67,21.4,02a58018o0341c
33,58018.528114,-20.025,0.28300000000000003,-36,10,c,0,1.58,62.259,-1.16002,6604.57,9112.29,2.58,2.53,3.2,-0.406,19.71,21.44,02a58018o0355c
34,58018.53541799999,-19.949,0.233,-38,9,c,0,1.6,62.259,-1.16002,6545.1,9036.1,2.56,2.53,-28.5,-0.401,19.74,21.45,02a58018o0370c
35,58018.542181,-19.989,0.263,-37,10,c,0,1.37,62.259,-1.16002,6524.4,9154.68,2.57,2.55,-38.0,-0.402,19.72,21.48,02a58018o0384c
36,58022.507382,-20.42,0.4,-25,10,o,0,1.69,62.259,-1.16002,2932.7,7562.94,2.03,1.93,-18.4,-0.466,19.62,20.68,02a58022o0605o
37,58022.514237999996,-20.605999999999998,0.43799999999999994,-21,9,o,0,2.29,62.259,-1.16002,2950.92,7603.54,2.02,1.91,-9.0,-0.465,19.63,20.71,02a58022o0619o
38,58022.520449,-21.02,0.7909999999999999,-14,11,o,0,1.19,62.259,-1.16002,2891.12,7526.77,2.02,1.95,-28.9,-0.446,19.65,20.7,02a58022o0632o
39,58022.52719400001,22.04,1.673,6,9,o,0,2.74,62.259,-1.16002,2870.46,7645.44,2.14,2.05,-15.2,-0.455,19.57,20.71,02a58022o0646o
40,58024.508426,-19.633,0.317,-51,16,o,0,1.2,62.259,-1.16002,4772.1,4963.35,3.51,3.15,-5.0,-0.397,19.11,20.66,01a58024o0642o
41,58024.515611,21.511999999999997,1.8,9,16,o,0,1.3,62.259,-1.16002,4752.22,4901.87,3.42,3.1,-15.9,-0.405,19.12,20.65,01a58024o0657o
42,58024.52277999999,-21.546,1.806,-9,16,o,0,1.05,62.259,-1.16002,4810.43,4956.09,3.62,3.18,-6.6,-0.39399999999999996,19.06,20.64,01a58024o0672o
43,58024.529841999996,-19.962,0.413,-38,16,o,0,1.8,62.259,-1.16002,4829.95,4817.99,3.07,3.01,-87.3,-0.444,19.1,20.56,01a58024o0687o
44,58026.510543,-23.664,8.0,-1,10,o,0,1.54,62.259,-1.16002,3707.12,7663.5,2.0,1.87,-11.2,-0.483,19.69,20.81,02a58026o0588o
45,58026.51805599999,20.726,0.584,19,11,o,0,1.93,62.259,-1.16002,3724.32,7704.34,1.96,1.87,-1.3,-0.47700000000000004,19.73,20.84,02a58026o0603o
46,58026.525416,-20.176,0.322,-31,10,o,0,1.36,62.259,-1.16002,3665.04,7628.45,1.95,1.85,7.0,-0.491,19.7,20.84,02a58026o0618o
47,58026.53261,-19.892,0.21899999999999997,-40,9,o,0,1.79,62.259,-1.16002,3643.91,7747.18,1.99,1.91,18.2,-0.48200000000000004,19.68,20.85,02a58026o0633o
48,58028.499244000006,20.717,1.023,19,19,o,0,1.2,62.259,-1.16002,7737.82,1570.82,3.31,2.93,-79.9,-0.43700000000000006,19.05,20.23,01a58028o0567o
49,58028.506722000006,-19.320999999999998,0.255,-68,17,o,0,1.46,62.259,-1.16002,7718.34,1508.82,3.47,3.11,-80.8,-0.423,19.04,20.26,01a58028o0582o
50,58028.514253999994,-20.525,0.8190000000000001,-22,18,o,0,1.83,62.259,-1.16002,7776.38,1562.11,3.27,3.09,-74.7,-0.423,18.92,20.08,01a58028o0597o
51,58028.521354,-19.346,0.248,-66,16,o,0,1.92,62.259,-1.16002,7796.92,1420.34,3.21,2.89,-81.8,-0.44299999999999995,19.1,20.26,01a58028o0612o
52,58031.462555,21.590999999999998,3.35,8,28,o,0,1.58,62.259,-1.16002,5554.76,1741.84,3.12,3.04,-51.8,-0.429,18.34,18.97,01a58031o0560o
53,58031.470464,-20.728,1.984,-19,37,o,0,1.17,62.259,-1.16002,5535.12,1681.98,4.31,3.33,-1.7,-0.37799999999999995,18.15,19.01,01a58031o0577o
54,58031.478376,21.688000000000002,3.5639999999999996,8,27,o,0,1.13,62.259,-1.16002,5593.12,1737.19,3.07,2.88,-81.7,-0.44,18.46,19.05,01a58031o0594o
55,58031.486348,-18.99,0.308,-92,28,o,0,1.34,62.259,-1.16002,5611.37,1596.82,3.0,2.89,-88.9,-0.447,18.44,19.07,01a58031o0611o
56,58032.492341,-21.124000000000002,2.864,-13,37,o,0,1.12,62.259,-1.16002,7957.44,4719.62,4.18,3.28,-3.7,-0.41600000000000004,18.19,19.07,01a58032o0624o
57,58032.50178,19.665,0.644,49,32,o,0,1.16,62.259,-1.16002,7937.94,4650.11,3.48,3.33,-22.5,-0.40399999999999997,18.36,19.11,01a58032o0642o
58,58032.510137,-20.172,1.168,-31,36,o,0,1.04,62.259,-1.16002,7996.69,4699.71,3.82,3.43,-2.5,-0.452,18.27,19.13,01a58032o0659o
59,58032.518991,-20.122,0.987,-32,32,o,0,1.12,62.259,-1.16002,8015.45,4553.78,3.31,3.01,-78.4,-0.43200000000000005,18.48,19.17,01a58032o0677o
60,58033.454991,-19.756,0.754,-46,34,o,0,1.12,62.259,-1.16002,6569.31,4223.11,3.17,2.76,-87.7,-0.45299999999999996,18.32,18.83,01a58033o0477o
61,58033.462059000005,-19.062,0.45299999999999996,-86,39,o,0,0.79,62.259,-1.16002,6546.57,4167.3,3.22,2.9,-82.9,-0.42700000000000005,18.32,18.86,01a58033o0491o
62,58033.468239,19.612000000000002,0.644,52,33,o,0,0.99,62.259,-1.16002,6604.99,4227.76,3.16,2.8,-87.9,-0.44799999999999995,18.39,18.88,01a58033o0504o
63,58033.474886,-20.541999999999998,1.2770000000000001,-22,28,o,0,1.49,62.259,-1.16002,6624.12,4094.03,3.34,2.98,87.9,-0.43799999999999994,18.29,18.9,01a58033o0518o
64,58034.488044000005,-22.651999999999997,17.820999999999998,-3,56,o,0,1.69,62.259,-1.16002,5399.86,6119.54,2.22,1.96,-27.8,-0.451,17.71,17.85,02a58034o0617o
65,58036.499517,21.552,2.9189999999999996,9,25,o,0,1.31,62.259,-1.16002,4777.57,3741.27,3.64,3.02,-0.9,-0.39899999999999997,18.66,19.73,01a58036o0633o
66,58036.506760000004,-20.837,1.3630000000000002,-17,23,o,0,1.06,62.259,-1.16002,4758.11,3677.4,3.3,2.9,3.6,-0.425,18.75,19.76,01a58036o0648o
67,58036.513974,-21.846,3.312,-7,22,o,0,0.96,62.259,-1.16002,4817.32,3728.86,3.1,3.04,64.8,-0.429,18.78,19.78,01a58036o0663o
68,58036.521245,-19.198,0.301,-76,23,o,0,1.0,62.259,-1.16002,4836.16,3586.45,2.82,2.79,-12.8,-0.462,18.9,19.79,01a58036o0678o
69,58037.495916,-20.677,0.912,-20,18,o,0,1.24,62.259,-1.16002,4423.91,2540.83,3.1,2.8,-2.1,-0.436,19.08,20.2,01a58037o0431o
70,58037.503164999995,-21.066999999999997,1.119,-14,15,o,0,1.87,62.259,-1.16002,4403.61,2477.44,3.38,2.76,0.3,-0.429,19.03,20.16,01a58037o0446o
71,58037.510408,-20.25,0.595,-29,17,o,0,1.15,62.259,-1.16002,4462.23,2529.86,3.03,2.94,-9.3,-0.43200000000000005,19.02,20.14,01a58037o0461o
72,58037.517651,23.709,12.286,1,15,o,0,1.87,62.259,-1.16002,4481.68,2387.71,2.78,2.72,73.6,-0.46399999999999997,19.13,20.15,01a58037o0476o
73,58044.478837,18.386,0.083,161,13,o,0,1.56,62.259,-1.16002,6292.67,4951.0,3.23,2.92,-7.7,-0.418,19.3,20.95,01a58044o0607o
74,58044.486068,18.369,0.08900000000000001,163,15,o,0,1.15,62.259,-1.16002,6272.87,4887.31,3.16,2.89,-9.4,-0.423,19.35,21.02,01a58044o0622o
75,58044.493284000004,18.35,0.09300000000000001,166,16,o,0,1.31,62.259,-1.16002,6331.63,4938.88,2.97,2.88,-17.3,-0.43,19.18,20.8,01a58044o0637o
76,58044.500525999996,18.333,0.083,168,14,o,0,1.76,62.259,-1.16002,6350.7,4797.7,2.84,2.76,-75.6,-0.442,19.37,20.96,01a58044o0652o
77,58048.472418,17.576,0.047,338,16,o,0,1.34,62.259,-1.16002,5053.72,4767.2,2.83,2.8,-2.4,-0.446,19.33,20.86,01a58048o0597o
78,58048.47960700001,17.723,0.043,296,13,o,0,2.16,62.259,-1.16002,5034.02,4703.1,2.97,2.88,-8.5,-0.435,19.32,20.84,01a58048o0612o
79,58048.486817,17.692,0.049,304,15,o,0,1.43,62.259,-1.16002,5092.76,4754.77,3.09,2.96,-16.8,-0.41700000000000004,19.3,20.91,01a58048o0627o
80,58048.494057,17.567,0.046,341,16,o,0,1.19,62.259,-1.16002,5111.51,4613.13,3.02,2.75,-73.2,-0.44299999999999995,19.36,20.96,01a58048o0642o
81,58054.46187100001,17.319000000000003,0.026000000000000002,429,11,o,0,2.83,62.259,-1.16002,3067.0,8306.83,2.05,1.91,-15.9,-0.467,19.61,20.65,02a58054o0577o
82,58054.470755999995,17.336,0.031,422,13,o,0,2.0,62.259,-1.16002,3085.59,8348.28,2.0,1.86,-7.7,-0.47100000000000003,19.65,20.67,02a58054o0592o
83,58054.479662,17.335,0.031,423,13,o,0,1.44,62.259,-1.16002,3026.06,8272.64,2.0,1.87,-11.7,-0.486,19.64,20.67,02a58054o0607o
84,58054.487639,17.292,0.03,440,13,o,0,1.12,62.259,-1.16002,3003.04,8391.04,2.01,1.9,3.2,-0.46799999999999997,19.63,20.68,02a58054o0622o
85,58056.441767,17.278,0.037000000000000005,446,17,o,0,1.58,62.259,-1.16002,6424.44,4728.03,3.32,2.82,87.4,-0.429,19.06,20.3,01a58056o0399o
86,58056.448997,17.289,0.039,441,17,o,0,1.54,62.259,-1.16002,6404.39,4665.04,3.3,2.85,-84.8,-0.424,19.08,20.32,01a58056o0414o
87,58056.456346000006,17.243,0.04,460,18,o,0,1.38,62.259,-1.16002,6462.85,4716.91,3.36,2.9,-89.4,-0.42100000000000004,19.07,20.37,01a58056o0429o
88,58056.463752999996,17.392,0.049,401,20,o,0,1.09,62.259,-1.16002,6482.57,4574.99,3.52,3.48,-55.5,-0.387,18.92,20.4,01a58056o0444o
89,58058.423051,17.312,0.048,432,21,o,0,1.04,62.259,-1.16002,5828.47,6173.01,1.98,1.84,-27.1,-0.47,18.99,19.29,02a58058o0321o
