,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58016.400645,-21.462,6.526,-9,62,o,0,0.18,358.58547999999996,-17.30613,2626.48,34.74,3.36,3.22,66.0,-0.40299999999999997,19.08,20.72,01a58016o0096o
1,58016.414674,-19.787,0.442,-44,20,o,0,1.12,358.58547999999996,-17.30613,2677.69,74.46,3.36,3.1,72.1,-0.40700000000000003,19.13,20.77,01a58016o0125o
2,58019.430605999994,-19.667,0.29100000000000004,-49,14,o,0,1.77,358.58547999999996,-17.30613,9432.93,1669.95,3.68,3.09,-86.7,-0.425,19.25,21.02,01a58019o0346o
3,58019.435186,-25.412,61.0,0,15,o,0,1.6,358.58547999999996,-17.30613,9451.06,1708.57,3.61,3.09,-83.9,-0.43200000000000005,19.23,21.0,01a58019o0356o
4,58019.448923,-19.625999999999998,0.519,-51,27,o,0,1.0,358.58547999999996,-17.30613,9373.67,1628.68,3.59,3.18,-85.2,-0.42,18.76,20.47,01a58019o0386o
5,58019.459005,-21.065,1.3130000000000002,-14,18,o,0,1.54,358.58547999999996,-17.30613,9355.17,1744.62,3.58,3.18,-82.7,-0.424,19.07,20.77,01a58019o0408o
6,58022.383511,22.329,2.93,4,12,o,0,1.72,358.58547999999996,-17.30613,5623.88,9826.31,2.14,1.9,28.0,-0.47600000000000003,19.61,20.59,02a58022o0349o
7,58022.393108000004,20.581,0.507,21,11,o,0,3.36,358.58547999999996,-17.30613,5639.83,9868.87,2.18,1.94,23.7,-0.499,19.59,20.6,02a58022o0370o
8,58022.400421000006,-21.55,1.092,-9,10,o,0,3.38,358.58547999999996,-17.30613,5583.24,9792.15,2.09,1.93,28.5,-0.511,19.59,20.64,02a58022o0384o
9,58022.40713099999,21.320999999999998,1.01,11,11,o,0,2.55,358.58547999999996,-17.30613,5563.03,9910.81,2.16,1.93,42.0,-0.48100000000000004,19.63,20.68,02a58022o0398o
10,58024.386397,-20.147000000000002,0.489,-32,16,o,0,1.87,358.58547999999996,-17.30613,1989.59,2534.42,3.43,3.03,81.2,-0.42200000000000004,19.11,20.54,01a58024o0394o
11,58024.394622,-19.656,0.32299999999999995,-50,16,o,0,1.61,358.58547999999996,-17.30613,8504.18,7803.31,3.61,2.98,-84.4,-0.406,19.15,20.56,01a58024o0409o
12,58024.40270399999,-23.174,8.111,-2,16,o,0,1.43,358.58547999999996,-17.30613,8455.83,7757.52,3.51,2.86,-82.0,-0.414,19.22,20.61,01a58024o0424o
13,58024.416349,-19.695999999999998,0.316,-48,15,o,0,1.69,358.58547999999996,-17.30613,8445.12,7929.26,3.76,3.1,-84.7,-0.408,19.14,20.71,01a58024o0451o
14,58026.388734,21.281,1.5390000000000001,11,17,o,0,1.93,358.58547999999996,-17.30613,6379.71,9933.41,2.08,1.9,32.3,-0.48200000000000004,19.39,20.09,02a58026o0393o
15,58026.401227999995,21.255,1.19,11,14,o,0,1.99,358.58547999999996,-17.30613,4080.3,454.29,2.09,1.88,52.4,-0.46799999999999997,19.33,20.11,02a58026o0420o
16,58026.407235,-20.031,0.442,-35,16,o,0,1.21,358.58547999999996,-17.30613,4139.61,534.36,2.09,1.9,54.5,-0.457,19.32,20.11,02a58026o0432o
17,58026.42076,-25.274,43.667,0,12,o,0,2.64,358.58547999999996,-17.30613,4159.61,417.91,2.07,1.87,60.0,-0.474,19.35,20.14,02a58026o0459o
18,58027.397836000004,-19.291,0.294,-70,20,o,0,1.34,358.58547999999996,-17.30613,5796.93,1322.7,3.14,2.8,-85.6,-0.445,18.8,19.84,01a58027o0198o
19,58027.407508000004,-20.605999999999998,1.0,-21,21,o,0,1.3,358.58547999999996,-17.30613,5823.27,1400.73,3.24,2.8,87.3,-0.434,18.84,19.85,01a58027o0218o
20,58027.409341,-22.791,7.357,-3,20,o,0,1.4,358.58547999999996,-17.30613,5767.71,1330.64,3.18,2.86,-87.0,-0.434,18.79,19.85,01a58027o0222o
