,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58019.63765,-19.374000000000002,0.43700000000000006,-65,28,o,0,1.71,107.86341999999999,-32.11058,1914.66,9278.11,3.75,3.36,85.6,-0.426,18.37,19.59,01a58019o0794o
1,58023.618585000004,-19.14,0.268,-80,22,o,0,0.95,107.86341999999999,-32.11058,96.66,3070.88,4.0,3.02,81.4,-0.451,18.99,20.5,01a58023o0779o
2,58023.627467,-19.597,0.498,-53,26,o,0,1.08,107.86341999999999,-32.11058,75.0,3006.03,3.86,2.81,81.8,-0.47700000000000004,19.02,20.5,01a58023o0797o
3,58023.630678999994,-20.558000000000003,0.9109999999999999,-22,20,o,0,1.4,107.86341999999999,-32.11058,9546.96,3063.0,4.19,2.96,-89.3,-0.445,18.83,20.25,01a58023o0804o
4,58023.635301999995,-18.789,0.21100000000000002,-111,23,o,0,1.16,107.86341999999999,-32.11058,113.62,3061.77,3.86,2.79,79.5,-0.46799999999999997,18.71,19.84,01a58023o0814o
5,58023.638514,-20.502,1.5,-23,34,o,0,1.31,107.86341999999999,-32.11058,9518.92,3001.41,4.09,2.94,-88.2,-0.447,18.2,18.96,01a58023o0821o
6,58023.643161,-18.459,0.647,-150,97,o,0,0.97,107.86341999999999,-32.11058,135.71,2921.56,3.96,2.81,82.1,-0.469,17.45,17.78,01a58023o0831o
7,58027.595449,-19.613,0.363,-52,19,o,0,1.41,107.86341999999999,-32.11058,5535.36,9727.13,3.6,3.09,-86.0,-0.442,18.89,20.34,01a58027o0572o
8,58027.603289,-19.304000000000002,0.306,-69,21,o,0,1.29,107.86341999999999,-32.11058,5489.0,9667.78,3.52,3.01,-84.6,-0.44,18.89,20.35,01a58027o0589o
9,58027.611144,-21.151999999999997,1.426,-13,18,o,0,1.36,107.86341999999999,-32.11058,5542.68,9724.42,3.49,2.93,-81.9,-0.446,18.92,20.31,01a58027o0606o
10,58027.61900399999,-20.157,0.5,-31,16,o,0,1.8,107.86341999999999,-32.11058,5547.53,9584.84,3.47,2.93,-83.8,-0.45399999999999996,18.95,20.38,01a58027o0623o
11,58031.576696000004,-18.124000000000002,0.22399999999999998,-204,46,o,0,1.31,107.86341999999999,-32.11058,3465.2,9666.27,3.78,3.4,-76.3,-0.428,17.82,18.62,01a58031o0804o
