,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57745.629601,-22.391,4.455,-4,18,c,0,0.98,181.61399,28.138720000000003,1714.39,4223.01,4.15,3.91,67.3,-0.39,19.49,21.36,02a57745o0790c
1,57745.644777999994,23.078000000000003,8.667,2,18,c,0,0.67,181.61399,28.138720000000003,1740.39,4260.16,4.18,3.88,63.5,-0.39399999999999996,19.53,21.39,02a57745o0813c
2,57745.660695000006,-22.811,5.75,-3,16,c,0,1.27,181.61399,28.138720000000003,1688.46,4182.7,4.04,3.73,65.1,-0.401,19.46,21.18,02a57745o0837c
3,57745.675853,-22.531999999999996,24.8,-4,87,c,0,1.2,181.61399,28.138720000000003,1669.4,4300.64,4.11,3.82,65.2,-0.41,17.84,18.13,02a57745o0861c
4,57753.611637,20.303,4.0,28,110,c,0,0.89,181.61399,28.138720000000003,4059.77,3542.12,3.73,3.64,-88.2,-0.396,17.57,19.41,02a57753o0640c
5,57753.627076,19.583,2.889,53,154,c,0,0.94,181.61399,28.138720000000003,4083.07,3580.85,3.75,3.66,87.6,-0.395,17.22,19.05,02a57753o0663c
6,57753.644188,22.764,22.0,3,63,c,0,0.83,181.61399,28.138720000000003,4012.98,3502.64,3.76,3.65,86.6,-0.38799999999999996,18.03,19.89,02a57753o0687c
7,57753.66117100001,19.811,0.88,43,38,c,0,1.17,181.61399,28.138720000000003,3994.17,3622.69,3.81,3.67,85.2,-0.38299999999999995,18.51,20.32,02a57753o0711c
8,57753.677378,-19.837,9.943,-42,420,c,0,0.93,181.61399,28.138720000000003,6474.45,6881.57,3.77,3.57,-83.0,-0.479,16.81,17.54,02a57753o0734c
9,57757.604415999995,18.176,0.076,195,15,c,0,0.99,181.61399,28.138720000000003,1692.13,3447.64,3.91,3.63,69.5,-0.395,19.84,21.85,02a57757o0731c
10,57757.619947,18.021,0.066,225,15,c,0,0.94,181.61399,28.138720000000003,1716.83,3486.69,3.94,3.65,67.8,-0.39,19.86,21.89,02a57757o0754c
11,57757.637072000005,18.276,0.077,178,14,c,0,1.25,181.61399,28.138720000000003,1663.98,3408.14,3.95,3.67,66.5,-0.39,19.88,21.93,02a57757o0778c
12,57757.654036,18.397000000000002,0.092,159,15,c,0,0.94,181.61399,28.138720000000003,1642.8,3527.4,3.97,3.66,66.4,-0.39399999999999996,19.86,21.92,02a57757o0802c
13,57757.670276,18.311,0.142,172,24,c,0,1.09,181.61399,28.138720000000003,8828.68,6976.9,3.68,3.18,-78.6,-0.39899999999999997,19.13,20.44,02a57757o0825c
14,57761.577935,17.366,0.045,411,19,o,0,1.12,181.61399,28.138720000000003,3141.21,2266.23,3.68,3.53,88.7,-0.43,19.56,21.34,02a57761o0649o
15,57761.588998,17.359,0.045,413,19,o,0,0.94,181.61399,28.138720000000003,3159.8,2306.98,3.71,3.52,89.4,-0.42700000000000005,19.57,21.31,02a57761o0666o
16,57761.603704999994,17.41,0.048,394,19,o,0,1.08,181.61399,28.138720000000003,3092.66,2228.9,3.76,3.59,84.9,-0.42,19.58,21.35,02a57761o0688o
17,57761.619703,17.329,0.05,425,21,o,0,0.79,181.61399,28.138720000000003,3070.73,2347.7,3.74,3.54,85.6,-0.423,19.58,21.34,02a57761o0710o
18,57761.636576,17.458,0.054000000000000006,377,20,o,0,0.96,181.61399,28.138720000000003,3104.17,2291.76,3.77,3.57,83.5,-0.418,19.61,21.42,02a57761o0732o
19,57765.535985,17.061,0.08199999999999999,544,45,o,0,1.19,181.61399,28.138720000000003,4440.1,5356.47,3.51,3.4,-88.9,-0.43200000000000005,18.37,18.97,02a57765o0638o
20,57765.541080999996,17.067,0.086,541,46,o,0,0.9,181.61399,28.138720000000003,4457.51,5395.42,3.57,3.44,87.8,-0.426,18.37,19.02,02a57765o0647o
21,57765.555588,17.143,0.08,504,40,o,0,0.84,181.61399,28.138720000000003,4388.33,5318.9,3.46,3.35,-87.7,-0.444,18.44,19.07,02a57765o0670o
22,57765.576838,17.127,0.083,512,43,o,0,0.91,181.61399,28.138720000000003,4369.62,5436.94,3.46,3.34,-88.1,-0.435,18.46,19.1,02a57765o0704o
23,57765.58955599999,17.055999999999997,0.075,546,41,o,0,1.13,181.61399,28.138720000000003,4422.57,5380.91,3.5,3.4,87.8,-0.435,18.47,19.14,02a57765o0722o
24,57773.611077999994,17.180999999999997,0.051,487,25,o,0,0.98,181.61399,28.138720000000003,8040.71,7756.39,3.8,3.64,85.5,-0.442,19.13,20.67,02a57773o0056o
25,57773.622911,17.266,0.057,450,26,o,0,0.73,181.61399,28.138720000000003,8005.16,7717.74,3.76,3.57,-89.2,-0.444,19.14,20.65,02a57773o0076o
26,57773.634315999996,17.205,0.049,477,23,o,0,1.13,181.61399,28.138720000000003,8074.23,7798.8,3.81,3.65,86.0,-0.435,19.13,20.66,02a57773o0096o
27,57773.659386,17.253,0.055999999999999994,456,26,o,0,0.88,181.61399,28.138720000000003,8089.49,7682.4,3.82,3.57,78.0,-0.428,19.11,20.57,02a57773o0137o
28,57773.673213,17.206,0.10400000000000001,476,50,o,0,1.41,181.61399,28.138720000000003,8057.08,7741.72,3.83,3.6,81.8,-0.439,18.44,19.32,02a57773o0161o
29,57777.566001,17.482,0.040999999999999995,369,15,c,0,0.75,181.61399,28.138720000000003,4440.35,4985.04,3.87,3.72,80.6,-0.375,19.87,22.05,02a57777o0690c
30,57777.580007000004,17.498,0.040999999999999995,364,15,c,0,1.03,181.61399,28.138720000000003,4456.08,5022.83,3.77,3.67,79.2,-0.386,19.91,22.08,02a57777o0714c
31,57777.602371,17.442999999999998,0.036000000000000004,382,14,c,0,1.03,181.61399,28.138720000000003,6102.73,5503.05,3.76,3.56,84.7,-0.387,19.87,21.99,02a57777o0750c
32,57777.612177999996,17.487000000000002,0.046,368,17,c,0,0.73,181.61399,28.138720000000003,6120.1,5384.52,3.9,3.68,84.9,-0.379,19.82,21.96,02a57777o0765c
33,57777.629933000004,17.492,0.042,366,15,c,0,0.97,181.61399,28.138720000000003,6087.52,5443.77,3.9,3.71,85.4,-0.37799999999999995,19.77,21.89,02a57777o0791c
34,57781.548914,17.807000000000002,0.055,274,15,c,0,0.85,181.61399,28.138720000000003,4089.87,4708.76,3.7,3.56,82.6,-0.408,19.92,22.03,02a57781o0591c
35,57781.579961,17.750999999999998,0.05,288,14,c,0,1.06,181.61399,28.138720000000003,6397.85,5698.25,3.69,3.54,89.8,-0.413,19.9,22.02,02a57781o0647c
36,57781.583590999995,17.682000000000002,0.05,307,15,c,0,0.84,181.61399,28.138720000000003,6447.63,5776.33,3.62,3.44,-82.4,-0.42700000000000005,19.91,22.03,02a57781o0653c
37,57781.594024,17.942999999999998,0.053,242,13,c,0,1.28,181.61399,28.138720000000003,4035.68,4792.43,3.73,3.57,75.4,-0.40299999999999997,19.93,22.05,02a57781o0671c
38,57781.620346,17.715999999999998,0.052000000000000005,298,16,c,0,0.85,181.61399,28.138720000000003,6431.7,5717.83,3.61,3.46,-79.7,-0.43200000000000005,19.89,21.99,02a57781o0712c
39,57789.51222999999,18.086,0.085,212,18,o,0,1.18,181.61399,28.138720000000003,2049.94,5535.18,3.53,3.36,67.7,-0.466,19.52,21.25,02a57789o0539o
40,57789.524686000004,17.908,0.08,249,20,o,0,0.84,181.61399,28.138720000000003,2066.32,5573.37,3.57,3.39,57.7,-0.46399999999999997,19.55,21.27,02a57789o0559o
41,57789.527632000005,17.892,0.076,253,19,o,0,0.93,181.61399,28.138720000000003,2015.03,5495.01,3.63,3.44,63.1,-0.455,19.54,21.29,02a57789o0565o
42,57789.552364999996,17.955,0.076,239,18,o,0,0.95,181.61399,28.138720000000003,1995.21,5613.78,3.73,3.53,46.8,-0.449,19.54,21.35,02a57789o0607o
43,57789.56597999999,18.06,0.08800000000000001,217,19,o,0,1.03,181.61399,28.138720000000003,2032.62,5558.79,3.61,3.43,45.9,-0.467,19.59,21.37,02a57789o0630o
44,57793.464586,18.298,0.19399999999999998,174,34,o,0,0.86,181.61399,28.138720000000003,3916.6,3772.78,3.57,3.47,-86.6,-0.426,18.56,19.33,02a57793o0431o
45,57793.488262,18.649,0.3,126,38,o,0,0.75,181.61399,28.138720000000003,3932.47,3814.85,3.52,3.42,89.5,-0.431,18.63,19.42,02a57793o0473o
46,57793.497653,18.525,0.27,141,38,o,0,0.85,181.61399,28.138720000000003,3865.98,3737.4,3.61,3.51,87.0,-0.42200000000000004,18.62,19.44,02a57793o0491o
47,57793.503624000004,18.354,0.213,165,35,o,0,0.86,181.61399,28.138720000000003,3847.67,3854.02,3.6,3.47,89.0,-0.43,18.64,19.47,02a57793o0500o
48,57793.524603,17.906,0.127,250,32,o,0,1.19,181.61399,28.138720000000003,3895.32,3799.66,3.67,3.57,77.7,-0.41,18.64,19.53,02a57793o0534o
49,57797.515863,20.756999999999998,2.327,18,42,o,0,1.26,181.61399,28.138720000000003,1538.14,3408.9,3.83,3.55,70.6,-0.439,18.39,19.05,02a57797o0440o
50,57797.527566,18.709,0.374,119,45,o,0,0.95,181.61399,28.138720000000003,1551.78,3452.44,3.74,3.5,64.7,-0.456,18.38,19.05,02a57797o0460o
51,57797.528967,18.869,0.975,103,100,o,0,1.05,181.61399,28.138720000000003,6636.34,6551.8,3.67,3.64,39.0,-0.7070000000000001,18.2,19.29,01a57797o0577o
52,57797.542806,-18.949,0.9059999999999999,-96,87,o,0,1.01,181.61399,28.138720000000003,3916.95,4045.64,3.95,3.86,-33.0,-0.722,18.16,19.18,01a57797o0600o
53,57797.547169000005,18.457,0.435,150,65,o,0,1.18,181.61399,28.138720000000003,8998.09,7073.0,3.43,3.03,-71.7,-0.444,18.41,19.01,02a57797o0493o
54,57797.55381699999,18.63,0.499,128,64,o,0,1.04,181.61399,28.138720000000003,9015.19,6961.89,3.45,3.06,-73.1,-0.431,18.41,19.02,02a57797o0505o
55,57797.564027,18.346,0.556,166,92,o,0,0.79,181.61399,28.138720000000003,3850.1,3968.68,3.93,3.88,-29.8,-0.69,18.17,19.19,01a57797o0634o
56,57797.570612,18.258,0.45,181,81,o,0,0.92,181.61399,28.138720000000003,3837.71,4085.36,3.92,3.84,-49.8,-0.698,18.18,19.19,01a57797o0645o
57,57797.579738,18.785,0.57,111,63,o,0,1.52,181.61399,28.138720000000003,8978.72,7018.04,3.43,2.94,-72.9,-0.442,18.43,19.01,02a57797o0547o
58,57797.595924,19.285,1.198,70,84,o,0,1.06,181.61399,28.138720000000003,3876.41,4027.85,3.9,3.85,-37.0,-0.687,18.14,19.14,01a57797o0686o
59,57799.591577,18.514,0.32899999999999996,143,47,o,0,0.94,181.61399,28.138720000000003,4176.3,4543.35,3.77,3.68,-42.0,-0.675,18.73,20.22,01a57799o0668o
60,57799.61159,18.827,0.48100000000000004,107,51,o,0,1.05,181.61399,28.138720000000003,4213.27,4582.07,3.72,3.63,-36.3,-0.6990000000000001,18.64,20.02,01a57799o0705o
61,57799.624985,19.401,0.8079999999999999,63,51,o,0,0.99,181.61399,28.138720000000003,4145.33,4507.32,3.7,3.6,-45.0,-0.72,18.64,19.99,01a57799o0729o
62,57801.522705999996,18.695,0.198,121,24,o,0,0.84,181.61399,28.138720000000003,1808.79,2816.89,3.7,3.49,80.6,-0.426,19.26,20.65,02a57801o0557o
63,57801.533589,19.156,0.254,79,20,o,0,1.09,181.61399,28.138720000000003,8667.27,7594.53,3.4,3.05,-77.7,-0.455,19.25,20.64,02a57801o0577o
64,57801.53724600001,18.910999999999998,0.21899999999999997,99,22,o,0,0.98,181.61399,28.138720000000003,8716.66,7674.26,3.48,3.1,-80.7,-0.47200000000000003,19.24,20.64,02a57801o0583o
65,57801.55447,18.96,0.24600000000000002,95,23,o,0,0.9,181.61399,28.138720000000003,8730.57,7557.34,3.6,3.21,-83.9,-0.47,19.2,20.61,02a57801o0612o
66,57801.573577999996,18.759,0.314,114,36,o,0,1.13,181.61399,28.138720000000003,1792.05,5173.27,4.13,3.9,-77.0,-0.578,18.74,20.38,01a57801o0615o
67,57801.577023000005,18.804000000000002,0.192,109,21,o,0,1.09,181.61399,28.138720000000003,8698.97,7620.68,3.56,3.09,-82.6,-0.45,19.2,20.58,02a57801o0651o
68,57801.59873,18.793,0.371,110,41,o,0,0.85,181.61399,28.138720000000003,1811.66,5212.36,4.43,4.16,-81.4,-0.54,18.71,20.43,01a57801o0663o
69,57801.608570000004,19.23,0.539,74,40,o,0,0.98,181.61399,28.138720000000003,1759.07,5132.72,4.29,4.03,-80.7,-0.557,18.73,20.38,01a57801o0681o
