,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58006.600042,-20.096,0.747,-33,25,o,0,1.47,50.13108,42.64439,610.64,1075.89,3.14,3.12,11.5,-0.47700000000000004,18.66,19.7,01a58006o0015o
1,58006.610057000005,-20.587,1.329,-21,28,o,0,0.9,50.13108,42.64439,9336.4,9327.92,3.55,3.26,88.3,-0.43,18.54,19.69,01a58006o0032o
2,58010.55319199999,-22.691,5.077,-3,16,o,0,1.06,50.13108,42.64439,9534.85,1173.07,3.51,3.09,-77.8,-0.441,19.18,20.66,01a58010o0710o
3,58010.561090999996,-19.671,0.317,-49,16,o,0,1.41,50.13108,42.64439,9529.93,1105.65,3.6,3.12,-78.8,-0.44,19.15,20.67,01a58010o0727o
4,58010.569035,-20.167,0.555,-31,17,o,0,0.85,50.13108,42.64439,9600.31,1154.55,3.52,2.96,-77.8,-0.45299999999999996,19.2,20.69,01a58010o0744o
5,58010.57692100001,-19.909000000000002,0.408,-40,16,o,0,1.3,50.13108,42.64439,9623.48,1006.97,3.59,2.9,-78.8,-0.449,19.19,20.68,01a58010o0761o
6,58014.533475,-20.189,0.485,-30,15,o,0,0.97,50.13108,42.64439,3619.6,9122.86,3.66,2.96,-5.7,-0.42100000000000004,19.14,20.89,01a58014o0672o
7,58014.541361,-20.732,0.705,-18,13,o,0,0.94,50.13108,42.64439,3590.32,9084.74,2.89,2.74,-18.2,-0.469,19.32,20.94,01a58014o0689o
8,58014.549216,-20.185,0.46299999999999997,-31,14,o,0,0.69,50.13108,42.64439,3646.27,9161.97,2.72,2.62,-56.1,-0.48700000000000004,19.41,20.96,01a58014o0706o
9,58014.557149,-23.246,6.818,-2,12,o,0,0.81,50.13108,42.64439,3672.43,9045.36,2.77,2.66,-59.5,-0.48100000000000004,19.41,21.02,01a58014o0723o
10,58022.525196,-19.925,0.337,-39,13,o,0,1.2,50.13108,42.64439,1921.34,8822.18,3.23,2.85,-83.6,-0.445,19.26,20.87,01a58022o0662o
11,58022.533089,-21.319000000000003,1.193,-11,13,o,0,1.5,50.13108,42.64439,1904.03,8751.93,3.17,2.75,-80.0,-0.45,19.27,20.82,01a58022o0679o
12,58022.541297,-22.357,3.286,-4,14,o,0,1.43,50.13108,42.64439,1969.75,8777.28,3.25,2.8,-74.7,-0.45,19.21,20.78,01a58022o0696o
13,58022.549209000004,-21.041999999999998,0.863,-14,12,o,0,1.65,50.13108,42.64439,1990.01,8629.51,3.04,2.58,-82.4,-0.478,19.28,20.75,01a58022o0713o
14,58026.545078999996,-21.138,1.129,-13,14,o,0,0.91,50.13108,42.64439,8837.79,7995.57,3.6,2.68,-83.6,-0.425,19.35,21.03,01a58026o0622o
15,58026.553899,-20.837,0.72,-17,12,o,0,1.59,50.13108,42.64439,8851.22,8069.65,3.77,2.83,-83.1,-0.41600000000000004,19.3,21.03,01a58026o0641o
16,58026.562804999994,-20.458,0.556,-24,13,o,0,1.05,50.13108,42.64439,8793.12,8029.82,3.73,2.82,-84.1,-0.413,19.27,21.02,01a58026o0660o
17,58026.571644,-21.000999999999998,1.015,-14,15,o,0,0.93,50.13108,42.64439,8778.26,8180.31,3.72,2.79,-81.6,-0.41600000000000004,19.34,21.04,01a58026o0679o
18,58028.52621799999,23.078000000000003,6.348,2,14,o,0,0.96,50.13108,42.64439,2857.62,9493.22,2.08,1.84,25.7,-0.515,19.46,20.28,02a58028o0703o
19,58028.538144000006,-20.070999999999998,0.33399999999999996,-34,11,o,0,1.7,50.13108,42.64439,2842.01,9454.81,2.1,1.87,29.2,-0.508,19.49,20.36,02a58028o0728o
20,58028.546866,-21.142,1.113,-13,14,o,0,1.14,50.13108,42.64439,2894.45,9533.48,2.14,1.86,31.8,-0.515,19.56,20.46,02a58028o0746o
21,58028.55869500001,-21.28,1.06,-11,12,o,0,0.88,50.13108,42.64439,2908.1,9413.55,2.11,1.93,27.4,-0.505,19.61,20.71,02a58028o0771o
22,58030.541575999996,-20.633000000000003,1.83,-20,37,o,0,1.17,50.13108,42.64439,8322.77,618.82,3.22,2.92,-82.4,-0.444,18.34,19.02,01a58030o0563o
23,58030.547115999994,21.24,2.3209999999999997,12,27,o,0,1.59,50.13108,42.64439,8337.46,680.17,3.19,2.89,-79.9,-0.445,18.43,19.02,01a58030o0575o
24,58030.54946,-20.315,1.2229999999999999,-27,33,o,0,1.1,50.13108,42.64439,1937.98,10409.0,3.03,2.51,-79.7,-0.499,18.36,19.1,01a58030o0580o
25,58030.555960000005,20.88,2.0,16,32,o,0,1.15,50.13108,42.64439,8281.49,639.78,3.26,2.99,-81.5,-0.439,18.34,18.98,01a58030o0594o
26,58030.558256,-20.035,1.092,-35,38,o,0,0.91,50.13108,42.64439,1951.43,10484.64,2.87,2.44,-81.0,-0.523,18.32,19.01,01a58030o0599o
27,58030.564748000004,20.545,1.298,22,28,o,0,1.83,50.13108,42.64439,8267.99,793.25,3.26,2.98,-78.7,-0.439,18.37,18.95,01a58030o0613o
28,58030.56705700001,22.73,9.125,3,27,o,0,1.21,50.13108,42.64439,1894.41,10441.6,3.01,2.53,-83.7,-0.5,18.47,19.16,01a58030o0618o
29,58032.558980999995,-19.245,0.37,-73,27,o,0,1.04,50.13108,42.64439,7997.1,2449.43,2.6,2.31,52.0,-0.42100000000000004,18.6,19.08,02a58032o0162o
30,58032.567861,-19.932000000000002,0.682,-39,26,o,0,1.07,50.13108,42.64439,7967.95,2408.84,3.04,2.76,57.6,-0.414,18.44,19.07,02a58032o0181o
31,58032.576694,-19.872,0.526,-41,22,o,0,1.11,50.13108,42.64439,8025.26,2488.05,2.64,2.22,56.7,-0.413,18.61,19.11,02a58032o0200o
