,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58015.639007000005,-24.718000000000004,180.0,0,85,o,0,1.1,107.10332,-23.78943,3730.55,6007.61,5.55,4.22,-2.3,-0.35600000000000004,17.48,18.78,01a58015o0578o
1,58019.642228,-19.315,0.9470000000000001,-68,65,o,0,1.13,107.10332,-23.78943,2187.25,5950.26,3.5,3.14,85.0,-0.466,17.94,18.79,01a58019o0804o
2,58019.646805,19.28,3.25,70,229,o,0,1.92,107.10332,-23.78943,2169.08,5911.73,3.65,3.42,80.3,-0.5920000000000001,16.78,17.48,01a58019o0814o
3,58019.647721,-15.319,0.24100000000000002,-2708,652,o,0,73.7,107.10332,-23.78943,2222.94,5989.16,10.92,10.14,62.8,-0.136,16.63,17.19,01a58019o0816o
4,58023.625145000005,-19.573,0.306,-54,16,o,0,1.49,107.10332,-23.78943,2731.3,9477.4,3.53,3.01,-84.8,-0.44,19.05,20.61,01a58023o0792o
5,58023.63299299999,-20.164,0.61,-31,19,o,0,1.35,107.10332,-23.78943,2700.16,9415.06,3.36,2.72,-85.9,-0.46,18.97,20.26,01a58023o0809o
6,58023.64083,-19.971,1.082,-37,40,o,0,1.44,107.10332,-23.78943,2746.01,9469.54,3.37,2.74,-85.9,-0.461,18.07,18.58,01a58023o0826o
7,58027.599130999995,-20.317,0.562,-27,15,o,0,1.59,107.10332,-23.78943,5768.8,6372.68,3.44,2.91,-87.4,-0.434,18.98,20.49,01a58027o0580o
8,58027.607005,-20.222,0.5579999999999999,-30,16,o,0,1.26,107.10332,-23.78943,5741.7,6313.34,3.9,3.16,85.8,-0.405,18.94,20.54,01a58027o0597o
9,58027.614852,-19.554000000000002,0.262,-55,14,o,0,1.23,107.10332,-23.78943,5786.68,6368.72,3.33,2.8,-88.1,-0.444,19.08,20.57,01a58027o0614o
10,58031.58403300001,19.311,0.943,68,65,o,0,0.98,107.10332,-23.78943,3746.39,6287.89,4.38,4.16,81.1,-0.42200000000000004,17.82,18.89,01a58031o0820o
11,58031.591844,20.229,3.1510000000000002,29,93,o,0,0.78,107.10332,-23.78943,3718.42,6228.65,3.9,3.73,6.7,-0.43799999999999994,18.04,18.97,01a58031o0837o
12,58031.599674,19.108,1.557,83,129,o,0,0.77,107.10332,-23.78943,3763.05,6285.67,3.89,3.52,84.3,-0.396,18.12,19.02,01a58031o0854o
13,58031.607496000004,19.625999999999998,26.229,51,1344,o,0,1.17,107.10332,-23.78943,3771.55,6147.08,3.54,3.15,-88.4,-0.435,18.23,19.08,01a58031o0871o
14,58037.61275,-19.767,0.366,-45,16,o,0,1.43,107.10332,-23.78943,5413.27,4307.35,2.48,2.09,-43.3,-0.44299999999999995,19.1,19.82,02a58037o0664o
15,58037.617362,-20.355999999999998,0.6559999999999999,-26,17,o,0,1.79,107.10332,-23.78943,5431.35,4347.42,2.55,2.11,-39.8,-0.43700000000000006,19.09,19.83,02a58037o0674o
16,58037.625183000004,-19.327,0.256,-68,17,o,0,1.43,107.10332,-23.78943,5374.78,4270.63,2.48,2.04,-39.0,-0.444,19.11,19.84,02a58037o0691o
17,58037.627933,-20.48,0.7509999999999999,-23,18,o,0,1.45,107.10332,-23.78943,5339.43,4387.81,2.61,2.17,-42.1,-0.43700000000000006,19.08,19.84,02a58037o0697o
18,58039.602682000004,-19.262,0.684,-72,49,o,0,1.09,107.10332,-23.78943,4386.27,9217.74,3.33,3.0,-86.4,-0.451,18.79,20.01,01a58039o0738o
19,58039.60772000001,21.838,5.5329999999999995,7,37,o,0,0.95,107.10332,-23.78943,4365.6,9162.53,3.36,3.03,-78.6,-0.441,18.77,20.02,01a58039o0749o
20,58039.620094000005,19.855999999999998,0.6940000000000001,41,29,o,0,1.11,107.10332,-23.78943,4409.28,9198.75,4.41,4.16,-88.8,-0.37799999999999995,18.53,20.05,01a58039o0776o
21,58039.631139,-19.701,0.46299999999999997,-48,22,o,0,1.45,107.10332,-23.78943,4436.33,9042.37,3.56,3.33,88.5,-0.424,18.76,20.08,01a58039o0800o
22,58043.603821000004,-18.673,0.17,-123,21,o,0,3.02,107.10332,-23.78943,6180.98,7579.09,3.8,3.38,-85.1,-0.41200000000000003,18.81,20.49,01a58043o0889o
23,58043.610689,-19.034000000000002,0.177,-88,16,o,0,3.95,107.10332,-23.78943,6156.26,7516.96,3.57,3.19,-82.3,-0.41600000000000004,18.95,20.61,01a58043o0904o
24,58043.618495,-19.389,0.28800000000000003,-64,18,o,0,1.1,107.10332,-23.78943,6220.25,7450.03,3.42,3.08,-86.1,-0.428,19.06,20.77,01a58043o0921o
25,58043.62536799999,-18.905,0.18899999999999997,-100,19,o,0,1.43,107.10332,-23.78943,6199.88,7542.36,3.49,3.13,-84.1,-0.433,19.07,20.77,01a58043o0936o
26,58047.593272000006,0.0,20.224,0,30,o,0,1.12,107.10332,-23.78943,3459.36,7036.94,3.4,3.05,-87.5,-0.446,19.0,20.6,01a58047o0870o
27,58047.602891999995,-22.584,5.2860000000000005,-3,18,o,0,1.66,107.10332,-23.78943,3417.26,6965.49,3.4,3.31,-15.7,-0.424,19.0,20.61,01a58047o0891o
28,58047.607932000006,-19.719,1.056,-47,50,o,0,1.66,107.10332,-23.78943,3484.41,7024.56,3.52,3.49,38.4,-0.424,18.97,20.6,01a58047o0902o
29,58047.614804,-19.71,5.004,-47,237,o,0,1.45,107.10332,-23.78943,3498.7,6884.22,3.2,2.95,-87.6,-0.445,19.11,20.62,01a58047o0917o
30,58053.527720000006,19.042,0.161,88,14,o,0,2.32,107.10332,-23.78943,5865.62,1954.9,2.24,2.2,54.4,-0.435,19.23,20.22,02a58053o0723o
31,58053.531838999996,19.189,0.17800000000000002,77,14,o,0,2.75,107.10332,-23.78943,5882.25,1993.6,2.29,2.28,79.1,-0.435,19.22,20.22,02a58053o0732o
32,58053.535946,19.531,0.26,56,15,o,0,1.24,107.10332,-23.78943,5811.33,1916.34,2.25,2.2,77.2,-0.441,19.25,20.24,02a58053o0741o
33,58053.540054,19.073,0.20800000000000002,85,18,o,0,1.63,107.10332,-23.78943,5792.45,2033.72,2.17,2.14,88.9,-0.435,19.25,20.23,02a58053o0750o
34,58055.557412,18.566,0.12300000000000001,136,17,o,0,1.56,107.10332,-23.78943,2615.34,6938.66,3.54,3.21,89.2,-0.449,19.11,21.01,01a58055o0805o
