,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58018.452383,-18.694000000000003,0.078,-121,9,c,0,2.6,14.5342,-10.12045,939.46,7065.59,2.88,2.78,-10.0,-0.39299999999999996,19.59,21.5,02a58018o0201c
1,58018.457117,-18.641,0.071,-127,9,c,0,2.52,14.5342,-10.12045,957.16,7104.5,2.63,2.45,-6.7,-0.41,19.68,21.5,02a58018o0211c
2,58018.465881,-18.262,0.046,-180,8,c,0,2.13,14.5342,-10.12045,897.27,7029.82,2.56,2.41,-4.7,-0.409,19.67,21.5,02a58018o0230c
3,58018.472616,-18.386,0.044000000000000004,-160,7,c,0,3.25,14.5342,-10.12045,875.5,7147.0,2.54,2.36,-5.7,-0.406,19.72,21.47,02a58018o0244c
4,58022.427467999994,-18.824,0.087,-107,9,o,0,8.29,14.5342,-10.12045,6984.2,5569.94,2.05,1.92,-35.1,-0.461,19.67,20.73,02a58022o0441o
5,58022.434067999995,-19.125999999999998,0.12,-81,10,o,0,9.42,14.5342,-10.12045,7001.0,5610.99,2.08,1.93,-41.3,-0.452,19.64,20.68,02a58022o0455o
6,58022.439657,-19.893,0.245,-40,10,o,0,8.41,14.5342,-10.12045,6943.09,5533.56,2.12,1.98,-39.3,-0.45799999999999996,19.6,20.7,02a58022o0467o
7,58022.44659,-22.019000000000002,1.73,-6,10,o,0,10.55,14.5342,-10.12045,6921.6,5652.28,2.06,1.91,-43.3,-0.456,19.64,20.7,02a58022o0482o
8,58024.422082000005,-19.729,0.327,-47,15,o,0,1.54,14.5342,-10.12045,662.78,6829.09,3.44,3.08,-88.9,-0.38299999999999995,19.2,20.82,01a58024o0463o
9,58024.436564999996,21.177,1.3030000000000002,12,16,o,0,1.79,14.5342,-10.12045,642.22,6734.67,3.15,2.72,-88.9,-0.419,19.28,20.82,01a58024o0492o
10,58024.441201,-18.623,0.129,-129,17,o,0,1.72,14.5342,-10.12045,10381.19,6717.95,3.74,3.49,-81.3,-0.384,19.14,20.8,01a58024o0502o
11,58024.444275,-19.759,0.309,-45,14,o,0,1.82,14.5342,-10.12045,9708.79,3482.5,3.48,2.92,-81.7,-0.42700000000000005,19.22,20.75,01a58024o0508o
12,58024.448731,-19.076,0.196,-85,17,o,0,1.68,14.5342,-10.12045,10360.03,6649.62,3.52,3.0,-86.6,-0.414,19.22,20.77,01a58024o0517o
13,58024.451569000004,-20.342,0.49,-26,13,o,0,3.41,14.5342,-10.12045,735.24,6639.95,3.02,2.51,88.9,-0.44799999999999995,19.22,20.71,01a58024o0523o
14,58024.455822,-19.255,0.23199999999999998,-72,17,o,0,1.8,14.5342,-10.12045,10417.65,6699.78,3.47,2.95,89.9,-0.41,19.15,20.65,01a58024o0532o
15,58024.462902,-22.436,4.353,-4,17,o,0,1.84,14.5342,-10.12045,10434.73,6554.83,3.44,2.66,-88.3,-0.442,19.22,20.62,01a58024o0547o
16,58026.426998,-20.549,0.556,-22,12,o,0,7.33,14.5342,-10.12045,7743.6,5674.59,2.06,1.95,-24.6,-0.45,19.46,20.31,02a58026o0472o
17,58026.438186,20.808000000000003,0.708,17,12,o,0,5.27,14.5342,-10.12045,2717.26,4714.68,2.04,1.98,-12.1,-0.455,19.43,20.29,02a58026o0494o
18,58026.44992000001,-22.825,4.0,-3,11,o,0,3.79,14.5342,-10.12045,2769.09,4790.91,2.09,2.02,12.9,-0.445,19.45,20.34,02a58026o0519o
19,58026.456504999995,-20.739,0.617,-18,11,o,0,4.93,14.5342,-10.12045,7676.93,5757.63,2.0,1.93,-41.7,-0.466,19.48,20.37,02a58026o0531o
20,58028.421814999994,-19.608,0.33399999999999996,-52,17,o,0,2.06,14.5342,-10.12045,3650.86,3417.92,3.07,2.87,65.0,-0.435,18.8,19.78,01a58028o0406o
21,58028.429377,-20.877,1.179,-16,19,o,0,1.79,14.5342,-10.12045,3627.23,3349.88,3.11,3.09,42.5,-0.418,18.77,19.81,01a58028o0422o
22,58028.436589,-20.535,0.82,-22,18,o,0,1.75,14.5342,-10.12045,3683.79,3401.31,3.12,2.93,62.6,-0.43,18.81,19.84,01a58028o0437o
23,58028.443725,20.771,1.1059999999999999,18,20,o,0,1.7,14.5342,-10.12045,3701.2,3256.61,3.12,2.81,82.9,-0.435,18.82,19.82,01a58028o0452o
24,58033.418921000004,19.277,0.41600000000000004,71,29,o,0,1.19,14.5342,-10.12045,7928.17,4347.48,3.36,2.84,-88.2,-0.44299999999999995,18.51,19.19,01a58033o0413o
25,58033.42593099999,18.936,0.322,97,31,o,0,0.95,14.5342,-10.12045,7953.88,4412.9,3.37,2.79,-86.1,-0.44799999999999995,18.49,19.2,01a58033o0427o
26,58033.432314,20.889,1.838,16,29,o,0,1.57,14.5342,-10.12045,7899.03,4360.13,3.42,2.89,-87.2,-0.43799999999999994,18.45,19.17,01a58033o0440o
27,58033.441039,-18.637999999999998,0.24,-127,30,o,0,1.23,14.5342,-10.12045,7884.35,4510.35,3.35,2.8,-88.9,-0.44299999999999995,18.52,19.12,01a58033o0454o
28,58034.413845,-19.874000000000002,0.444,-41,18,o,0,4.59,14.5342,-10.12045,1024.12,6291.22,2.02,1.82,3.0,-0.489,19.02,19.45,02a58034o0469o
29,58034.421163,-18.039,0.087,-221,19,o,0,5.15,14.5342,-10.12045,1003.5,6252.36,2.09,1.9,3.1,-0.499,18.94,19.45,02a58034o0484o
30,58034.426638,-19.415,0.363,-62,23,o,0,3.18,14.5342,-10.12045,1064.29,6333.41,2.08,1.9,3.7,-0.456,18.98,19.43,02a58034o0496o
31,58034.436844,21.254,1.5619999999999998,11,18,o,0,3.79,14.5342,-10.12045,1080.38,6214.78,2.16,1.9,-4.4,-0.456,18.97,19.44,02a58034o0514o
32,58035.413434,-16.314,1.3459999999999999,-1083,1457,o,0,0.96,14.5342,-10.12045,7092.4,4988.49,3.01,2.98,-79.8,-0.36,14.12,14.28,01a58035o0443o
33,58035.420941,-19.211,0.5539999999999999,-75,42,o,0,1.2,14.5342,-10.12045,7117.96,5056.16,3.08,2.99,-76.1,-0.431,17.87,18.53,01a58035o0458o
34,58036.414721,19.412,0.278,62,17,o,0,1.77,14.5342,-10.12045,9718.03,4684.29,3.16,2.83,-80.2,-0.44299999999999995,19.2,20.4,01a58036o0468o
35,58036.422521,-19.758,0.373,-45,17,o,0,1.34,14.5342,-10.12045,9742.48,4754.14,3.16,2.85,-81.8,-0.436,19.17,20.41,01a58036o0484o
36,58036.428157,19.689,0.397,48,19,o,0,1.48,14.5342,-10.12045,39.45,4866.62,2.84,2.51,87.4,-0.46399999999999997,19.17,20.37,01a58036o0496o
37,58036.429965999996,21.601999999999997,1.905,8,16,o,0,2.43,14.5342,-10.12045,9694.76,4705.42,3.12,2.85,-81.4,-0.446,19.14,20.38,01a58036o0499o
38,58036.437517,-20.695999999999998,0.86,-19,16,o,0,2.12,14.5342,-10.12045,9681.5,4853.07,3.11,2.94,-85.8,-0.45,19.13,20.36,01a58036o0514o
39,58037.41215599999,20.469,0.718,24,17,o,0,2.23,14.5342,-10.12045,10092.19,5886.28,3.24,2.82,-84.1,-0.439,19.21,20.56,01a58037o0268o
40,58037.418769,20.319000000000003,0.581,27,16,o,0,2.09,14.5342,-10.12045,10115.72,5952.97,3.22,2.78,-86.5,-0.447,19.22,20.5,01a58037o0282o
41,58037.42312000001,20.296,0.5539999999999999,28,15,o,0,2.61,14.5342,-10.12045,374.59,6015.51,2.79,2.5,88.6,-0.46,19.2,20.49,01a58037o0291o
42,58037.426648,-19.114,0.195,-82,16,o,0,1.67,14.5342,-10.12045,10041.49,5903.65,3.24,2.87,-88.3,-0.43799999999999994,19.18,20.47,01a58037o0297o
43,58037.430934,18.660999999999998,0.121,125,15,o,0,4.21,14.5342,-10.12045,398.89,6084.29,2.8,2.51,-89.4,-0.45299999999999996,19.21,20.47,01a58037o0306o
44,58037.43407,-20.877,1.0490000000000002,-16,17,o,0,1.77,14.5342,-10.12045,10030.52,6050.43,3.2,2.8,-87.1,-0.439,19.22,20.47,01a58037o0312o
45,58037.439215,19.199,0.193,76,15,o,0,3.52,14.5342,-10.12045,351.94,6041.57,2.81,2.49,-87.0,-0.457,19.23,20.47,01a58037o0321o
46,58037.447975999996,19.469,0.24100000000000002,59,14,o,0,2.25,14.5342,-10.12045,332.6,6192.47,2.74,2.45,-89.6,-0.466,19.24,20.46,01a58037o0336o
47,58044.39662000001,-19.632,0.382,-51,20,o,0,1.54,14.5342,-10.12045,8195.57,3482.04,3.08,2.86,-78.2,-0.431,18.86,20.5,01a58044o0443o
48,58044.403729,22.028000000000002,2.44,6,14,o,0,1.82,14.5342,-10.12045,8219.86,3549.42,3.1,2.94,-76.7,-0.426,19.27,20.9,01a58044o0458o
49,58044.41083200001,-19.967,0.508,-37,19,o,0,2.41,14.5342,-10.12045,8165.8,3500.18,3.04,2.89,-72.8,-0.431,18.93,20.54,01a58044o0473o
50,58044.418261,-16.093,0.04,-1327,53,o,0,3.05,14.5342,-10.12045,8152.04,3644.61,3.07,3.05,61.1,-0.436,17.4,18.87,01a58044o0488o
51,58048.389407,-19.692999999999998,0.326,-48,16,o,0,1.43,14.5342,-10.12045,9450.42,3665.66,3.45,2.87,-84.8,-0.42700000000000005,19.3,20.78,01a58048o0433o
52,58048.396458,-19.304000000000002,0.19399999999999998,-69,13,o,0,2.82,14.5342,-10.12045,9474.32,3732.95,3.4,2.86,-84.0,-0.42700000000000005,19.28,20.75,01a58048o0448o
53,58048.403585,-19.285,0.20800000000000002,-70,15,o,0,2.25,14.5342,-10.12045,9419.99,3683.95,3.35,2.86,-84.9,-0.428,19.27,20.7,01a58048o0463o
54,58048.410853999994,21.69,2.156,8,16,o,0,2.13,14.5342,-10.12045,9404.65,3829.34,3.44,2.9,-85.9,-0.42100000000000004,19.13,20.62,01a58048o0478o
55,58054.37454600001,21.654,1.5290000000000001,8,12,o,0,5.68,14.5342,-10.12045,3371.55,4121.67,2.01,1.98,-20.3,-0.451,19.44,20.29,02a58054o0401o
56,58054.381535,18.85,0.114,105,12,o,0,7.02,14.5342,-10.12045,3351.91,4082.65,2.04,2.0,12.1,-0.45799999999999996,19.45,20.35,02a58054o0416o
57,58054.388639,-19.349,0.172,-66,11,o,0,9.96,14.5342,-10.12045,3409.37,4160.85,2.04,2.0,11.4,-0.45299999999999996,19.48,20.36,02a58054o0431o
58,58054.395702999995,-19.636,0.24,-51,12,o,0,3.6,14.5342,-10.12045,3429.84,4047.34,2.06,2.06,-82.8,-0.446,19.46,20.37,02a58054o0446o
59,58056.361703999995,18.722,0.237,118,28,o,0,1.41,14.5342,-10.12045,8062.53,3699.74,3.31,2.8,-82.6,-0.43,18.98,19.98,01a58056o0239o
60,58056.368826,19.1,0.24100000000000002,83,20,o,0,1.5,14.5342,-10.12045,8085.48,3767.12,3.37,3.01,-88.2,-0.424,18.85,19.97,01a58056o0254o
61,58056.3766,18.358,0.126,165,21,o,0,2.09,14.5342,-10.12045,8033.12,3719.07,3.38,2.96,-83.0,-0.42100000000000004,18.89,19.95,01a58056o0269o
