,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58060.652965999994,19.89,3.056,40,123,o,0,1.37,129.42199,53.46123000000001,3312.19,8752.74,2.61,2.52,19.4,-0.494,18.04,18.09,02a58060o0991o
1,58062.61444,18.817999999999998,0.205,108,22,o,0,1.36,129.42199,53.46123000000001,2477.15,10385.85,2.91,2.59,-68.2,-0.485,18.66,19.49,01a58062o0907o
2,58062.616312,18.808,0.28800000000000003,109,31,o,0,0.75,129.42199,53.46123000000001,9489.27,625.21,3.35,2.88,-76.8,-0.456,18.64,19.44,01a58062o0911o
3,58062.62332100001,19.146,0.295,80,24,o,0,1.23,129.42199,53.46123000000001,2468.45,10315.2,3.13,2.66,-76.8,-0.46299999999999997,18.59,19.51,01a58062o0926o
4,58062.625240999994,20.739,1.325,18,24,o,0,1.69,129.42199,53.46123000000001,9493.67,554.23,3.39,2.95,-73.8,-0.449,18.66,19.47,01a58062o0930o
5,58062.63230499999,18.727,0.20800000000000002,117,24,o,0,1.27,129.42199,53.46123000000001,2538.82,10358.44,3.09,2.72,-72.8,-0.457,18.64,19.54,01a58062o0945o
6,58062.634142999996,19.070999999999998,0.34299999999999997,85,29,o,0,0.98,129.42199,53.46123000000001,9568.27,603.24,3.61,3.14,-78.6,-0.435,18.58,19.49,01a58062o0949o
7,58062.64120700001,19.925,0.6809999999999999,39,26,o,0,1.39,129.42199,53.46123000000001,2571.91,10206.37,3.14,2.68,-77.6,-0.456,18.59,19.46,01a58062o0964o
8,58062.64305599999,20.143,1.127,32,36,o,0,0.72,129.42199,53.46123000000001,9604.96,453.55,3.53,3.04,-76.9,-0.439,18.51,19.34,01a58062o0968o
9,58064.634235000005,18.923,0.177,98,17,o,0,1.43,129.42199,53.46123000000001,9459.82,6619.72,2.06,2.03,83.7,-0.47600000000000003,19.13,19.71,02a58064o0960o
10,58064.644284,18.871,0.155,103,16,o,0,1.65,129.42199,53.46123000000001,985.27,3776.86,2.15,1.91,41.7,-0.47200000000000003,19.03,19.52,02a58064o0979o
11,58064.654072000005,18.492,0.361,146,53,o,0,0.73,129.42199,53.46123000000001,9425.02,6585.42,2.1,2.05,72.2,-0.504,18.04,18.1,02a58064o0998o
12,58066.64004500001,19.375,0.284,65,18,o,0,1.22,129.42199,53.46123000000001,7855.79,3284.22,3.2,2.74,-81.2,-0.442,19.03,20.12,01a58066o0972o
13,58066.649556,18.988,0.32299999999999995,92,30,o,0,1.5,129.42199,53.46123000000001,7839.39,3207.35,3.2,2.73,-81.3,-0.441,18.44,19.04,01a58066o0991o
14,58070.62137000001,19.035999999999998,0.147,88,13,o,0,0.97,129.42199,53.46123000000001,1232.96,1458.33,3.22,2.62,84.3,-0.47100000000000003,19.47,21.35,01a58070o0547o
15,58070.631638,19.204,0.16,76,12,o,0,1.16,129.42199,53.46123000000001,8707.79,8859.24,3.84,2.82,-84.7,-0.408,19.41,21.39,01a58070o0566o
16,58070.641787,19.405,0.21899999999999997,63,14,o,0,1.0,129.42199,53.46123000000001,1294.42,1415.13,3.37,2.87,86.7,-0.461,19.4,21.33,01a58070o0585o
17,58070.651533000004,18.552,0.235,138,32,o,0,0.93,129.42199,53.46123000000001,8617.47,8980.37,3.84,2.83,-83.8,-0.413,18.64,19.57,01a58070o0604o
18,58074.599733,19.983,0.418,37,15,o,0,0.9,129.42199,53.46123000000001,195.92,3156.97,3.43,2.74,88.9,-0.445,19.25,20.89,01a58074o0890o
19,58074.610375,-19.975,0.34600000000000003,-37,13,o,0,1.49,129.42199,53.46123000000001,183.28,3077.94,3.42,2.75,87.7,-0.446,19.3,20.89,01a58074o0909o
20,58074.617367,19.612000000000002,0.292,52,15,o,0,1.01,129.42199,53.46123000000001,10060.16,2999.21,3.84,2.87,-82.7,-0.428,19.3,20.88,01a58074o0922o
21,58074.6206,19.143,0.204,80,16,o,0,1.07,129.42199,53.46123000000001,9669.73,7129.67,3.79,2.84,-85.1,-0.41700000000000004,19.29,20.85,01a58074o0928o
22,58074.626771,19.212,0.226,75,17,o,0,0.98,129.42199,53.46123000000001,10058.51,2920.74,3.78,2.9,-80.0,-0.42700000000000005,19.27,20.88,01a58074o0941o
23,58074.629591,19.291,0.22699999999999998,70,16,o,0,1.07,129.42199,53.46123000000001,283.41,2957.34,3.36,2.7,87.9,-0.45299999999999996,19.26,20.87,01a58074o0947o
24,58074.636044000006,19.42,0.257,62,16,o,0,1.21,129.42199,53.46123000000001,10127.48,2966.05,3.8,2.86,-81.1,-0.433,19.28,20.89,01a58074o0960o
25,58074.645205999994,19.177,0.212,78,16,o,0,0.99,129.42199,53.46123000000001,10161.65,2811.22,3.79,2.89,-81.9,-0.43,19.17,20.65,01a58074o0979o
26,58078.60185399999,19.761,0.32799999999999996,45,15,o,0,1.06,129.42199,53.46123000000001,7862.92,1775.78,3.39,2.88,-84.1,-0.43200000000000005,19.23,21.11,01a58078o0894o
27,58078.611963,19.087,0.147,84,12,o,0,0.93,129.42199,53.46123000000001,7852.04,1697.81,3.42,2.85,-87.4,-0.43,19.46,21.34,01a58078o0913o
28,58078.62195,19.229,0.163,74,12,o,0,0.87,129.42199,53.46123000000001,1998.85,8522.73,3.11,2.55,-84.8,-0.462,19.44,21.31,01a58078o0932o
29,58078.63162000001,19.342,0.18899999999999997,67,13,o,0,1.36,129.42199,53.46123000000001,7950.41,1579.8,3.29,2.69,-82.3,-0.442,19.46,21.31,01a58078o0951o
30,58082.58367000001,19.345,0.271,66,18,o,0,0.93,129.42199,53.46123000000001,836.67,4188.57,3.62,3.05,88.0,-0.43200000000000005,19.14,20.96,01a58082o0854o
31,58082.594349,19.804000000000002,0.32299999999999995,44,14,o,0,1.14,129.42199,53.46123000000001,9101.86,6135.76,3.71,2.8,-86.3,-0.424,19.34,21.0,01a58082o0873o
32,58082.605034,18.437,0.095,153,14,o,0,6.9,129.42199,53.46123000000001,9038.64,6102.87,3.84,3.02,-87.4,-0.415,19.22,20.94,01a58082o0892o
33,58082.61495,19.471,0.233,59,14,o,0,1.35,129.42199,53.46123000000001,9017.87,6261.61,3.78,2.86,-85.9,-0.415,19.28,20.93,01a58082o0911o
34,58090.527246000005,21.96,6.167000000000001,6,37,o,0,1.2,129.42199,53.46123000000001,579.87,4298.27,3.58,3.1,-80.8,-0.435,18.21,19.13,01a58090o0004o
35,58090.53081900001,19.187,0.43700000000000006,77,34,o,0,1.03,129.42199,53.46123000000001,562.19,4248.32,3.16,2.84,-79.9,-0.439,18.34,19.13,01a58090o0008o
36,58090.540054,19.762999999999998,0.7190000000000001,45,32,o,0,1.14,129.42199,53.46123000000001,635.75,4291.11,3.4,3.02,-83.3,-0.433,18.32,19.15,01a58090o0015o
37,58090.554578999996,21.015,3.0,14,43,o,0,0.84,129.42199,53.46123000000001,10455.08,4154.98,3.7,2.99,-79.7,-0.446,18.35,19.1,01a58090o0026o
38,58090.57834099999,-20.893,2.73,-16,44,o,0,0.95,129.42199,53.46123000000001,10480.14,4027.89,3.83,3.07,-79.5,-0.44,18.4,19.25,01a58090o0044o
39,58090.586244000006,22.997,12.182,2,28,o,0,1.43,129.42199,53.46123000000001,714.93,4000.6,3.32,2.86,-86.1,-0.431,18.39,19.21,01a58090o0050o
40,58091.545033,20.262999999999998,1.567,28,45,o,0,0.96,129.42199,53.46123000000001,2691.71,9203.9,2.29,2.15,9.3,-0.49,18.65,19.06,02a58091o0774o
41,58091.553353999996,20.194000000000003,1.044,30,32,o,0,1.21,129.42199,53.46123000000001,2713.95,9246.12,2.36,2.23,19.2,-0.499,18.61,19.07,02a58091o0792o
42,58091.561275,19.269000000000002,0.672,71,48,o,0,0.91,129.42199,53.46123000000001,2643.3,9166.56,2.37,2.25,6.6,-0.48700000000000004,18.67,19.08,02a58091o0809o
43,58091.56969,19.101,0.33299999999999996,83,28,o,0,3.0,129.42199,53.46123000000001,2625.11,9282.83,2.39,2.23,10.7,-0.49700000000000005,18.61,19.09,02a58091o0827o
44,58094.554111000005,19.592,3.7439999999999998,53,198,o,0,0.11,129.42199,53.46123000000001,35.35,2762.43,3.53,2.87,87.9,-0.441,18.21,18.95,01a58094o0807o
45,58094.56424,18.680999999999997,0.5920000000000001,122,72,o,0,1.76,129.42199,53.46123000000001,9887.06,7555.02,3.72,2.81,-86.5,-0.408,17.97,18.51,01a58094o0826o
46,58094.571438,-21.255,5.242000000000001,-11,60,o,0,1.17,129.42199,53.46123000000001,9916.36,2587.55,3.92,3.13,-83.3,-0.40700000000000003,17.78,18.34,01a58094o0839o
47,58094.575049,19.652,2.0380000000000003,50,102,o,0,1.33,129.42199,53.46123000000001,9824.31,7524.3,3.84,2.91,-87.6,-0.405,17.83,18.34,01a58094o0845o
48,58094.586115,19.378,0.369,64,24,o,0,0.95,129.42199,53.46123000000001,9805.16,7688.72,3.58,2.68,-85.6,-0.414,18.89,19.88,01a58094o0864o
49,58096.57525,-18.385,0.873,-161,140,o,0,1.2,129.42199,53.46123000000001,8447.13,1436.05,2.73,2.18,50.2,-0.41600000000000004,16.48,16.84,02a58096o0852o
50,58096.584077,20.03,0.488,35,17,o,0,0.96,129.42199,53.46123000000001,8422.79,1395.29,2.72,2.1,51.8,-0.446,19.11,20.0,02a58096o0871o
51,58096.593695,20.53,0.76,22,17,o,0,1.1,129.42199,53.46123000000001,8477.91,1476.22,2.68,2.13,49.7,-0.436,19.04,20.11,02a58096o0890o
52,58096.603838,-20.495,1.141,-23,26,o,0,0.83,129.42199,53.46123000000001,8494.15,1355.42,2.67,2.13,49.2,-0.446,18.67,19.26,02a58096o0909o
53,58098.559447,19.83,0.409,42,17,o,0,1.36,129.42199,53.46123000000001,7737.24,1980.97,3.79,3.3,-87.7,-0.38299999999999995,18.94,20.64,01a58098o0795o
54,58098.569725,21.486,1.571,9,14,o,0,1.41,129.42199,53.46123000000001,2198.42,8357.27,3.44,3.02,-87.6,-0.42700000000000005,19.09,20.83,01a58098o0814o
55,58098.580353,20.893,1.047,16,17,o,0,1.55,129.42199,53.46123000000001,2134.54,8323.65,3.19,2.81,-87.7,-0.431,18.96,20.54,01a58098o0833o
56,58098.591205,19.726,0.235,47,11,o,0,1.59,129.42199,53.46123000000001,2114.12,8484.2,3.16,2.85,-87.2,-0.44299999999999995,19.39,21.25,01a58098o0852o
57,58100.58711,20.364,0.34700000000000003,26,9,o,0,1.67,129.42199,53.46123000000001,9054.27,1494.32,2.69,2.07,50.2,-0.44799999999999995,19.68,21.08,02a58100o0353o
58,58100.59581,20.713,0.532,19,10,o,0,1.22,129.42199,53.46123000000001,9030.09,1454.31,2.76,2.13,50.2,-0.45,19.67,21.07,02a58100o0372o
59,58100.604588,21.441999999999997,1.1740000000000002,10,11,o,0,0.85,129.42199,53.46123000000001,9085.23,1534.57,2.79,2.16,48.6,-0.452,19.65,21.04,02a58100o0391o
60,58100.61345800001,19.891,0.264,40,11,o,0,1.21,129.42199,53.46123000000001,9110.54,1422.29,2.81,2.08,49.5,-0.45,19.68,21.04,02a58100o0410o
61,58102.544345,20.405,0.474,25,12,o,0,1.53,129.42199,53.46123000000001,8572.22,6783.34,3.47,2.83,-85.9,-0.426,19.3,20.95,01a58102o0781o
62,58102.55402,21.182,1.051,12,13,o,0,1.17,129.42199,53.46123000000001,8588.85,6855.55,3.42,2.77,-87.6,-0.43,19.29,20.85,01a58102o0802o
63,58102.563631,20.313,0.528,27,14,o,0,1.13,129.42199,53.46123000000001,8529.14,6820.13,3.5,2.88,-86.6,-0.42100000000000004,19.25,20.86,01a58102o0821o
64,58102.574198,20.968000000000004,0.8959999999999999,15,13,o,0,1.3,129.42199,53.46123000000001,8511.76,6980.51,3.53,2.89,-85.1,-0.419,19.22,20.8,01a58102o0840o
65,58110.525902,-20.859,0.731,-16,12,o,0,1.22,129.42199,53.46123000000001,9542.86,6800.83,3.46,2.78,-85.8,-0.435,19.4,21.17,01a58110o0749o
66,58110.54137100001,22.74,4.571000000000001,3,13,o,0,1.03,129.42199,53.46123000000001,9561.36,6899.75,3.49,2.72,-86.5,-0.428,19.44,21.23,01a58110o0781o
67,58110.546404999994,19.973,0.287,37,11,o,0,1.55,129.42199,53.46123000000001,9503.37,6844.98,3.43,2.73,-87.3,-0.434,19.45,21.2,01a58110o0792o
68,58110.55384099999,22.862,4.462,3,12,o,0,1.18,129.42199,53.46123000000001,9481.27,6989.63,3.4,2.67,-86.0,-0.435,19.51,21.23,01a58110o0808o
69,58112.549523,-22.357,1.811,-4,8,o,0,1.48,129.42199,53.46123000000001,8052.49,1809.56,2.36,2.0,56.6,-0.447,19.76,21.1,02a58112o0785o
70,58112.554086000004,-21.33,0.845,-11,9,o,0,1.18,129.42199,53.46123000000001,8027.15,1771.66,2.35,1.98,52.1,-0.452,19.73,21.08,02a58112o0795o
71,58112.564809,21.410999999999998,0.93,10,9,o,0,0.9,129.42199,53.46123000000001,8088.26,1853.21,2.41,2.03,52.7,-0.442,19.74,21.1,02a58112o0818o
72,58112.576479999996,-23.38,5.643,-2,9,o,0,1.27,129.42199,53.46123000000001,8110.2,1738.29,2.36,2.0,52.7,-0.478,19.74,21.07,02a58112o0843o
73,58116.522859000004,-20.699,0.607,-19,12,o,0,1.96,129.42199,53.46123000000001,116.49,1485.43,2.57,2.04,51.9,-0.547,19.29,20.18,02a58116o0719o
74,58116.538026999995,-20.01,0.371,-36,13,o,0,1.63,129.42199,53.46123000000001,96.42,1450.95,2.48,1.94,48.8,-0.541,19.4,20.3,02a58116o0751o
75,58116.54190900001,20.826999999999998,0.879,17,15,o,0,0.92,129.42199,53.46123000000001,10022.31,1431.02,2.74,2.11,51.3,-0.44799999999999995,19.45,20.37,02a58116o0759o
76,58116.544266,-19.901,0.34600000000000003,-40,14,o,0,1.4,129.42199,53.46123000000001,165.45,1522.91,2.52,1.97,47.9,-0.514,19.41,20.35,02a58116o0764o
77,58116.55463300001,-21.663,1.4240000000000002,-8,11,o,0,1.44,129.42199,53.46123000000001,189.63,1403.37,2.35,1.89,44.6,-0.561,19.52,20.57,02a58116o0786o
78,58116.556485,21.730999999999998,1.868,7,14,o,0,0.91,129.42199,53.46123000000001,10003.76,1387.77,2.78,2.08,51.6,-0.45299999999999996,19.56,20.74,02a58116o0790o
79,58116.562034,26.070999999999998,86.0,0,12,o,0,0.99,129.42199,53.46123000000001,10059.81,1472.04,2.74,2.03,51.9,-0.45799999999999996,19.66,20.92,02a58116o0802o
80,58116.574726,21.586,1.185,8,10,o,0,1.61,129.42199,53.46123000000001,10081.7,1353.06,3.03,2.18,52.3,-0.44,19.66,21.07,02a58116o0829o
81,58118.597562,19.809,3.8289999999999997,43,166,o,0,1.31,129.42199,53.46123000000001,8560.37,9073.13,3.58,2.8,-87.7,-0.43,17.29,17.81,01a58118o0867o
82,58118.601226,-20.024,1.625,-36,58,o,0,1.53,129.42199,53.46123000000001,8590.19,9126.52,3.56,2.7,-85.9,-0.42100000000000004,18.06,18.85,01a58118o0875o
83,58118.615791,-21.953000000000003,4.333,-6,26,o,0,1.21,129.42199,53.46123000000001,8553.38,9101.01,3.57,2.76,-87.6,-0.41600000000000004,18.71,19.75,01a58118o0906o
84,58118.628707,-20.424,1.044,-25,26,o,0,1.05,129.42199,53.46123000000001,8558.94,9268.44,3.58,2.77,-84.8,-0.423,18.74,19.72,01a58118o0932o
85,58120.438995000004,21.491999999999997,5.707000000000001,9,52,o,0,0.87,129.42199,53.46123000000001,83.67,7225.84,2.4,2.02,19.1,-0.45299999999999996,18.27,18.56,02a58120o0434o
86,58120.45325399999,25.151999999999997,115.667,0,36,o,0,1.22,129.42199,53.46123000000001,94.59,7267.24,2.35,2.06,28.4,-0.41100000000000003,18.29,18.6,02a58120o0461o
87,58120.462879,-19.94,33.836999999999996,-38,1298,o,0,0.0,129.42199,53.46123000000001,36.82,7186.78,2.27,2.0,18.7,-0.45899999999999996,18.34,18.61,02a58120o0480o
88,58120.469986000004,16.659000000000002,2.772,787,2182,o,0,0.01,129.42199,53.46123000000001,31.12,7301.64,2.38,2.09,25.0,-0.385,18.31,18.63,02a58120o0494o
