,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58022.46159,22.235,2.444,5,11,o,0,1.6,36.14728,-11.75048,9495.47,8738.68,2.18,1.88,41.1,-0.47600000000000003,19.67,20.72,02a58022o0513o
1,58022.46853099999,-20.883000000000003,0.7979999999999999,-16,13,o,0,0.98,36.14728,-11.75048,9513.0,8780.25,2.13,1.83,39.7,-0.48,19.66,20.74,02a58022o0527o
2,58022.475011,20.575,0.606,21,13,o,0,1.46,36.14728,-11.75048,9452.33,8702.37,2.15,1.89,43.6,-0.47700000000000004,19.66,20.73,02a58022o0540o
3,58022.482121,21.855,1.631,7,11,o,0,1.65,36.14728,-11.75048,9431.41,8821.45,2.12,1.86,43.7,-0.502,19.66,20.72,02a58022o0554o
4,58024.471903,20.845,0.845,17,14,o,0,1.79,36.14728,-11.75048,7788.26,3710.78,3.3,3.18,-41.9,-0.409,19.12,20.64,01a58024o0566o
5,58024.479103,-22.491,4.176,-4,15,o,0,0.94,36.14728,-11.75048,7767.11,3645.82,3.14,2.93,-82.6,-0.42700000000000005,19.18,20.65,01a58024o0581o
6,58024.486315999995,21.89,2.233,6,14,o,0,1.36,36.14728,-11.75048,7822.74,3695.96,3.2,2.85,-84.2,-0.42700000000000005,19.25,20.63,01a58024o0596o
7,58024.493564,20.401,0.5710000000000001,25,14,o,0,1.19,36.14728,-11.75048,7840.34,3552.66,3.34,2.93,-86.3,-0.42100000000000004,19.27,20.7,01a58024o0611o
8,58026.467852999995,-22.383000000000003,3.333,-4,14,o,0,2.0,36.14728,-11.75048,10280.84,8857.45,2.36,1.9,44.1,-0.461,19.56,20.52,02a58026o0554o
9,58027.473815,24.713,39.5,0,19,o,0,1.27,36.14728,-11.75048,1818.98,10222.76,3.4,3.28,-65.8,-0.406,18.91,20.24,01a58027o0359o
10,58027.483,-22.337,4.667,-4,20,o,0,1.34,36.14728,-11.75048,1777.95,10149.41,3.83,3.56,-5.4,-0.381,18.78,20.2,01a58027o0379o
11,58027.49684,-22.191999999999997,3.909,-5,19,o,0,0.94,36.14728,-11.75048,1852.73,10174.19,3.52,2.87,89.1,-0.431,19.03,20.35,01a58027o0409o
12,58027.504737999996,21.469,1.714,9,16,o,0,1.19,36.14728,-11.75048,1872.14,10025.25,3.55,2.92,-89.0,-0.42200000000000004,19.03,20.44,01a58027o0426o
13,58028.45458099999,-23.682,15.0,-1,18,o,0,1.7,36.14728,-11.75048,1079.68,339.88,3.18,2.82,69.2,-0.47100000000000003,18.95,20.06,01a58028o0475o
14,58028.461787,-20.055,0.6829999999999999,-34,24,o,0,1.02,36.14728,-11.75048,1056.13,274.87,3.19,2.97,69.5,-0.473,18.98,20.1,01a58028o0490o
15,58028.469035,23.516,14.571,1,21,o,0,0.86,36.14728,-11.75048,1112.83,327.18,3.21,2.8,76.6,-0.475,18.96,20.11,01a58028o0505o
16,58028.476391,21.022,1.5230000000000001,14,22,o,0,0.95,36.14728,-11.75048,1129.17,182.09,3.44,2.8,69.2,-0.469,19.01,20.13,01a58028o0520o
17,58034.458791,-20.712,1.784,-19,34,o,0,2.83,36.14728,-11.75048,2304.82,7251.85,2.0,1.86,-15.5,-0.423,18.34,18.73,02a58034o0557o
18,58034.465969000004,-20.913,1.395,-16,22,o,0,1.27,36.14728,-11.75048,2341.92,7294.21,2.03,1.86,-10.2,-0.479,18.8,19.05,02a58034o0572o
19,58034.473286,-26.584,260.0,0,22,o,0,1.25,36.14728,-11.75048,2264.86,7218.7,1.99,1.85,-0.6,-0.46,18.78,19.04,02a58034o0587o
20,58034.480759000005,-20.721999999999998,1.385,-19,26,o,0,2.13,36.14728,-11.75048,2242.07,7337.39,1.92,1.81,7.5,-0.49700000000000005,18.71,18.89,02a58034o0602o
21,58036.462374,-22.945,6.667000000000001,-2,16,o,0,1.2,36.14728,-11.75048,7805.92,2475.88,3.07,3.03,31.3,-0.414,19.05,20.15,01a58036o0557o
22,58036.470540999995,-23.618000000000002,13.167,-1,17,o,0,1.15,36.14728,-11.75048,7776.9,2403.53,3.27,3.08,83.1,-0.405,19.04,20.16,01a58036o0572o
23,58036.477618,20.63,0.915,20,19,o,0,1.09,36.14728,-11.75048,7829.91,2454.1,3.26,3.11,-15.0,-0.40700000000000003,18.98,20.15,01a58036o0587o
24,58036.484752,19.979,0.534,37,20,o,0,0.94,36.14728,-11.75048,7847.89,2309.48,3.19,3.05,-71.1,-0.41600000000000004,19.0,20.14,01a58036o0602o
25,58037.456222,21.474,1.671,9,16,o,0,1.29,36.14728,-11.75048,9421.28,259.1,2.37,2.01,53.1,-0.452,19.35,20.23,02a58037o0325o
26,58037.458738,-21.006,1.095,-14,16,o,0,1.06,36.14728,-11.75048,7457.64,1273.54,3.04,2.95,87.2,-0.42700000000000005,19.21,20.4,01a58037o0355o
