,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58019.445435,-20.447,0.299,-24,7,c,0,1.27,355.75516,18.99456,8325.12,4787.45,2.54,2.42,-65.5,-0.419,19.83,21.61,02a58019o0460c
1,58019.451263,-20.111,0.23199999999999998,-33,8,c,0,1.28,355.75516,18.99456,8289.39,4748.76,2.55,2.43,-72.1,-0.41700000000000004,19.79,21.6,02a58019o0471c
2,58019.4603,-20.62,0.358,-20,7,c,0,1.41,355.75516,18.99456,8361.8,4827.24,2.54,2.45,-58.6,-0.42,19.77,21.57,02a58019o0489c
3,58019.47067,-20.278,0.23399999999999999,-28,7,c,0,1.64,355.75516,18.99456,8381.07,4712.58,2.58,2.45,-68.6,-0.415,19.79,21.54,02a58019o0509c
4,58021.434913,20.365,0.485,26,13,o,0,1.07,355.75516,18.99456,2185.61,6581.22,3.35,2.7,88.9,-0.445,19.4,21.17,01a58021o0433o
5,58021.445477,-20.756,0.659,-18,12,o,0,1.56,355.75516,18.99456,2206.93,6662.3,3.37,2.79,88.3,-0.447,19.37,21.16,01a58021o0452o
6,58021.454575,-20.909000000000002,0.716,-16,11,o,0,1.39,355.75516,18.99456,2155.17,6621.68,3.3,2.68,89.9,-0.45,19.44,21.26,01a58021o0470o
7,58021.455033000006,-21.746,1.722,-7,12,o,0,1.08,355.75516,18.99456,2137.64,6739.86,3.38,2.74,-90.0,-0.44799999999999995,19.4,21.27,01a58021o0471o
8,58023.34929,-22.199,2.3409999999999997,-5,11,o,0,1.15,355.75516,18.99456,9490.97,2041.7,2.34,2.17,44.5,-0.466,19.52,20.58,02a58023o0264o
9,58023.351352,21.730999999999998,1.682,7,12,o,0,1.1,355.75516,18.99456,9490.98,2041.29,2.24,2.11,49.9,-0.478,19.55,20.57,02a58023o0268o
10,58023.359775,-21.081999999999997,0.746,-13,10,o,0,1.51,355.75516,18.99456,9491.11,2042.34,2.27,2.09,48.0,-0.474,19.55,20.6,02a58023o0283o
11,58023.361966,20.629,0.5,20,10,o,0,1.62,355.75516,18.99456,9491.52,2044.66,2.31,2.13,50.9,-0.46299999999999997,19.53,20.61,02a58023o0287o
12,58023.369811000004,21.72,1.3330000000000002,7,10,o,0,1.5,355.75516,18.99456,9491.84,2045.38,2.34,2.19,46.6,-0.475,19.53,20.66,02a58023o0302o
13,58023.371922000006,-22.941,4.261,-2,10,o,0,0.95,355.75516,18.99456,9491.71,2046.85,2.19,2.05,49.2,-0.489,19.6,20.65,02a58023o0306o
14,58023.37785700001,-19.949,0.318,-38,12,o,0,1.28,355.75516,18.99456,1522.61,8571.97,3.17,2.59,-87.0,-0.45,19.34,20.84,01a58023o0274o
15,58023.379444000006,22.281,2.55,4,11,o,0,1.17,355.75516,18.99456,9493.06,2048.47,2.26,2.12,44.1,-0.47600000000000003,19.56,20.68,02a58023o0321o
16,58023.381500999996,25.713,73.0,0,14,o,0,1.08,355.75516,18.99456,1524.9,8558.49,3.21,2.65,86.6,-0.45399999999999996,19.32,20.87,01a58023o0281o
17,58023.381525,-22.255,1.929,-5,9,o,0,1.77,355.75516,18.99456,9493.57,2050.06,2.25,2.1,39.9,-0.47200000000000003,19.62,20.71,02a58023o0325o
18,58023.386406,21.115,0.9690000000000001,13,13,o,0,1.19,355.75516,18.99456,8611.37,1727.06,3.45,2.7,-84.6,-0.442,19.33,20.93,01a58023o0291o
19,58023.392352999996,20.605999999999998,0.5920000000000001,21,12,o,0,1.68,355.75516,18.99456,8611.19,1751.15,3.43,2.69,-84.5,-0.45,19.32,20.95,01a58023o0302o
20,58023.396762000004,-20.936999999999998,0.8270000000000001,-15,13,o,0,1.32,355.75516,18.99456,8612.41,1768.91,3.45,2.71,-84.5,-0.44799999999999995,19.37,20.96,01a58023o0311o
21,58023.401172000005,-22.125999999999998,2.64,-5,14,o,0,1.04,355.75516,18.99456,8613.23,1786.91,3.47,2.71,-84.3,-0.45,19.35,20.96,01a58023o0320o
22,58023.405859000006,20.135,0.431,32,14,o,0,1.1,355.75516,18.99456,1533.06,8465.84,3.37,2.66,-88.7,-0.426,19.32,20.94,01a58023o0329o
23,58023.409,21.793000000000003,1.8,7,12,o,0,1.33,355.75516,18.99456,8610.29,1814.52,3.33,2.73,-86.7,-0.447,19.38,20.96,01a58023o0335o
24,58023.441,-21.679000000000002,1.127,-8,9,o,0,1.44,355.75516,18.99456,7904.63,4610.55,2.32,2.12,-44.1,-0.42700000000000005,19.59,20.81,02a58023o0368o
25,58023.46896900001,-20.855999999999998,0.544,-16,9,o,0,1.4,355.75516,18.99456,7943.63,4651.28,2.47,2.24,-54.9,-0.42,19.52,20.79,02a58023o0376o
26,58023.47924,-20.055999999999997,0.299,-34,10,o,0,1.35,355.75516,18.99456,7962.9,4535.04,2.33,2.12,-55.9,-0.435,19.58,20.79,02a58023o0396o
27,58025.428466,20.743000000000002,0.882,18,16,o,0,0.78,355.75516,18.99456,1797.7,6117.8,3.32,3.05,89.8,-0.42100000000000004,19.18,20.75,01a58025o0463o
28,58025.440312,-21.079,1.22,-13,16,o,0,1.09,355.75516,18.99456,1821.39,6205.02,3.7,3.42,-88.9,-0.419,19.07,20.84,01a58025o0486o
29,58025.44209700001,-21.965,3.125,-6,19,o,0,1.38,355.75516,18.99456,1766.52,6134.74,3.43,3.14,88.0,-0.429,18.82,20.92,01a58025o0489o
30,58025.451458,-22.930999999999997,6.556,-2,16,o,0,0.78,355.75516,18.99456,1751.73,6287.13,3.62,3.35,-84.2,-0.41,19.13,21.03,01a58025o0507o
