,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58022.307674,22.484,2.81,4,10,o,0,1.07,313.37785,-10.05301,4055.27,5027.57,1.98,1.95,18.4,-0.451,19.56,20.57,02a58022o0197o
1,58022.31460599999,23.816999999999997,9.083,1,10,o,0,1.58,313.37785,-10.05301,4037.54,4988.61,2.01,1.98,-49.8,-0.445,19.57,20.56,02a58022o0211o
2,58022.320942,22.649,3.412,3,11,o,0,0.83,313.37785,-10.05301,4095.93,5066.29,2.06,2.0,-64.5,-0.44799999999999995,19.54,20.56,02a58022o0224o
3,58022.327837,-21.633000000000003,1.232,-8,10,o,0,1.75,313.37785,-10.05301,4115.8,4950.93,2.14,2.05,-70.1,-0.435,19.54,20.61,02a58022o0238o
4,58024.307971,21.023000000000003,1.123,14,16,o,0,1.42,313.37785,-10.05301,9202.59,3476.98,3.13,2.84,-79.8,-0.43799999999999994,19.18,20.41,01a58024o0234o
5,58024.315160000006,22.75,5.8,3,17,o,0,1.2,313.37785,-10.05301,9225.66,3545.67,3.12,2.81,-80.4,-0.446,19.18,20.38,01a58024o0249o
6,58024.322386,21.160999999999998,1.421,12,18,o,0,0.99,313.37785,-10.05301,9169.58,3497.59,3.42,2.97,-83.4,-0.42200000000000004,19.07,20.33,01a58024o0264o
7,58024.329612,20.180999999999997,0.5589999999999999,31,17,o,0,1.53,313.37785,-10.05301,9152.7,3643.21,3.26,2.85,-84.8,-0.433,19.11,20.3,01a58024o0279o
8,58026.309690999995,20.644000000000002,1.189,20,24,o,0,1.09,313.37785,-10.05301,3271.83,4927.5,2.07,1.99,15.6,-0.467,18.57,19.07,02a58026o0238o
9,58026.31714,-20.84,1.3230000000000002,-17,22,o,0,1.58,313.37785,-10.05301,3255.13,4887.42,1.99,1.95,53.4,-0.475,18.64,19.06,02a58026o0253o
10,58026.324473,-22.976,11.04,-2,26,o,0,1.12,313.37785,-10.05301,3313.68,4964.22,2.03,1.97,84.8,-0.489,18.65,19.06,02a58026o0268o
11,58026.332877999994,-20.156,0.858,-31,27,o,0,1.16,313.37785,-10.05301,3335.08,4848.4,2.17,2.09,-70.1,-0.431,18.56,19.05,02a58026o0283o
12,58028.312559000005,19.554000000000002,0.96,55,53,o,0,1.39,313.37785,-10.05301,6234.01,6930.83,3.2,2.81,89.8,-0.45,18.37,18.98,01a58028o0191o
13,58028.319702,19.805,1.311,43,57,o,0,1.15,313.37785,-10.05301,6276.7,6999.82,3.23,2.78,-83.2,-0.457,18.36,18.94,01a58028o0206o
14,58028.327037,19.897000000000002,1.288,40,51,o,0,1.13,313.37785,-10.05301,6200.67,6951.52,3.05,2.63,-86.4,-0.479,18.39,19.0,01a58028o0221o
15,58028.33465,21.156999999999996,4.059,12,51,o,0,1.23,313.37785,-10.05301,6183.27,7097.19,3.1,2.61,-78.4,-0.48700000000000004,18.41,18.99,01a58028o0236o
16,58031.364924,23.098000000000003,28.333000000000002,2,59,o,0,1.13,313.37785,-10.05301,8462.45,7079.23,3.6,2.98,-86.1,-0.418,18.21,18.94,01a58031o0363o
17,58031.372455,20.37,2.742,26,71,o,0,1.12,313.37785,-10.05301,8483.88,7145.64,3.74,3.35,-83.8,-0.39399999999999996,18.1,18.8,01a58031o0379o
18,58031.379996,-18.971,1.876,-94,176,o,0,1.26,313.37785,-10.05301,8427.38,7094.88,3.83,3.26,-85.5,-0.396,17.31,17.86,01a58031o0395o
19,58031.38746799999,20.173,2.813,31,87,o,0,0.95,313.37785,-10.05301,8410.67,7237.35,3.95,3.3,-85.4,-0.42100000000000004,18.05,18.72,01a58031o0411o
20,58032.351636,-20.032,0.675,-35,24,o,0,1.18,313.37785,-10.05301,6020.97,3979.94,2.89,2.68,-83.5,-0.46,18.6,19.3,01a58032o0336o
21,58032.360268,-21.325,2.017,-11,22,o,0,1.32,313.37785,-10.05301,6043.13,4051.35,2.98,2.68,-84.8,-0.457,18.57,19.26,01a58032o0354o
22,58032.368464,20.055999999999997,0.826,34,28,o,0,0.92,313.37785,-10.05301,5987.26,4004.93,3.05,2.88,-80.8,-0.43700000000000006,18.46,19.19,01a58032o0371o
23,58032.376970000005,20.257,0.9620000000000001,29,28,o,0,1.04,313.37785,-10.05301,5970.5,4151.4,2.99,2.69,-83.0,-0.455,18.49,19.14,01a58032o0389o
24,58033.246485,-22.971,9.167,-2,22,o,0,0.93,313.37785,-10.05301,7370.37,4162.42,3.18,2.82,-84.5,-0.447,18.88,19.91,01a58033o0114o
25,58033.254039,-20.4,0.73,-25,18,o,0,1.24,313.37785,-10.05301,7393.56,4229.6,3.1,2.66,-85.0,-0.46,18.93,19.89,01a58033o0128o
26,58033.26109400001,21.375999999999998,2.217,10,23,o,0,0.95,313.37785,-10.05301,7340.45,4181.34,3.39,3.04,-82.2,-0.428,18.75,19.86,01a58033o0141o
27,58033.267825999996,22.112,4.154,5,22,o,0,1.03,313.37785,-10.05301,7324.84,4323.76,3.25,2.82,-87.2,-0.446,18.85,19.86,01a58033o0154o
28,58034.297159,-20.915,0.8590000000000001,-16,13,o,0,2.38,313.37785,-10.05301,1583.51,6468.63,2.16,2.08,37.6,-0.45899999999999996,18.97,19.53,02a58034o0225o
29,58034.304402999995,19.956,1.088,38,41,o,0,1.0,313.37785,-10.05301,1567.7,6428.25,2.04,2.0,22.8,-0.493,18.05,18.23,02a58034o0240o
30,58034.311647,-18.201,0.698,-190,133,o,0,1.45,313.37785,-10.05301,1626.87,6505.1,2.03,2.01,45.0,-0.445,16.71,16.72,02a58034o0255o
31,58034.318890999995,17.930999999999997,0.6779999999999999,244,166,o,0,1.09,313.37785,-10.05301,1648.68,6388.35,2.05,2.01,-46.5,-0.43,16.58,16.52,02a58034o0270o
32,58035.295628,20.758000000000003,1.8259999999999998,18,33,o,0,2.02,313.37785,-10.05301,6585.76,5024.87,2.88,2.79,84.0,-0.452,17.59,18.96,01a58035o0199o
33,58035.302705999995,-20.618000000000002,2.05,-20,42,o,0,0.68,313.37785,-10.05301,6606.36,5091.6,3.09,2.85,80.9,-0.434,17.88,18.97,01a58035o0214o
34,58035.309884,18.014,0.7879999999999999,226,178,o,0,0.71,313.37785,-10.05301,6532.48,5044.69,3.02,2.79,84.7,-0.45,16.48,17.16,01a58035o0229o
35,58035.317074,-17.757,0.29,-287,83,o,0,0.98,313.37785,-10.05301,6515.89,5189.89,3.27,3.1,-83.2,-0.413,16.06,17.32,01a58035o0244o
36,58036.293051,20.002,0.38299999999999995,36,14,o,0,1.11,313.37785,-10.05301,9200.76,4697.97,3.17,2.8,88.6,-0.44299999999999995,19.33,20.94,01a58036o0217o
37,58036.300125,21.234,1.271,12,15,o,0,0.9,313.37785,-10.05301,9223.4,4765.36,3.19,2.78,-89.6,-0.445,19.36,20.94,01a58036o0232o
38,58036.308088,21.193,1.2,12,14,o,0,1.0,313.37785,-10.05301,9170.91,4719.54,3.2,2.82,-88.1,-0.444,19.37,20.97,01a58036o0248o
39,58036.316987,-23.072,6.273,-2,13,o,0,1.27,313.37785,-10.05301,9152.64,4873.19,3.12,2.74,89.3,-0.45399999999999996,19.4,20.99,01a58036o0265o
40,58037.29560700001,20.346,0.556,26,15,o,0,1.14,313.37785,-10.05301,9556.77,5917.1,2.94,2.79,20.1,-0.455,19.3,20.71,01a58037o0023o
41,58037.302701,21.574,1.857,8,16,o,0,0.96,313.37785,-10.05301,9580.33,5984.42,2.8,2.74,67.7,-0.466,19.31,20.73,01a58037o0038o
42,58037.309763,20.840999999999998,0.8909999999999999,17,15,o,0,0.83,313.37785,-10.05301,9524.68,5935.21,3.01,2.69,-86.1,-0.45399999999999996,19.31,20.73,01a58037o0053o
43,58037.316895,19.694000000000003,0.32299999999999995,48,16,o,0,1.15,313.37785,-10.05301,9507.81,6080.11,3.06,2.65,-86.7,-0.461,19.32,20.74,01a58037o0068o
44,58038.293229999996,21.721,1.4669999999999999,7,11,o,0,1.29,313.37785,-10.05301,454.03,3821.59,2.43,2.17,46.8,-0.467,19.46,20.73,02a58038o0057o
45,58038.30091900001,21.487,1.554,9,14,o,0,1.16,313.37785,-10.05301,435.48,3781.96,2.62,2.4,36.1,-0.456,19.23,20.55,02a58038o0072o
46,58038.301376999996,-21.316,1.3230000000000002,-11,14,o,0,1.19,313.37785,-10.05301,10155.81,3829.88,2.66,2.41,70.4,-0.499,19.33,20.68,02a58038o0073o
47,58044.280538,21.336,3.6189999999999998,11,38,o,0,0.87,313.37785,-10.05301,7660.35,3521.74,2.93,2.85,83.5,-0.43799999999999994,18.13,19.51,01a58044o0199o
48,58044.287605,-17.155,0.3,-499,150,o,0,1.23,313.37785,-10.05301,7683.38,3589.16,2.98,2.88,86.4,-0.436,16.74,18.11,01a58044o0214o
49,58044.294712,-17.597,0.28600000000000003,-332,95,o,0,1.31,313.37785,-10.05301,7627.4,3540.65,2.96,2.82,-82.0,-0.43200000000000005,16.81,18.22,01a58044o0229o
50,58044.30179500001,-16.905,0.213,-628,134,o,0,1.15,313.37785,-10.05301,7610.63,3685.21,2.92,2.83,-79.2,-0.43799999999999994,16.87,18.23,01a58044o0244o
51,58048.273464,-19.51,0.6890000000000001,-57,39,o,0,1.09,313.37785,-10.05301,8929.71,3702.28,3.04,2.67,-86.6,-0.456,18.01,19.21,01a58048o0189o
52,58048.280578,20.169,0.775,31,24,o,0,1.54,313.37785,-10.05301,8952.11,3769.6,3.09,2.7,-87.7,-0.451,18.57,19.81,01a58048o0204o
53,58048.287671000006,19.805999999999997,0.696,43,30,o,0,0.88,313.37785,-10.05301,8896.2,3721.21,3.14,2.72,-82.5,-0.45,18.63,19.89,01a58048o0219o
54,58048.294742,-20.761999999999997,1.3730000000000002,-18,25,o,0,1.03,313.37785,-10.05301,8878.94,3865.11,3.01,2.59,-85.8,-0.466,18.82,20.04,01a58048o0234o
55,58056.267202999996,19.655,0.47600000000000003,50,24,o,0,1.13,313.37785,-10.05301,7535.76,3822.96,2.89,2.86,72.4,-0.45,18.77,19.53,01a58056o0043o
56,58056.274205999995,-21.526,2.714,-9,24,o,0,1.08,313.37785,-10.05301,7556.06,3888.39,3.15,3.05,82.8,-0.42200000000000004,18.68,19.51,01a58056o0058o
57,58056.28124,21.204,1.966,12,24,o,0,1.18,313.37785,-10.05301,7500.81,3838.91,3.22,2.87,-86.1,-0.436,18.62,19.48,01a58056o0073o
58,58056.28840499999,20.183,0.81,31,25,o,0,1.14,313.37785,-10.05301,7482.97,3981.89,3.36,2.85,-85.2,-0.441,18.58,19.45,01a58056o0088o
59,58058.264955,16.7,1.55,758,1175,o,0,0.97,313.37785,-10.05301,1153.0,6415.73,46.42,3.02,4.8,-0.136,16.03,15.71,02a58058o0009o
60,58058.278938999996,-20.119,4.281000000000001,-32,139,o,0,1.48,313.37785,-10.05301,1210.58,6454.03,2.12,2.02,-60.9,-0.49,16.99,17.06,02a58058o0039o
61,58058.286564999995,19.114,1.014,82,83,o,0,1.18,313.37785,-10.05301,1230.64,6336.63,2.13,2.03,39.0,-0.462,16.86,16.94,02a58058o0054o
62,58060.318845,-20.006,0.94,-36,34,o,0,0.98,313.37785,-10.05301,7767.89,4675.85,3.41,2.69,-84.5,-0.456,18.26,18.89,01a58060o0117o
63,58062.208627,20.726,0.9079999999999999,19,17,o,0,1.22,313.37785,-10.05301,1132.02,4279.87,2.28,2.18,39.4,-0.461,19.01,19.72,02a58062o0014o
64,58062.216030999996,22.959,7.895,2,19,o,0,1.05,313.37785,-10.05301,1150.57,4163.14,2.36,2.3,57.7,-0.46,18.94,19.58,02a58062o0028o
65,58064.253865,21.221999999999998,1.2409999999999999,12,15,o,0,1.12,313.37785,-10.05301,7536.67,3742.67,3.24,3.1,86.1,-0.418,19.15,20.58,01a58064o0138o
66,58064.26179,21.24,1.368,12,16,o,0,1.11,313.37785,-10.05301,7556.08,3813.28,3.17,2.92,-84.9,-0.429,19.17,20.54,01a58064o0155o
67,58064.269803999996,20.465999999999998,0.648,24,15,o,0,1.48,313.37785,-10.05301,7500.32,3766.23,3.3,3.02,-87.2,-0.424,19.08,20.38,01a58064o0172o
68,58064.277801,21.684,2.6,8,20,o,0,1.02,313.37785,-10.05301,7483.85,3912.37,3.31,2.99,-90.0,-0.428,18.9,20.07,01a58064o0189o
69,58066.255035,19.314,0.154,68,10,o,0,1.88,313.37785,-10.05301,900.18,3302.69,1.95,1.82,31.2,-0.513,19.36,20.18,02a58066o0138o
70,58066.263008,20.183,0.44799999999999995,31,14,o,0,0.93,313.37785,-10.05301,884.87,3262.11,1.98,1.82,34.5,-0.508,19.33,20.17,02a58066o0155o
71,58066.270983,19.55,0.244,55,13,o,0,1.47,313.37785,-10.05301,944.52,3339.31,1.97,1.84,29.8,-0.511,19.34,20.14,02a58066o0172o
72,58066.279653,19.858,0.344,41,14,o,0,1.07,313.37785,-10.05301,965.02,3221.52,2.04,1.9,33.6,-0.496,19.3,20.12,02a58066o0189o
73,58068.251925,18.689,0.127,121,15,o,0,1.57,313.37785,-10.05301,7072.76,7151.44,2.87,2.55,-86.1,-0.47700000000000004,19.12,20.24,01a58068o0156o
74,58068.258929999996,18.965,0.18899999999999997,94,18,o,0,1.23,313.37785,-10.05301,7094.43,7216.19,2.95,2.55,-84.6,-0.475,19.14,20.26,01a58068o0171o
75,58068.265894000004,18.741,0.18899999999999997,116,22,o,0,1.21,313.37785,-10.05301,7036.33,7165.42,3.4,2.79,-82.8,-0.43200000000000005,18.9,20.11,01a58068o0186o
76,58068.272874,19.014,0.35100000000000003,90,32,o,0,1.17,313.37785,-10.05301,7018.63,7306.81,3.03,2.55,-84.6,-0.47100000000000003,18.55,19.62,01a58068o0201o
77,58070.251726,18.211,0.081,189,15,o,0,0.91,313.37785,-10.05301,2876.27,5700.63,1.97,1.87,42.5,-0.495,19.42,20.28,02a58070o0131o
78,58070.258253,18.063,0.065,216,14,o,0,1.62,313.37785,-10.05301,2857.82,5661.86,1.98,1.86,30.5,-0.498,19.36,20.26,02a58070o0145o
