,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58062.63692999999,-18.62,0.526,-130,68,o,0,1.2,175.70687,77.37021999999999,7111.01,8592.7,3.59,3.09,-74.7,-0.436,18.18,18.88,01a58062o0955o
1,58062.64585,-18.543,0.7879999999999999,-139,110,o,0,1.07,175.70687,77.37021999999999,7126.45,8541.01,3.54,3.09,-73.1,-0.43700000000000006,17.93,18.44,01a58062o0974o
2,58066.648154999995,-18.407,0.20199999999999999,-157,32,o,0,1.82,175.70687,77.37021999999999,5214.16,1532.82,3.14,3.01,-57.4,-0.44299999999999995,18.1,18.77,01a58066o0988o
3,58070.655299,-19.680999999999997,1.959,-49,95,o,0,1.14,175.70687,77.37021999999999,697.86,9371.51,4.22,3.59,-72.3,-0.39899999999999997,17.41,17.88,01a58070o0611o
4,58074.644728,16.361,0.024,1037,25,o,0,1.27,175.70687,77.37021999999999,7807.72,1211.58,3.42,3.22,87.1,-0.441,18.83,20.19,01a58074o0978o
5,58074.653697,16.364,0.035,1034,37,o,0,1.29,175.70687,77.37021999999999,7817.82,1151.49,3.62,3.31,-68.9,-0.423,18.09,18.93,01a58074o0997o
6,58078.646015,15.189,0.01,3052,31,o,0,1.83,175.70687,77.37021999999999,5966.9,9738.24,3.51,3.12,-72.6,-0.433,18.97,20.68,01a58078o0982o
7,58078.654905999996,15.173,0.01,3097,31,o,0,1.98,175.70687,77.37021999999999,5976.12,9675.15,3.49,3.06,-69.8,-0.435,18.58,19.7,01a58078o1001o
8,58078.663848000004,15.24,0.047,2910,135,o,0,1.08,175.70687,77.37021999999999,6052.26,9730.84,3.58,3.06,-72.6,-0.486,17.05,17.2,01a58078o1020o
9,58082.636076,14.689,0.015,4833,73,o,0,1.11,175.70687,77.37021999999999,8526.96,2374.76,3.71,3.17,-79.0,-0.429,18.45,19.99,01a58082o0954o
10,58082.644983000006,13.92,0.777,9821,7627,o,0,0.91,175.70687,77.37021999999999,8535.8,2293.18,3.74,2.99,-80.0,-0.466,15.98,17.87,01a58082o0973o
11,58091.595142,14.857000000000001,0.009000000000000001,4144,37,o,0,1.43,175.70687,77.37021999999999,4412.91,1490.99,2.33,2.21,68.1,-0.444,18.41,18.83,02a58091o0882o
12,58091.603439,14.872,0.009000000000000001,4085,39,o,0,1.58,175.70687,77.37021999999999,4432.48,1531.9,2.47,2.37,60.2,-0.41200000000000003,18.4,18.85,02a58091o0900o
13,58091.611343,14.897,0.011000000000000001,3993,43,o,0,1.01,175.70687,77.37021999999999,4384.53,1473.86,2.46,2.29,66.0,-0.436,18.4,18.86,02a58091o0917o
14,58091.619688,14.890999999999998,0.009000000000000001,4015,35,o,0,1.38,175.70687,77.37021999999999,4372.17,1590.79,2.33,2.16,71.0,-0.418,18.45,18.87,02a58091o0935o
15,58094.629237,15.07,0.01,3403,34,o,0,1.24,175.70687,77.37021999999999,7751.21,723.89,3.54,3.22,-73.8,-0.43,18.56,19.76,01a58094o0947o
16,58094.63662899999,-15.716,0.446,-1877,837,o,0,0.18,175.70687,77.37021999999999,7704.79,10525.44,3.85,3.18,-73.9,-0.42100000000000004,18.66,19.85,01a58094o0963o
17,58094.638008,15.07,0.01,3405,34,o,0,1.48,175.70687,77.37021999999999,7755.29,657.92,3.55,3.14,-75.9,-0.433,18.56,19.75,01a58094o0966o
18,58094.645525,15.079,0.01,3374,35,o,0,1.05,175.70687,77.37021999999999,7710.35,10457.25,3.79,3.1,-73.1,-0.418,18.69,19.85,01a58094o0982o
19,58094.646984000006,15.074000000000002,0.01,3390,33,o,0,2.04,175.70687,77.37021999999999,7850.19,715.91,3.54,3.14,-75.5,-0.445,18.55,19.75,01a58094o0985o
20,58094.654451,14.718,0.302,4709,1420,o,0,0.02,175.70687,77.37021999999999,7779.29,10512.11,3.89,3.28,-74.2,-0.434,18.53,19.66,01a58094o1001o
21,58094.655874000004,15.095999999999998,0.012,3324,39,o,0,1.31,175.70687,77.37021999999999,7902.79,572.95,3.73,3.25,-80.0,-0.429,18.41,19.44,01a58094o1004o
