,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58024.468123,-21.026999999999997,1.032,-14,14,o,0,1.09,38.04314,4.07775,3123.94,5322.77,3.25,2.94,-4.6,-0.42100000000000004,19.13,20.68,01a58024o0558o
1,58024.475255,-22.878,6.667000000000001,-3,17,o,0,0.66,38.04314,4.07775,3105.98,5258.76,3.14,2.99,-5.3,-0.42,19.17,20.71,01a58024o0573o
2,58024.482449,21.726,1.595,7,12,o,0,1.18,38.04314,4.07775,3166.32,5309.84,2.88,2.73,-84.2,-0.449,19.28,20.76,01a58024o0588o
3,58024.48965599999,20.430999999999997,0.5539999999999999,24,14,o,0,0.77,38.04314,4.07775,3187.26,5167.99,2.85,2.62,87.4,-0.461,19.36,20.77,01a58024o0603o
4,58028.45651799999,20.37,0.7829999999999999,26,20,o,0,0.94,38.04314,4.07775,6076.49,1941.42,3.42,3.09,-5.6,-0.41100000000000003,18.94,20.19,01a58028o0479o
5,58028.463705999995,21.432,2.0709999999999997,10,20,o,0,0.76,38.04314,4.07775,6057.98,1877.37,3.63,3.02,-4.6,-0.406,18.96,20.22,01a58028o0494o
6,58028.470957000005,-23.241999999999997,9.333,-2,17,o,0,1.24,38.04314,4.07775,6117.35,1929.25,3.15,3.0,-76.8,-0.426,19.03,20.23,01a58028o0509o
7,58028.47829299999,-20.588,0.76,-21,16,o,0,1.11,38.04314,4.07775,6138.15,1785.77,3.21,2.92,-81.1,-0.428,19.04,20.25,01a58028o0524o
8,58034.45684299999,-19.635,0.556,-51,28,o,0,0.93,38.04314,4.07775,7067.37,5691.2,2.16,1.91,-36.9,-0.439,18.56,18.67,02a58034o0553o
9,58034.46404500001,20.102999999999998,0.938,33,31,o,0,0.59,38.04314,4.07775,7086.73,5730.68,2.1,1.86,-38.3,-0.466,18.57,18.71,02a58034o0568o
10,58034.47130700001,-21.392,3.167,-10,32,o,0,1.26,38.04314,4.07775,7028.64,5655.23,2.09,1.86,-33.4,-0.45899999999999996,18.32,18.4,02a58034o0583o
11,58034.478755,-25.346999999999998,120.333,0,32,o,0,1.59,38.04314,4.07775,7006.56,5775.96,2.0,1.82,-34.3,-0.501,18.29,18.34,02a58034o0598o
12,58036.457911000005,20.412,0.669,25,17,o,0,1.15,38.04314,4.07775,3139.84,4093.24,2.96,2.81,13.5,-0.44799999999999995,19.05,20.12,01a58036o0549o
13,58036.466035000005,25.354,74.0,0,19,o,0,1.1,38.04314,4.07775,3121.1,4030.18,4.11,2.95,0.2,-0.429,18.81,20.12,01a58036o0564o
14,58036.473866,21.122,1.364,13,18,o,0,1.07,38.04314,4.07775,3179.61,4073.56,3.13,2.89,-6.6,-0.424,18.96,20.12,01a58036o0579o
