,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58026.61085700001,20.881,1.482,16,24,o,0,1.08,147.33083,10.535060000000001,9598.41,4386.93,2.54,2.23,56.5,-0.46,18.88,19.54,02a58026o0775o
1,58026.618149,-19.722,0.515,-47,24,o,0,0.7,147.33083,10.535060000000001,9543.01,4311.13,2.39,2.1,55.9,-0.499,18.92,19.59,02a58026o0790o
2,58026.625561,-20.237000000000002,0.65,-29,19,o,0,1.47,147.33083,10.535060000000001,9524.63,4428.76,2.37,2.08,58.3,-0.486,18.98,19.6,02a58026o0805o
3,58028.603242,-21.575,2.545,-8,22,o,0,1.45,147.33083,10.535060000000001,1894.55,5164.12,3.53,3.01,88.7,-0.423,18.66,19.74,01a58028o0757o
4,58028.612513,-18.533,0.9440000000000001,-140,132,o,0,1.01,147.33083,10.535060000000001,1913.34,5040.53,3.45,2.91,-89.6,-0.44,17.86,18.93,01a58028o0769o
5,58032.632859000005,-22.273000000000003,16.273,-4,73,o,0,1.44,147.33083,10.535060000000001,2084.1,8250.34,3.21,2.78,-79.9,-0.462,18.2,18.74,01a58032o0904o
6,58032.642182,18.629,2.5980000000000003,128,334,o,0,0.87,147.33083,10.535060000000001,2069.75,8198.13,3.1,2.7,-77.6,-0.452,17.37,17.53,01a58032o0922o
7,58035.615829999995,-17.706,1.931,-300,580,o,0,1.26,147.33083,10.535060000000001,1512.77,7023.42,3.35,3.02,-80.4,-0.45299999999999996,16.61,16.91,01a58035o0838o
8,58035.630048,15.376,30.409000000000002,2567,78057,o,0,0.88,147.33083,10.535060000000001,1559.37,7044.05,10.98,7.59,-90.0,-0.136,12.32,12.36,01a58035o0868o
9,58035.637383,-13.463,7.733,-14960,115687,o,0,0.98,147.33083,10.535060000000001,1578.65,6914.85,51.81,4.87,0.5,-0.136,12.72,12.64,01a58035o0883o
10,58036.606444000005,-19.832,0.7809999999999999,-42,33,o,0,1.03,147.33083,10.535060000000001,8573.3,7315.87,3.34,2.79,-87.0,-0.43200000000000005,18.47,19.3,01a58036o0852o
11,58036.613752,-22.656,10.667,-3,34,o,0,0.98,147.33083,10.535060000000001,8539.45,7269.69,3.26,2.76,-85.2,-0.434,18.57,19.37,01a58036o0867o
12,58036.621033,-23.163,15.556,-2,31,o,0,1.17,147.33083,10.535060000000001,8621.49,7338.87,3.3,2.91,-84.6,-0.43,18.58,19.42,01a58036o0882o
13,58036.628361,-19.942,0.757,-38,29,o,0,1.03,147.33083,10.535060000000001,8642.64,7211.93,3.26,2.86,-85.7,-0.431,18.63,19.43,01a58036o0897o
14,58037.610957000004,23.26,16.875,2,30,o,0,1.02,147.33083,10.535060000000001,8206.21,6104.57,3.44,2.85,-84.7,-0.43200000000000005,18.51,19.32,01a58037o0668o
15,58037.618086,-19.357,0.484,-66,32,o,0,0.96,147.33083,10.535060000000001,8191.41,6058.05,3.32,2.84,-84.0,-0.439,18.55,19.37,01a58037o0683o
16,58037.625251,19.887999999999998,0.674,40,27,o,0,1.51,147.33083,10.535060000000001,8254.13,6126.23,3.27,2.79,-81.9,-0.44799999999999995,18.62,19.43,01a58037o0698o
17,58037.632505999994,21.425,3.0780000000000003,10,30,o,0,1.1,147.33083,10.535060000000001,8276.84,6000.62,3.1,2.69,-83.6,-0.465,18.65,19.38,01a58037o0713o
18,58044.63690499999,-20.586,0.738,-21,16,o,0,1.59,147.33083,10.535060000000001,10133.39,8475.45,3.64,2.67,-84.4,-0.39899999999999997,18.92,20.04,01a58044o0925o
19,58044.644294000005,-19.302,0.655,-69,45,o,0,1.14,147.33083,10.535060000000001,10118.14,8420.74,3.61,2.7,-85.5,-0.389,18.33,18.91,01a58044o0940o
20,58044.652028,-18.283,3.7569999999999997,-176,663,o,0,0.97,147.33083,10.535060000000001,10177.96,8480.04,9.31,6.36,3.1,-0.276,16.65,17.23,01a58044o0955o
21,58048.64569,-21.996,10.5,-6,61,o,0,0.84,147.33083,10.535060000000001,8888.89,8241.84,3.3,2.69,-82.5,-0.43799999999999994,18.28,18.8,01a58048o0955o
22,58056.634824,-21.305,1.5,-11,16,o,0,0.99,147.33083,10.535060000000001,10283.04,8163.34,3.79,2.88,-85.2,-0.377,19.12,20.44,01a58056o0777o
23,58056.636854,20.761,0.914,18,16,o,0,1.06,147.33083,10.535060000000001,588.03,8185.13,3.3,2.79,-82.6,-0.39399999999999996,19.15,20.49,01a58056o0781o
24,58056.64111900001,-23.076999999999998,9.333,-2,20,o,0,0.88,147.33083,10.535060000000001,10265.71,8106.24,3.78,2.94,-89.1,-0.396,18.91,20.05,01a58056o0790o
25,58056.64266900001,-21.134,1.706,-13,22,o,0,0.99,147.33083,10.535060000000001,571.24,8130.22,3.28,2.69,-84.7,-0.4,18.89,19.96,01a58056o0793o
26,58056.645561000005,20.506,1.35,23,31,o,0,1.16,147.33083,10.535060000000001,10326.17,8172.2,3.77,2.8,-85.7,-0.38,18.51,19.25,01a58056o0799o
27,58056.646603999994,20.354,1.571,26,41,o,0,1.12,147.33083,10.535060000000001,631.43,8195.67,3.31,2.68,-85.5,-0.40399999999999997,18.41,19.16,01a58056o0801o
28,58056.647991,-19.165,0.878,-78,69,o,0,1.01,147.33083,10.535060000000001,10342.37,8047.12,3.77,2.71,-86.9,-0.37799999999999995,18.12,18.63,01a58056o0804o
29,58056.648449,-19.215999999999998,0.988,-75,74,o,0,1.02,147.33083,10.535060000000001,651.76,8072.29,3.25,2.69,-86.5,-0.40299999999999997,18.17,18.66,01a58056o0805o
30,58058.594253999996,-21.537,1.345,-9,12,o,0,1.06,147.33083,10.535060000000001,2032.75,2859.15,1.84,1.79,53.6,-0.474,19.43,20.13,02a58058o0664o
31,58058.599992999996,-19.707,0.28800000000000003,-48,14,o,0,0.77,147.33083,10.535060000000001,2052.08,2899.08,1.81,1.78,52.0,-0.478,19.39,20.13,02a58058o0676o
32,58058.603756,-20.705,0.6940000000000001,-19,13,o,0,1.2,147.33083,10.535060000000001,1995.02,2821.99,1.76,1.75,-84.6,-0.483,19.44,20.15,02a58058o0684o
33,58058.606079,-20.604,0.526,-21,11,o,0,1.4,147.33083,10.535060000000001,1975.45,2939.05,1.82,1.78,36.2,-0.48,19.4,20.15,02a58058o0689o
34,58062.622604,-18.198,0.597,-191,114,o,0,0.58,147.33083,10.535060000000001,2107.22,5039.09,2.52,2.29,-19.5,-0.447,17.14,17.19,02a58062o0636o
35,58062.627739999996,-18.433,0.758,-154,116,o,0,1.56,147.33083,10.535060000000001,2126.14,5079.2,2.33,2.16,-13.8,-0.435,16.86,16.85,02a58062o0647o
36,58062.631512,18.384,1.094,161,176,o,0,0.86,147.33083,10.535060000000001,2068.6,5002.17,2.7,2.49,-9.6,-0.433,16.41,16.58,02a58062o0655o
37,58062.633388,20.576999999999998,2.178,21,46,o,0,0.85,147.33083,10.535060000000001,2049.06,5118.9,2.4,2.19,-11.6,-0.43700000000000006,17.95,18.24,02a58062o0659o
38,58070.643755,19.809,0.268,43,12,o,0,1.28,147.33083,10.535060000000001,10014.41,3603.88,2.28,1.96,56.9,-0.514,19.67,20.75,02a58070o0930o
39,58070.65061799999,19.719,0.257,47,12,o,0,1.13,147.33083,10.535060000000001,325.54,3575.79,2.11,1.76,45.7,-0.479,19.35,20.14,02a58070o0942o
40,58070.65214,19.738,0.33899999999999997,46,16,o,0,1.34,147.33083,10.535060000000001,10032.07,3645.57,2.25,1.94,58.0,-0.531,19.28,19.95,02a58070o0945o
41,58070.657937,-19.694000000000003,0.6829999999999999,-48,33,o,0,1.39,147.33083,10.535060000000001,344.33,3616.14,2.11,1.79,47.8,-0.46,18.3,18.34,02a58070o0955o
42,58070.658975,19.36,0.7170000000000001,65,47,o,0,1.34,147.33083,10.535060000000001,9973.75,3569.78,2.35,1.99,57.1,-0.47600000000000003,18.01,18.1,02a58070o0957o
43,58072.660597,18.584,1.774,134,237,o,0,0.87,147.33083,10.535060000000001,1210.96,8305.55,3.01,2.78,87.6,-0.44799999999999995,17.65,17.78,01a58072o0990o
44,58074.601341999994,18.94,0.111,96,11,c,0,0.93,147.33083,10.535060000000001,1852.38,4943.72,2.53,2.26,50.0,-0.455,19.63,21.24,02a58074o0736c
45,58074.609367,18.742,0.077,116,9,c,0,1.67,147.33083,10.535060000000001,1869.42,4984.07,2.62,2.35,41.1,-0.449,19.63,21.26,02a58074o0753c
46,58074.617290999995,18.879,0.084,102,9,c,0,2.0,147.33083,10.535060000000001,1810.69,4907.64,2.62,2.34,41.7,-0.447,19.62,21.27,02a58074o0770c
47,58074.625392999995,18.899,0.086,100,9,c,0,1.19,147.33083,10.535060000000001,1790.36,5025.22,2.52,2.29,49.0,-0.456,19.68,21.28,02a58074o0787c
48,58076.6084,19.813,0.774,43,33,o,0,0.89,147.33083,10.535060000000001,911.85,4935.05,3.41,3.09,82.3,-0.43200000000000005,18.46,20.09,01a58076o0809o
49,58076.619098,19.124000000000002,0.26899999999999996,81,22,o,0,1.02,147.33083,10.535060000000001,897.61,4861.91,3.53,3.31,83.0,-0.44,18.75,20.46,01a58076o0824o
50,58076.627338,18.875,0.257,102,26,o,0,1.0,147.33083,10.535060000000001,958.21,4910.47,4.08,3.42,0.4,-0.42100000000000004,18.6,20.4,01a58076o0841o
51,58076.635814,18.991,0.28,92,26,o,0,1.01,147.33083,10.535060000000001,980.23,4764.46,5.94,4.58,-11.5,-0.402,18.61,20.76,01a58076o0858o
52,58080.623965,19.168,0.19699999999999998,78,15,o,0,0.84,147.33083,10.535060000000001,8103.17,7523.96,3.68,3.02,-84.0,-0.414,19.24,20.94,01a58080o0891o
53,58080.632445,18.808,0.127,109,14,o,0,1.18,147.33083,10.535060000000001,8086.85,7454.78,3.67,2.98,-87.9,-0.41200000000000003,19.24,20.9,01a58080o0908o
54,58080.641281,18.689,0.138,121,17,o,0,1.3,147.33083,10.535060000000001,8147.65,7500.2,3.62,3.6,10.2,-0.41600000000000004,19.14,20.85,01a58080o0925o
55,58080.650298,19.265,0.223,72,16,o,0,1.0,147.33083,10.535060000000001,8167.91,7349.87,3.5,2.83,-84.3,-0.431,19.22,20.57,01a58080o0942o
56,58082.58519600001,18.648,0.069,126,9,c,0,1.4,147.33083,10.535060000000001,2213.62,2429.27,2.43,2.31,46.2,-0.419,19.73,21.33,02a58082o0839c
57,58082.593297,18.549,0.079,138,11,c,0,1.24,147.33083,10.535060000000001,2231.9,2470.97,2.49,2.3,41.1,-0.413,19.57,21.18,02a58082o0855c
58,58082.604189,18.585,0.18899999999999997,134,25,c,0,1.14,147.33083,10.535060000000001,2174.27,2394.3,2.55,2.34,43.9,-0.41,18.75,20.29,02a58082o0871c
59,58082.611333,18.326,0.221,170,38,c,0,1.1,147.33083,10.535060000000001,2154.22,2512.24,2.7,2.48,47.9,-0.40700000000000003,18.2,19.8,02a58082o0886c
60,58084.551831,-19.136,7.143,-80,575,o,0,1.22,147.33083,10.535060000000001,9847.4,8445.67,3.88,2.89,-82.9,-0.369,14.75,16.11,01a58084o0547o
61,58090.443595000004,19.415,0.866,62,54,o,0,1.05,147.33083,10.535060000000001,2136.69,3696.3,2.83,2.62,38.9,-0.38,17.94,18.27,02a58090o0003o
62,58090.444966999996,19.308,0.8390000000000001,69,58,o,0,1.0,147.33083,10.535060000000001,2079.01,3618.37,2.81,2.57,37.2,-0.41100000000000003,17.99,18.29,02a58090o0006o
63,58090.449120000005,19.352999999999998,0.733,66,48,o,0,1.17,147.33083,10.535060000000001,2058.47,3735.11,2.85,2.57,41.3,-0.38799999999999996,18.06,18.37,02a58090o0009o
64,58092.547183,20.002,1.067,36,39,o,0,0.94,147.33083,10.535060000000001,8779.27,7045.87,3.59,2.82,-83.2,-0.43,18.58,19.41,01a58092o0762o
65,58092.555308,18.997,0.371,92,34,o,0,1.11,147.33083,10.535060000000001,8764.94,6983.16,3.51,2.8,-82.9,-0.436,18.58,19.45,01a58092o0779o
66,58092.563322,19.417,0.611,62,38,o,0,1.1,147.33083,10.535060000000001,8826.63,7036.79,3.71,2.95,-83.1,-0.424,18.58,19.48,01a58092o0796o
67,58092.571254999995,19.396,0.517,63,33,o,0,1.18,147.33083,10.535060000000001,8848.89,6895.44,3.75,2.98,-85.3,-0.42,18.6,19.54,01a58092o0813o
68,58096.53470599999,19.86,0.718,41,30,o,0,0.94,147.33083,10.535060000000001,1499.41,7854.22,3.2,2.76,-83.5,-0.44,18.56,19.88,01a58096o0747o
69,58096.54180499999,19.34,1.107,67,74,o,0,1.35,147.33083,10.535060000000001,1483.45,7794.71,3.33,2.88,-82.6,-0.445,18.07,18.75,01a58096o0762o
70,58096.54885,20.784000000000002,1.88,18,33,o,0,0.73,147.33083,10.535060000000001,1544.67,7850.49,3.2,2.74,-83.8,-0.441,18.6,19.85,01a58096o0777o
71,58096.555743,20.888,3.39,16,54,o,0,0.87,147.33083,10.535060000000001,1567.33,7712.18,3.24,2.78,-86.5,-0.44799999999999995,18.34,19.32,01a58096o0792o
72,58098.545413,20.666,1.128,20,22,o,0,1.42,147.33083,10.535060000000001,1538.78,2501.5,2.16,1.92,44.7,-0.493,18.57,19.26,02a58098o0764o
73,58098.552498000005,19.726,0.237,47,11,o,0,1.27,147.33083,10.535060000000001,1558.24,2542.07,2.13,1.86,40.8,-0.485,19.53,20.65,02a58098o0779o
74,58098.55965,20.227,0.324,30,10,o,0,1.33,147.33083,10.535060000000001,1499.31,2464.39,2.08,1.83,43.6,-0.48,19.65,20.68,02a58098o0794o
75,58098.566706,20.077,0.33799999999999997,34,11,o,0,1.14,147.33083,10.535060000000001,1479.68,2582.15,2.09,1.8,41.8,-0.48700000000000004,19.56,20.58,02a58098o0809o
76,58100.527097000006,19.695,0.228,48,11,o,0,1.29,147.33083,10.535060000000001,593.52,6572.37,3.27,2.78,-89.8,-0.41700000000000004,19.41,21.3,01a58100o0736o
77,58100.534274,19.605,0.253,52,13,o,0,0.81,147.33083,10.535060000000001,577.03,6512.02,3.16,2.67,-86.9,-0.423,19.48,21.36,01a58100o0751o
78,58100.538523,19.426,0.198,62,12,o,0,1.12,147.33083,10.535060000000001,10276.49,6508.4,3.73,2.84,-85.2,-0.428,19.4,21.27,01a58100o0760o
79,58100.541438,19.476,0.23399999999999999,59,14,o,0,0.84,147.33083,10.535060000000001,638.82,6566.71,3.17,2.65,-86.3,-0.424,19.39,21.19,01a58100o0766o
80,58100.545728,19.865,0.35100000000000003,41,14,o,0,0.95,147.33083,10.535060000000001,10260.39,6446.69,3.63,2.74,-83.2,-0.43200000000000005,19.33,21.12,01a58100o0775o
81,58100.548536,20.237000000000002,0.47100000000000003,29,14,o,0,1.04,147.33083,10.535060000000001,661.15,6427.58,3.17,2.67,-86.4,-0.428,19.37,21.18,01a58100o0781o
