,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58048.61408099999,19.292,0.32899999999999996,70,23,o,0,1.25,162.20636000000002,-4.2705400000000004,5081.3,8756.9,3.43,2.94,-83.4,-0.436,18.71,19.9,01a58048o0890o
1,58048.621178999994,19.97,0.66,37,25,o,0,1.18,162.20636000000002,-4.2705400000000004,5137.6,8829.03,3.56,3.1,-85.5,-0.42700000000000005,18.71,19.92,01a58048o0905o
2,58048.628229999995,20.346,0.8,26,21,o,0,1.56,162.20636000000002,-4.2705400000000004,5153.0,8703.78,3.45,3.02,-86.9,-0.42700000000000005,18.77,19.98,01a58048o0920o
3,58054.604865,19.107,0.17,83,14,o,0,1.12,162.20636000000002,-4.2705400000000004,3067.48,4571.75,2.06,1.93,32.1,-0.45,19.11,19.86,02a58054o0859o
4,58054.615402999996,18.980999999999998,0.149,93,14,o,0,0.93,162.20636000000002,-4.2705400000000004,3089.38,4610.57,1.95,1.85,36.1,-0.479,19.25,19.93,02a58054o0874o
5,58054.62261900001,18.993,0.16,92,15,o,0,0.83,162.20636000000002,-4.2705400000000004,3032.14,4533.96,1.94,1.89,-22.1,-0.456,19.3,19.99,02a58054o0889o
6,58054.629835,19.102999999999998,0.191,83,16,o,0,0.75,162.20636000000002,-4.2705400000000004,3012.65,4650.38,1.94,1.9,-14.5,-0.47,19.28,20.0,02a58054o0904o
7,58056.591270000004,18.826,0.256,107,27,o,0,1.11,162.20636000000002,-4.2705400000000004,6531.42,8766.19,3.99,3.5,-83.2,-0.39399999999999996,18.58,19.92,01a58056o0706o
8,58056.595634000005,18.94,0.28300000000000003,96,27,o,0,0.81,162.20636000000002,-4.2705400000000004,6548.16,8645.76,4.0,3.53,-80.9,-0.385,18.58,19.95,01a58056o0715o
9,58064.614779999996,18.618,0.235,130,30,o,0,1.25,162.20636000000002,-4.2705400000000004,6475.92,8785.7,3.62,3.12,-82.1,-0.423,18.51,19.62,01a58064o0873o
10,58064.62235599999,18.804000000000002,0.242,109,26,o,0,1.1,162.20636000000002,-4.2705400000000004,6454.78,8731.99,3.54,3.36,-76.3,-0.409,18.58,19.72,01a58064o0889o
11,58064.631057000006,18.895,0.251,100,25,o,0,1.33,162.20636000000002,-4.2705400000000004,6510.74,8791.11,3.55,3.22,-85.5,-0.408,18.61,19.74,01a58064o0906o
12,58064.639324,18.91,0.285,99,28,o,0,1.18,162.20636000000002,-4.2705400000000004,6525.91,8655.17,3.47,3.17,-86.5,-0.419,18.58,19.63,01a58064o0923o
13,58066.624534,18.9,0.145,100,14,o,0,1.42,162.20636000000002,-4.2705400000000004,6101.94,5547.75,2.13,1.93,-24.2,-0.457,19.14,19.75,02a58066o0889o
14,58066.63310399999,18.730999999999998,0.14,117,16,o,0,1.15,162.20636000000002,-4.2705400000000004,6121.62,5587.53,2.17,2.01,-30.8,-0.446,19.11,19.78,02a58066o0906o
15,58066.641454,18.602,0.141,132,18,o,0,0.78,162.20636000000002,-4.2705400000000004,6062.3,5512.29,2.16,1.97,-32.4,-0.44299999999999995,19.07,19.74,02a58066o0923o
16,58066.64988,18.864,0.259,103,27,o,0,1.07,162.20636000000002,-4.2705400000000004,6042.96,5630.19,2.24,2.01,-26.5,-0.45399999999999996,18.6,18.93,02a58066o0940o
17,58068.592080999995,18.308,0.6920000000000001,172,119,o,0,1.52,162.20636000000002,-4.2705400000000004,6947.13,5425.76,3.38,3.16,87.5,-0.433,17.43,18.09,01a58068o0712o
18,58068.601215999995,19.351,0.302,66,20,o,0,1.35,162.20636000000002,-4.2705400000000004,6934.16,5375.39,3.16,2.97,-88.4,-0.429,18.82,19.92,01a58068o0725o
19,58068.605911,18.651,0.14400000000000002,126,18,o,0,1.64,162.20636000000002,-4.2705400000000004,6990.59,5443.8,3.17,2.87,-85.1,-0.43799999999999994,18.86,19.93,01a58068o0735o
20,58068.614162,18.665,0.14800000000000002,124,18,o,0,1.09,162.20636000000002,-4.2705400000000004,7003.64,5309.83,3.01,2.67,-82.1,-0.45899999999999996,18.97,19.97,01a58068o0745o
21,58070.61223,18.906,0.121,99,12,o,0,1.2,162.20636000000002,-4.2705400000000004,4119.77,3164.17,2.21,1.88,34.9,-0.455,19.39,20.4,02a58070o0873o
22,58070.617774,19.198,0.155,76,12,o,0,0.89,162.20636000000002,-4.2705400000000004,4140.41,3204.28,2.08,1.81,46.3,-0.45799999999999996,19.45,20.45,02a58070o0885o
23,58070.628235000004,18.935,0.127,97,12,o,0,0.71,162.20636000000002,-4.2705400000000004,4082.23,3127.69,2.06,1.79,44.8,-0.461,19.47,20.49,02a58070o0900o
24,58070.63570700001,18.997,0.129,91,12,o,0,1.09,162.20636000000002,-4.2705400000000004,4063.94,3246.04,2.04,1.82,42.9,-0.455,19.53,20.52,02a58070o0915o
25,58072.6116,19.256,0.267,72,19,o,0,0.98,162.20636000000002,-4.2705400000000004,7072.27,8980.58,3.34,2.95,-84.5,-0.425,19.04,20.41,01a58072o0898o
26,58072.620514999995,19.496,0.266,58,15,o,0,1.41,162.20636000000002,-4.2705400000000004,7050.81,8920.7,3.21,2.73,-85.8,-0.44,19.17,20.46,01a58072o0914o
27,58072.627682000006,19.221,0.213,74,16,o,0,1.54,162.20636000000002,-4.2705400000000004,7105.62,8979.15,3.26,2.79,-86.2,-0.436,19.15,20.49,01a58072o0929o
28,58072.637754999996,18.887999999999998,0.147,101,15,o,0,1.19,162.20636000000002,-4.2705400000000004,7121.54,8834.78,3.25,2.82,-84.4,-0.43799999999999994,19.2,20.59,01a58072o0945o
29,58074.621999,19.18,0.138,77,11,c,0,0.96,162.20636000000002,-4.2705400000000004,5650.35,4525.01,2.59,2.35,48.9,-0.442,19.55,21.12,02a58074o0780c
30,58074.630096,18.945999999999998,0.109,96,10,c,0,1.15,162.20636000000002,-4.2705400000000004,5668.42,4565.07,2.54,2.35,51.3,-0.436,19.55,21.15,02a58074o0797c
31,58074.638071,19.224,0.13699999999999998,74,10,c,0,1.21,162.20636000000002,-4.2705400000000004,5608.71,4488.87,2.61,2.39,54.0,-0.428,19.56,21.14,02a58074o0814c
32,58074.646069,19.377,0.152,64,10,c,0,1.28,162.20636000000002,-4.2705400000000004,5587.19,4606.15,2.42,2.26,56.4,-0.439,19.53,20.94,02a58074o0831c
33,58076.611641999996,19.199,0.812,76,62,o,0,0.93,162.20636000000002,-4.2705400000000004,6767.15,5444.27,3.38,3.05,-83.5,-0.41100000000000003,17.76,19.32,01a58076o0816o
34,58076.622879999995,18.458,0.7240000000000001,150,109,o,0,1.21,162.20636000000002,-4.2705400000000004,6743.19,5376.32,3.73,3.38,-81.7,-0.41100000000000003,17.07,18.82,01a58076o0832o
35,58076.631242999996,18.832,0.34,106,36,o,0,1.02,162.20636000000002,-4.2705400000000004,6798.88,5430.05,3.35,2.99,-82.2,-0.419,18.16,19.72,01a58076o0849o
36,58076.639851,20.608,0.897,21,19,o,0,1.14,162.20636000000002,-4.2705400000000004,6815.28,5289.13,3.71,3.35,-80.5,-0.4,18.83,20.37,01a58076o0866o
37,58080.60703099999,20.02,0.39899999999999997,36,14,o,0,1.26,162.20636000000002,-4.2705400000000004,4274.1,8148.58,3.33,2.86,-86.4,-0.44,19.22,20.75,01a58080o0862o
38,58080.614130999995,19.465,0.23399999999999999,59,14,o,0,1.23,162.20636000000002,-4.2705400000000004,4253.67,8091.95,3.28,2.75,-81.9,-0.449,19.24,20.75,01a58080o0877o
39,58080.62506699999,19.69,0.309,48,15,o,0,1.28,162.20636000000002,-4.2705400000000004,4305.66,8136.33,3.7,3.17,-83.5,-0.42700000000000005,19.11,20.78,01a58080o0893o
40,58080.63359,19.28,0.207,70,15,o,0,1.23,162.20636000000002,-4.2705400000000004,4321.79,7994.34,3.14,2.74,-85.9,-0.452,19.26,20.77,01a58080o0910o
41,58082.594667,16.792,0.8759999999999999,697,610,c,0,1.22,162.20636000000002,-4.2705400000000004,6018.06,2008.3,2.65,2.41,45.3,-0.42,15.98,17.47,02a58082o0858c
42,58082.605648000004,-20.675,3.278,-20,64,c,0,0.96,162.20636000000002,-4.2705400000000004,6034.22,2047.46,2.59,2.47,45.5,-0.408,17.34,18.84,02a58082o0874c
43,58082.612743,19.009,0.607,90,55,c,0,1.18,162.20636000000002,-4.2705400000000004,5976.42,1971.32,2.91,2.59,41.8,-0.395,17.94,19.52,02a58082o0889c
44,58082.62199400001,19.476,0.196,59,12,c,0,0.95,162.20636000000002,-4.2705400000000004,5955.0,2091.15,2.55,2.38,51.8,-0.408,19.45,20.98,02a58082o0905c
45,58092.575416,19.912,0.9009999999999999,39,36,o,0,0.89,162.20636000000002,-4.2705400000000004,4956.34,7519.56,3.28,2.96,-84.0,-0.444,18.59,19.58,01a58092o0822o
46,58092.583271,19.96,0.8079999999999999,38,30,o,0,1.34,162.20636000000002,-4.2705400000000004,4936.05,7460.32,3.38,2.9,-86.1,-0.442,18.48,19.52,01a58092o0839o
47,58092.591174,19.855999999999998,0.667,41,28,o,0,1.42,162.20636000000002,-4.2705400000000004,4995.57,7516.32,3.3,2.91,-86.6,-0.445,18.58,19.63,01a58092o0856o
48,58092.599021,19.794,0.634,44,28,o,0,1.22,162.20636000000002,-4.2705400000000004,5013.76,7376.9,3.19,2.87,89.0,-0.44799999999999995,18.67,19.67,01a58092o0873o
49,58096.560838,19.915,3.275,39,129,o,0,1.29,162.20636000000002,-4.2705400000000004,7375.2,8295.32,3.55,2.98,-84.3,-0.451,18.03,19.08,01a58096o0803o
50,58096.567804,-18.808,3.596,-109,391,o,0,1.18,162.20636000000002,-4.2705400000000004,7355.25,8239.06,3.63,3.07,-84.9,-0.496,17.27,17.73,01a58096o0818o
51,58096.574829,-19.817,0.9520000000000001,-43,41,o,0,1.14,162.20636000000002,-4.2705400000000004,7413.5,8297.9,3.67,3.12,-84.7,-0.41700000000000004,18.37,19.32,01a58096o0833o
52,58096.581803999994,17.881,2.217,256,567,o,0,1.08,162.20636000000002,-4.2705400000000004,7435.14,8162.18,3.46,3.02,-85.6,-0.511,16.79,17.41,01a58096o0848o
53,58098.571822000005,20.454,0.526,24,13,o,0,0.77,162.20636000000002,-4.2705400000000004,5338.01,2090.35,2.06,1.85,42.6,-0.46299999999999997,19.49,20.41,02a58098o0820o
54,58098.578788,19.808,0.27899999999999997,43,12,o,0,0.94,162.20636000000002,-4.2705400000000004,5357.23,2130.77,2.05,1.85,44.3,-0.45899999999999996,19.39,20.18,02a58098o0835o
55,58098.585758,20.139,0.445,32,14,o,0,0.87,162.20636000000002,-4.2705400000000004,5298.81,2054.48,2.06,1.83,43.1,-0.462,19.39,20.19,02a58098o0850o
56,58098.592772,19.872,0.442,41,18,o,0,0.99,162.20636000000002,-4.2705400000000004,5277.29,2172.88,2.07,1.84,45.2,-0.47100000000000003,19.08,19.81,02a58098o0865o
57,58100.56518,19.500999999999998,0.28600000000000003,58,16,o,0,0.94,162.20636000000002,-4.2705400000000004,6450.57,6975.28,3.24,2.87,-83.1,-0.43200000000000005,19.08,20.72,01a58100o0816o
58,58100.572211,20.596,0.667,21,14,o,0,1.25,162.20636000000002,-4.2705400000000004,6429.79,6916.33,3.28,2.87,-85.1,-0.434,19.25,20.92,01a58100o0831o
59,58100.579217,21.131999999999998,0.9840000000000001,13,13,o,0,1.24,162.20636000000002,-4.2705400000000004,6487.59,6972.63,3.18,2.77,-84.6,-0.439,19.32,21.03,01a58100o0846o
60,58100.586313,19.914,0.33299999999999996,39,13,o,0,0.9,162.20636000000002,-4.2705400000000004,6506.3,6835.06,3.3,2.91,-84.2,-0.429,19.33,21.1,01a58100o0861o
61,58104.557447,21.904,2.286,6,14,o,0,1.22,162.20636000000002,-4.2705400000000004,4909.06,7435.0,3.4,2.99,-77.9,-0.433,19.19,20.76,01a58104o0169o
62,58104.56547,20.719,0.72,19,14,o,0,1.25,162.20636000000002,-4.2705400000000004,4887.76,7372.17,3.4,3.07,-77.5,-0.428,19.17,20.79,01a58104o0186o
63,58104.573488,20.035999999999998,0.47100000000000003,35,16,o,0,1.17,162.20636000000002,-4.2705400000000004,4943.95,7425.22,4.18,3.26,-7.9,-0.415,19.02,20.81,01a58104o0203o
