,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58043.643975,-18.988,0.14400000000000002,-92,13,c,0,1.33,111.07179,10.26661,7551.52,5832.5,3.11,3.03,-47.5,-0.387,19.18,20.63,02a58043o0003c
1,58043.653886,-18.35,0.5479999999999999,-166,91,c,0,1.13,111.07179,10.26661,7492.82,5754.8,3.37,3.25,-72.2,-0.41100000000000003,17.17,18.24,02a58043o0022c
2,58045.603887,-21.745,2.3930000000000002,-7,17,o,0,0.89,111.07179,10.26661,1394.24,6927.48,3.97,3.12,-4.9,-0.40700000000000003,19.04,20.78,01a58045o0827o
3,58045.61416799999,-21.239,1.3330000000000002,-12,16,o,0,0.9,111.07179,10.26661,1378.72,6853.28,3.22,3.15,-72.7,-0.41600000000000004,19.15,20.81,01a58045o0845o
4,58045.62710800001,22.865,5.143,3,13,o,0,1.28,111.07179,10.26661,1446.47,6888.1,3.06,2.76,-87.7,-0.456,19.21,20.85,01a58045o0864o
5,58045.640439999996,-20.230999999999998,0.586,-29,17,o,0,0.83,111.07179,10.26661,1468.74,6721.2,3.14,2.83,-86.8,-0.449,19.06,20.47,01a58045o0882o
6,58049.63506,-20.408,0.7759999999999999,-25,19,o,0,0.93,111.07179,10.26661,10349.17,6226.86,3.8,3.1,-84.1,-0.423,19.03,20.47,01a58049o0623o
7,58049.636238,-21.936999999999998,3.346,-6,20,o,0,0.74,111.07179,10.26661,9571.66,4038.11,3.52,3.09,-82.9,-0.43,19.05,20.41,01a58049o0625o
8,58049.646115999996,-20.825,2.188,-17,37,o,0,0.89,111.07179,10.26661,10292.42,6191.89,3.7,3.06,-86.7,-0.433,18.56,19.42,01a58049o0640o
9,58049.648173,19.79,1.048,44,46,o,0,1.14,111.07179,10.26661,656.84,6355.22,3.2,2.8,-87.8,-0.433,18.29,18.96,01a58049o0643o
10,58055.591677,-21.910999999999998,1.3880000000000001,-6,9,o,0,1.3,111.07179,10.26661,7544.75,6443.62,2.13,1.98,-51.3,-0.439,19.71,20.94,02a58055o0814o
11,58055.601333000006,-21.209,0.6,-12,7,o,0,1.43,111.07179,10.26661,7563.78,6484.13,2.06,1.93,-50.3,-0.44799999999999995,19.77,20.99,02a58055o0832o
12,58055.610749,-20.675,0.46299999999999997,-20,9,o,0,1.08,111.07179,10.26661,7504.89,6409.18,2.14,2.02,-42.3,-0.445,19.71,21.01,02a58055o0849o
13,58055.621497,-20.83,0.465,-17,8,o,0,1.55,111.07179,10.26661,7484.75,6527.68,2.19,2.03,-48.3,-0.434,19.71,21.03,02a58055o0867o
14,58057.608660000005,-20.5,1.203,-23,28,o,0,0.99,111.07179,10.26661,1236.59,6132.66,3.08,2.69,85.4,-0.461,18.67,20.17,01a58057o0459o
15,58057.620654,-19.921,0.46399999999999997,-39,18,o,0,1.01,111.07179,10.26661,8986.65,4209.45,3.29,2.83,-86.8,-0.445,19.1,20.58,01a58057o0477o
16,58057.631529,20.288,0.563,28,16,o,0,0.97,111.07179,10.26661,8934.37,4177.03,3.28,2.87,-81.1,-0.444,19.21,20.79,01a58057o0494o
17,58057.642665,-22.362,5.471,-4,23,o,0,1.09,111.07179,10.26661,8917.1,4336.67,3.28,2.85,-83.4,-0.44799999999999995,18.77,19.87,01a58057o0512o
18,58059.544816999995,20.599,0.753,21,16,o,0,1.14,111.07179,10.26661,8401.53,3871.58,2.02,1.96,-68.5,-0.46299999999999997,19.14,19.57,02a58059o0587o
19,58059.547555,-20.566999999999997,0.611,-22,13,o,0,1.66,111.07179,10.26661,8418.21,3913.06,2.04,1.98,-52.5,-0.46,19.13,19.58,02a58059o0593o
20,58059.558675,-21.621,2.089,-8,17,o,0,0.98,111.07179,10.26661,8363.01,3838.07,2.01,1.98,-60.8,-0.462,19.12,19.57,02a58059o0616o
21,58059.566850999996,-20.899,1.057,-16,17,o,0,0.75,111.07179,10.26661,8341.24,3958.77,2.04,1.98,-75.6,-0.45799999999999996,19.18,19.63,02a58059o0632o
22,58061.447735,-20.48,2.5380000000000003,-23,59,o,0,1.09,111.07179,10.26661,3345.44,6255.09,3.2,2.97,-80.1,-0.452,18.11,18.71,01a58061o0552o
23,58061.453812,20.618000000000002,2.5780000000000003,20,53,o,0,1.03,111.07179,10.26661,3330.85,6210.23,2.9,2.74,-81.5,-0.486,18.23,18.77,01a58061o0565o
24,58061.459911,20.838,3.0,17,50,o,0,0.96,111.07179,10.26661,3392.32,6280.42,2.94,2.82,-78.2,-0.475,18.27,18.83,01a58061o0578o
25,58061.46604299999,21.076999999999998,3.821,14,51,o,0,1.45,111.07179,10.26661,3414.62,6154.87,3.01,2.89,-76.1,-0.46399999999999997,18.25,18.88,01a58061o0591o
26,58063.551723000004,20.926,1.258,16,20,o,0,1.62,111.07179,10.26661,9786.5,3154.73,2.11,2.07,32.9,-0.486,18.68,19.18,02a58063o0693o
27,58063.556527,-18.339000000000002,0.177,-168,30,o,0,3.31,111.07179,10.26661,83.52,3115.79,2.06,1.86,24.3,-0.47200000000000003,18.76,19.24,02a58063o0702o
28,58063.557682000006,-21.525,2.511,-9,22,o,0,1.2,111.07179,10.26661,9747.46,3118.96,2.11,2.06,33.8,-0.484,18.77,19.18,02a58063o0704o
