,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58043.653429,-17.82,0.365,-270,99,c,0,1.08,116.71278999999998,15.399120000000002,5155.56,5509.67,3.36,3.24,-25.2,-0.41,17.22,18.24,02a58043o0021c
1,58055.609296,-19.502,0.129,-57,7,o,0,1.87,116.71278999999998,15.399120000000002,5164.48,6162.75,2.22,2.02,-46.6,-0.435,19.69,20.96,02a58055o0846o
2,58055.619988,-19.688,0.223,-48,11,o,0,0.86,116.71278999999998,15.399120000000002,5183.09,6203.05,2.19,2.01,-50.7,-0.439,19.72,20.98,02a58055o0864o
3,58055.630507,-19.616,0.18600000000000003,-52,10,o,0,1.04,116.71278999999998,15.399120000000002,5126.64,6128.49,2.18,2.0,-47.0,-0.439,19.73,20.96,02a58055o0881o
4,58055.6428,-19.342,0.18,-67,12,o,0,0.92,116.71278999999998,15.399120000000002,5104.78,6247.23,2.31,2.02,-46.5,-0.429,19.59,20.67,02a58055o0899o
5,58057.627177999995,-20.007,0.451,-36,16,o,0,1.1,116.71278999999998,15.399120000000002,3651.3,6374.98,2.88,2.68,-83.2,-0.465,18.96,20.47,01a58057o0487o
6,58057.638437,-19.623,0.358,-51,18,o,0,1.07,116.71278999999998,15.399120000000002,6527.77,3973.26,3.09,2.89,-85.8,-0.436,19.0,20.26,01a58057o0505o
7,58057.649402999996,19.219,0.955,75,71,o,0,1.1,116.71278999999998,15.399120000000002,3694.45,6326.79,3.16,2.99,-88.5,-0.45,17.86,18.3,01a58057o0522o
8,58059.579271,-19.327,0.244,-68,16,o,0,1.54,116.71278999999998,15.399120000000002,6017.66,3603.29,2.02,1.94,-44.4,-0.474,19.12,19.62,02a58059o0657o
9,58059.588262,-20.146,0.516,-32,16,o,0,0.84,116.71278999999998,15.399120000000002,6033.37,3646.25,2.11,1.98,-59.8,-0.45299999999999996,19.22,19.71,02a58059o0674o
10,58059.597823000004,-19.235,0.195,-73,14,o,0,1.4,116.71278999999998,15.399120000000002,5976.06,3570.6,2.11,1.96,-64.8,-0.45399999999999996,19.24,19.77,02a58059o0691o
11,58059.608323,-19.409000000000002,0.225,-63,14,o,0,0.84,116.71278999999998,15.399120000000002,5956.08,3691.33,2.05,1.92,-65.1,-0.457,19.3,19.91,02a58059o0708o
12,58061.45896799999,-21.191,3.968,-12,48,o,0,1.27,116.71278999999998,15.399120000000002,5698.54,6524.87,2.97,2.81,-74.2,-0.467,18.21,18.71,01a58061o0576o
13,58061.4651,-19.8,1.165,-44,51,o,0,0.97,116.71278999999998,15.399120000000002,5686.15,6479.65,2.91,2.76,-74.3,-0.473,18.22,18.77,01a58061o0589o
14,58061.471289999994,-21.724,6.692,-7,50,o,0,1.02,116.71278999999998,15.399120000000002,5748.51,6549.91,2.92,2.82,-77.0,-0.46399999999999997,18.3,18.82,01a58061o0602o
15,58061.4775,-20.011,1.365,-36,49,o,0,0.79,116.71278999999998,15.399120000000002,5772.2,6424.89,2.75,2.67,-63.4,-0.48100000000000004,18.37,18.89,01a58061o0615o
16,58063.556071000006,-19.577,0.325,-54,17,o,0,1.61,116.71278999999998,15.399120000000002,7382.52,2886.56,2.19,2.05,-43.0,-0.445,18.81,19.24,02a58063o0701o
17,58063.570198,-19.749000000000002,0.466,-46,21,o,0,1.26,116.71278999999998,15.399120000000002,7401.45,2927.88,2.47,2.17,-5.0,-0.47,18.75,19.28,02a58063o0730o
18,58063.579001,-19.765,0.519,-45,23,o,0,0.75,116.71278999999998,15.399120000000002,7343.82,2852.06,2.16,2.03,-61.2,-0.45,18.92,19.35,02a58063o0746o
19,58063.57945800001,-21.758000000000003,2.347,-7,17,o,0,0.97,116.71278999999998,15.399120000000002,7324.49,2968.68,2.15,1.98,-53.7,-0.45299999999999996,18.91,19.35,02a58063o0747o
20,58067.578569000005,-19.597,0.247,-53,13,o,0,1.21,116.71278999999998,15.399120000000002,6908.71,4946.54,2.01,1.92,-57.4,-0.47600000000000003,19.32,20.06,02a58067o0792o
21,58067.587863,-19.344,0.182,-66,12,o,0,1.29,116.71278999999998,15.399120000000002,6925.86,4986.64,2.05,1.97,-46.5,-0.479,19.34,20.07,02a58067o0810o
22,58067.59725499999,-20.288,0.47700000000000004,-28,13,o,0,1.16,116.71278999999998,15.399120000000002,6870.03,4912.48,2.08,1.97,-55.8,-0.457,19.35,20.08,02a58067o0827o
23,58067.607047000005,21.996,2.23,6,13,o,0,0.95,116.71278999999998,15.399120000000002,6850.74,5029.63,2.1,2.0,-52.2,-0.452,19.33,20.07,02a58067o0844o
24,58071.577447,-18.9,0.069,-100,7,c,0,1.18,116.71278999999998,15.399120000000002,8017.94,2620.56,2.71,2.4,57.7,-0.42700000000000005,19.75,21.48,02a58071o0699c
25,58073.553501999995,19.098,0.18,83,15,o,0,0.85,116.71278999999998,15.399120000000002,4154.68,6848.37,3.42,2.81,-81.3,-0.435,19.31,21.14,01a58073o0752o
26,58073.573069000005,19.259,0.19899999999999998,72,14,o,0,0.89,116.71278999999998,15.399120000000002,4146.11,6739.15,3.52,3.39,-25.3,-0.402,19.2,21.16,01a58073o0791o
27,58073.577401,18.875,0.14400000000000002,102,15,o,0,0.67,116.71278999999998,15.399120000000002,4203.48,6800.48,3.4,2.79,-85.3,-0.435,19.31,21.14,01a58073o0798o
28,58073.587231,19.046,0.153,87,13,o,0,1.05,116.71278999999998,15.399120000000002,4227.14,6646.86,3.33,2.88,85.2,-0.428,19.32,21.09,01a58073o0816o
29,58075.578665,20.407,0.31,25,8,c,0,1.44,116.71278999999998,15.399120000000002,7995.48,3673.28,2.49,2.35,61.4,-0.42700000000000005,19.8,21.46,02a58075o0711c
30,58075.582724,20.0,0.20800000000000002,36,8,c,0,1.46,116.71278999999998,15.399120000000002,8014.41,3712.42,2.45,2.34,66.0,-0.436,19.76,21.45,02a58075o0719c
31,58075.59411799999,20.033,0.257,35,9,c,0,1.36,116.71278999999998,15.399120000000002,2522.47,6790.52,2.49,2.3,16.6,-0.449,19.73,21.47,02a58075o0741c
32,58077.558022000005,18.123,0.07200000000000001,205,15,o,0,0.8,116.71278999999998,15.399120000000002,4564.93,5514.17,3.22,3.15,-65.7,-0.42200000000000004,19.31,21.12,01a58077o0748o
33,58077.56236799999,18.229,0.096,186,18,o,0,0.64,116.71278999999998,15.399120000000002,4528.92,5459.94,3.47,3.29,-21.9,-0.41600000000000004,19.22,21.13,01a58077o0756o
34,58077.578175,17.91,0.059000000000000004,249,15,o,0,1.24,116.71278999999998,15.399120000000002,4609.24,5476.79,3.64,3.18,-3.2,-0.42100000000000004,19.21,21.13,01a58077o0788o
35,58077.583016,18.268,0.099,179,18,o,0,0.92,116.71278999999998,15.399120000000002,4629.03,5342.48,4.2,3.2,-3.2,-0.405,19.13,21.13,01a58077o0797o
