,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58031.524473000005,-18.278,0.226,-177,40,o,0,1.3,83.52991,-29.611390000000004,3777.41,4684.43,4.11,3.83,18.6,-0.37,17.91,18.77,01a58031o0692o
1,58031.532435,-19.494,0.815,-58,47,o,0,1.1,83.52991,-29.611390000000004,3750.26,4623.86,4.66,3.85,0.2,-0.375,17.87,18.8,01a58031o0709o
2,58031.540403,-24.419,68.5,-1,42,o,0,1.2,83.52991,-29.611390000000004,3790.26,4679.18,3.99,3.62,80.3,-0.387,18.0,18.86,01a58031o0726o
3,58031.54833099999,-19.213,0.5,-75,38,o,0,1.38,83.52991,-29.611390000000004,3796.23,4540.05,3.83,3.45,70.4,-0.41,18.1,18.89,01a58031o0743o
4,58037.566171000006,-21.55,2.077,-9,18,o,0,1.24,83.52991,-29.611390000000004,5345.4,5897.34,2.4,2.03,-40.7,-0.428,19.18,19.89,02a58037o0562o
5,58037.573473000004,24.763,36.5,0,16,o,0,1.45,83.52991,-29.611390000000004,5362.05,5938.09,2.39,2.05,-37.4,-0.43799999999999994,19.19,19.9,02a58037o0578o
6,58037.578515,20.462,0.784,24,19,o,0,2.44,83.52991,-29.611390000000004,5292.69,5859.71,2.44,2.12,-39.6,-0.44,19.15,19.89,02a58037o0589o
7,58037.581254,21.088,1.0090000000000001,13,13,o,0,3.97,83.52991,-29.611390000000004,5276.01,5976.56,2.44,2.12,-38.2,-0.426,19.17,19.9,02a58037o0595o
8,58039.558209,-21.89,3.138,-6,20,o,0,1.11,83.52991,-29.611390000000004,4396.64,7551.72,3.26,3.02,87.9,-0.433,18.91,20.13,01a58039o0641o
9,58039.564163999996,21.083000000000002,1.4040000000000001,13,19,o,0,1.54,83.52991,-29.611390000000004,4373.25,7491.37,3.36,3.14,-86.4,-0.434,18.9,20.15,01a58039o0654o
10,58039.57288200001,-24.566,38.0,0,21,o,0,1.26,83.52991,-29.611390000000004,4417.38,7537.54,3.71,3.35,87.0,-0.405,18.81,20.16,01a58039o0673o
11,58039.587091999994,-20.239,0.586,-29,17,o,0,1.61,83.52991,-29.611390000000004,4425.67,7368.9,3.13,2.87,-88.5,-0.439,18.96,20.17,01a58039o0704o
12,58043.55708099999,-20.909000000000002,1.0,-16,16,o,0,2.0,83.52991,-29.611390000000004,6166.6,5905.99,3.58,3.24,-86.5,-0.40399999999999997,18.93,20.61,01a58043o0787o
13,58043.570826999996,-20.129,0.6629999999999999,-32,21,o,0,1.58,83.52991,-29.611390000000004,6138.3,5817.53,3.89,3.49,-11.1,-0.39799999999999996,18.73,20.45,01a58043o0817o
14,58043.578157,-20.16,0.49,-31,15,o,0,2.2,83.52991,-29.611390000000004,6201.7,5750.68,3.63,3.3,-88.8,-0.402,18.94,20.62,01a58043o0833o
15,58043.579074,-20.717,1.296,-19,24,o,0,1.34,83.52991,-29.611390000000004,6185.02,5863.48,3.52,3.14,-89.2,-0.40700000000000003,18.74,20.37,01a58043o0835o
16,58047.54790499999,22.408,4.882,4,19,o,0,1.97,83.52991,-29.611390000000004,3464.33,5376.47,3.06,2.84,-89.0,-0.43799999999999994,18.94,20.33,01a58047o0771o
17,58047.552486,19.324,0.226,68,15,o,0,2.09,83.52991,-29.611390000000004,3441.97,5320.49,3.06,2.83,83.1,-0.444,18.98,20.36,01a58047o0781o
18,58047.562565,20.291,0.653,28,18,o,0,1.37,83.52991,-29.611390000000004,3485.71,5361.53,3.33,2.85,83.8,-0.43,18.97,20.4,01a58047o0803o
19,58047.563481,-19.660999999999998,0.326,-50,16,o,0,2.13,83.52991,-29.611390000000004,3502.56,5242.5,3.06,2.73,85.0,-0.445,19.05,20.42,01a58047o0805o
20,58049.54396,17.187,0.177,484,86,c,0,4.86,83.52991,-29.611390000000004,7742.88,3738.44,2.63,2.36,61.1,-0.42100000000000004,17.26,18.73,02a58049o0579c
21,58053.487488,18.368,0.586,163,96,o,0,1.38,83.52991,-29.611390000000004,5793.95,3554.32,2.09,2.05,-64.0,-0.45899999999999996,17.44,18.34,02a58053o0635o
22,58053.49159400001,20.55,14.533,22,318,o,0,1.03,83.52991,-29.611390000000004,5809.41,3592.97,2.08,2.04,80.8,-0.491,16.53,17.51,02a58053o0644o
23,58053.495714,19.223,2.617,74,194,o,0,1.66,83.52991,-29.611390000000004,5741.39,3515.61,2.07,2.04,-28.6,-0.466,16.47,17.39,02a58053o0653o
24,58053.499825,18.046,0.9279999999999999,220,204,o,0,1.37,83.52991,-29.611390000000004,5723.31,3632.16,2.05,2.02,-36.1,-0.474,16.19,17.08,02a58053o0662o
25,58055.508331,20.335,0.602,27,16,o,0,1.47,83.52991,-29.611390000000004,2634.08,5271.53,3.27,2.8,82.7,-0.446,19.17,20.64,01a58055o0698o
26,58055.518404999995,24.545,25.666999999999998,1,14,o,0,1.41,83.52991,-29.611390000000004,2608.95,5197.73,3.06,2.6,86.6,-0.46399999999999997,19.32,20.92,01a58055o0720o
27,58055.53081799999,-21.566,1.5119999999999998,-9,13,o,0,2.8,83.52991,-29.611390000000004,2665.38,5231.24,3.05,2.9,88.5,-0.441,19.29,20.93,01a58055o0747o
28,58055.539515,-19.469,0.223,-59,13,o,0,1.92,83.52991,-29.611390000000004,2677.16,5083.85,3.29,3.06,80.4,-0.42700000000000005,19.19,20.86,01a58055o0766o
29,58059.50863,-20.97,2.101,-15,31,o,0,1.54,83.52991,-29.611390000000004,3924.72,5533.1,3.37,2.84,85.6,-0.43700000000000006,18.47,19.37,01a58059o0620o
30,58059.516414,-20.026,0.8240000000000001,-36,29,o,0,1.55,83.52991,-29.611390000000004,3901.53,5466.49,3.26,2.65,89.6,-0.445,18.58,19.39,01a58059o0637o
31,58059.53015599999,19.662,0.628,50,31,o,0,1.65,83.52991,-29.611390000000004,3958.34,5493.08,3.45,2.78,88.4,-0.436,18.52,19.43,01a58059o0667o
32,58059.539346000005,-20.555999999999997,1.2229999999999999,-22,27,o,0,1.92,83.52991,-29.611390000000004,3971.81,5343.18,3.45,2.74,84.4,-0.435,18.55,19.45,01a58059o0687o
33,58063.509404,20.066,1.145,34,39,o,0,1.48,83.52991,-29.611390000000004,6126.85,6377.2,3.42,3.32,-79.5,-0.41600000000000004,18.37,19.22,01a58063o0712o
34,58063.513536,-20.781,2.292,-18,40,o,0,1.01,83.52991,-29.611390000000004,6103.24,6321.82,3.43,3.29,-79.9,-0.41200000000000003,18.4,19.23,01a58063o0721o
35,58063.523159000004,-19.492,0.65,-58,38,o,0,1.43,83.52991,-29.611390000000004,6147.97,6363.24,3.53,3.49,-32.3,-0.391,18.33,19.24,01a58063o0742o
36,58063.535527,-19.858,0.898,-41,37,o,0,1.17,83.52991,-29.611390000000004,6160.48,6201.18,3.53,3.21,-86.2,-0.418,18.36,19.27,01a58063o0770o
37,58065.505139,-19.771,0.395,-45,18,o,0,2.54,83.52991,-29.611390000000004,6481.89,3327.96,2.13,2.08,-67.5,-0.466,19.06,19.7,02a58065o0705o
38,58065.5097,-20.158,0.5329999999999999,-31,17,o,0,2.95,83.52991,-29.611390000000004,6500.09,3367.41,2.17,2.14,-84.6,-0.457,19.04,19.71,02a58065o0715o
39,58065.519735,21.155,1.409,12,18,o,0,1.89,83.52991,-29.611390000000004,6448.5,3290.07,2.23,2.2,-72.8,-0.441,19.01,19.71,02a58065o0737o
40,58065.532071,-20.372,0.546,-26,14,o,0,5.15,83.52991,-29.611390000000004,6424.8,3410.02,2.16,2.1,-62.6,-0.457,19.04,19.72,02a58065o0764o
41,58067.506711,20.636999999999997,1.524,20,31,o,0,1.78,83.52991,-29.611390000000004,2685.49,6996.1,3.32,2.95,89.3,-0.435,18.29,19.68,01a58067o0697o
42,58067.511287,20.816999999999997,1.0290000000000001,17,18,o,0,2.16,83.52991,-29.611390000000004,2662.96,6939.79,3.34,2.86,-89.7,-0.43700000000000006,18.71,20.2,01a58067o0707o
43,58067.51678,20.393,0.738,25,19,o,0,1.8,83.52991,-29.611390000000004,2713.77,6997.76,3.19,2.69,-87.6,-0.461,18.71,20.18,01a58067o0719o
