,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58027.633099,-18.926,0.17600000000000002,-98,17,o,0,1.63,139.18627,18.95414,1230.41,6969.35,2.05,1.9,27.1,-0.48700000000000004,19.1,19.68,02a58027o0643o
1,58035.635613,18.241,0.748,183,137,o,0,1.0,139.18627,18.95414,4437.29,7491.48,2.2,1.95,-38.0,-0.45799999999999996,16.88,16.69,02a58035o0815o
2,58035.645362,17.555,1.308,345,452,o,0,1.26,139.18627,18.95414,4458.32,7532.37,5.73,2.51,-89.9,-0.204,15.66,16.02,02a58035o0833o
3,58061.535392,-18.849,0.324,-105,34,o,0,1.18,139.18627,18.95414,9346.91,3727.19,3.4,3.0,-78.8,-0.429,18.25,18.9,01a58061o0727o
4,58061.541815,-19.406,0.5760000000000001,-63,36,o,0,0.81,139.18627,18.95414,9318.56,3681.07,3.3,2.88,-77.7,-0.444,18.39,18.96,01a58061o0741o
5,58061.543188999996,-19.483,0.523,-58,31,o,0,1.43,139.18627,18.95414,9393.41,3757.16,3.36,2.91,-79.9,-0.439,18.38,18.97,01a58061o0744o
6,58061.543646000006,-17.418,0.08,-392,31,o,0,5.64,139.18627,18.95414,9412.2,3640.17,3.32,2.84,-80.8,-0.441,18.37,18.98,01a58061o0745o
7,58071.649818,-20.756,0.731,-18,13,c,0,1.09,139.18627,18.95414,4387.4,5419.59,2.43,2.3,39.7,-0.447,19.4,20.7,02a58071o0776c
8,58071.659272000004,-19.537,1.067,-56,59,c,0,0.84,139.18627,18.95414,4404.84,5460.0,2.37,2.26,35.2,-0.484,17.85,18.55,02a58071o0794c
9,58073.628917999995,-20.61,0.61,-21,13,o,0,2.35,139.18627,18.95414,7782.36,4000.78,3.48,2.58,-84.8,-0.44799999999999995,19.37,20.96,01a58073o0887o
10,58073.640679,-19.906,0.29600000000000004,-40,12,o,0,4.26,139.18627,18.95414,7773.6,3919.8,3.57,2.68,-85.1,-0.441,19.3,20.92,01a58073o0905o
11,58073.653613,-18.871,0.22399999999999998,-103,23,o,0,1.46,139.18627,18.95414,7837.11,3950.67,3.62,2.74,-87.9,-0.43799999999999994,18.7,19.62,01a58073o0922o
12,58075.647813999996,19.927,0.258,39,10,c,0,1.24,139.18627,18.95414,4361.6,6468.93,2.34,2.24,27.7,-0.439,19.66,21.13,02a58075o0819c
13,58077.617857000005,19.155,0.151,79,12,o,0,3.56,139.18627,18.95414,8178.18,2722.84,3.29,2.74,-81.9,-0.442,19.43,21.07,01a58077o0860o
14,58077.628092,19.222,0.17600000000000002,74,13,o,0,2.08,139.18627,18.95414,8166.73,2645.71,3.27,2.75,-80.8,-0.444,19.42,21.08,01a58077o0878o
15,58077.639258,19.086,0.16699999999999998,84,14,o,0,2.01,139.18627,18.95414,8248.12,2683.27,3.36,2.81,-82.2,-0.43700000000000006,19.39,21.02,01a58077o0895o
16,58077.652149,18.678,0.13,123,16,o,0,2.42,139.18627,18.95414,8273.72,2516.19,3.41,3.06,-78.8,-0.441,19.14,20.47,01a58077o0913o
17,58079.640586,17.781,0.035,280,10,c,0,1.3,139.18627,18.95414,5811.23,2486.3,2.52,2.41,40.4,-0.414,19.78,21.49,02a58079o0853c
18,58079.651888,17.804000000000002,0.047,274,13,c,0,1.51,139.18627,18.95414,5788.85,2446.68,3.04,2.49,8.5,-0.38799999999999996,19.43,20.94,02a58079o0871c
19,58079.662547,17.912,0.226,248,56,c,0,0.66,139.18627,18.95414,5844.92,2526.13,2.56,2.4,57.1,-0.42,17.77,18.52,02a58079o0888c
20,58081.605970000004,17.694000000000003,0.07200000000000001,304,22,o,0,1.93,139.18627,18.95414,9596.62,3276.69,3.48,2.87,-77.5,-0.43,18.83,20.43,01a58081o0859o
21,58081.61601699999,17.923,0.521,246,128,o,0,3.28,139.18627,18.95414,9585.21,3199.68,3.37,2.76,-79.5,-0.439,16.96,18.49,01a58081o0876o
22,58081.625237,17.617,0.327,326,107,o,0,2.63,139.18627,18.95414,9646.44,3243.88,3.5,2.93,-81.8,-0.42200000000000004,17.25,18.79,01a58081o0893o
23,58081.635096000005,17.831,0.247,268,66,o,0,1.49,139.18627,18.95414,9672.38,3090.77,3.49,2.89,-82.5,-0.431,17.81,19.15,01a58081o0910o
24,58093.545294,17.389,0.094,402,38,o,0,1.44,139.18627,18.95414,8194.0,2372.46,3.52,2.94,-83.7,-0.43200000000000005,18.04,18.56,01a58093o0727o
25,58093.558207,17.570999999999998,0.096,340,32,o,0,1.71,139.18627,18.95414,8167.26,2290.29,3.48,2.91,-82.9,-0.431,18.39,19.03,01a58093o0749o
26,58093.569174000004,17.619,0.133,325,43,o,0,1.34,139.18627,18.95414,8248.86,2329.92,3.38,3.06,88.8,-0.43,17.98,18.83,01a58093o0766o
27,58093.580189,17.36,0.078,413,32,o,0,1.32,139.18627,18.95414,8274.94,2173.65,3.57,3.03,-81.0,-0.429,18.39,19.16,01a58093o0785o
28,58097.58646900001,17.813,0.06,272,16,o,0,1.88,139.18627,18.95414,8895.02,1879.38,3.42,2.94,-81.7,-0.429,19.2,20.64,01a58097o0766o
29,58097.59740499999,18.007,0.08800000000000001,228,20,o,0,1.25,139.18627,18.95414,8878.63,1796.73,3.47,3.04,-79.2,-0.42100000000000004,19.19,20.64,01a58097o0786o
30,58097.608119000004,18.129,0.081,203,16,o,0,1.98,139.18627,18.95414,8940.9,1833.4,3.39,2.92,-85.2,-0.426,19.26,20.69,01a58097o0804o
31,58097.619789,17.902,0.062,251,16,o,0,1.8,139.18627,18.95414,1181.82,8623.97,3.14,2.67,-86.2,-0.435,19.2,20.64,01a58097o0821o
32,58099.579603,18.021,0.085,225,19,o,0,1.37,139.18627,18.95414,1780.95,7324.88,2.95,2.43,13.3,-0.43799999999999994,19.06,20.31,02a58099o0795o
33,58099.594278,17.82,0.07200000000000001,270,20,o,0,1.55,139.18627,18.95414,8685.82,3062.55,3.33,2.28,3.2,-0.415,19.08,20.31,02a58099o0823o
