,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58024.49107999999,-20.953000000000003,1.028,-15,16,o,0,1.37,53.85187,6.09256,1526.15,9298.25,3.31,2.9,-16.9,-0.43799999999999994,19.16,20.7,01a58024o0606o
1,58024.498318,-21.083000000000002,1.175,-13,16,o,0,1.42,53.85187,6.09256,1509.48,9235.55,3.29,3.0,-16.1,-0.42100000000000004,19.13,20.67,01a58024o0621o
2,58024.505525,-20.959,0.9259999999999999,-15,14,o,0,1.87,53.85187,6.09256,1570.47,9288.92,3.38,3.05,-13.3,-0.419,19.14,20.71,01a58024o0636o
3,58024.512722,20.222,0.506,30,15,o,0,1.82,53.85187,6.09256,1592.32,9147.15,3.16,2.67,-81.8,-0.447,19.25,20.74,01a58024o0651o
4,58026.500162000004,21.322,0.8440000000000001,11,9,o,0,8.17,53.85187,6.09256,7025.34,3392.91,2.13,2.03,-48.0,-0.449,19.69,20.88,02a58026o0567o
5,58026.507539,0.0,21.458000000000002,0,10,o,0,3.38,53.85187,6.09256,6966.68,3317.09,2.04,1.94,-52.9,-0.45799999999999996,19.69,20.86,02a58026o0582o
6,58026.514876,24.041,10.0,1,9,o,0,2.98,53.85187,6.09256,6945.29,3435.49,1.98,1.93,-64.9,-0.462,19.71,20.86,02a58026o0597o
7,58028.49144299999,20.313,0.597,27,16,o,0,1.34,53.85187,6.09256,4510.66,5878.85,3.19,2.91,-82.9,-0.433,19.0,20.27,01a58028o0551o
8,58028.498749,20.483,0.708,23,16,o,0,1.07,53.85187,6.09256,4493.63,5815.54,2.96,2.74,-73.9,-0.44799999999999995,19.13,20.31,01a58028o0566o
9,58028.506199,-21.596999999999998,2.089,-8,17,o,0,0.98,53.85187,6.09256,4553.54,5867.15,3.06,2.76,-88.5,-0.441,19.09,20.33,01a58028o0581o
10,58028.51373099999,-22.441999999999997,5.263,-4,20,o,0,1.43,53.85187,6.09256,4574.35,5724.6,2.96,2.73,-87.3,-0.456,18.84,20.04,01a58028o0596o
11,58032.464566999995,-21.529,6.82,-9,61,o,0,0.71,53.85187,6.09256,4717.97,9086.32,2.86,2.77,-15.2,-0.47200000000000003,18.33,18.79,01a58032o0568o
12,58032.471503,-23.410999999999998,33.444,-2,52,o,0,1.26,53.85187,6.09256,4698.8,9027.55,2.87,2.73,-40.2,-0.478,18.32,18.81,01a58032o0581o
13,58032.483521,20.730999999999998,3.778,18,70,o,0,1.06,53.85187,6.09256,4757.74,9064.64,5.31,3.04,-1.8,-0.425,17.94,18.85,01a58032o0606o
14,58032.490919,-20.406,2.47,-25,62,o,0,1.06,53.85187,6.09256,4776.62,8924.54,3.64,3.06,-6.2,-0.46299999999999997,18.2,18.85,01a58032o0621o
15,58036.48235599999,-19.788,0.49200000000000005,-44,22,o,0,1.5,53.85187,6.09256,1548.32,8062.14,3.64,2.86,-2.0,-0.409,18.73,19.88,01a58036o0597o
16,58036.489473,-21.116999999999997,1.77,-13,23,o,0,1.17,53.85187,6.09256,1530.69,7997.75,3.49,2.83,-3.5,-0.42100000000000004,18.76,19.88,01a58036o0612o
17,58036.496630999995,-23.103,10.417,-2,22,o,0,1.2,53.85187,6.09256,1590.68,8049.09,2.85,2.75,-49.0,-0.45899999999999996,18.86,19.89,01a58036o0627o
18,58036.50384500001,-19.949,0.521,-38,20,o,0,1.14,53.85187,6.09256,1611.64,7905.91,2.78,2.53,-75.3,-0.47600000000000003,18.9,19.9,01a58036o0642o
