,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58029.37925499999,-22.97,8.042,-2,19,o,0,1.43,12.30579,-25.69683,2457.85,6422.56,2.03,1.98,24.0,-0.506,18.6,18.93,02a58029o0328o
1,58033.44232,-20.422,0.843,-25,21,o,0,1.76,12.30579,-25.69683,7108.76,5199.89,2.14,2.11,-69.2,-0.447,18.68,18.9,02a58033o0435o
2,58033.449851,-20.275,0.893,-28,25,o,0,0.83,12.30579,-25.69683,7091.94,5163.98,2.09,2.07,88.4,-0.48,18.68,18.89,02a58033o0451o
3,58033.45772200001,-20.070999999999998,0.527,-34,18,o,0,1.64,12.30579,-25.69683,7148.4,5240.76,2.1,2.02,-76.2,-0.429,18.69,18.89,02a58033o0468o
4,58033.465529999994,20.424,1.043,25,26,o,0,0.93,12.30579,-25.69683,7185.75,5123.97,2.24,2.09,-69.3,-0.43700000000000006,18.63,18.88,02a58033o0485o
5,58037.419138,-21.56,1.5390000000000001,-9,13,o,0,0.94,12.30579,-25.69683,8593.02,2473.03,2.26,2.16,77.1,-0.45799999999999996,19.33,20.23,02a58037o0245o
6,58037.431048,-21.976,2.4619999999999997,-6,14,o,0,0.84,12.30579,-25.69683,8579.45,2435.51,2.25,2.16,-85.8,-0.45799999999999996,19.28,20.23,02a58037o0271o
7,58037.434246000004,20.294,0.51,28,14,o,0,1.39,12.30579,-25.69683,8635.1,2510.39,2.23,2.13,81.2,-0.465,19.38,20.22,02a58037o0278o
8,58037.445098000004,19.881,0.34700000000000003,40,14,o,0,1.19,12.30579,-25.69683,8650.77,2389.75,2.18,2.08,81.6,-0.457,19.32,20.14,02a58037o0301o
9,58039.411983000005,-21.088,1.0290000000000001,-13,14,o,0,1.05,12.30579,-25.69683,2732.53,5011.12,2.95,2.85,-80.3,-0.445,19.18,20.62,01a58039o0328o
10,58039.42389500001,-20.840999999999998,0.831,-17,14,o,0,1.34,12.30579,-25.69683,2707.43,5018.47,3.1,2.93,-89.0,-0.428,19.15,20.64,01a58039o0354o
11,58039.426185000004,-20.285,0.545,-28,15,o,0,1.29,12.30579,-25.69683,2761.75,5103.95,3.14,3.06,70.9,-0.42200000000000004,19.11,20.59,01a58039o0359o
12,58039.435807,-20.989,1.071,-15,16,o,0,0.98,12.30579,-25.69683,2696.43,5182.56,3.21,2.92,88.4,-0.428,19.13,20.61,01a58039o0380o
