,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58055.627341,-20.607,0.855,-21,18,o,0,1.04,149.26913000000002,-35.18094,3951.94,4380.22,3.78,3.4,84.0,-0.41700000000000004,18.9,20.61,01a58055o0957o
1,58055.633797,-20.224,0.659,-30,20,o,0,1.02,149.26913000000002,-35.18094,3972.51,4404.14,3.99,3.59,69.0,-0.419,18.87,20.51,01a58055o0971o
2,58055.64025599999,-21.428,2.687,-10,26,o,0,0.87,149.26913000000002,-35.18094,3913.48,4310.49,3.82,3.5,78.0,-0.40299999999999997,18.64,19.99,01a58055o0985o
3,58059.62280800001,-22.201,4.428999999999999,-5,21,o,0,1.28,149.26913000000002,-35.18094,5224.34,4636.39,3.38,2.77,-87.8,-0.433,18.74,19.8,01a58059o0867o
4,58059.630649,0.0,20.826999999999998,0,17,o,0,1.16,149.26913000000002,-35.18094,5194.62,4578.57,3.42,2.82,85.8,-0.418,18.88,20.18,01a58059o0884o
5,58059.638516,22.705,7.922999999999999,3,24,o,0,0.83,149.26913000000002,-35.18094,5245.1,4635.04,3.42,2.84,88.2,-0.431,18.68,19.8,01a58059o0901o
6,58063.624185,20.776999999999997,2.452,18,44,o,0,0.96,149.26913000000002,-35.18094,7396.14,5491.87,3.8,3.27,-86.7,-0.424,18.25,19.29,01a58063o0963o
7,58063.631989,-19.79,0.937,-44,41,o,0,0.96,149.26913000000002,-35.18094,7366.91,5431.86,3.76,3.25,-85.9,-0.41700000000000004,18.35,19.32,01a58063o0980o
8,58063.639828,-20.136,1.376,-32,44,o,0,0.97,149.26913000000002,-35.18094,7418.09,5485.8,3.82,3.43,-88.2,-0.413,18.25,19.28,01a58063o0997o
9,58063.648572000006,-19.764,2.9739999999999998,-45,134,o,0,1.24,149.26913000000002,-35.18094,7420.82,5343.65,4.56,3.93,-5.2,-0.384,17.26,17.91,01a58063o1016o
10,58065.618367999996,20.506,5.9270000000000005,23,135,o,0,0.85,149.26913000000002,-35.18094,5238.57,4417.99,2.1,2.06,-6.1,-0.441,16.51,17.58,02a58065o0952o
11,58065.626224,21.215,2.4219999999999997,12,29,o,0,0.68,149.26913000000002,-35.18094,5268.74,4458.09,2.17,2.01,-42.9,-0.45899999999999996,18.09,19.03,02a58065o0969o
