,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58043.585483,20.275,1.358,28,38,o,0,0.64,100.9605,-29.661109999999997,5461.58,5958.92,3.68,3.36,-83.0,-0.40700000000000003,18.25,19.81,01a58043o0849o
1,58043.593733,-19.878,0.531,-41,22,o,0,0.81,100.9605,-29.661109999999997,5434.24,5891.61,3.61,3.27,-89.0,-0.40399999999999997,18.86,20.44,01a58043o0867o
2,58043.607029,-20.671999999999997,1.756,-20,34,o,0,0.71,100.9605,-29.661109999999997,5491.7,5921.85,3.63,3.27,-87.5,-0.401,18.44,20.0,01a58043o0896o
3,58043.61620599999,-19.413,0.265,-62,16,o,0,0.93,100.9605,-29.661109999999997,5502.2,5772.66,3.51,3.14,-87.0,-0.414,19.01,20.67,01a58043o0916o
4,58047.574025,-20.015,0.555,-36,20,o,0,1.07,100.9605,-29.661109999999997,2757.93,5408.83,3.17,2.77,84.1,-0.446,19.01,20.35,01a58047o0828o
5,58047.584566,-23.771,14.8,-1,17,o,0,0.97,100.9605,-29.661109999999997,2732.82,5334.06,3.34,2.92,84.8,-0.434,19.08,20.54,01a58047o0851o
6,58047.58960399999,-20.511,0.82,-23,19,o,0,1.07,100.9605,-29.661109999999997,2777.94,5393.63,3.66,3.12,86.6,-0.419,18.98,20.56,01a58047o0862o
7,58047.598312,-20.328,0.774,-27,21,o,0,0.53,100.9605,-29.661109999999997,2787.82,5246.02,3.33,2.9,88.3,-0.43799999999999994,19.15,20.58,01a58047o0881o
8,58053.514910000005,-22.059,3.2560000000000002,-6,18,o,0,0.94,100.9605,-29.661109999999997,6500.48,3593.06,2.22,2.13,-54.8,-0.45299999999999996,18.98,19.86,02a58053o0695o
9,58053.519028999995,-19.16,0.19699999999999998,-79,16,o,0,0.93,100.9605,-29.661109999999997,6515.85,3633.18,2.19,2.15,-52.2,-0.447,19.26,20.19,02a58053o0704o
10,58053.52314,-19.817,0.418,-43,18,o,0,0.61,100.9605,-29.661109999999997,6465.32,3556.12,2.17,2.14,-76.2,-0.456,19.26,20.2,02a58053o0713o
11,58053.527264,-20.534000000000002,0.672,-22,15,o,0,1.41,100.9605,-29.661109999999997,6447.0,3672.69,2.21,2.16,-33.2,-0.452,19.26,20.23,02a58053o0722o
12,58055.54317899999,-19.592,0.33299999999999996,-53,18,o,0,1.05,100.9605,-29.661109999999997,1939.01,5288.6,3.4,3.03,81.9,-0.435,19.16,20.82,01a58055o0774o
13,58055.545925,-21.866999999999997,3.0669999999999997,-6,20,o,0,0.74,100.9605,-29.661109999999997,1916.73,5239.24,3.36,2.86,80.3,-0.442,19.21,20.85,01a58055o0780o
14,58055.556495000004,-20.004,0.514,-36,19,o,0,0.71,100.9605,-29.661109999999997,1956.83,5281.8,3.59,3.15,76.3,-0.42200000000000004,19.17,20.96,01a58055o0803o
15,58055.563390999996,-20.997,1.551,-14,22,o,0,0.37,100.9605,-29.661109999999997,1969.58,5142.57,3.36,2.76,80.7,-0.446,19.26,21.03,01a58055o0818o
16,58059.547624,-20.244,1.29,-29,37,o,0,0.72,100.9605,-29.661109999999997,3226.31,5522.36,3.42,2.87,84.9,-0.44299999999999995,18.5,19.44,01a58059o0705o
17,58059.551746000005,-19.285999999999998,0.44799999999999995,-70,31,o,0,0.98,100.9605,-29.661109999999997,3186.87,5469.02,3.31,2.73,88.2,-0.45299999999999996,18.59,19.46,01a58059o0714o
18,58059.560492,-21.531,3.2889999999999997,-9,29,o,0,1.07,100.9605,-29.661109999999997,3247.52,5515.55,3.22,2.67,89.2,-0.456,18.63,19.51,01a58059o0733o
19,58059.568311,20.730999999999998,1.67,18,31,o,0,0.87,100.9605,-29.661109999999997,3256.29,5371.55,3.38,2.76,89.4,-0.44799999999999995,18.56,19.51,01a58059o0750o
20,58063.545145000004,19.98,1.301,37,48,o,0,0.68,100.9605,-29.661109999999997,5412.23,6406.12,3.48,3.36,-73.5,-0.413,18.34,19.32,01a58063o0791o
21,58063.550638,20.54,2.61,22,58,o,0,1.14,100.9605,-29.661109999999997,5390.56,6347.44,3.64,3.45,-23.6,-0.395,18.28,19.32,01a58063o0803o
22,58063.559797,21.055,3.241,14,44,o,0,0.67,100.9605,-29.661109999999997,5466.49,6275.2,3.48,3.41,-54.7,-0.401,18.37,19.37,01a58063o0823o
23,58063.56574500001,-20.004,1.3530000000000002,-36,49,o,0,0.84,100.9605,-29.661109999999997,5445.55,6369.12,4.77,3.54,-1.6,-0.382,18.21,19.39,01a58063o0836o
24,58065.541201,-19.968,0.526,-37,20,o,0,0.74,100.9605,-29.661109999999997,7206.69,3373.19,2.09,2.03,-67.6,-0.465,19.05,19.63,02a58065o0784o
25,58065.54530599999,-19.807000000000002,0.47100000000000003,-43,20,o,0,0.98,100.9605,-29.661109999999997,7173.94,3334.53,2.2,2.13,-29.3,-0.44799999999999995,19.01,19.64,02a58065o0793o
26,58065.547134,-19.957,0.534,-38,20,o,0,0.78,100.9605,-29.661109999999997,7222.17,3413.95,2.16,2.1,-69.9,-0.457,19.0,19.65,02a58065o0797o
27,58065.556262,-20.385,0.892,-26,23,o,0,0.76,100.9605,-29.661109999999997,7153.87,3452.47,2.17,2.08,-57.7,-0.45399999999999996,19.03,19.65,02a58065o0817o
28,58067.531888,-20.888,1.337,-16,21,o,0,0.73,100.9605,-29.661109999999997,1973.61,7053.15,3.15,2.69,86.9,-0.46299999999999997,19.12,20.46,01a58067o0751o
29,58067.545173,-19.855999999999998,0.45299999999999996,-42,19,o,0,0.75,100.9605,-29.661109999999997,1947.35,6967.2,3.22,2.81,88.3,-0.452,19.13,20.5,01a58067o0780o
