,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58044.450344000004,22.109,2.207,5,12,o,0,1.86,45.063309999999994,-10.529869999999999,2013.78,6149.22,2.87,2.72,84.4,-0.451,19.37,21.02,01a58044o0547o
1,58044.457407,20.131,0.371,32,12,o,0,1.43,45.063309999999994,-10.529869999999999,1989.88,6085.76,2.89,2.86,-38.6,-0.44799999999999995,19.35,21.04,01a58044o0562o
2,58044.46454,-20.769000000000002,0.802,-18,14,o,0,0.91,45.063309999999994,-10.529869999999999,2046.91,6136.31,2.8,2.74,83.2,-0.45799999999999996,19.26,20.86,01a58044o0577o
3,58044.471709000005,-21.258000000000003,1.49,-11,17,o,0,1.36,45.063309999999994,-10.529869999999999,2064.89,5993.4,2.92,2.75,-86.5,-0.456,19.09,20.64,01a58044o0592o
4,58048.443203999996,-20.64,0.667,-20,13,o,0,1.6,45.063309999999994,-10.529869999999999,772.15,5961.83,3.17,2.84,73.9,-0.436,19.26,20.77,01a58048o0537o
5,58048.451097000005,-21.101999999999997,1.153,-13,15,o,0,1.42,45.063309999999994,-10.529869999999999,750.04,5892.8,3.25,3.11,64.2,-0.43799999999999994,19.2,20.83,01a58048o0552o
6,58048.45155599999,20.826999999999998,1.093,17,18,o,0,1.33,45.063309999999994,-10.529869999999999,10437.04,5895.55,5.16,3.7,-1.7,-0.36700000000000005,18.96,20.82,01a58048o0553o
7,58048.458162,23.233,7.0,2,13,o,0,1.68,45.063309999999994,-10.529869999999999,798.22,5944.87,3.05,2.77,79.4,-0.435,19.31,20.8,01a58048o0567o
8,58048.458621000005,22.193,3.0,5,14,o,0,1.46,45.063309999999994,-10.529869999999999,10406.54,5831.46,3.52,2.97,-87.5,-0.426,19.26,20.8,01a58048o0568o
9,58048.465287,22.895,5.357,2,14,o,0,1.49,45.063309999999994,-10.529869999999999,815.8,5800.69,3.12,2.58,-88.9,-0.466,19.29,20.79,01a58048o0582o
10,58048.465746,22.201999999999998,4.048,5,19,o,0,0.95,45.063309999999994,-10.529869999999999,10483.48,5879.66,3.57,2.9,-88.9,-0.429,19.28,20.81,01a58048o0583o
11,58048.472912,20.991,1.3769999999999998,15,20,o,0,1.97,45.063309999999994,-10.529869999999999,10500.63,5735.27,3.54,2.68,-87.5,-0.446,19.34,20.86,01a58048o0598o
12,58054.432028999996,-26.521,100.0,0,9,o,0,1.68,45.063309999999994,-10.529869999999999,7304.09,7063.41,2.01,1.94,-24.0,-0.45399999999999996,19.61,20.61,02a58054o0517o
13,58054.439590999995,21.435,0.935,10,9,o,0,1.78,45.063309999999994,-10.529869999999999,7323.38,7103.68,2.05,1.93,-27.8,-0.452,19.61,20.68,02a58054o0532o
14,58054.446732000004,21.87,1.6669999999999998,6,11,o,0,1.49,45.063309999999994,-10.529869999999999,7270.7,7027.03,2.03,1.91,-34.1,-0.465,19.63,20.71,02a58054o0547o
15,58054.454463,23.076999999999998,3.6519999999999997,2,8,o,0,2.36,45.063309999999994,-10.529869999999999,7249.21,7146.52,2.05,1.96,-37.2,-0.457,19.63,20.68,02a58054o0562o
16,58056.413074000004,-20.336,0.667,-27,18,o,0,1.41,45.063309999999994,-10.529869999999999,2145.53,5930.24,3.42,2.87,76.6,-0.439,18.97,20.2,01a58056o0339o
17,58056.420183,-21.99,2.4,-6,14,o,0,2.11,45.063309999999994,-10.529869999999999,2124.22,5865.15,3.15,2.73,86.6,-0.455,19.06,20.22,01a58056o0354o
18,58056.427296,20.886999999999997,1.06,16,17,o,0,1.25,45.063309999999994,-10.529869999999999,2180.38,5915.55,3.19,2.68,89.8,-0.452,19.02,20.24,01a58056o0369o
19,58056.434539999995,-20.311,0.6779999999999999,-27,18,o,0,1.17,45.063309999999994,-10.529869999999999,2197.53,5773.36,3.32,3.3,72.9,-0.418,18.91,20.24,01a58056o0384o
20,58058.39999500001,21.476,3.9760000000000004,9,37,o,0,0.62,45.063309999999994,-10.529869999999999,10095.81,4988.67,2.25,1.94,53.8,-0.527,18.56,18.57,02a58058o0276o
21,58058.400451,19.74,0.39799999999999996,46,18,o,0,1.66,45.063309999999994,-10.529869999999999,395.67,4920.02,2.0,1.72,42.8,-0.415,18.65,18.73,02a58058o0277o
22,58058.40725800001,-19.496,0.47700000000000004,-58,28,o,0,0.87,45.063309999999994,-10.529869999999999,10036.37,4912.77,2.21,1.91,58.2,-0.511,18.67,18.74,02a58058o0291o
23,58058.407714,21.447,2.372,10,23,o,0,0.93,45.063309999999994,-10.529869999999999,412.36,4960.5,1.93,1.7,39.6,-0.451,18.72,18.84,02a58058o0292o
24,58058.415776,21.585,2.6319999999999997,8,22,o,0,0.96,45.063309999999994,-10.529869999999999,10013.83,5031.26,2.21,1.87,56.6,-0.446,18.81,18.91,02a58058o0306o
25,58058.416232,19.81,0.48100000000000004,43,21,o,0,1.63,45.063309999999994,-10.529869999999999,352.17,4885.15,1.99,1.73,39.4,-0.457,18.81,18.98,02a58058o0307o
26,58058.42359,-21.055999999999997,1.526,-14,21,o,0,1.26,45.063309999999994,-10.529869999999999,330.48,5002.63,1.94,1.7,36.5,-0.465,18.85,18.97,02a58058o0322o
27,58062.41624400001,21.586,3.325,8,28,o,0,1.11,45.063309999999994,-10.529869999999999,327.9,3296.14,2.26,2.09,38.5,-0.46799999999999997,18.5,18.67,02a58062o0422o
28,58062.418260000006,19.438,0.5379999999999999,61,33,o,0,1.01,45.063309999999994,-10.529869999999999,452.28,7099.54,2.5,2.32,35.1,-0.428,18.37,18.59,02a58062o0426o
29,58062.423632000005,19.500999999999998,0.63,58,36,o,0,1.03,45.063309999999994,-10.529869999999999,10165.71,7171.96,2.45,2.19,43.5,-0.504,18.46,18.67,02a58062o0436o
30,58062.426063,22.561,8.929,3,31,o,0,1.25,45.063309999999994,-10.529869999999999,469.36,7139.79,2.46,2.21,20.1,-0.446,18.4,18.59,02a58062o0440o
31,58062.432675,19.932000000000002,0.731,39,28,o,0,2.12,45.063309999999994,-10.529869999999999,10101.55,7099.91,2.57,2.21,49.5,-0.48100000000000004,18.53,18.67,02a58062o0451o
