,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58047.512177,-21.326,2.158,-11,23,o,0,0.95,67.92347,-21.14789,1486.68,2431.79,3.36,3.15,20.6,-0.43799999999999994,18.85,20.25,01a58047o0693o
1,58047.515382000005,19.893,0.562,40,22,o,0,0.97,67.92347,-21.14789,1464.15,2380.39,3.64,3.13,6.3,-0.413,18.91,20.38,01a58047o0700o
2,58047.523164,-19.58,0.379,-53,20,o,0,1.07,67.92347,-21.14789,1518.69,2431.06,3.36,3.26,49.4,-0.413,18.88,20.31,01a58047o0717o
3,58047.525453999995,-20.007,0.642,-36,23,o,0,0.94,67.92347,-21.14789,1533.33,2305.34,3.44,3.26,14.2,-0.41,18.78,20.28,01a58047o0722o
4,58049.508422000006,-20.326,0.545,-27,15,c,0,1.34,67.92347,-21.14789,9737.48,6666.29,2.5,2.36,74.8,-0.45799999999999996,19.46,21.01,02a58049o0502c
5,58049.510248,22.041,1.8969999999999998,6,10,c,0,1.17,67.92347,-21.14789,9754.59,6706.62,2.56,2.4,77.6,-0.45,19.54,21.15,02a58049o0506c
6,58049.51070499999,22.601,3.842,3,13,c,0,1.32,67.92347,-21.14789,134.74,6664.25,2.67,2.24,45.9,-0.35100000000000003,19.23,20.73,02a58049o0507c
7,58049.522327,24.223000000000003,11.5,1,8,c,0,1.24,67.92347,-21.14789,758.12,3811.34,2.55,2.21,36.0,-0.462,19.67,21.19,02a58049o0532c
8,58049.52661,-22.191999999999997,1.8,-5,9,c,0,1.17,67.92347,-21.14789,146.18,6704.08,2.64,2.26,47.4,-0.395,19.7,21.22,02a58049o0541c
9,58049.532554,-21.5,1.891,-9,17,c,0,0.59,67.92347,-21.14789,88.55,6626.96,2.71,2.31,50.9,-0.386,19.17,20.69,02a58049o0554c
10,58049.535747,-20.711,1.068,-19,20,c,0,1.07,67.92347,-21.14789,9674.2,6747.06,2.62,2.45,77.6,-0.439,18.97,20.51,02a58049o0561c
11,58049.537572,18.38,0.713,162,115,c,0,0.97,67.92347,-21.14789,69.64,6744.7,2.93,2.51,26.1,-0.41600000000000004,17.72,19.26,02a58049o0565c
12,58055.471701,-20.439,0.615,-24,15,o,0,1.04,67.92347,-21.14789,653.34,2345.98,3.43,2.86,76.2,-0.447,19.24,20.87,01a58055o0618o
13,58055.47856799999,24.861,32.5,0,13,o,0,1.54,67.92347,-21.14789,629.26,2281.66,3.37,2.7,77.1,-0.449,19.3,20.94,01a58055o0633o
14,58055.48177200001,-19.992,0.376,-37,14,o,0,1.21,67.92347,-21.14789,10276.59,2255.63,3.63,2.89,-86.8,-0.431,19.36,20.9,01a58055o0640o
15,58055.48680499999,-21.344,1.291,-10,14,o,0,1.15,67.92347,-21.14789,715.34,2214.49,3.16,2.63,80.0,-0.465,19.35,20.93,01a58055o0651o
16,58055.493215999995,-20.752,0.772,-18,14,o,0,1.34,67.92347,-21.14789,10251.63,2174.0,3.66,2.83,-86.8,-0.43799999999999994,19.35,20.85,01a58055o0665o
17,58055.494589999995,-20.276,0.525,-28,15,o,0,1.18,67.92347,-21.14789,694.86,2302.24,3.33,3.02,61.2,-0.46299999999999997,19.25,20.88,01a58055o0668o
18,58055.49550499999,-19.607,0.284,-52,15,o,0,1.24,67.92347,-21.14789,10304.74,2242.67,3.81,3.02,-86.6,-0.435,19.27,20.85,01a58055o0670o
19,58055.504665,-22.429000000000002,4.375,-4,17,o,0,0.85,67.92347,-21.14789,10318.86,2089.72,3.72,2.92,-85.3,-0.43799999999999994,19.33,20.86,01a58055o0690o
20,58057.488541,-21.046999999999997,1.788,-14,25,o,0,1.02,67.92347,-21.14789,10071.78,5673.09,2.18,1.93,48.9,-0.498,18.81,19.2,02a58057o0208o
21,58057.496677999996,22.884,9.0,2,23,o,0,0.78,67.92347,-21.14789,10046.64,5637.16,2.21,1.93,57.3,-0.503,18.8,19.26,02a58057o0225o
22,58057.506516999994,-24.994,63.0,0,23,o,0,1.14,67.92347,-21.14789,441.03,4839.61,2.13,1.82,19.1,-0.43799999999999994,18.6,19.01,02a58057o0240o
23,58057.508959000006,-21.772,2.7939999999999996,-7,20,o,0,1.46,67.92347,-21.14789,448.17,5622.74,2.06,1.79,45.9,-0.442,18.73,19.06,02a58057o0245o
24,58059.472905999995,-20.154,0.9490000000000001,-32,30,o,0,0.94,67.92347,-21.14789,1945.4,2594.29,3.26,2.72,81.1,-0.455,18.56,19.39,01a58059o0542o
25,58059.477949,-19.187,0.327,-77,25,o,0,1.14,67.92347,-21.14789,1923.32,2536.89,3.33,2.74,78.3,-0.449,18.56,19.4,01a58059o0553o
26,58059.486652,-21.084,2.359,-13,32,o,0,0.73,67.92347,-21.14789,2009.76,2466.29,3.32,2.79,81.9,-0.456,18.56,19.41,01a58059o0572o
27,58059.494438,-19.676,0.561,-49,27,o,0,0.77,67.92347,-21.14789,1989.18,2553.6,3.37,2.7,81.6,-0.447,18.59,19.42,01a58059o0589o
28,58063.473138,-19.511,0.48,-57,27,o,0,1.19,67.92347,-21.14789,4139.83,3478.09,3.29,3.21,6.8,-0.41200000000000003,18.43,19.25,01a58063o0634o
29,58063.47588300001,22.223000000000003,5.048,5,24,o,0,1.24,67.92347,-21.14789,4117.92,3428.92,3.22,3.18,-78.6,-0.42200000000000004,18.46,19.25,01a58063o0640o
30,58063.485309,20.424,1.454,25,36,o,0,1.59,67.92347,-21.14789,6358.82,6805.11,3.34,3.12,-72.1,-0.42700000000000005,18.49,19.33,01a58063o0660o
31,58063.50115800001,20.397000000000002,1.124,25,28,o,0,1.33,67.92347,-21.14789,4185.02,3294.55,3.5,3.46,19.2,-0.4,18.35,19.28,01a58063o0694o
32,58065.4697,18.348,4.54,166,755,o,0,1.19,67.92347,-21.14789,8498.62,6247.45,2.1,2.05,-89.0,-0.483,15.8,16.23,02a58065o0629o
33,58065.471527,-18.721,0.6970000000000001,-118,82,o,0,1.26,67.92347,-21.14789,8519.44,6286.28,2.12,2.09,35.4,-0.465,17.77,18.15,02a58065o0633o
34,58065.481033000004,20.691,0.8270000000000001,19,16,o,0,0.89,67.92347,-21.14789,8448.23,6207.37,2.15,2.12,-72.5,-0.447,19.11,19.83,02a58065o0653o
35,58065.496012999996,-20.546999999999997,1.306,-22,29,o,0,0.97,67.92347,-21.14789,8419.52,6325.82,2.06,2.04,-44.5,-0.465,18.43,19.03,02a58065o0685o
36,58067.469080999996,-21.601999999999997,2.5,-8,21,o,0,1.04,67.92347,-21.14789,726.07,4079.77,3.27,2.77,79.3,-0.445,18.88,20.23,01a58067o0617o
37,58067.470915,-20.1,0.815,-33,27,o,0,0.89,67.92347,-21.14789,705.59,4033.79,3.27,2.84,80.8,-0.44299999999999995,18.69,20.08,01a58067o0621o
38,58067.472747,-19.787,0.358,-44,16,o,0,1.14,67.92347,-21.14789,10333.19,4011.72,3.75,2.81,-87.6,-0.441,19.18,20.55,01a58067o0625o
39,58067.48033300001,-20.628,1.3419999999999999,-20,27,o,0,0.97,67.92347,-21.14789,9779.08,6181.21,3.71,2.74,-83.9,-0.43200000000000005,18.82,20.2,01a58067o0641o
40,58067.48308300001,-22.114,3.304,-5,17,o,0,0.87,67.92347,-21.14789,9762.05,6307.85,3.74,2.74,-83.9,-0.425,19.26,20.74,01a58067o0647o
41,58067.490226,-20.198,0.68,-30,21,o,0,0.93,67.92347,-21.14789,10310.26,3903.9,3.87,3.22,-85.1,-0.418,19.06,20.61,01a58067o0662o
42,58067.497791999995,-23.261,7.444,-2,13,o,0,1.25,67.92347,-21.14789,157.91,6473.97,3.37,2.73,-88.0,-0.387,19.2,20.71,01a58067o0678o
43,58067.499165999994,-20.607,0.741,-21,15,o,0,0.97,67.92347,-21.14789,175.56,6362.79,3.3,2.63,-89.0,-0.402,19.21,20.58,01a58067o0681o
44,58071.447125,-20.248,0.5489999999999999,-29,16,o,0,0.92,67.92347,-21.14789,576.27,1686.15,3.66,2.83,78.4,-0.466,19.24,20.88,01a58071o0488o
45,58071.456077999996,-20.075,0.433,-34,15,o,0,1.2,67.92347,-21.14789,9976.16,8643.29,4.14,2.92,-82.7,-0.374,19.26,20.93,01a58071o0507o
46,58071.457663,-20.258,0.508,-29,14,o,0,1.04,67.92347,-21.14789,622.51,1686.75,3.53,2.7,79.4,-0.47700000000000004,19.27,20.89,01a58071o0510o
47,58071.464551,-20.146,0.508,-32,16,o,0,1.02,67.92347,-21.14789,10208.37,1567.78,4.01,2.81,87.9,-0.455,19.28,20.87,01a58071o0524o
48,58071.465923,-20.239,0.522,-29,15,o,0,1.23,67.92347,-21.14789,10187.41,1523.58,3.98,2.8,-89.6,-0.452,19.28,20.89,01a58071o0527o
49,58071.47259,-22.381,4.0,-4,16,o,0,0.8,67.92347,-21.14789,9898.07,8744.78,4.18,2.88,-82.5,-0.375,19.27,20.96,01a58071o0541o
50,58071.476015,21.256,1.614,11,18,o,0,0.88,67.92347,-21.14789,10233.38,1560.68,3.96,2.9,88.4,-0.44799999999999995,19.26,20.92,01a58071o0548o
