,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57993.569134000005,-21.750999999999998,1.42,-7,10,o,0,0.91,38.35458,-20.202579999999998,3866.89,7461.44,2.0,1.86,32.7,-0.503,19.65,20.71,02a57993o0699o
1,57993.586756,20.764,0.635,18,11,o,0,1.05,38.35458,-20.202579999999998,3880.12,7504.32,1.9,1.77,33.5,-0.495,19.61,20.64,02a57993o0736o
2,57993.588179,21.08,0.713,13,10,o,0,1.81,38.35458,-20.202579999999998,3826.38,7427.12,1.89,1.76,32.1,-0.494,19.66,20.64,02a57993o0739o
3,57993.595325,20.656999999999996,0.455,20,9,o,0,1.61,38.35458,-20.202579999999998,3806.98,7544.26,1.94,1.81,26.2,-0.496,19.63,20.63,02a57993o0754o
4,57997.539634,-22.149,1.755,-5,9,o,0,1.47,38.35458,-20.202579999999998,2714.19,5082.89,2.07,1.98,-20.5,-0.455,19.56,20.64,02a57997o0551o
5,57997.547848,-24.241,14.5,-1,11,o,0,1.01,38.35458,-20.202579999999998,2729.72,5123.89,2.02,1.94,-15.6,-0.45799999999999996,19.6,20.67,02a57997o0568o
6,57997.556048,-21.994,1.5959999999999999,-6,9,o,0,1.27,38.35458,-20.202579999999998,2673.79,5048.07,2.42,1.96,-3.7,-0.466,19.51,20.65,02a57997o0585o
7,57997.564261,23.680999999999997,7.0,1,9,o,0,1.57,38.35458,-20.202579999999998,2653.83,5165.26,2.13,1.93,-12.0,-0.452,19.58,20.65,02a57997o0602o
8,57999.54972,19.689,0.402,48,19,o,0,1.19,38.35458,-20.202579999999998,7246.97,5849.83,3.43,3.07,-87.6,-0.414,18.83,20.08,01a57999o0626o
9,57999.559109,-21.07,1.6909999999999998,-14,23,o,0,0.86,38.35458,-20.202579999999998,7219.2,5774.8,3.4,3.05,-85.3,-0.42100000000000004,18.79,19.98,01a57999o0643o
10,57999.568137,20.95,1.077,15,16,o,0,1.09,38.35458,-20.202579999999998,7291.04,5819.7,3.31,2.9,-87.6,-0.423,19.01,20.42,01a57999o0660o
11,57999.576625,-23.019000000000002,7.444,-2,17,o,0,0.94,38.35458,-20.202579999999998,7305.92,5671.75,3.43,3.04,-89.7,-0.42,19.14,20.74,01a57999o0677o
12,58001.501523,19.772000000000002,0.42700000000000005,45,19,o,0,1.06,38.35458,-20.202579999999998,2791.09,4499.5,2.1,1.83,49.8,-0.47200000000000003,18.69,19.13,02a58001o0549o
13,58001.51005800001,21.826999999999998,2.5789999999999997,7,17,o,0,1.39,38.35458,-20.202579999999998,2807.86,4539.35,2.06,1.81,48.0,-0.489,18.74,19.17,02a58001o0567o
14,58001.519013,-20.886,1.18,-16,19,o,0,1.08,38.35458,-20.202579999999998,2750.22,4463.69,2.16,1.91,49.1,-0.461,18.71,19.22,02a58001o0586o
15,58001.527561,20.187,0.774,31,24,o,0,0.71,38.35458,-20.202579999999998,2731.03,4581.25,2.14,1.9,48.7,-0.5,18.77,19.25,02a58001o0604o
