,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58048.374219000005,-23.581999999999997,10.429,-1,14,o,0,1.1,7.64651,1.5167700000000002,6082.28,10229.25,3.13,2.62,-79.5,-0.47,19.27,20.75,01a58048o0401o
1,58048.376114,20.669,0.828,20,16,o,0,0.89,7.64651,1.5167700000000002,5978.84,524.93,3.03,2.99,66.7,-0.431,19.18,20.69,01a58048o0405o
2,58048.38140599999,21.145,1.03,13,13,o,0,1.35,7.64651,1.5167700000000002,6105.49,10297.84,3.18,2.68,-81.1,-0.466,19.32,20.81,01a58048o0416o
3,58048.383252,21.409000000000002,1.365,10,14,o,0,1.31,7.64651,1.5167700000000002,6002.37,592.83,3.0,2.92,81.3,-0.439,19.33,20.77,01a58048o0420o
4,58048.388482,-21.146,0.985,-13,12,o,0,1.33,7.64651,1.5167700000000002,6050.16,10248.46,3.15,2.72,-82.7,-0.45799999999999996,19.27,20.77,01a58048o0431o
5,58048.390328999994,21.551,1.767,9,15,o,0,0.82,7.64651,1.5167700000000002,5947.23,543.44,3.1,3.01,70.4,-0.426,19.27,20.73,01a58048o0435o
6,58048.395542,-22.173000000000002,2.423,-5,12,o,0,1.37,7.64651,1.5167700000000002,6034.87,10395.72,3.12,2.74,-85.9,-0.45899999999999996,19.29,20.75,01a58048o0446o
7,58048.397471000004,20.965999999999998,1.013,15,15,o,0,0.93,7.64651,1.5167700000000002,5931.33,690.03,3.11,2.94,71.7,-0.431,19.24,20.73,01a58048o0450o
8,58054.3689,-21.075,0.8959999999999999,-14,12,o,0,1.15,7.64651,1.5167700000000002,6622.44,7298.84,2.17,2.1,-45.9,-0.451,19.43,20.32,02a58054o0389o
9,58054.37595,-21.291,1.038,-11,12,o,0,1.34,7.64651,1.5167700000000002,6603.21,7260.22,2.16,2.09,-63.7,-0.446,19.47,20.35,02a58054o0404o
10,58054.383047,21.329,1.04,11,11,o,0,1.69,7.64651,1.5167700000000002,6661.02,7337.45,2.21,2.13,-52.5,-0.43799999999999994,19.49,20.38,02a58054o0419o
11,58054.390078,-21.031,0.777,-14,11,o,0,1.41,7.64651,1.5167700000000002,6682.32,7220.49,2.23,2.1,-52.3,-0.452,19.46,20.4,02a58054o0434o
