,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58047.546987,-20.502,1.13,-23,26,o,0,3.65,79.32921,-36.82682,9470.1,1043.65,3.8,3.26,-85.6,-0.415,18.8,20.21,01a58047o0769o
1,58047.552942999995,-19.82,0.507,-43,22,o,0,6.37,79.32921,-36.82682,9446.76,981.21,3.61,3.07,-88.7,-0.434,18.91,20.27,01a58047o0782o
2,58047.557982000006,20.703000000000003,1.239,19,24,o,0,1.26,79.32921,-36.82682,9491.01,1039.36,3.68,3.06,-86.5,-0.424,18.9,20.24,01a58047o0793o
3,58047.563939,-18.593,0.175,-133,23,o,0,5.66,79.32921,-36.82682,9500.89,898.31,3.65,2.97,-87.4,-0.43200000000000005,18.96,20.31,01a58047o0806o
4,58049.54304700001,12.343,0.002,41968,90,c,0,7252.15,79.32921,-36.82682,1631.75,7962.04,2.87,2.58,43.3,-0.45299999999999996,17.21,18.78,02a58049o0577c
5,58053.479273000004,-18.538,0.168,-140,24,o,0,4.1,79.32921,-36.82682,9297.88,7875.16,2.32,2.06,46.3,-0.488,19.07,19.93,02a58053o0617o
6,58053.47972999999,-18.834,0.201,-106,21,o,0,5.42,79.32921,-36.82682,9329.01,7915.2,2.27,2.06,45.1,-0.47,19.04,19.89,02a58053o0618o
7,58053.480187,-18.837,0.207,-106,22,o,0,5.85,79.32921,-36.82682,9266.19,7835.18,2.37,2.05,52.4,-0.49200000000000005,18.99,19.86,02a58053o0619o
8,58053.485206,-18.554000000000002,0.237,-138,32,o,0,25.88,79.32921,-36.82682,9250.41,7952.32,2.22,2.02,46.2,-0.45799999999999996,18.08,18.99,02a58053o0630o
9,58055.507415,-21.586,2.529,-8,21,o,0,1.78,79.32921,-36.82682,8672.55,972.89,3.59,2.99,89.2,-0.44,19.14,20.58,01a58055o0696o
10,58055.516575,-19.398,0.295,-63,19,o,0,2.26,79.32921,-36.82682,8628.24,900.6,3.42,2.77,-88.9,-0.45799999999999996,19.21,20.67,01a58055o0716o
11,58055.523907,-21.01,1.238,-14,18,o,0,1.93,79.32921,-36.82682,8699.83,831.79,3.42,2.87,-88.2,-0.45399999999999996,19.29,20.88,01a58055o0732o
