,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58095.611314999995,17.963,0.139,237,33,o,0,5.57,168.63333,-43.97055,9861.4,6626.21,4.56,3.2,-87.0,-0.392,18.42,19.63,01a58095o0933o
1,58095.611773000004,18.493,0.23399999999999999,145,34,o,0,3.38,168.63333,-43.97055,9917.88,6699.78,4.53,3.08,-89.3,-0.39,18.44,19.63,01a58095o0934o
2,58095.614986,18.131,0.17600000000000002,203,36,o,0,4.43,168.63333,-43.97055,9940.62,6573.65,4.63,3.25,87.7,-0.386,18.42,19.63,01a58095o0941o
3,58111.56645599999,18.614,0.142,130,18,o,0,5.6,168.63333,-43.97055,9686.11,6013.76,4.44,3.17,-86.7,-0.406,18.95,20.55,01a58111o0825o
4,58111.572863,18.827,0.18600000000000003,107,20,o,0,3.85,168.63333,-43.97055,9660.19,5956.64,4.55,3.33,-87.0,-0.39899999999999997,18.89,20.58,01a58111o0839o
5,58111.576096000004,19.545,0.38299999999999995,55,21,o,0,4.52,168.63333,-43.97055,9711.08,6022.39,4.59,3.36,-88.2,-0.405,18.88,20.63,01a58111o0846o
6,58111.582964,18.301,0.124,174,22,o,0,2.99,168.63333,-43.97055,9725.41,5882.83,4.69,3.39,-88.2,-0.401,18.84,20.61,01a58111o0861o
7,58117.575410000005,21.546,3.0180000000000002,9,26,o,0,8.02,168.63333,-43.97055,10158.08,2460.02,2.81,2.16,54.5,-0.479,18.66,19.33,02a58117o0504o
8,58117.583602,18.498,0.172,145,25,o,0,6.74,168.63333,-43.97055,10170.58,2500.27,2.89,2.19,55.9,-0.46799999999999997,18.81,19.48,02a58117o0521o
9,58117.591166,18.895,0.21100000000000002,100,21,o,0,12.16,168.63333,-43.97055,10111.18,2420.99,2.82,2.16,56.8,-0.475,18.99,19.7,02a58117o0536o
10,58117.594816,18.715,0.17800000000000002,119,21,o,0,28.35,168.63333,-43.97055,384.1,2481.49,2.75,2.17,54.1,-0.473,18.93,19.82,02a58117o0544o
11,58117.598951,18.267,0.138,179,25,o,0,19.18,168.63333,-43.97055,398.59,2519.41,2.7,2.09,55.1,-0.484,19.1,20.01,02a58117o0553o
12,58117.599863,19.124000000000002,0.252,81,20,o,0,17.26,168.63333,-43.97055,10081.21,2538.66,2.86,2.18,57.6,-0.46799999999999997,19.12,20.1,02a58117o0555o
