,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58049.487973,21.693,1.5,8,12,c,0,1.34,59.40725,-36.859320000000004,8900.26,8091.95,2.69,2.58,45.2,-0.42200000000000004,19.52,21.14,02a58049o0458c
1,58049.494816,0.0,21.29,0,11,c,0,1.23,59.40725,-36.859320000000004,8913.46,8133.4,2.6,2.47,61.0,-0.429,19.55,21.12,02a58049o0473c
2,58049.502293,-22.601999999999997,3.762,-3,12,c,0,0.85,59.40725,-36.859320000000004,1609.49,2392.56,2.8,2.4,44.1,-0.45799999999999996,19.52,21.04,02a58049o0489c
3,58049.516852999994,19.863,0.28,41,12,c,0,1.11,59.40725,-36.859320000000004,1625.92,2270.25,2.8,2.46,39.8,-0.45299999999999996,19.53,21.04,02a58049o0520c
4,58055.454246,-20.06,0.588,-34,20,o,0,0.92,59.40725,-36.859320000000004,1364.28,883.66,3.37,2.83,67.2,-0.45299999999999996,19.03,20.3,01a58055o0580o
5,58055.461572,-20.109,0.5670000000000001,-33,19,o,0,1.0,59.40725,-36.859320000000004,1337.61,817.26,3.31,2.67,74.9,-0.469,19.1,20.42,01a58055o0596o
6,58055.469411,-19.849,0.429,-42,18,o,0,1.14,59.40725,-36.859320000000004,1408.88,751.33,3.34,2.77,74.8,-0.461,19.13,20.53,01a58055o0613o
7,58055.472615,-19.887,0.423,-40,17,o,0,1.24,59.40725,-36.859320000000004,6339.44,10458.68,3.59,3.17,88.9,-0.429,18.93,20.44,01a58055o0620o
8,58055.47444600001,-19.908,0.46799999999999997,-40,18,o,0,1.02,59.40725,-36.859320000000004,1390.43,849.35,3.59,3.06,71.2,-0.449,19.05,20.6,01a58055o0624o
9,58055.48406,-21.24,1.426,-12,16,o,0,1.32,59.40725,-36.859320000000004,6424.28,10394.35,3.56,3.02,-88.6,-0.43700000000000006,19.04,20.56,01a58055o0645o
10,58057.483363,-19.18,0.368,-77,28,o,0,0.94,59.40725,-36.859320000000004,1293.15,3418.15,2.1,1.88,39.6,-0.518,18.4,18.67,02a58057o0197o
11,58057.49374500001,21.874000000000002,5.303999999999999,6,34,o,0,1.02,59.40725,-36.859320000000004,1307.18,3300.08,2.22,1.98,41.7,-0.48700000000000004,18.42,18.71,02a58057o0219o
